Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
63	Waveform 1	1	55494.825748643	55495.234040101	16.216	1167.568	ST1_Site66_67653638.220518065059.wav	290.7191	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	1	0	X	B	TOO FAINT	
63	Spectrogram 1	1	55494.825748643	55495.234040101	16.216	1167.568	ST1_Site66_67653638.220518065059.wav	290.7191	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	1	0	X	B	TOO FAINT	
64	Waveform 1	1	77550.898736633	77551.106023065	48.649	940.541	ST1_Site66_67653638.220518130100.wav	146.0742	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	1	0	X	B	TOO FAINT	
64	Spectrogram 1	1	77550.898736633	77551.106023065	48.649	940.541	ST1_Site66_67653638.220518130100.wav	146.0742	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	1	0	X	B	TOO FAINT	
65	Waveform 1	1	77552.230394925	77552.475369799	72.973	940.541	ST1_Site66_67653638.220518130100.wav	147.4059	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	1	0	X	B	TOO FAINT	
65	Spectrogram 1	1	77552.230394925	77552.475369799	72.973	940.541	ST1_Site66_67653638.220518130100.wav	147.4059	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	1	0	X	B	TOO FAINT	
66	Waveform 1	1	77551.256776834	77551.721600955	794.595	1151.351	ST1_Site66_67653638.220518130100.wav	146.4323	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	0	1	X	Y		
66	Spectrogram 1	1	77551.256776834	77551.721600955	794.595	1151.351	ST1_Site66_67653638.220518130100.wav	146.4323	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	0	1	X	Y		
67	Waveform 1	1	77552.544465276	77553.028133618	851.351	1305.405	ST1_Site66_67653638.220518130100.wav	147.7200	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	0	1	X	Y		
67	Spectrogram 1	1	77552.544465276	77553.028133618	851.351	1305.405	ST1_Site66_67653638.220518130100.wav	147.7200	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	X	0	1	X	Y		
68	Waveform 1	1	77553.197731608	77553.436425075	40.541	964.865	ST1_Site66_67653638.220518130100.wav	148.3732	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	Y	1	0	X	B		
68	Spectrogram 1	1	77553.197731608	77553.436425075	40.541	964.865	ST1_Site66_67653638.220518130100.wav	148.3732	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518130100.wav	Y	1	0	X	B		
69	Waveform 1	1	37200.789177638	37201.065559548	681.081	972.973	ST1_Site66_67653638.220518014559.wav	297.5707	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518014559.wav	X	0	1	X	Y		
69	Spectrogram 1	1	37200.789177638	37201.065559548	681.081	972.973	ST1_Site66_67653638.220518014559.wav	297.5707	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518014559.wav	X	0	1	X	Y		
