	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
112	112	114	Spectrogram 1	1	45909.396295439	45909.735491418	381.215	1450.276	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.3392	5.4028	X	0	1	X	Y		
113	113	115	Spectrogram 1	1	45922.605662161	45923.535310402	49.724	497.238	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.9296	18.6122	Y	1	0	X	G		
114	114	116	Spectrogram 1	1	45922.153400854	45922.410938543	820.442	1201.657	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.2575	18.1599	X	0	1	X	Y		
115	115	117	Spectrogram 1	1	45949.75259577	45950.487520394	33.149	679.558	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.7349	45.7591	Y	2	0	X	G		
116	116	118	Spectrogram 1	1	45950.864404816	45951.140786725	24.862	571.823	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.2764	46.8709	Y	1	0	X	G		
117	117	119	Spectrogram 1	1	45951.643299288	45952.045309338	0.0	571.823	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.402	47.6498	Y	1	0	X	G		
118	118	120	Spectrogram 1	1	45952.133249037	45952.623198785	41.436	704.42	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.4899	48.1397	Y	1	0	X	G		
119	119	122	Spectrogram 1	1	45958.71398794	45960.095897487	0.0	439.227	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	1.3819	54.7205	Y	1	0	X	G		
120	120	123	Spectrogram 1	1	45962.401524249	45962.772127265	621.547	1069.061	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.3706	58.408	X	0	1	X	Y		
121	121	124	Spectrogram 1	1	45965.322153427	45965.736726292	671.271	1019.337	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.4146	61.3287	X	0	1	X	Y		
122	122	125	Spectrogram 1	1	45966.245520262	45966.578434835	41.436	364.641	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.3329	62.252	Y	1	0	X	G		
123	123	126	Spectrogram 1	1	45967.420143377	45968.148786593	0.0	455.801	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.7286	63.4266	Y	1	0	X	G		
124	124	127	Spectrogram 1	1	46010.884426985	46011.575381759	0.0	497.238	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.691	106.8909	X	0	1	X	Y		
125	125	128	Spectrogram 1	1	46016.147555126	46016.66891191	16.575	654.696	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.5214	112.1541	X	0	1	X	Y		
126	126	129	Spectrogram 1	1	46030.73797794	46031.297023166	0.0	422.652	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.559	126.7445	Y	1	0	X	G		
127	127	130	Spectrogram 1	1	46064.730834731	46066.012241766	0.0	414.365	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	1.2814	160.7373	Y	1	0	X	G		
128	128	131	Spectrogram 1	1	46069.7832921	46070.417714211	0.0	281.768	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.6344	165.7898	Y	1	0	X	G		
129	129	132	Spectrogram 1	1	46073.791660799	46074.853218588	0.0	381.215	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	1.0616	169.7982	Y	1	0	X	G		
130	130	133	Spectrogram 1	1	46077.194291582	46077.533487562	33.149	430.939	ST3_Site11_67371018.220515042655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042655.wav	0.3392	173.2008	Y	1	0	X	G		
131	131	134	Spectrogram 1	1	48003.407250452	48004.299210251	8.287	1930.939	ST3_Site11_67371018.220515045655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515045655.wav	0.892	299.2144	Y	1	1	X	BY		
132	132	135	Spectrogram 1	1	48613.319909265	48613.577446953	1060.773	1591.16	ST3_Site11_67371018.220515051155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515051155.wav	0.2575	9.0462	X	0	1	X	Y		
133	133	136	Spectrogram 1	1	48613.772170571	48613.929205747	1243.094	1723.757	ST3_Site11_67371018.220515051155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515051155.wav	0.157	9.4985	X	0	1	X	Y		
134	134	137	Spectrogram 1	1	50544.796044025	50545.681722417	0.0	472.376	ST3_Site11_67371018.220515054155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515054155.wav	0.8857	141.3545	Y	1	0	X	G		
135	135	138	Spectrogram 1	1	51097.700077273	51098.793042097	0.0	364.641	ST3_Site11_67371018.220515055155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515055155.wav	1.093	94.1349	Y	1	0	X	G		
136	136	139	Spectrogram 1	1	55825.860327881	55826.833945971	0.0	332.41	ST3_Site11_67371018.220515071155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515071155.wav	0.9736	21.88	Y	1	0	X	G		
137	137	140	Spectrogram 1	1	56193.727038246	56194.945631211	0.0	390.582	ST3_Site11_67371018.220515071655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515071655.wav	1.2186	89.7322	Y	1	0	X	G		
138	138	141	Spectrogram 1	1	58056.531771558	58056.751620804	706.371	1138.504	ST3_Site11_67371018.220515074655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515074655.wav	0.2198	152.3864	X	0	1	X	Y		
139	139	142	Spectrogram 1	1	58405.776146267	58406.636699031	0.0	764.543	ST3_Site11_67371018.220515075155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515075155.wav	0.8606	201.5978	Y	1	0	X	G		
140	140	143	Spectrogram 1	1	58407.164337222	58407.459563353	980.609	1628.809	ST3_Site11_67371018.220515075155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515075155.wav	0.2952	202.986	X	0	1	X	Y		
141	141	144	Spectrogram 1	1	58409.161824659	58409.438206569	1088.643	1479.224	ST3_Site11_67371018.220515075155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515075155.wav	0.2764	204.9835	X	0	1	X	Y		
142	142	145	Spectrogram 1	1	58731.52469202	58732.090018653	0.0	1894.737	ST3_Site11_67371018.220515075655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515075655.wav	0.5653	227.3204	Y	1	1	X	BY		
143	143	146	Spectrogram 1	1	58732.303586492	58732.925445789	8.31	1063.712	ST3_Site11_67371018.220515075655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515075655.wav	0.6219	228.0993	Y	2	0	X	B		
144	144	147	Spectrogram 1	1	61002.763251308	61003.341140755	1512.465	1894.737	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.5779	98.3997	X	0	1	X	Y		
145	145	148	Spectrogram 1	1	61010.653909431	61011.125014959	149.584	1761.773	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.4711	106.2904	Y	1	1	X	BY	FAINT	
146	146	149	Spectrogram 1	1	61020.470011581	61020.721267862	1238.227	1745.152	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.2513	116.1065	X	0	1	X	Y		
147	147	150	Spectrogram 1	1	61022.247649772	61022.542875903	1130.194	1595.568	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.2952	117.8841	X	0	1	X	Y		
148	148	151	Spectrogram 1	1	61172.261075513	61172.468361945	1387.812	1728.532	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.2073	267.8976	X	0	1	X	Y		
149	149	152	Spectrogram 1	1	61174.283688579	61174.478412197	1196.676	1711.911	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.1947	269.9202	X	0	1	X	Y		
150	150	153	Spectrogram 1	1	61177.537457423	61177.725899634	1196.676	1620.499	ST3_Site11_67371018.220515083655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515083655.wav	0.1884	273.174	X	0	1	X	Y		
151	151	154	Spectrogram 1	1	63357.367595266	63357.700509839	689.751	1620.499	ST3_Site11_67371018.220515091655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515091655.wav	0.3329	52.7644	X	0	1	X	Y		
152	152	155	Spectrogram 1	1	68923.908608511	68924.12217635	1047.091	1246.537	ST3_Site11_67371018.220515104655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515104655.wav	0.2136	218.8083	X	0	1	X	Y		
153	153	156	Spectrogram 1	1	70011.980333693	70012.602192989	781.163	1346.26	ST3_Site11_67371018.220515110655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515110655.wav	0.6219	106.826	X	0	1	X	Y		
154	154	157	Spectrogram 1	1	70578.491578434	70579.571980444	0.0	1371.191	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	1.0804	73.2897	Y	2	2	X	BY		
155	155	158	Spectrogram 1	1	70581.131436126	70582.186712508	8.31	1545.706	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	1.0553	75.9296	Y	2	1	X	BY		
156	156	159	Spectrogram 1	1	70601.89761584	70602.104902272	698.061	1130.194	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	0.2073	96.6958	X	0	1	X	Y		
157	157	160	Spectrogram 1	1	70603.499374634	70603.725505287	864.266	1379.501	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	0.2261	98.2975	X	0	1	X	Y		
158	158	161	Spectrogram 1	1	70604.001887197	70604.221736443	24.931	398.892	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	0.2198	98.8001	Y	1	0	X	B		
159	159	162	Spectrogram 1	1	70604.485555538	70604.780781669	0.0	423.823	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	0.2952	99.2837	Y	1	0	X	B		
160	160	163	Spectrogram 1	1	70605.320982674	70605.515706292	0.0	565.097	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	0.1947	100.1191	Y	1	0	X	B		
161	161	164	Spectrogram 1	1	70606.313444986	70606.778269106	0.0	1130.194	ST3_Site11_67371018.220515111655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515111655.wav	0.4648	101.1116	Y	1	1	X	BY		
162	162	165	Spectrogram 1	1	71145.502773096	71145.835687669	24.931	1304.709	ST3_Site11_67371018.220515112655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515112655.wav	0.3329	40.2044	Y	1	1	X	BY		
163	163	166	Spectrogram 1	1	71148.561818322	71148.888451488	797.784	1396.122	ST3_Site11_67371018.220515112655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515112655.wav	0.3266	43.2635	X	0	1	X	Y		
164	164	167	Spectrogram 1	1	76878.220775252	76878.484594347	806.094	1221.607	ST3_Site11_67371018.220515130156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515130156.wav	0.2638	72.4279	X	0	1	X	Y		
165	165	168	Spectrogram 1	1	76881.406433466	76882.078544019	0.0	1155.125	ST3_Site11_67371018.220515130156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515130156.wav	0.6721	75.6136	Y	2	1	X	BY		
166	166	169	Spectrogram 1	1	76887.210685269	76887.618976726	16.62	1337.95	ST3_Site11_67371018.220515130156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515130156.wav	0.4083	81.4179	Y	1	1	X	BY		
167	167	170	Spectrogram 1	1	76888.008423963	76888.209428988	847.645	1213.296	ST3_Site11_67371018.220515130156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515130156.wav	0.201	82.2156	X	0	1	X	Y		
168	168	171	Spectrogram 1	1	76888.580032003	76889.660434013	0.0	481.994	ST3_Site11_67371018.220515130156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515130156.wav	1.0804	82.7872	Y	3	0	X	B		
169	169	172	Spectrogram 1	1	76890.23832346	76890.464454113	8.31	481.994	ST3_Site11_67371018.220515130156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515130156.wav	0.2261	84.4455	Y	1	0	X	B		
170	170	173	Spectrogram 1	1	78559.544898291	78559.733340503	914.127	1321.33	ST3_Site11_67371018.220515132656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515132656.wav	0.1884	253.5921	X	0	1	X	Y		
171	171	174	Spectrogram 1	1	78563.175551558	78563.753441005	947.368	1329.64	ST3_Site11_67371018.220515132656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515132656.wav	0.5779	257.2227	X	0	1	X	Y		
172	172	175	Spectrogram 1	1	79575.124936382	79575.501820804	1146.814	1404.432	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.3769	69.0809	X	0	1	X	Y		
173	173	176	Spectrogram 1	1	79576.594785628	79576.820916281	1121.884	1487.535	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.2261	70.5508	X	0	1	X	Y		
174	174	177	Spectrogram 1	1	79590.86197802	79591.854440331	864.266	1404.432	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.9925	84.818	X	0	1	X	Y		
175	175	178	Spectrogram 1	1	79592.557957919	79593.230068472	1022.161	1362.881	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.6721	86.514	X	0	1	X	Y		
176	176	179	Spectrogram 1	1	79593.663485557	79594.963736814	872.576	1628.809	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	1.3003	87.6195	X	0	1	X	Y		
177	177	180	Spectrogram 1	1	79595.411768989	79595.76980919	1110.497	1276.243	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.358	89.3678	X	0	1	X	Y		
178	178	181	Spectrogram 1	1	79596.737145874	79596.969557934	828.729	1325.967	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.2324	90.6931	X	0	1	X	Y		
179	179	182	Spectrogram 1	1	79597.227095622	79597.402975019	1027.624	1425.414	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.1759	91.1831	X	0	1	X	Y		
180	180	183	Spectrogram 1	1	79597.836392105	79598.740914718	754.144	2038.674	ST3_Site11_67371018.220515134656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515134656.wav	0.9045	91.7924	X	0	3	X	Y		
181	181	184	Spectrogram 1	1	84273.728811859	84273.96122392	878.453	1400.552	ST3_Site11_67371018.220515150156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515150156.wav	0.2324	267.2958	X	0	1	X	Y		
182	182	185	Spectrogram 1	1	84626.742528744	84626.937252362	687.845	1060.773	ST3_Site11_67371018.220515151156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515151156.wav	0.1947	20.2627	X	0	1	X	Y		
183	183	186	Spectrogram 1	1	85054.648068249	85055.288771767	24.862	356.354	ST3_Site11_67371018.220515151656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515151656.wav	0.6407	148.2004	Y	1	0	X	G		
184	184	187	Spectrogram 1	1	87253.393892965	87253.607460804	720.994	1160.221	ST3_Site11_67371018.220515155156.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515155156.wav	0.2136	246.7484	X	0	1	X	Y		
185	185	188	Spectrogram 1	1	91142.215004513	91143.47128592	0.0	422.652	ST3_Site11_67371018.220515165656.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515165656.wav	1.2563	235.2535	Y	1	0	X	G		
186	186	189	Spectrogram 1	1	107581.258360302	107583.971928141	588.398	919.89	ST3_Site11_67371018.220515213657.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515213657.wav	2.7136	173.5087	X	0	7	X	Y		
187	187	190	Spectrogram 1	1	112261.360449551	112261.693364124	878.453	1218.232	ST3_Site11_67371018.220515225657.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515225657.wav	0.3329	53.1811	X	0	1	X	Y		
188	188	191	Spectrogram 1	1	112262.396881712	112262.723514877	961.326	1259.669	ST3_Site11_67371018.220515225657.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515225657.wav	0.3266	54.2176	X	0	1	X	Y		
189	189	192	Spectrogram 1	1	115995.298167337	115995.555705025	770.718	1035.912	ST3_Site11_67371018.220516000157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516000157.wav	0.2575	186.8237	X	0	1	X	Y		
190	190	193	Spectrogram 1	1	118905.914892965	118906.109616583	99.448	1044.199	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.1947	97.2062	Y	1	0	X	B		
191	191	194	Spectrogram 1	1	118907.051827638	118907.277958291	99.448	1085.635	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.2261	98.3432	Y	1	0	X	B		
192	192	195	Spectrogram 1	1	118907.994038693	118908.188762312	16.575	1019.337	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.1947	99.2854	Y	1	0	X	B		
193	193	196	Spectrogram 1	1	118908.61589799	118908.779214573	58.011	1027.624	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.1633	99.9072	Y	1	0	X	B		
194	194	197	Spectrogram 1	1	118908.999063819	118909.225194472	74.586	1044.199	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.2261	100.2904	Y	1	0	X	B		
195	195	198	Spectrogram 1	1	118909.564390452	118910.060621608	66.298	1110.497	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.4962	100.8557	Y	2	0	X	B		
196	196	199	Spectrogram 1	1	118910.337003518	118910.550571357	66.298	1118.785	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.2136	101.6283	Y	1	0	X	B		
197	197	200	Spectrogram 1	1	118910.801827638	118910.996551256	124.309	1077.348	ST3_Site11_67371018.220516005157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005157.wav	0.1947	102.0932	Y	1	0	X	B		
198	198	201	Spectrogram 1	1	119397.85538593	119398.169456281	754.144	1392.265	ST3_Site11_67371018.220516005657.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516005657.wav	0.3141	289.0972	X	0	1	X	Y		
199	199	202	Spectrogram 1	1	119616.361620101	119617.171921608	24.862	505.525	ST3_Site11_67371018.220516010157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516010157.wav	0.8103	207.633	Y	1	0	X	G		
200	200	203	Spectrogram 1	1	128023.58008745	128023.787373883	1458.564	1748.619	ST3_Site11_67371018.220516032157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516032157.wav	0.2073	214.1432	X	0	1	X	Y		
201	201	204	Spectrogram 1	1	128024.340137702	128024.541142727	0.0	497.238	ST3_Site11_67371018.220516032157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516032157.wav	0.201	214.9033	Y	1	0	X	B		
202	202	205	Spectrogram 1	1	128846.534712585	128847.426672384	787.293	1450.276	ST3_Site11_67371018.220516033657.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516033657.wav	0.892	137.0365	X	0	3	X	Y		
203	203	206	Spectrogram 1	1	133417.409155353	133417.748351333	787.293	1243.094	ST3_Site11_67371018.220516045157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516045157.wav	0.3392	207.766	X	0	1	X	Y		
204	204	207	Spectrogram 1	1	133420.86892377	133421.10133583	580.11	1077.348	ST3_Site11_67371018.220516045157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516045157.wav	0.2324	211.2258	X	0	1	X	Y		
205	205	208	Spectrogram 1	1	133421.811134825	133422.156612212	563.536	1069.061	ST3_Site11_67371018.220516045157.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516045157.wav	0.3455	212.168	X	0	1	X	Y		
206	206	209	Spectrogram 1	1	136511.110434673	136511.531288945	58.011	397.79	ST3_Site11_67371018.220516054658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516054658.wav	0.4209	1.1549	Y	1	0	X	G		
207	207	210	Spectrogram 1	1	136723.136856645	136723.44464559	1400.552	2071.823	ST3_Site11_67371018.220516054658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516054658.wav	0.3078	213.1814	X	0	1	X	Y		
208	208	211	Spectrogram 1	1	136745.126320913	136746.081094782	74.586	1218.232	ST3_Site11_67371018.220516054658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516054658.wav	0.9548	235.1708	Y	1	2	X	BY		
209	209	212	Spectrogram 1	1	136746.571490002	136747.036314122	8.287	439.227	ST3_Site11_67371018.220516054658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516054658.wav	0.4648	236.616	Y	1	0	X	G		
210	210	213	Spectrogram 1	1	144654.154665402	144654.355670427	770.718	1251.381	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.201	44.869	X	0	1	X	Y		
211	211	214	Spectrogram 1	1	144654.902152839	144655.310444296	737.569	1292.818	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.4083	45.6165	X	0	1	X	Y		
212	212	215	Spectrogram 1	1	144655.511449321	144655.888333743	720.994	1176.796	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.3769	46.2258	X	0	1	X	Y		
213	213	216	Spectrogram 1	1	144656.101901583	144656.359439271	820.442	1151.934	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.2575	46.8162	X	0	1	X	Y		
214	214	217	Spectrogram 1	1	144657.006424196	144657.289087512	812.155	986.188	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.2827	47.7208	X	0	1	X	Y		
215	215	218	Spectrogram 1	1	144657.628283492	144657.829288517	853.591	1093.923	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.201	48.3426	X	0	1	X	Y		
216	216	219	Spectrogram 1	1	144658.325519673	144658.526524698	787.293	1077.348	ST3_Site11_67371018.220516080158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516080158.wav	0.201	49.0399	X	0	1	X	Y		
217	217	220	Spectrogram 1	1	148349.226441709	148349.728954271	762.431	1102.21	ST3_Site11_67371018.220516090158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516090158.wav	0.5025	139.6349	X	0	1	X	Y		
218	218	221	Spectrogram 1	1	150873.230634925	150873.500735427	671.271	1027.624	ST3_Site11_67371018.220516094158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516094158.wav	0.2701	263.5475	X	0	1	X	Y		
219	219	222	Spectrogram 1	1	150875.202996734	150875.435408794	787.293	1127.072	ST3_Site11_67371018.220516094158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516094158.wav	0.2324	265.5198	X	0	1	X	Y		
220	220	223	Spectrogram 1	1	150876.704253015	150876.898976633	679.558	1118.785	ST3_Site11_67371018.220516094158.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516094158.wav	0.1947	267.0211	X	0	1	X	Y		
221	221	224	Spectrogram 1	1	161396.761998091	161397.138882513	820.442	1201.657	ST3_Site11_67371018.220516123658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516123658.wav	0.3769	286.1632	X	0	1	X	Y		
222	222	225	Spectrogram 1	1	161400.719284523	161401.228078493	787.293	1077.348	ST3_Site11_67371018.220516123658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516123658.wav	0.5088	290.1204	X	0	1	X	Y		
223	223	226	Spectrogram 1	1	164111.469066549	164111.946453483	621.547	886.74	ST3_Site11_67371018.220516132658.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516132658.wav	0.4774	0.5771	X	0	1	X	Y		
224	224	227	Spectrogram 1	1	167206.667120591	167207.665864309	812.155	1292.818	ST3_Site11_67371018.220516141659.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220516141659.wav	0.9987	95.5208	X	0	1	X	Y		
