Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	KZ Keep? (Y/X/M)	Number of Barks - KZ	Number of Yelps - KZ	Overlap W Other Species - KZ	KZ Comment	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment
24500	Spectrogram 1	1	18981.887300000	18982.232777387	0.3455	87.0693	59.800	794.800	70.312	1208795168.701201074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701201074318.wav	12.26	Y	1	0	N	FAINT	Y	"bark, yelp"		ND	RS				RS	
24578	Spectrogram 1	1	19440.743666667	19441.169762144	0.4261	246.0180	53.700	984.100	70.312	1208795168.701201144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701201144318.wav	14.39	Y	1	0	N		Y	bark		ND	RS				RS	
25804	Spectrogram 1	1	19653.580366667	19653.779066089	0.1987	158.8677	131.700	1053.900	597.656	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	13.23	Y	1	0	N		Y	bark	good series (even though there is strumming noise in the lower frequencies)	ND	RS	m			RS	
25812	Spectrogram 1	1	2036.938800000	2037.573222111	0.6344	237.4048	91.413	1337.950	93.750	1208795168.700423114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	15.42	Y	1	2	N	Faint	Y				RS					
25815	Spectrogram 1	1	3828.786666667	3829.207520938	0.4209	229.7340	41.551	1221.607	46.875	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	15.86	Y	1	0	N	FAINT	Y									
25816	Spectrogram 1	1	3829.804266667	3830.143462647	0.3392	230.7516	41.551	1163.435	46.875	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	16.35	Y	1	0	N	FAINT	Y									
25817	Spectrogram 1	1	3971.654333333	3971.911871021	0.2575	72.7350	16.620	1400.615	23.438	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	15.83	Y	1	0	N	FAINT	Y									
25818	Spectrogram 1	1	3972.477133333	3972.678138359	0.2010	73.5578	16.620	681.440	23.438	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	19.71	Y	1	0	N	FAINT	Y									
25821	Spectrogram 1	1	4317.953966667	4318.594670184	0.6407	119.0583	24.931	880.886	35.156	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	17.64	Y	2	1	N	bark yelp bark, split from 417	Y									
25822	Spectrogram 1	1	4320.442066667	4320.712167170	0.2701	121.5464	33.241	772.853	35.156	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	17.89	Y	1	0	N	FAINT	Y									
25823	Spectrogram 1	1	4321.101566667	4321.874179732	0.7726	122.2059	16.620	939.058	23.438	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	17.29	Y	1	2	N	FAINT										
25824	Spectrogram 1	1	4807.775733333	4808.472969514	0.6972	8.9624	49.861	797.784	58.594	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	18.21	Y	2	1	N											
25825	Spectrogram 1	1	5021.021333333	5021.429624790	0.4083	222.2080	16.620	872.576	23.438	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	19.44	Y	1	1	Y	Faint overlap w bearded seals										
25826	Spectrogram 1	1	5150.337733333	5150.601552429	0.2638	51.5474	49.861	1022.161	58.594	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.55	Y	1	0	N	FAINT										
25827	Spectrogram 1	1	5151.160633333	5151.418171021	0.2575	52.3703	16.620	1163.435	23.438	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	18.22	Y	1	0	N	FAINT										
25828	Spectrogram 1	1	5151.568933333	5151.939536348	0.3706	52.7786	24.931	1121.884	35.156	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	18.32	Y	1	1	Y	Faint overlap w bearded seals										
25829	Spectrogram 1	1	5154.572233333	5154.842333836	0.2701	55.7819	0.000	1072.022	11.719	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	20.06	Y	1	0	N											
25830	Spectrogram 1	1	5155.011933333	5155.288315242	0.2764	56.2216	41.551	1105.263	46.875	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	18.05	Y	1	0	N											
25831	Spectrogram 1	1	5155.413933333	5155.759410720	0.3455	56.6236	24.931	1121.884	35.156	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	17.00	Y	1	1	N											
25832	Spectrogram 1	1	5155.828533333	5156.023238359	0.1947	57.0382	0.000	1138.504	11.719	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	21.38	Y	1	1	N											
25833	Spectrogram 1	1	5156.663933333	5157.015692127	0.3518	57.8736	49.861	1121.884	58.594	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	18.28	Y	1	0	N											
25836	Spectrogram 1	1	5912.008100000	5912.378703015	0.3706	213.3041	99.723	872.576	117.188	1208795168.700528084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	15.58	Y	1	1	N											
25838	Spectrogram 1	1	6004.336566667	6004.656918426	0.3204	5.7809	24.931	1263.158	35.156	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	16.49	Y	1	0	N	FAINT BARK										
25840	Spectrogram 1	1	6012.034366667	6012.430095310	0.3957	13.4787	0.000	1113.573	11.719	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	18.04	Y	1	1	N	from 467, yelp bark										
25841	Spectrogram 1	1	6006.578966667	6006.814519431	0.2356	8.0233	0.000	855.956	11.719	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	19.06	Y	1	0	N	bark from 467										
25845	Spectrogram 1	1	6458.287800000	6459.099671859	0.8119	159.7578	0.000	1138.504	11.719	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	20.67	Y	2	2	N	from 488										
25846	Spectrogram 1	1	6454.255100000	6454.908366332	0.6533	155.7251	41.551	1113.573	46.875	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	18.60	Y	2	2	N	from 488										
25847	Spectrogram 1	1	6456.689136683	6457.496297487	0.8072	158.1591	0.000	1279.778	11.719	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	20.27	Y	2	2	Y	Overlappong bearded seals but clear barks										
25848	Spectrogram 1	1	6460.304100000	6461.114401507	0.8103	161.7741	0.000	1113.573	11.719	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	20.40	Y	1	2	N	is the first one a rnged seal? yelp bark yelp, from 488										
25849	Spectrogram 1	1	6917.812300000	6918.245717086	0.4334	19.4303	74.792	914.127	246.094	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.23	Y	1	1	N	bark yelp from 496										
25851	Spectrogram 1	1	6920.874500000	6921.110052764	0.2356	22.4925	49.861	506.925	58.594	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	21.67	Y	1	0	N	bark from 496										
25852	Spectrogram 1	1	6937.968421608	6938.125456784	0.1570	39.5864	108.033	690.000	140.625	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	15.22	Y	2	0	N	from 497										
25855	Spectrogram 1	1	7971.262466667	7971.629928978	0.3675	173.0948	24.931	2343.490	35.156	1208795168.700704144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700704144318.wav	17.36	Y	1	0	N	bark from 905										
25857	Spectrogram 1	1	9101.389300000	9101.643696985	0.2544	103.6443	49.861	781.163	58.594	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.97	Y	1	0	Y	Bearded seal above 1kHz										
25858	Spectrogram 1	1	9102.143000000	9102.604683417	0.4617	104.3980	33.241	814.404	35.156	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	19.74	Y	1	1	Y	Bearded seal above 1kHz										
25859	Spectrogram 1	1	9103.264300000	9103.509274874	0.2450	105.5193	41.551	847.645	46.875	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.22	Y	1	0	Y	Bearded seal above 1kHz										
25860	Spectrogram 1	1	9104.036900000	9104.310141206	0.2732	106.2919	41.551	939.058	46.875	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	18.19	Y	1	0	Y	Bearded seal above 1kHz										
25861	Spectrogram 1	1	9104.357300000	9104.602274874	0.2450	106.6123	49.861	847.645	58.594	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.14	Y	1	0	Y	Bearded seal above 1kHz										
25862	Spectrogram 1	1	9105.073300000	9105.450184422	0.3769	107.3283	24.931	872.576	35.156	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.77	Y	1	1	Y	Bearded seal above 1kHz										
25863	Spectrogram 1	1	9106.995400000	9107.212108543	0.2167	109.2504	24.931	756.233	35.156	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	18.36	Y	1	0	Y	Bearded seal above 1kHz										
25864	Spectrogram 1	1	9107.325200000	9107.523064321	0.1979	109.5802	16.620	714.681	23.438	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	20.20	Y	1	0	Y	Bearded seal above 1kHz										
25865	Spectrogram 1	1	9956.975500000	9957.606781407	0.6313	59.6005	24.931	997.230	35.156	1208795168.700713084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700713084318.wav	16.97	Y	2	0	N	from 1099										
25866	Spectrogram 1	1	10554.031600000	10554.268723116	0.2371	56.8226	24.931	498.615	35.156	1208795168.700724064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	22.67	Y	2	0	Y	Bearded seal above 1kHz										
25867	Spectrogram 1	1	11832.264533333	11832.575462982	0.3109	135.3182	58.172	880.886	58.594	1208795168.700804144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	18.12	Y	1	0	N	from 1626										
25870	Spectrogram 1	1	14973.804833333	14974.200561977	0.3957	277.9375	174.515	1130.194	574.219	1208795168.700829164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	12.31	Y	1	0	N	FAINT										
25871	Spectrogram 1	1	14979.599433333	14980.400312730	0.8009	283.7321	116.343	1238.227	597.656	1208795168.700829164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	13.31	Y	2	1	N	bark yelp bark, from 6480										
25877	Spectrogram 1	1	16180.368166667	16180.702651591	0.3345	284.9705	66.482	1188.366	70.312	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.85	Y	1	1	N	Excellent										
25878	Spectrogram 1	1	19851.497700000	19852.075589447	0.5779	56.8977	130.058	838.150	339.844	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	15.84	Y	1	1	Y	Faint overlap with bearded seal <1kHz, loud above 1kHz	Y	bark, yelp								
25880	Spectrogram 1	1	19852.295100000	19852.585055128	0.2900	57.6951	98.266	878.613	316.406	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	17.99	Y	1	2	Y	Faint overlap with bearded seal <1kHz, loud above 1kHz	Y									
25881	Spectrogram 1	1	19853.438300000	19853.903124120	0.4648	58.8383	69.364	867.052	70.312	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	16.27	Y	1	0	Y	Loud bs above 1kHz										
25882	Spectrogram 1	1	19854.594100000	19855.128019598	0.5339	59.9941	57.803	959.538	58.594	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	17.14	Y	1	1	Y	Loud bs above 1kHz										
25886	Spectrogram 1	1	18099.972600000	18100.349484422	0.3769	104.9146	86.705	838.150	269.531	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.48	Y	1	0	N	from 17699, excellent										
25887	Spectrogram 1	1	18101.115800000	18101.536654272	0.4209	106.0578	86.705	907.514	316.406	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.86	Y	1	0	N	from 17699, excellent										
25888	Spectrogram 1	1	18102.303000000	18102.755261306	0.4523	107.2450	52.023	965.318	164.062	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	14.76	Y	1	0	N	from 17699, excellent										
25889	Spectrogram 1	1	18103.471300000	18103.873310051	0.4020	108.4133	52.023	959.538	164.062	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.89	Y	1	0	N	from 17699, excellent										
25890	Spectrogram 1	1	18105.073100000	18105.506517086	0.4334	110.0151	86.705	901.734	281.250	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	12.33	Y	1	0	N	from 17699, excellent										
25891	Spectrogram 1	1	18106.316800000	18106.737654272	0.4209	111.2588	69.364	947.977	187.500	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.84	Y	1	0	N	from 17699, excellent										
25892	Spectrogram 1	1	18983.284900000	18983.686910050	0.4020	88.4669	104.046	838.150	539.062	1208795168.701201074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701201074318.wav	13.23	Y	1	0	N	from 24500										
25893	Spectrogram 1	1	231.261600000	231.556826131	0.2952	231.2616	115.607	734.104	117.188	1208795168.700225064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	12.72	Y	1	0	N	FAINT	Y									
25894	Spectrogram 1	1	231.739000000	232.084477387	0.3455	231.7390	115.607	739.884	117.188	1208795168.700225064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	13.47	Y	1	0	N	FAINT	Y									
25896	Spectrogram 1	1	1569.956766667	1570.333651089	0.3769	70.2911	86.705	722.543	93.750	1208795168.700420034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	15.19	Y	1	0	N	FAINT	Y									
25897	Spectrogram 1	1	1573.317266667	1573.675306868	0.3580	73.6516	63.584	647.399	70.312	1208795168.700420034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	15.86	Y	1	0	N	FAINT	Y									
25898	Spectrogram 1	1	6940.390900000	6940.551838321	0.1609	42.0089	81.699	1503.268	93.750	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	16.16	Y	1	0	N		Y									
25899	Spectrogram 1	1	6942.896700000	6943.039756285	0.1431	44.5147	98.039	1454.248	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.85	Y	1	0	N		Y									
25900	Spectrogram 1	1	6942.265700000	6942.447074933	0.1814	43.8837	98.039	1584.967	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	16.36	Y	1	0	N		Y									
25901	Spectrogram 1	1	6941.749700000	6941.874874249	0.1252	43.3677	81.699	1356.209	93.750	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.69	Y	1	0	N		Y									
25902	Spectrogram 1	1	6941.019500000	6941.106355601	0.0869	42.6375	98.039	996.732	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.82	Y	1	0	N		Y									
25903	Spectrogram 1	1	6943.335000000	6943.470392556	0.1354	44.9530	98.039	1339.869	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.27	Y	1	0	N		Y									
25904	Spectrogram 1	1	20097.323466667	20097.500489788	0.1770	2.7388	163.399	669.935	375.000	1208795168.701202014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701202014318.wav	14.66	Y	1	0	N											
25905	Spectrogram 1	1	20097.890566667	20098.295190944	0.4046	3.3059	89.869	906.863	328.125	1208795168.701202014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701202014318.wav	18.19	Y	2	0	N											
25909	Spectrogram 1	1	3339.429300000	3339.682190174	0.2529	40.2853	65.359	1658.497	70.312	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	17.96	Y	1	0	N											
25910	Spectrogram 1	1	3339.740000000	3340.039855491	0.2999	40.5960	89.869	1315.359	375.000	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	16.87	Y	1	1	N											
25911	Spectrogram 1	1	3340.285500000	3340.505875723	0.2204	41.1415	98.039	1307.190	328.125	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	16.97	Y	1	1	N											
25913	Spectrogram 1	1	20591.872000000	20592.038184971	0.1662	197.4010	65.359	1290.850	70.312	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	17.38	Y	1	0	N											
25914	Spectrogram 1	1	20592.208000000	20592.551208092	0.3432	197.7370	65.359	1454.248	70.312	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	16.34	Y	1	1	N											
25915	Spectrogram 1	1	20592.641500000	20592.977482658	0.3360	198.1705	49.020	1388.889	58.594	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	16.44	Y	1	1	N											
25916	Spectrogram 1	1	20593.089500000	20593.273748555	0.1842	198.6185	114.379	1258.170	117.188	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	14.74	Y	1	0	N											
25917	Spectrogram 1	1	4608.931700000	4609.282133527	0.3504	110.0707	32.680	1699.346	35.156	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	15.54	Y	1	0	N											
25918	Spectrogram 1	1	4609.437500000	4609.668713873	0.2312	110.5765	0.000	1650.327	11.719	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	19.05	Y	1	0	N											
25919	Spectrogram 1	1	4609.903500000	4610.123875722	0.2204	111.0425	0.000	1519.608	11.719	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	18.92	Y	1	0	N											
25921	Spectrogram 1	1	16349.562766667	16349.902362043	0.3396	154.2031	108.786	1767.767	187.500	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	19.46	Y	1	0	N	Low - growl?										
25922	Spectrogram 1	1	16352.207266667	16352.362613487	0.1553	156.8476	108.786	1169.446	210.938	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	20.95	Y	1	0	N	Low - growl?										
25924	Spectrogram 1	1	16352.545066667	16352.736540655	0.1915	157.1854	122.384	1387.017	246.094	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	17.84	Y	1	0	N	Low - growl?										
25925	Spectrogram 1	1	16351.955266667	16352.078099037	0.1228	156.5956	108.786	1319.026	175.781	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	18.01	Y	1	0	N											
25926	Spectrogram 1	1	16350.961766667	16351.124338922	0.1626	155.6021	163.178	1346.223	503.906	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	17.77	Y	1	0	N											
25927	Spectrogram 1	1	16350.470366667	16350.882216378	0.4118	155.1107	67.991	1305.428	70.312	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	17.17	Y	1	1	N											
25928	Spectrogram 1	1	16569.361166667	16569.556253372	0.1951	74.0265	122.384	1332.624	304.688	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	14.76	Y	1	0	N											
25929	Spectrogram 1	1	16569.624866667	16569.769375337	0.1445	74.2902	135.982	1305.428	292.969	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	16.78	Y	1	0	N											
25930	Spectrogram 1	1	16570.072866667	16570.220988055	0.1481	74.7382	135.982	1427.812	609.375	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	17.28	Y	1	0	N											
25931	Spectrogram 1	1	16570.347466667	16570.499200771	0.1517	75.0128	149.580	1346.223	152.344	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	15.28	Y	1	0	N											
25932	Spectrogram 1	1	16570.603966667	16570.759313488	0.1553	75.2693	135.982	1373.419	457.031	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	16.86	Y	1	0	N											
25933	Spectrogram 1	1	16570.892966667	16571.044700771	0.1517	75.5583	122.384	1359.821	140.625	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	14.54	Y	1	0	N											
25934	Spectrogram 1	1	16571.077166667	16571.348120425	0.2710	75.7425	135.982	1264.633	480.469	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	17.14	Y	1	1	N											
25936	Spectrogram 1	1	19653.970566667	19654.169266089	0.1987	159.2579	95.187	1237.437	351.562	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	13.79	Y	1	0	N											
25937	Spectrogram 1	1	19654.321066667	19654.512540655	0.1915	159.6084	122.384	1223.839	140.625	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	11.45	Y	1	0	N											
25938	Spectrogram 1	1	19654.732866667	19654.902664354	0.1698	160.0202	95.187	1264.633	316.406	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.42	Y	1	0	N											
25939	Spectrogram 1	1	19655.101366667	19655.271164355	0.1698	160.3887	81.589	1210.240	609.375	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	13.28	Y	1	0	N											
25940	Spectrogram 1	1	19655.415666667	19655.617978806	0.2023	160.7030	95.187	1373.419	105.469	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.17	Y	1	0	N											
25941	Spectrogram 1	1	19655.885266667	19656.069515222	0.1842	161.1726	95.187	1387.017	386.719	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	11.53	Y	1	0	N											
25942	Spectrogram 1	1	19656.261066667	19656.434477072	0.1734	161.5484	67.991	1387.017	339.844	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.02	Y	1	0	N											
25944	Spectrogram 1	1	3972.072133333	3972.220254721	0.1481	73.1528	40.795	1101.455	46.875	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	18.40	Y	1	0	N	FAINT										
25949	Spectrogram 1	1	6454.983743216	6455.508240703	0.5245	156.4538	60.000	1110.000	70.312	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	16.96	Y	1	1	N											
25950	Spectrogram 1	1	6938.329602513	6938.583999497	0.2544	39.9476	97.500	780.000	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	15.97	Y	1	0	Y	Overlap quiet										
25951	Spectrogram 1	1	10554.573371357	10554.802642714	0.2293	57.3644	60.000	472.500	70.312	1208795168.700724064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	20.49	Y	1	0	Y	Bearded seal above 1kHz										
25952	Spectrogram 1	1	16180.765465661	16181.023003350	0.2575	285.3678	82.500	1072.500	93.750	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.13	Y	1	1	N											
25953	Spectrogram 1	1	16181.101520938	16181.349636516	0.2481	285.7039	112.500	1065.000	632.812	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.28	Y	1	1	N											
25954	Spectrogram 1	1	16181.428154104	16181.676269682	0.2481	286.0305	75.000	1110.000	93.750	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	17.78	Y	1	1	N											
25955	Spectrogram 1	1	16181.767350084	16182.009184254	0.2418	286.3697	75.000	1132.500	93.750	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	18.22	Y	1	1	N											
