Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
364	Spectrogram 1	1	17077.717855104	17077.982505388	0.2647	47.7179	222.000	787.600	DS3B__0__20181119_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181119_040355.wav	Y	bark	faint	RS	3	1	No		faint					X	1	0	X	B	-	Too faint
379	Spectrogram 1	1	17329.511279049	17329.952362854	0.4411	37.5113	85.900	873.500	DS3B__0__20181119_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181119_160355.wav	Y	bark	faint	RS	3	2	No							X	2	0	X	B	-	Too faint
385	Spectrogram 1	1	17780.020000000	17793.451900000	13.4319	226.0200	57.300	1389.000	DS3B__0__20181119_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181119_220355.wav	Y	"bark, yelp"	good one	RS	3	series	No		"good, barks-yelps"					X	-	-	-	-	S	
387	Spectrogram 1	1	17908.446000000	17918.343200000	9.8972	92.4460	200.500	1267.300	DS3B__0__20181120_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181120_020355.wav	Y	"bark, yelp"	"3xbarks, 4xyelps"""	RS	3	series	No		"3xbarks, 4xyelps"					X	-	-	-	-	S	
389	Spectrogram 1	1	18138.047857789	18138.292832663	0.2450	60.0479	121.700	966.600	DS3B__0__20181120_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181120_100355.wav	Y	bark		RS	2	1	No							Y	1	0	X	B	-	
416	Spectrogram 1	1	18368.423000000	18381.726400000	13.3034	28.4230	150.400	1546.500	DS3B__0__20181121_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181121_060355.wav	Y	"bark, yelp"	barks-yelps	RS	3	series	No		barks-yelps					X	-	-	-	-	S	
433	Spectrogram 1	1	18715.924000000	18716.641710804	0.7177	113.9240	78.800	1088.300	DS3B__0__20181121_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181121_220355.wav	Y	bark	faint	RS	2	1								X	-	-	-	-	S	
434	Spectrogram 1	1	18774.541239950	18775.288727387	0.7475	172.5412	71.600	1145.600	DS3B__0__20181121_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181121_220355.wav	Y	bark		RS	3	2	No							X	-	-	-	-	S	
438	Spectrogram 1	1	19094.891971859	19095.086695477	0.1947	230.8920	21.500	1102.600	DS3B__0__20181122_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181122_020355.wav	Y	bark	very faint	RS	2	1	No							X	1	0	X	B	-	Too faint
439	Spectrogram 1	1	18944.809215578	18945.160974372	0.3518	80.8092	57.300	1310.300	DS3B__0__20181122_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181122_020355.wav	Y	bark	bark	RS	2	1	No		bark					Y	1	0	X	B	-	
441	Spectrogram 1	1	19291.376176382	19291.614869849	0.2387	165.3762	118.700	745.100	DS3B__0__20181122_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181122_140355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
457	Spectrogram 1	1	19517.981000000	19529.634800000	11.6538	129.9810	131.900	1371.400	DS3B__0__20181122_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181122_180355.wav	Y	"bark, yelp"		RS	3	series	No							X	-	-	-	-	S	
492	Spectrogram 1	1	19878.694000000	19882.678600000	3.9846	228.6940	112.100	679.100	DS3B__0__20181123_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181123_220355.wav	Y	bark		RS	3	4	No							X	-	-	-	-	S	
508	Spectrogram 1	1	19978.705000000	19979.476200000	0.7712	66.7050	82.400	840.700	DS3B__0__20181124_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181124_140355.wav	Y	bark	faint	RS	2	1	No							X	1	0	X	B	-	Faint growl
512	Spectrogram 1	1	20341.812000000	20343.697200000	1.8852	167.8120	62.400	1903.700	DS3B__0__20181124_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181124_180355.wav	Y	"bark, yelp"	good bark	RS	3	2	No		"good, yelp-bark"					X	-	-	-	-	S	
514	Spectrogram 1	1	20442.362000000	20459.414300000	17.0523	6.3620	124.700	932.200	DS3B__0__20181125_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181125_000355.wav	Y	bark		RS	3	series	No							X	-	-	-	-	S	
515	Spectrogram 1	1	20839.928000000	20845.583600000	5.6556	141.9280	65.600	919.000	DS3B__0__20181125_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181125_060355.wav	Y	bark		RS	2	5	No							X	-	-	-	-	S	
516	Spectrogram 1	1	20736.244000000	20754.088900000	17.8449	38.2440	85.300	1207.900	DS3B__0__20181125_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181125_060355.wav	Y	"bark, yelp"	good series	RS	3	series	No		"good, yelps-barks"					X	-	-	-	-	S	
521	Spectrogram 1	1	21078.582407789	21078.846226884	0.2638	118.5824	52.500	846.800	DS3B__0__20181125_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181125_160355.wav	Y	bark	background noise (I think rain)	RS	3	2	No							X	1	0	X	B	-	Too faint
522	Spectrogram 1	1	21214.827000000	21219.780000000	4.9530	254.8270	85.300	754.900	DS3B__0__20181125_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181125_160355.wav	Y	bark	background noise (I think rain)	RS	3	3	No							X	-	-	-	-	S	
530	Spectrogram 1	1	21299.239257789	21299.609860804	0.3706	77.2393	91.900	932.200	DS3B__0__20181126_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181126_080355.wav	Y	bark	quite close. Background noise (I think rain)	RS	3	1	No							Y	1	0	X	B	-	
532	Spectrogram 1	1	21682.608000000	21688.370600000	5.7626	198.6080	59.100	505.500	DS3B__0__20181126_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181126_120355.wav	Y	bark	very faint	RS	2	series	No		very faint					X	-	-	-	-	S	
535	Spectrogram 1	1	21818.935000000	21824.869100000	5.9341	72.9350	85.300	2199.100	DS3B__0__20181127_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181127_020355.wav	Y	"bark, yelp"	Great series	RS	3	series	No		"really good, barks-yelps"					X	-	-	-	-	S	
548	Spectrogram 1	1	22039.646763568	22039.872894221	0.2261	31.6468	98.500	1765.900	DS3B__0__20181127_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181127_120355.wav	Y	bark		RS	2	1	No							Y	1	0	X	B	-	
549	Spectrogram 1	1	22509.428000000	22531.597400000	22.1694	239.4280	118.200	1726.500	DS3B__0__20181127_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181127_180355.wav	Y	"bark, yelp"		RS	3	series	No		some ice noise in between					X	-	-	-	-	S	
552	Spectrogram 1	1	22540.119000000	22543.718000000	3.5990	8.1190	65.600	2343.500	DS3B__0__20181127_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181127_220355.wav	Y	bark	I'm wondering the same thing as Annika: are the two last signals ice?	RS	3	03-Jan	No		is only the 1st signakl a RS? rest ice?	RS				X	-	-	-	-	S	
553	Spectrogram 1	1	22882.279000000	22896.503500000	14.2245	88.2790	59.100	1161.900	DS3B__0__20181128_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181128_100355.wav	Y	"bark, yelp"	Good series	RS	3	series	No		barks-yelps					X	-	-	-	-	S	
554	Spectrogram 1	1	22840.815000000	22848.655600000	7.8406	46.8150	105.000	748.400	DS3B__0__20181128_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181128_100355.wav	y	bark	very faint	RS	3	series	No		very faint					X	-	-	-	-	S	
555	Spectrogram 1	1	22861.055000000	22870.609400000	9.5544	67.0550	65.600	1109.400	DS3B__0__20181128_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181128_100355.wav	Y	"bark, yelp"	Good series	RS	3	series	No		barks-yelps					X	-	-	-	-	S	
556	Spectrogram 1	1	23151.632000000	23162.257600000	10.6256	95.6320	65.600	794.300	DS3B__0__20181128_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181128_180355.wav	Y	"bark, yelp"	faint	RS	3	series	No		faint					X	-	-	-	-	S	
557	Spectrogram 1	1	23258.272000000	23260.135700000	1.8637	202.2720	223.200	735.200	DS3B__0__20181128_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181128_180355.wav	Y	"bark, yelp"	faint	RS	3	2	No		faint			Y	"bark, yelp"	X	-	-	-	-	S	
558	Spectrogram 1	1	23107.030000000	23123.846700000	16.8167	51.0300	111.600	1024.100	DS3B__0__20181128_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181128_180355.wav	Y	"bark, yelp"		RS	3	series	No		barks-yelps					X	-	-	-	-	S	
561	Spectrogram 1	1	23520.876000000	23531.908600000	11.0326	202.8760	124.700	1181.600	DS3B__0__20181129_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181129_120355.wav	Y	bark	close	RS	3	3	No		good					X	-	-	-	-	S	
564	Spectrogram 1	1	23753.652983417	23753.910521106	0.2575	173.6530	111.600	932.200	DS3B__0__20181130_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181130_220355.wav	Y	bark	with rain noise	RS	2	1	No							Y	1	0	X	B	-	
565	Spectrogram 1	1	24023.971450754	24024.266676884	0.2952	181.9714	78.800	938.700	DS3B__0__20181201_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181201_200355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	
566	Spectrogram 1	1	23868.639000000	23879.500200000	10.8612	26.6390	118.200	1733.000	DS3B__0__20181201_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181201_200355.wav	Y	"bark, yelp"	The barks are really faint though	RS	3	series	No		barks-yelps					X	-	-	-	-	S	
578	Spectrogram 1	1	24115.088000000	24126.270500000	11.1825	11.0880	91.900	1332.600	DS3B__0__20181202_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181202_120355.wav	Y	"bark, yelp"	high ambient	RS	3	series	No		high ambient					X	-	-	-	-	S	
579	Spectrogram 1	1	24104.300000000	24108.798700000	4.4987	0.3000	111.600	1234.100	DS3B__0__20181202_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181202_120355.wav	Y	"bark, yelp"	high ambient	RS	3	series	No		high ambient					X	-	-	--	-	S	
580	Spectrogram 1	1	24593.219792462	24593.489892965	0.2701	227.2198	413.600	860.000	DS3B__0__20181202_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181202_160355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
583	Spectrogram 1	1	24769.192787940	24769.695300503	0.5025	141.1928	65.600	1975.900	DS3B__0__20181203_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181203_160355.wav	Y	bark		RS	2	1	No		sounds different to all othr ice sounds in this file	RS				Y	1	0	X	B	-	
594	Spectrogram 1	1	24912.327000000	24913.205400000	0.8784	22.3270	269.100	1444.200	DS3B__0__20181204_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181204_100355.wav	Y	bark		RS	2	1	No							X	0	0	X	-	-	Don't think this is a bark
595	Spectrogram 1	1	25326.156000000	25328.919500000	2.7635	174.1560	137.900	774.600	DS3B__0__20181204_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181204_140355.wav	Y	bark		RS	3	2	No							X	-	-	-	-	S	
596	Spectrogram 1	1	25656.470020603	25656.771528141	0.3015	242.4700	59.100	912.500	DS3B__0__20181204_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181204_160355.wav	Y	bark		RS	2	1	No							Y	1	0	X	B	-	
597	Spectrogram 1	1	25714.706400754	25714.951375628	0.2450	38.7064	341.400	873.100	DS3B__0__20181204_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181204_220355.wav	Y	bark		RS	2	1	No					Y	bark	Y	1	0	X	B	-	
599	Spectrogram 1	1	26022.455000000	26027.789200000	5.3342	84.4550	59.100	1516.400	DS3B__0__20181205_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181205_060355.wav	Y	"bark, yelp"	good	RS	3	series	No		"good, barks-yelps"					X	-	-	-	-	S	
600	Spectrogram 1	1	26396.415000000	26413.555600000	17.1406	196.4150	85.300	951.900	DS3B__0__20181205_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181205_100355.wav	Y	"bark, yelp"	The only clear bark for me is at the very end	RS	3	series	No							X	-	-	-	-	S	
602	Spectrogram 1	1	26495.052140452	26495.328522362	0.2764	33.0521	118.200	735.200	DS3B__0__20181205_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181205_180355.wav	Y	bark	faint	RS	2	1	No							Y	1	0	X	B	-	
603	Spectrogram 1	1	26852.317406533	26852.669165327	0.3518	128.3174	39.400	905.900	DS3B__0__20181206_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181206_040355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
607	Spectrogram 1	1	27066.719857789	27067.052772362	0.3329	80.7199	282.300	1122.500	DS3B__0__20181206_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181206_080355.wav	Y	"bark, yelp"	faint	RS	3	2	No		yelp-bark					Y	1	1	X	BY	-	
608	Spectrogram 1	1	27412.703098241	27413.167922362	0.4648	164.7031	118.200	807.400	DS3B__0__20181206_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181206_120355.wav	Y	bark		RS	3	2	No							Y	2	0	X	B	-	
612	Spectrogram 1	1	27595.821709045	27596.148342211	0.3266	85.8217	105.000	958.400	DS3B__0__20181206_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181206_200355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
618	Spectrogram 1	1	27956.116000000	27958.472500000	2.3565	184.1160	64.800	952.500	DS3B__0__20181207_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181207_220355.wav	Y	bark	"good, 2x bark"	RS	3	2	No		"good, 2x bark"					X	-	-	-	-	S	
620	Spectrogram 1	1	28161.502000000	28171.484900000	9.9829	127.5020	51.800	816.400	DS3B__0__20181208_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181208_020355.wav	Y	"bark, yelp"	thought I'm not so sure which one is bark	RS	3	series	No							X	-	-	-	-	S	
623	Spectrogram 1	1	28348.946661055	28349.336108291	0.3894	52.9467	129.600	738.700	DS3B__0__20181209_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181209_020355.wav	Y	bark	in ambient noise	RS	2	1	No							Y	1	0	X	B	-	
627	Spectrogram 1	1	28794.053000000	28800.051300000	5.9983	236.0530	116.600	1321.800	DS3B__0__20181209_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181209_140355.wav	Y	bark		RS	3	3	No							X	-	-	-	-	S	
628	Spectrogram 1	1	29054.596000000	29075.618200000	21.0222	234.5960	25.900	2442.800	DS3B__0__20181209_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181209_200355.wav	Y	"bark, yelp"	Excellent series	RS	3	series	No		"very good, barks-yelps"					X	-	-	-	-	S	
630	Spectrogram 1	1	29085.254892462	29085.732279397	0.4774	3.2549	285.100	1995.700	DS3B__0__20181209_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181209_220355.wav	Y	bark	good	RS	3	1	No		good					Y	1	0	X	B	-	
642	Spectrogram 1	1	29418.368000000	29435.291800000	16.9238	74.3680	51.800	1704.100	DS3B__0__20181211_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181211_200355.wav	Y	"bark, yelp"	Good series	RS	3	series	No		"very good, yelps-barks"					X	-	-	-	-	S	
647	Spectrogram 1	1	29707.613954774	29708.730000000	1.1160	101.6140	77.800	686.800	DS3B__0__20181214_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181214_000355.wav	Y	bark	faint and with ambient noise	RS	2	2	No							X	1	0	X	B	-	Too faint
652	Spectrogram 1	1	29997.098468090	29997.330880151	0.2324	129.0985	84.200	1179.300	DS3B__0__20181215_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181215_020355.wav	Y	bark	faint	RS	3	1	No							X	1	0	X	B	-	Too faint
657	Spectrogram 1	1	30193.849454523	30194.603223367	0.7538	63.8495	58.300	907.500	DS3B__0__20181217_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181217_000355.wav	Y	bark		RS	3	2	No							Y	2	0	X	B	-	
659	Spectrogram 1	1	30396.393478894	30396.669860804	0.2764	4.3935	187.900	971.900	DS3B__0__20181218_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181218_060355.wav	Y	bark		RS	2	1	No							X	1	0	X	B	-	Too faint
663	Spectrogram 1	1	30897.924000000	30907.307100000	9.3831	243.9240	90.700	848.800	DS3B__0__20181218_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181218_200355.wav	Y	"bark, yelp"	faint	RS	3	series	No		faint					X	-	-	-	-	S	
679	Spectrogram 1	1	30953.263000000	30958.918500000	5.6555	37.2630	71.000	774.200	DS3B__0__20181221_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181221_060355.wav	Y	bark		RS	3	series	No							X	-	-	-	-	S	
683	Spectrogram 1	1	31436.055083417	31436.475937688	0.4209	258.0551	180.600	1819.400	DS3B__0__20181221_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181221_220355.wav	Y	bark	"good one, bark"	RS	3	1	No		"good one, bark"					Y	1	0	X	B	-	Good
684	Spectrogram 1	1	31660.178006533	31660.492076884	0.3141	220.1780	116.100	1058.100	DS3B__0__20181222_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181222_040355.wav	Y	bark	faint	RS	2	1	No		sounds like a bark					Y	1	0	X	B	-	
690	Spectrogram 1	1	31947.999000000	31952.219200000	4.2202	245.9990	109.700	651.600	DS3B__0__20181223_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181223_060355.wav	Y	bark	faint	RS	3	series	No							X	-	-	-	-	S	
691	Spectrogram 1	1	32007.838503266	32008.008101256	0.1696	43.8385	77.400	800.000	DS3B__0__20181223_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181223_220355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	
692	Spectrogram 1	1	32481.992647487	32482.206215327	0.2136	255.9926	109.700	1109.700	DS3B__0__20181224_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181224_060355.wav	Y	bark	faint	RS	2	1	No							Y	1	0	X	B	-	
696	Spectrogram 1	1	32531.823795729	32532.301182663	0.4774	43.8238	25.800	1212.900	DS3B__0__20181227_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181227_160355.wav	Y	bark		RS	3	1	No							Y	1	1	X	BY	-	
697	Spectrogram 1	1	32790.217000000	32793.687500000	3.4705	40.2170	58.100	1116.100	DS3B__0__20181227_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181227_200355.wav	Y	bark		RS						RS	Only because I hear a bark in the middle (third or fourth signal)									
698	Spectrogram 1	1	146.224845753	146.445387656	0.2205	146.2248	129.380	849.057	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
699	Spectrogram 1	1	146.710037940	146.999893012	0.2899	146.7100	194.070	865.229	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
700	Spectrogram 1	1	149.425853945	149.602287467	0.1764	149.4259	40.431	954.178	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
701	Spectrogram 1	1	149.772419792	149.955154512	0.1827	149.7724	24.259	954.178	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
702	Spectrogram 1	1	150.163094020	150.415141909	0.2520	150.1631	48.518	946.092	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
703	Spectrogram 1	1	150.635683812	150.812117335	0.1764	150.6357	40.431	938.005	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
704	Spectrogram 1	1	150.963346068	151.196490366	0.2331	150.9633	48.518	921.833	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
705	Spectrogram 1	1	151.316213113	151.555658607	0.2394	151.3162	24.259	962.264	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
706	Spectrogram 1	1	151.713188538	151.940031638	0.2268	151.7132	0.000	994.609	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
707	Spectrogram 1	1	152.069456755	152.233287883	0.1638	152.0695	48.518	598.383	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
708	Spectrogram 1	1	152.976829156	153.329696201	0.3529	152.9768	0.000	1318.059	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	1	X	BY	5	
709	Spectrogram 1	1	153.424214159	153.751876415	0.3277	153.4242	48.518	1358.491	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	1	X	BY	5	
710	Spectrogram 1	1	153.865297965	154.167755432	0.3025	153.8653	24.259	1229.111	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	1	X	BY	5	
711	Spectrogram 1	1	154.426104518	154.671851210	0.2457	154.4261	40.431	1342.318	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	0	X	B	5	
712	Spectrogram 1	1	157.826060350	158.380565706	0.5545	157.8261	0.000	1374.663	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav														Y	1	1	X	BY	5	
713	Spectrogram 1	1	729.461965797	729.934555589	0.4726	205.4620	105.121	1358.491	DS3B__0__20181101_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_160355.wav														Y	1	1	X	BY	18	
714	Spectrogram 1	1	730.804120807	731.075072287	0.2710	206.8041	80.863	1528.302	DS3B__0__20181101_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_160355.wav														Y	1	0	X	B	18	
715	Spectrogram 1	1	731.629577643	731.919432716	0.2899	207.6296	800.539	1576.819	DS3B__0__20181101_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_160355.wav														X	0	1	X	Y	18	
716	Spectrogram 1	1	732.152577013	732.902419483	0.7498	208.1526	56.604	1091.644	DS3B__0__20181101_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_160355.wav														Y	1	2	X	BY	18	
718	Spectrogram 1	1	876.648271080	876.793198616	0.1449	90.6483	921.833	1245.283	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														X	0	1	X	Y	48	
719	Spectrogram 1	1	878.336991937	878.815882926	0.4789	92.3370	137.466	1188.679	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														Y	1	1	X	BY	48	
720	Spectrogram 1	1	879.225460746	879.710652932	0.4852	93.2255	105.121	1237.197	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														Y	1	2	X	BY	48	
721	Spectrogram 1	1	880.378579838	880.832266039	0.4537	94.3786	97.035	1245.283	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														Y	1	1	X	BY	48	
722	Spectrogram 1	1	881.128422308	881.903469567	0.7750	95.1284	105.121	1245.283	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														Y	2	2	X	BY	48	
723	Spectrogram 1	1	883.125901829	883.321238944	0.1953	97.1259	105.121	1229.111	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														Y	1	0	X	B	48	
724	Spectrogram 1	1	884.392442472	884.644490361	0.2520	98.3924	137.466	1212.938	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														Y	1	0	X	B	48	
725	Spectrogram 1	1	882.621806051	882.766733588	0.1449	96.6218	574.124	1285.714	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														X	0	1	X	Y	48	
726	Spectrogram 1	1	883.995467047	884.171900569	0.1764	97.9955	606.469	1018.868	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														X	0	1	X	Y	48	
727	Spectrogram 1	1	886.634049778	886.930206047	0.2962	100.6341	743.935	1221.024	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav														X	0	1	X	Y	48	
