Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	KZ Keep? (Y/X/M)	Number of Barks (KZ)	Number of Yelps (KZ)	Overlap W Other Species (Y/X) (KZ)	Call Type (KZ)	KZ Comment 	Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment
725	Spectrogram 1	1	214.388380591	215.187873136	0.7995	94.3884	199.440	1087.857	TEST__0__20170914_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_172001.wav	Y	2	1	X	bark, yelp	Split from 313							
726	Spectrogram 1	1	216.097295907	216.856813825	0.7595	96.0973	208.506	1350.755	TEST__0__20170914_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_172001.wav	Y	1	1	X	bark, yelp	Split from 313							
728	Spectrogram 1	1	307.461154459	309.130095148	1.6689	67.4612	108.786	2710.576	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	2	X	bark, yelp	Split from 445							
729	Spectrogram 1	1	309.170069775	310.039517918	0.8694	69.1701	126.917	2674.314	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	1	X	bark, yelp	Split from 445							
730	Spectrogram 1	1	310.149448143	311.168801139	1.0194	70.1494	126.917	2674.314	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	1	X	bark, yelp	Split from 445							
731	Spectrogram 1	1	327.616662105	329.213709751	1.5970	87.6167	55.947	1314.752	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	4	1	X	bark, yelp	Split from 448, very good							
732	Spectrogram 1	1	329.496373051	331.157019940	1.6606	89.4964	65.271	1305.428	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	4	1	X	bark, yelp	Split from 448, very good 							
733	Spectrogram 1	1	332.181674404	333.679789895	1.4981	92.1817	55.947	1249.481	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	2	1	X	bark, yelp								
734	Spectrogram 1	1	334.230983330	335.969362627	1.7384	94.2310	83.920	1240.157	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	4	0	X	bark	Split from 448, very good							
735	Spectrogram 1	1	336.336824917	338.046937883	1.7101	96.3368	46.622	1249.481	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	5	1	X	bark, yelp	Split from 448, good							
736	Spectrogram 1	1	338.117603708	340.011447820	1.8938	98.1176	18.649	1230.832	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	5	3	X	bark, yelp	Split from 448, good							
737	Spectrogram 1	1	340.124513140	341.650894961	1.5264	100.1245	55.947	1193.534	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	4	1	X	bark, yelp	Split from 448, good							
738	Spectrogram 1	1	342.272754222	343.544739073	1.2720	102.2728	74.596	1202.859	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	1	X	bark, yelp	Split from 448, good							
739	Spectrogram 1	1	343.587138568	344.519927458	0.9328	103.5871	93.245	1193.534	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	2	0	X	bark	Split from 448, good							
742	Spectrogram 1	1	3081.415574238	3082.659292759	1.2437	81.4156	46.622	587.443	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	5	0	X	bark	Split from 399, FAINT							
743	Spectrogram 1	1	3083.408350505	3085.556591587	2.1482	83.4084	46.622	578.118	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	8	0	X	bark	Split from 399, faint							
744	Spectrogram 1	1	314.532514644	314.998909089	0.4664	74.5325	55.947	662.038	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	0	X	bark	Split from 446							
745	Spectrogram 1	1	315.564235690	316.030630135	0.4664	75.5642	55.947	662.038	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	0	X	bark	Split from 446							
746	Spectrogram 1	1	316.369826095	316.807954211	0.4381	76.3698	46.622	662.038	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	1	0	X	bark	Split from 446							
748	Spectrogram 1	1	5029.694809765	5030.203603706	0.5088	109.6948	130.543	652.714	TEST__0__20170920_213201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_213201.wav	Y	1	0	X	bark	Previously not annotated. 							
749	Spectrogram 1	1	360.571368684	361.009496799	0.4381	0.5714	139.867	1296.103	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	1	0	X	bark	Split from 590							
750	Spectrogram 1	1	361.320426429	362.224948990	0.9045	1.3204	130.543	1333.401	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	2	0	X	bark	Split from 590							
751	Spectrogram 1	1	362.762009260	363.595865996	0.8339	2.7620	149.192	1342.726	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	2	0	X	bark	Split from 590							
752	Spectrogram 1	1	380.283554707	381.541406393	1.2579	20.2836	279.735	1463.944	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	1	1	X	bark, yelp	Split from 591							
753	Spectrogram 1	1	382.573127439	383.322185185	0.7491	22.5731	251.761	1491.918	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	1	0	X	bark	Split from 591							
754	Spectrogram 1	1	383.830979125	384.438705221	0.6077	23.8310	279.735	1491.918	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	1	0	X	bark	Split from 591							
755	Spectrogram 1	1	386.261883507	386.897875933	0.6360	26.2619	251.761	1510.567	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	1	0	X	bark	Split from 591							
757	Spectrogram 1	1	552.346120028	553.547439054	1.2013	72.3461	55.947	913.800	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	1	0	X	bark	Growl, split from 644							
758	Spectrogram 1	1	553.872501849	554.593293264	0.7208	73.8725	74.596	923.124	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	1	0	X	bark	Split from 644							
759	Spectrogram 1	1	554.946622390	556.091408756	1.1448	74.9466	74.596	895.151	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	1	1	0	bark, yelp	Split from 644							
761	Spectrogram 1	1	590.626862282	591.927113463	1.3003	110.6269	111.894	1258.805	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	1	2	X	bark, yelp	Split from 645							
762	Spectrogram 1	1	593.100166159	594.244952525	1.1448	113.1002	121.218	1268.130	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	1	2	X	bark, yelp	Split from 645							
763	Spectrogram 1	1	598.103306573	598.499035193	0.3957	118.1033	93.245	1258.805	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	1	0	X	bark	Split from 645							
764	Spectrogram 1	1	625.123600488	626.254253689	1.1307	25.1236	261.086	1184.210	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	1	X	bark, yelp	Split from 649							
765	Spectrogram 1	1	626.282520019	627.271841570	0.9893	26.2825	279.735	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	1	X	bark, yelp	Split from 649							
766	Spectrogram 1	1	629.646213292	630.790999658	1.1448	29.6462	270.410	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	1	X	bark, yelp	Split from 649							
767	Spectrogram 1	1	627.709969685	628.798223391	1.0883	27.7100	279.735	1165.561	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	2	Y	bark, yelp	Split from 649							
768	Spectrogram 1	1	631.370459423	632.161916664	0.7915	31.3705	261.086	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	0	X	bark, yelp	Split from 649							
769	Spectrogram 1	1	633.165371380	634.055760775	0.8904	33.1654	270.410	1146.912	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	1	X	bark, yelp	Split from 649							
770	Spectrogram 1	1	636.670396302	637.490119873	0.8197	36.6704	289.059	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	1	X	bark, yelp	Split from 649							
771	Spectrogram 1	1	639.030634859	639.991690080	0.9611	39.0306	261.086	1230.832	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	1	1	X	bark, yelp	Split from 649							
775	Spectrogram 1	1	6040.838686529	6041.305080974	0.4664	40.8387	391.628	1697.056	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav	Y	1	0	X	bark	Split from 691							
776	Spectrogram 1	1	6042.110671380	6042.817329630	0.7067	42.1107	410.277	1706.381	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav	Y	1	0	X	bark	Split from 691							
777	Spectrogram 1	1	6043.227191416	6043.891450171	0.6643	43.2272	391.628	1706.381	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav	Y	1	0	X	bark	Split from 691							
778	Spectrogram 1	1	947.715868847	948.577991912	0.8621	107.7159	289.059	2377.744	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	Y	1	0	X	bark	Split from 688							
779	Spectrogram 1	1	949.835843598	950.853431479	1.0176	109.8358	354.330	1585.162	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	Y	1	1	X	bark, yelp	Split from 688							
780	Spectrogram 1	1	952.408079630	953.270202696	0.8621	112.4081	279.735	2051.387	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	Y	1	0	X	bark	Split from 688							
781	Spectrogram 1	1	953.665931316	954.881383507	1.2155	113.6659	195.814	1920.844	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	Y	2	1	X	bark, yelp	Split from 688							
