Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin Hour	Species	Call type	Comments	Quantity	WH	KZ Done?
683	Spectrogram 1	1	34087.663290000	34087.663290000	1120.996	1120.996	-118.95	9	RS	YELP				Y
684	Spectrogram 1	1	34100.047250000	34103.833370000	555.160	1163.701	-103.82	9	RS	YELP		3		Y
685	Spectrogram 1	1	34171.577300000	34171.577300000	1035.587	1035.587	-128.67	9	RS	YELP				Y
688	Spectrogram 1	1	34693.857030000	34693.857030000	1313.167	1313.167	-115.78	9	RS	YELP				Y
689	Spectrogram 1	1	34811.803250000	34811.803250000	1078.292	1078.292	-119.18	9	RS	YELP				Y
690	Spectrogram 1	1	34812.843710000	34812.843710000	939.502	939.502	-105.38	9	RS	YELP				Y
691	Spectrogram 1	1	34901.365330000	34901.365330000	1590.747	1590.747	-132.07	9	RS	YELP				Y
692	Spectrogram 1	1	34902.097500000	34902.097500000	1846.975	1846.975	-118.65	9	RS	YELP				Y
693	Spectrogram 1	1	35104.650520000	35104.650520000	1281.139	1281.139	-125.44	9	RS	YELP				Y
694	Spectrogram 1	1	35106.317180000	35106.317180000	1270.463	1270.463	-121.00	9	RS	YELP				Y
695	Spectrogram 1	1	35242.524040000	35245.982610000	106.762	330.961	-86.37	9	LIKELY RS	GROWL			"Likely RS growl, but low confidence"	Y
697	Spectrogram 1	1	35889.731090000	35889.731090000	864.769	864.769	-105.61	9	RS	YELP			Yelp	Y
698	Spectrogram 1	1	36157.449580000	36157.449580000	1163.701	1163.701	-105.84	10	RS	YELP				Y
699	Spectrogram 1	1	36159.723180000	36159.723180000	1323.843	1323.843	-123.63	10	RS	YELP				Y
700	Spectrogram 1	1	36167.036220000	36167.036220000	1046.263	1046.263	-112.95	10	RS	YELP				Y
703	Spectrogram 1	1	36674.131150000	36674.131150000	192.171	192.171	-105.87	10	RS	GROWL			Growl	Y
706	Spectrogram 1	1	36825.852980000	36825.852980000	213.523	213.523	-119.00	10	RS	MAYBE GROWL			Maybe	Y
707	Spectrogram 1	1	36841.071940000	36841.071940000	1526.690	1526.690	-128.68	10	RS	YELP				Y
708	Spectrogram 1	1	36842.380420000	36842.380420000	1334.520	1334.520	-127.76	10	RS	YELP				Y
710	Spectrogram 1	1	36983.938470000	36983.938470000	1238.434	1238.434	-111.29	10	RS	YELP				Y
711	Spectrogram 1	1	37073.303080000	37078.399420000	629.893	1334.520	-104.01	10	RS	YELP		4		Y
713	Spectrogram 1	1	37085.975620000	37085.975620000	1451.957	1451.957	-121.74	10	RS	YELP				Y
714	Spectrogram 1	1	37091.736700000	37091.736700000	1387.900	1387.900	-131.33	10	RS	YELP				Y
716	Spectrogram 1	1	37147.789410000	37150.496540000	76.026	492.396	-82.80	10	RS	GROWL		3	RS growl	Y
717	Spectrogram 1	1	37162.976840000	37162.976840000	1217.082	1217.082	-108.78	10	RS	YELP				Y
718	Spectrogram 1	1	37168.362200000	37168.362200000	1131.673	1131.673	-118.39	10	RS	YELP				Y
722	Spectrogram 1	1	37472.895390000	37472.895390000	800.712	800.712	-121.30	10	RS	YELP				Y
723	Spectrogram 1	1	37473.222950000	37473.222950000	832.740	832.740	-123.43	10	RS	YELP				Y
726	Spectrogram 1	1	37698.230800000	37698.230800000	224.199	224.199	-110.69	10	RS	GROWL			Growl	Y
736	Spectrogram 1	1	38358.186160000	38358.186160000	1206.406	1206.406	-111.47	10	RS	YELP				Y
737	Spectrogram 1	1	38354.835310000	38354.835310000	1056.940	1056.940	-119.92	10	RS	YELP				Y
739	Spectrogram 1	1	38470.427360000	38470.427360000	736.655	736.655	-112.34	10	RS	YELP				Y
740	Spectrogram 1	1	38470.726010000	38470.726010000	758.007	758.007	-143.12	10	RS	YELP				Y
741	Spectrogram 1	1	38477.305970000	38477.305970000	736.655	736.655	-116.72	10	RS	YELP				Y
743	Spectrogram 1	1	38495.669950000	38495.669950000	896.797	896.797	-101.23	10	RS	YELP				Y
744	Spectrogram 1	1	38496.469560000	38496.777850000	693.950	1120.996	-82.64	10	RS	YELP				Y
745	Spectrogram 1	1	38583.322790000	38583.322790000	928.826	928.826	-108.40	10	RS	YELP				Y
754	Spectrogram 1	1	39253.241340000	39260.370430000	822.064	2007.117	-103.41	10	RS	YELP		5		Y
757	Spectrogram 1	1	39314.498120000	39314.498120000	1024.911	1024.911	-115.98	10	RS	YELP				Y
772	Spectrogram 1	1	41099.081240000	41099.081240000	555.160	555.160	-97.90	11	RS	YELP			Yelp	Y
774	Spectrogram 1	1	41114.419300000	41114.419300000	704.626	704.626	-112.53	11	RS	YELP				Y
775	Spectrogram 1	1	41118.420880000	41118.420880000	1377.224	1377.224	-124.22	11	RS	YELP				Y
776	Spectrogram 1	1	41220.297730000	41220.519310000	96.085	192.171	-81.45	11	RS	BARK				Y
777	Spectrogram 1	1	41220.808330000	41220.808330000	1014.235	1014.235	-93.21	11	RS	YELP				Y
778	Spectrogram 1	1	41225.493030000	41225.599010000	822.064	950.178	-88.83	11	RS	YELP				Y
779	Spectrogram 1	1	41225.859120000	41225.859120000	448.399	448.399	-103.83	11	RS	BARK				Y
780	Spectrogram 1	1	41226.119240000	41226.620200000	661.922	960.854	-82.87	11	RS	YELP				Y
781	Spectrogram 1	1	41226.658740000	41226.658740000	288.256	288.256	-108.28	11	RS	BARK				Y
782	Spectrogram 1	1	41231.760320000	41231.760320000	1163.701	1163.701	-89.91	11	RS	YELP				Y
783	Spectrogram 1	1	41232.213120000	41232.213120000	512.456	512.456	-83.90	11	RS	BARK				Y
784	Spectrogram 1	1	41232.608110000	41232.608110000	373.665	373.665	-105.42	11	RS	BARK				Y
785	Spectrogram 1	1	41233.176510000	41233.610040000	704.626	960.854	-81.89	11	RS	YELP				Y
786	Spectrogram 1	1	41233.956860000	41233.956860000	480.427	480.427	-113.48	11	RS	BARK				Y
787	Spectrogram 1	1	41239.756470000	41239.756470000	1185.053	1185.053	-104.78	11	RS	YELP				Y
788	Spectrogram 1	1	41247.851610000	41247.851610000	1056.940	1056.940	-97.29	11	RS	YELP				Y
789	Spectrogram 1	1	41248.371840000	41248.371840000	672.598	672.598	-103.22	11	RS	BARK				Y
790	Spectrogram 1	1	41248.718660000	41248.718660000	1024.911	1024.911	-92.45	11	RS	YELP				Y
791	Spectrogram 1	1	41251.657000000	41251.657000000	1249.110	1249.110	-112.07	11	RS	YELP				Y
793	Spectrogram 1	1	41269.691690000	41269.691690000	1296.429	1296.429	-120.12	11	RS	YELP				Y
794	Spectrogram 1	1	41273.944620000	41273.944620000	546.429	546.429	-94.94	11	RS	BARK				Y
795	Spectrogram 1	1	41274.705700000	41274.705700000	1253.571	1253.571	-105.46	11	RS	YELP				Y
796	Spectrogram 1	1	41273.511100000	41273.511100000	814.286	814.286	-102.80	11	RS	YELP				Y
797	Spectrogram 1	1	41279.667170000	41279.667170000	1232.143	1232.143	-101.00	11	RS	YELP				Y
798	Spectrogram 1	1	41279.994720000	41279.994720000	460.714	460.714	-106.17	11	RS	BARK				Y
799	Spectrogram 1	1	41280.376570000	41280.829360000	728.571	1264.286	-72.12	11	RS	YELP				Y
800	Spectrogram 1	1	41284.075990000	41284.075990000	1328.571	1328.571	-98.31	11	RS	YELP				Y
801	Spectrogram 1	1	41284.596220000	41284.596220000	514.286	514.286	-98.67	11	RS	BARK				Y
802	Spectrogram 1	1	41285.135720000	41285.135720000	889.286	889.286	-109.79	11	RS	YELP				Y
804	Spectrogram 1	1	41289.565560000	41289.565560000	953.571	953.571	-97.62	11	RS	YELP				Y
805	Spectrogram 1	1	41290.297730000	41290.297730000	1200.000	1200.000	-101.53	11	RS	YELP				Y
806	Spectrogram 1	1	41293.794840000	41293.794840000	1242.857	1242.857	-89.10	11	RS	YELP				Y
807	Spectrogram 1	1	41305.848620000	41305.848620000	878.571	878.571	-99.35	11	RS	YELP				Y
808	Spectrogram 1	1	41306.176180000	41306.176180000	321.429	321.429	-93.74	11	RS	BARK			Bark	Y
809	Spectrogram 1	1	41306.908350000	41306.908350000	1039.286	1039.286	-103.25	11	RS	YELP				Y
810	Spectrogram 1	1	41307.178100000	41307.178100000	342.857	342.857	-97.86	11	RS	BARK			Bark	Y
811	Spectrogram 1	1	41307.765770000	41307.765770000	889.286	889.286	-93.04	11	RS	YELP				Y
812	Spectrogram 1	1	41308.025890000	41308.025890000	300.000	300.000	-91.75	11	RS	BARK			Bark	Y
813	Spectrogram 1	1	41308.507580000	41308.507580000	975.000	975.000	-94.00	11	RS	YELP				Y
814	Spectrogram 1	1	41309.317700000	41309.317700000	289.286	289.286	-82.96	11	RS	GROWL				Y
815	Spectrogram 1	1	41309.953540000	41309.953540000	782.143	782.143	-87.08	11	RS	YELP				Y
816	Spectrogram 1	1	41310.830230000	41310.830230000	975.000	975.000	-98.10	11	RS	YELP				Y
817	Spectrogram 1	1	41311.340820000	41311.572040000	792.857	964.286	-66.62	11	RS	YELP				Y
818	Spectrogram 1	1	41319.220500000	41319.220500000	300.000	300.000	-64.45	11	RS	GROWL				Y
819	Spectrogram 1	1	41319.731090000	41319.731090000	192.857	192.857	-56.81	11	RS	GROWL				Y
826	Spectrogram 1	1	43055.074410000	43055.074410000	225.000	225.000	-108.62	11	RS	GROWL			RS growl	Y
839	Spectrogram 1	1	43822.989990000	43822.989990000	1082.143	1082.143	-132.61	12	RS	YELP				Y
849	Spectrogram 1	1	44081.504600000	44081.504600000	267.857	267.857	-93.60	12	RS	BARK				Y
850	Spectrogram 1	1	44081.976660000	44081.976660000	300.000	300.000	-119.03	12	RS	BARK				Y
851	Spectrogram 1	1	44083.046030000	44083.046030000	225.000	225.000	-98.97	12	RS	BARK				Y
852	Spectrogram 1	1	44082.372530000	44082.372530000	164.179	164.179	-84.58	12	RS	GROWL			Growl	Y
860	Spectrogram 1	1	45015.251330000	45015.251330000	578.571	578.571	-112.60	12	RS	BARK				Y
861	Spectrogram 1	1	45021.474840000	45021.474840000	825.000	825.000	-110.57	12	RS	YELP				Y
862	Spectrogram 1	1	45022.322630000	45022.322630000	514.286	514.286	-105.19	12	RS	YELP				Y
863	Spectrogram 1	1	45021.966170000	45021.966170000	610.714	610.714	-114.51	12	RS	YELP				Y
864	Spectrogram 1	1	45022.794690000	45022.794690000	375.000	375.000	-103.18	12	RS	BARK				Y
865	Spectrogram 1	1	45023.064440000	45023.064440000	953.571	953.571	-104.00	12	RS	YELP				Y
866	Spectrogram 1	1	45024.442090000	45024.442090000	825.000	825.000	-108.21	12	RS	YELP				Y
867	Spectrogram 1	1	45025.145360000	45025.145360000	310.714	310.714	-108.69	12	RS	BARK				Y
868	Spectrogram 1	1	45025.839000000	45025.839000000	707.143	707.143	-115.29	12	RS	YELP				Y
869	Spectrogram 1	1	45025.983510000	45025.983510000	321.429	321.429	-100.05	12	RS	BARK				Y
870	Spectrogram 1	1	45288.156370000	45288.156370000	932.143	932.143	-120.33	12	RS	YELP				Y
871	Spectrogram 1	1	45288.589900000	45288.589900000	717.857	717.857	-111.61	12	RS	YELP				Y
872	Spectrogram 1	1	45288.724770000	45288.724770000	332.143	332.143	-100.74	12	RS	BARK				Y
873	Spectrogram 1	1	45293.763310000	45293.763310000	717.857	717.857	-115.90	12	RS	YELP				Y
874	Spectrogram 1	1	45416.776120000	45416.776120000	1157.143	1157.143	-123.30	12	RS	YELP				Y
875	Spectrogram 1	1	45916.513380000	45916.513380000	546.429	546.429	-94.03	12	RS	YELP			Yelp	Y
876	Spectrogram 1	1	45937.506540000	45937.612520000	460.714	803.571	-85.03	12	RS	YELP				Y
877	Spectrogram 1	1	45940.859140000	45941.013290000	342.857	867.857	-83.04	12	RS	YELP				Y
878	Spectrogram 1	1	45969.368520000	45969.368520000	675.000	675.000	-92.29	12	RS	YELP				Y
879	Spectrogram 1	1	45975.380080000	45975.495680000	396.429	857.143	-75.90	12	RS	YELP				Y
880	Spectrogram 1	1	45983.957760000	45983.957760000	632.143	632.143	-98.90	12	RS	YELP				Y
881	Spectrogram 1	1	45987.898030000	45987.898030000	642.857	642.857	-124.63	12	RS	YELP				Y
882	Spectrogram 1	1	45991.754220000	45991.754220000	717.857	717.857	-122.76	12	RS	YELP				Y
884	Spectrogram 1	1	45998.921850000	45998.921850000	675.000	675.000	-119.65	12	RS	YELP				Y
887	Spectrogram 1	1	46080.007850000	46080.007850000	803.571	803.571	-94.75	12	RS	YELP				Y
889	Spectrogram 1	1	46090.542080000	46090.725130000	417.857	739.286	-76.03	12	RS	YELP				Y
890	Spectrogram 1	1	46091.043050000	46091.043050000	417.857	417.857	-117.15	12	RS	BARK			Bark	Y
908	Spectrogram 1	1	48198.406870000	48198.406870000	1403.571	1403.571	-121.39	13	RS	YELP				Y
909	Spectrogram 1	1	50065.000830000	50065.000830000	278.571	278.571	-113.93	13	RS	GROWL			Growl	Y
953	Spectrogram 1	1	56099.248500000	56099.633850000	795.699	1150.538	-81.26	15	RS	YELP				Y
1021	Spectrogram 1	1	63520.441370000	63520.441370000	677.419	677.419	-103.19	17	RS	YELP			Yelp	Y
1028	Spectrogram 1	1	63847.070390000	63847.070390000	1688.172	1688.172	-125.60	17	RS	YELP				Y
1112	Spectrogram 1	1	68924.949170000	68924.949170000	279.570	279.570	-102.01	19	RS	GROWL				Y
1113	Spectrogram 1	1	68926.124500000	68926.124500000	1172.043	1172.043	-127.77	19	RS	YELP				Y
1114	Spectrogram 1	1	69414.712700000	69414.712700000	1297.872	1297.872	-123.98	19	RS	YELP				Y
1115	Spectrogram 1	1	69610.789080000	69610.789080000	268.657	268.657	-121.44	19	RS	GROWL			Growl	Y
1116	Spectrogram 1	1	70210.431750000	70210.431750000	180.851	180.851	-95.49	19	RS	GROWL			Growl	Y
1117	Spectrogram 1	1	70295.242570000	70295.242570000	840.426	840.426	-112.64	19	RS	YELP				Y
1118	Spectrogram 1	1	70295.541220000	70295.541220000	164.179	164.179	-104.94	19	RS	BARK			Bark	Y
1119	Spectrogram 1	1	70296.726190000	70296.726190000	787.234	787.234	-102.86	19	RS	YELP				Y
1120	Spectrogram 1	1	70297.121180000	70297.121180000	234.043	234.043	-99.92	19	RS	BARK			Bark	Y
1128	Spectrogram 1	1	70989.686420000	70989.686420000	255.319	255.319	-105.05	19	RS	GROWL			Growl	Y
1133	Spectrogram 1	1	71228.406880000	71228.570650000	1212.766	1457.447	-96.38	19	RS	YELP				Y
1156	Spectrogram 1	1	73290.317010000	73290.317010000	776.596	776.596	-125.45	20	RS	YELP			Yelp	Y
1195	Spectrogram 1	1	76868.329800000	76870.343290000	872.340	1787.234	-104.11	21	RS	YELP		3		Y
1221	Spectrogram 1	1	79648.978780000	79648.978780000	1351.064	1351.064	-120.77	22	RS	YELP			Yelp	Y
1237	Spectrogram 1	1	81123.554020000	81123.554020000	1031.915	1031.915	-116.75	22	RS	YELP				Y
1239	Spectrogram 1	1	81201.393380000	81201.393380000	1148.936	1148.936	-137.28	22	RS	YELP				Y
1240	Spectrogram 1	1	81205.092800000	81205.092800000	1276.596	1276.596	-118.00	22	RS	YELP				Y
1246	Spectrogram 1	1	81769.858970000	81769.858970000	1446.809	1446.809	-129.68	22	RS	YELP				Y
1248	Spectrogram 1	1	81915.848640000	81915.848640000	1031.915	1031.915	-126.07	22	RS	YELP				Y
1254	Spectrogram 1	1	82292.857740000	82292.857740000	1074.468	1074.468	-119.82	22	RS	YELP				Y
1268	Spectrogram 1	1	83662.588860000	83662.588860000	755.319	755.319	-120.53	23	RS	YELP				Y
1269	Spectrogram 1	1	83668.311390000	83668.311390000	489.362	489.362	-105.17	23	RS	GROWL			RS growl	Y
1287	Spectrogram 1	1	85338.223830000	85338.223830000	936.170	936.170	-118.83	23	RS	YELP				Y
1288	Spectrogram 1	1	85338.397240000	85338.397240000	319.149	319.149	-99.72	23	RS	BARK				Y
1289	Spectrogram 1	1	85338.715160000	85338.715160000	1042.553	1042.553	-111.28	23	RS	YELP				Y
1290	Spectrogram 1	1	85339.100520000	85339.100520000	255.319	255.319	-136.63	23	RS	BARK				Y
1291	Spectrogram 1	1	85339.360630000	85339.360630000	648.936	648.936	-117.83	23	RS	YELP				Y
1292	Spectrogram 1	1	85339.755620000	85339.755620000	361.702	361.702	-122.13	23	RS	BARK				Y
1293	Spectrogram 1	1	85340.324020000	85340.324020000	755.319	755.319	-101.50	23	RS	YELP				Y
1294	Spectrogram 1	1	85340.449260000	85340.449260000	297.872	297.872	-94.85	23	RS	BARK				Y
1296	Spectrogram 1	1	85357.612490000	85357.612490000	138.298	138.298	-88.76	23	RS	GROWL				Y
1297	Spectrogram 1	1	85358.498810000	85358.498810000	138.298	138.298	-87.24	23	RS	GROWL				Y
1298	Spectrogram 1	1	85361.893470000	85366.469580000	63.830	542.553	-76.95	23	RS	BARK		3	Bark	Y
1300	Spectrogram 1	1	85531.649130000	85531.649130000	712.766	712.766	-111.00	23	RS	YELP				Y
1301	Spectrogram 1	1	85533.807120000	85533.807120000	670.213	670.213	-109.34	23	RS	YELP				Y
1305	Spectrogram 1	1	85577.665940000	85577.665940000	1117.021	1117.021	-113.83	23	RS	YELP				Y
1306	Spectrogram 1	1	85581.258500000	85581.258500000	287.234	287.234	-97.53	23	RS	BARK				Y
1307	Spectrogram 1	1	85581.528250000	85581.528250000	223.404	223.404	-89.97	23	RS	BARK				Y
1313	Spectrogram 1	1	85949.745110000	85949.745110000	1191.489	1191.489	-110.37	23	RS	YELP				Y
1314	Spectrogram 1	1	85949.860720000	85949.860720000	542.553	542.553	-119.99	23	RS	BARK				Y
1315	Spectrogram 1	1	85950.014860000	85950.014860000	1138.298	1138.298	-113.60	23	RS	YELP				Y
1316	Spectrogram 1	1	85950.448390000	85950.448390000	1148.936	1148.936	-98.50	23	RS	YELP				Y
1317	Spectrogram 1	1	85950.583260000	85950.583260000	531.915	531.915	-106.29	23	RS	BARK				Y
1318	Spectrogram 1	1	85950.326650000	85950.326650000	500.000	500.000	-100.34	23	RS	BARK				Y
1319	Spectrogram 1	1	85950.798710000	85950.923950000	180.851	276.596	-85.47	23	RS	BARK				Y
1320	Spectrogram 1	1	85950.981750000	85951.222600000	851.064	1148.936	-77.66	23	RS	YELP				Y
1321	Spectrogram 1	1	85951.222600000	85951.357480000	191.489	276.596	-87.60	23	RS	BARK				Y
1322	Spectrogram 1	1	85951.405650000	85951.569420000	1085.106	1265.957	-74.01	23	RS	YELP				Y
1323	Spectrogram 1	1	85951.704300000	85951.704300000	574.468	574.468	-92.63	23	RS	BARK				Y
1324	Spectrogram 1	1	85951.829540000	85951.829540000	925.532	925.532	-105.75	23	RS	YELP				Y
1325	Spectrogram 1	1	85951.945150000	85952.051120000	202.128	297.872	-80.43	23	RS	BARK				Y
1329	Spectrogram 1	1	86230.441370000	86235.200520000	255.319	1031.915	-92.93	23	RS	?		4	Maybe barks? Not sure how we'll classify these	Y
1331	Spectrogram 1	1	86409.493760000	86412.509170000	21.277	340.426	-48.41	24	RS	GROWL		2		Y
1334	Spectrogram 1	1	86708.705530000	86708.705530000	585.106	585.106	-114.44	24	RS					Y
1335	Spectrogram 1	1	86709.148690000	86709.148690000	478.723	478.723	-108.10	24	RS	BARK				Y
1336	Spectrogram 1	1	86709.929040000	86709.929040000	776.596	776.596	-102.34	24	RS	YELP				Y
1337	Spectrogram 1	1	86717.915550000	86717.915550000	648.936	648.936	-125.26	24	RS	YELP				Y
1338	Spectrogram 1	1	86718.194930000	86718.194930000	478.723	478.723	-111.54	24	RS	BARK				Y
1339	Spectrogram 1	1	86718.512850000	86718.512850000	478.723	478.723	-102.88	24	RS	BARK				Y
1345	Spectrogram 1	1	87117.059010000	87117.059010000	903.226	903.226	-112.32	24	RS	YELP				Y
1346	Spectrogram 1	1	87123.298270000	87123.298270000	161.290	161.290	-100.15	24	RS	GROWL				Y
1347	Spectrogram 1	1	87137.925160000	87137.925160000	967.742	967.742	-120.01	24	RS	YELP				Y
1348	Spectrogram 1	1	87139.534030000	87139.534030000	817.204	817.204	-116.45	24	RS	BARK				Y
1349	Spectrogram 1	1	87141.817260000	87141.817260000	827.957	827.957	-104.67	24	RS	BARK				Y
1350	Spectrogram 1	1	87142.713220000	87142.713220000	698.925	698.925	-110.31	24	RS	BARK				Y
1351	Spectrogram 1	1	87143.090700000	87143.090700000	1086.022	1086.022	-106.57	24	RS	YELP				Y
1352	Spectrogram 1	1	87143.158140000	87143.158140000	505.376	505.376	-106.65	24	RS	BARK				Y
1353	Spectrogram 1	1	87143.861420000	87144.083000000	763.441	1172.043	-93.06	24	RS	YELP				Y
1354	Spectrogram 1	1	87144.237140000	87144.237140000	612.903	612.903	-104.26	24	RS	BARK				Y
1355	Spectrogram 1	1	87145.528080000	87145.672590000	806.452	1311.828	-84.44	24	RS	YELP				Y
1356	Spectrogram 1	1	87145.662960000	87145.817100000	225.806	333.333	-84.84	24	RS	BARK				Y
1357	Spectrogram 1	1	87147.325230000	87147.325230000	1408.602	1408.602	-111.72	24	RS	YELP				Y
1358	Spectrogram 1	1	87147.594970000	87147.594970000	376.344	376.344	-109.44	24	RS	BARK				Y
1359	Spectrogram 1	1	87147.787650000	87147.951430000	752.688	1053.763	-85.17	24	RS	YELP				Y
1360	Spectrogram 1	1	87148.182640000	87148.182640000	279.570	279.570	-103.96	24	RS	BARK				Y
1361	Spectrogram 1	1	87148.394590000	87148.394590000	881.720	881.720	-113.81	24	RS	YELP				Y
1362	Spectrogram 1	1	87148.837750000	87148.837750000	462.366	462.366	-113.94	24	RS	BARK				Y
1363	Spectrogram 1	1	87148.991890000	87148.991890000	935.484	935.484	-99.49	24	RS	YELP				Y
1364	Spectrogram 1	1	87149.502490000	87149.704800000	784.946	1311.828	-84.40	24	RS	YELP				Y
1365	Spectrogram 1	1	87149.810770000	87149.810770000	354.839	354.839	-98.62	24	RS	BARK				Y
1366	Spectrogram 1	1	87150.678720000	87150.678720000	430.108	430.108	-103.43	24	RS	BARK				Y
1367	Spectrogram 1	1	87151.758590000	87151.758590000	1064.516	1064.516	-125.33	24	RS	YELP				Y
1368	Spectrogram 1	1	87151.999440000	87151.999440000	430.108	430.108	-111.59	24	RS	BARK				Y
1369	Spectrogram 1	1	87152.115040000	87152.115040000	1010.753	1010.753	-108.98	24	RS	YELP				Y
1370	Spectrogram 1	1	87152.529300000	87152.529300000	430.108	430.108	-114.89	24	RS	BARK				Y
1371	Spectrogram 1	1	87152.625640000	87152.625640000	956.989	956.989	-109.54	24	RS	YELP				Y
1372	Spectrogram 1	1	87153.039900000	87153.039900000	505.376	505.376	-98.94	24	RS	BARK				Y
1373	Spectrogram 1	1	87153.444520000	87153.444520000	1053.763	1053.763	-94.35	24	RS	YELP				Y
1374	Spectrogram 1	1	87153.791340000	87153.791340000	344.086	344.086	-106.71	24	RS	BARK				Y
1375	Spectrogram 1	1	87154.205600000	87154.369380000	96.774	161.290	-73.18	24	RS	BARK				Y
1376	Spectrogram 1	1	87154.597090000	87154.597090000	440.860	440.860	-105.00	24	RS	BARK				Y
1377	Spectrogram 1	1	87154.799400000	87154.799400000	956.989	956.989	-87.12	24	RS	YELP				Y
1378	Spectrogram 1	1	87155.117320000	87155.319630000	150.538	247.312	-75.08	24	RS	BARK				Y
1379	Spectrogram 1	1	87155.541210000	87155.541210000	516.129	516.129	-94.28	24	RS	BARK				Y
1380	Spectrogram 1	1	87155.801330000	87155.801330000	301.075	301.075	-99.74	24	RS	BARK				Y
1381	Spectrogram 1	1	87156.234850000	87156.234850000	397.849	397.849	-92.22	24	RS	BARK				Y
1382	Spectrogram 1	1	87157.940050000	87157.940050000	1043.011	1043.011	-119.35	24	RS	YELP				Y
1383	Spectrogram 1	1	87168.156380000	87168.156380000	1451.613	1451.613	-130.20	24	RS	YELP				Y
1384	Spectrogram 1	1	87169.013800000	87169.187210000	86.022	172.043	-72.50	24	RS	BARK				Y
1385	Spectrogram 1	1	87169.283550000	87169.283550000	827.957	827.957	-112.05	24	RS	YELP				Y
1386	Spectrogram 1	1	87169.601470000	87169.601470000	344.086	344.086	-96.91	24	RS	BARK				Y
1387	Spectrogram 1	1	87169.813420000	87169.813420000	1107.527	1107.527	-95.91	24	RS	YELP				Y
1388	Spectrogram 1	1	87170.237310000	87170.237310000	258.065	258.065	-97.07	24	RS	BARK				Y
1389	Spectrogram 1	1	87171.643860000	87171.643860000	408.602	408.602	-101.24	24	RS	BARK				Y
1390	Spectrogram 1	1	87172.135190000	87172.135190000	408.602	408.602	-100.42	24	RS	BARK				Y
1391	Spectrogram 1	1	87172.366400000	87172.366400000	817.204	817.204	-94.11	24	RS	YELP				Y
1392	Spectrogram 1	1	87172.520550000	87172.520550000	333.333	333.333	-87.04	24	RS	BARK				Y
1393	Spectrogram 1	1	87192.149220000	87192.149220000	903.226	903.226	-115.79	24	RS	YELP				Y
1395	Spectrogram 1	1	87222.503920000	87222.503920000	483.871	483.871	-109.42	24	RS	BARK				Y
1422	Spectrogram 1	1	89913.006640000	89913.006640000	1150.538	1150.538	-116.14	24	RS	YELP				Y
1424	Spectrogram 1	1	89932.138710000	89932.138710000	1193.548	1193.548	-118.36	24	RS	YELP				Y
1460	Spectrogram 1	1	93111.909250000	93111.909250000	182.796	182.796	-102.04	25	RS	GROWL			Growl	Y
1461	Spectrogram 1	1	93113.026780000	93113.026780000	193.548	193.548	-94.29	25	RS	GROWL			Growl	Y
1463	Spectrogram 1	1	93265.488680000	93265.488680000	376.344	376.344	-111.94	25	RS	GROWL			RS growl	Y
1464	Spectrogram 1	1	93266.500240000	93266.500240000	258.065	258.065	-105.35	25	RS	GROWL			RS growl	Y
1465	Spectrogram 1	1	93267.895400000	93267.895400000	258.065	258.065	-117.18	25	RS	GROWL			RS growl	Y
1481	Spectrogram 1	1	94603.773840000	94603.773840000	903.226	903.226	-124.66	26	RS	YELP				Y
1482	Spectrogram 1	1	94604.958810000	94604.958810000	1204.301	1204.301	-127.13	26	RS	YELP				Y
1483	Spectrogram 1	1	94608.504090000	94608.504090000	860.215	860.215	-119.00	26	RS	YELP				Y
1486	Spectrogram 1	1	94887.517050000	94887.517050000	1139.785	1139.785	-122.73	26	RS	YELP				Y
1490	Spectrogram 1	1	95131.451190000	95131.682400000	881.720	1129.032	-92.92	26	RS	YELP				Y
1491	Spectrogram 1	1	95134.813420000	95134.813420000	956.989	956.989	-121.22	26	RS	YELP				Y
1495	Spectrogram 1	1	95468.930610000	95468.930610000	1215.054	1215.054	-102.18	26	RS	YELP				Y
1496	Spectrogram 1	1	95535.967750000	95535.967750000	1473.118	1473.118	-118.08	26	RS	YELP				Y
1497	Spectrogram 1	1	95573.061790000	95573.061790000	1043.011	1043.011	-113.45	26	RS	YELP				Y
1502	Spectrogram 1	1	95811.322440000	95811.322440000	989.247	989.247	-112.26	26	RS	YELP				Y
1503	Spectrogram 1	1	95812.218390000	95812.218390000	838.710	838.710	-111.90	26	RS	YELP				Y
1524	Spectrogram 1	1	96833.511100000	96833.511100000	193.548	193.548	-94.11	26	RS	BARK			Bark	Y
1534	Spectrogram 1	1	97172.990000000	97172.990000000	731.183	731.183	-137.05	26	RS	YELP				Y
1538	Spectrogram 1	1	97268.145880000	97268.145880000	1215.054	1215.054	-121.51	27	RS	YELP				Y
1540	Spectrogram 1	1	97328.767700000	97328.767700000	1666.667	1666.667	-136.11	27	RS	YELP				Y
1541	Spectrogram 1	1	97343.317540000	97343.317540000	1655.914	1655.914	-113.40	27	RS	YELP				Y
1548	Spectrogram 1	1	97784.313350000	97784.313350000	225.806	225.806	-114.35	27	RS	GROWL			Growl	Y
1560	Spectrogram 1	1	98346.059710000	98346.059710000	258.065	258.065	-112.53	27	RS	GROWL			Growl	Y
1566	Spectrogram 1	1	98513.596920000	98513.596920000	193.548	193.548	-112.03	27	RS	GROWL			Growl	Y
