Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	SNR NIST Quick (dB FS)	certainty	comment	type	WH ID	WH Comment	NEW analysis
8504	Spectrogram 1	1	24083.27667	24084.26867	0.992	90.11	714	800.4	738.3	1208533023.041219205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219205015.wav	X			ND	RS	10.13						
8526	Spectrogram 1	1	24319.13733	24319.64033	0.503	26.055	1088.3	1474.1	1265.6	1208533023.041220065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041220065015.wav	X			ND	RS	11.08				RS		
8538	Spectrogram 1	1	24537.76333	24538.40433	0.641	244.681	276.4	6057.6	984.4	1208533023.041220065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041220065015.wav	X			ND	RS	13.57				RS		
8740	Spectrogram 1	1	24645.55333	24652.97933	7.426	52.525	439.3	1156.1	503.9	1208533023.041220215015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041220215015.wav	X			ND	RS	10.81				RS		yes
8760	Spectrogram 1	1	25140.956	25143.035	2.079	248.018	69.4	260.1	175.8	1208533023.041220225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041220225015.wav	X			ND	RS	37.41				RS		yes
8936	Spectrogram 1	1	25428.09233	25428.65533	0.563	235.167	277.5	1312.1	375	1208533023.041222135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041222135015.wav	X			ND	RS	11.32				RS		yes
9066	Spectrogram 1	1	25499.52467	25500.60667	1.082	6.679	671.2	869.6	761.7	1208533023.041223165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041223165015.wav	X			ND	RS	12.26				RS		yes
9120	Spectrogram 1	1	26034.05	26035.065	1.015	241.281	221.4	506.8	433.6	1208533023.041226025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041226025015.wav	X			ND	RS	10.86	Low			RS		
9278	Spectrogram 1	1	26156.85167	26157.57667	0.725	64.105	600	967	785.2	1208533023.041228045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041228045015.wav	X			ND	RS	15.79	Low			RS		
9286	Spectrogram 1	1	26246.15167	26247.00667	0.855	153.405	862.1	1264.1	925.8	1208533023.041228045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041228045015.wav	X			ND	RS	11.05				RS		
9391	Spectrogram 1	1	26536.56333	26537.29533	0.732	143.858	361.2	1287.4	949.2	1208533023.041231125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041231125015.wav	X			ND	RS	13.04				RS		
9547	Spectrogram 1	1	26875.753	26881.274	5.521	183.064	1114.7	2312.1	1593.8	1208533023.050101045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050101045015.wav	X			ND	RS	12.21				RS		yes
9729	Spectrogram 1	1	27289.42733	27290.10733	0.68	296.909	46.6	1328.2	46.9	1208533023.050101185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050101185015.wav	X			ND	RS	14.87						
9825	Spectrogram 1	1	27440.976	27442.773	1.797	148.561	70.9	696.9	199.2	1208533023.050101235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050101235015.wav	X	bark	faint	ND	RS	21.33	Low			RS	Definitely hear a bark	yes
9969	Spectrogram 1	1	27727.14733	27731.78133	4.634	134.78	876.5	1417.6	1078.1	1208533023.050102235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050102235015.wav	X			ND	RS	11.03				RS		yes
10044	Spectrogram 1	1	28188.191	28188.526	0.335	295.886	699	891.3	773.4	1208533023.050103205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050103205015.wav	X			ND	RS	11.46				RS		
10109	Spectrogram 1	1	28301.59	28302.543	0.953	109.415	558.8	788.2	668	1208533023.050104125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050104125015.wav	X			ND	RS	11.87				RS		yes
10128	Spectrogram 1	1	28619.571	28620.207	0.636	127.459	990.3	1258.3	1136.7	1208533023.050104165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050104165015.wav	X			ND	RS	10.6	low	short		RS		
10176	Spectrogram 1	1	28985.95033	28987.61733	1.667	193.896	441.2	835.3	679.7	1208533023.050104215015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050104215015.wav	X			ND	RS	10.94				RS		yes
10178	Spectrogram 1	1	29001.40233	29002.81033	1.408	209.348	405.9	623.5	457	1208533023.050104215015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050104215015.wav	X			ND	RS	12.58				RS		yes
10200	Spectrogram 1	1	29383.61067	29387.11767	3.507	291.645	335.3	1535.3	925.8	1208533023.050105005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050105005015.wav	X			ND	RS	11.75				RS		yes
10479	Spectrogram 1	1	29413.814	29420.721	6.907	21.988	479	1233.5	820.3	1208533023.050107015015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050107015015.wav	X			ND	RS	10.7				RS		yes
10996	Spectrogram 1	1	29801.445	29802.571	1.126	109.694	53.9	407.2	246.1	1208533023.050109155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050109155015.wav	X	groan?		ND	RS	37.63	Medium			RS	Growl	yes
10997	Spectrogram 1	1	29808.85	29810.452	1.602	117.099	65.9	526.9	257.8	1208533023.050109155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050109155015.wav	X	groan?		ND	RS	41.33	Medium			RS		yes
10998	Spectrogram 1	1	29818.116	29819.091	0.975	126.365	41.9	425.1	222.7	1208533023.050109155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050109155015.wav	X	groan?		ND	RS	36.02	Medium			RS		yes
10999	Spectrogram 1	1	29828.769	29831.605	2.836	137.018	59.9	521	187.5	1208533023.050109155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050109155015.wav	X	groan?		ND	RS	41.97	Medium			RS		yes
11001	Spectrogram 1	1	29842.236	29844.423	2.187	150.485	59.9	538.9	257.8	1208533023.050109155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050109155015.wav	X	groan?		ND	RS	41.64	Medium			RS		yes
11792	Spectrogram 1	1	30204.92033	30205.80833	0.888	213.266	504.9	706.9	691.4	1208533023.050113145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050113145015.wav	X			ND	RS	11.54				RS		yes
11847	Spectrogram 1	1	30309.82867	30311.53867	1.71	18.302	209.6	802.4	339.8	1208533023.050113235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050113235015.wav	Y	bark		ND	RS	10.49						yes
11950	Spectrogram 1	1	30826.071	30835.64	9.569	234.562	485	970.1	656.2	1208533023.050114115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050114115015.wav	X			ND	RS	11.82	Low			RS		yes
11951	Spectrogram 1	1	30844.323	30853.091	8.768	252.814	449.1	1167.7	890.6	1208533023.050114115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050114115015.wav	X			ND	RS	10.33				RS		yes
12402	Spectrogram 1	1	31124.07	31125.195	1.125	232.666	126.2	831.7	375	1208533023.050119175015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050119175015.wav	X			ND	RS	11.23				RS		yes
12530	Spectrogram 1	1	31217.105	31217.662	0.557	25.778	829.8	1775.6	1007.8	1208533023.050126185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050126185015.wav	X			ND	RS	11.4	Low	1khz quack		RS		
12534	Spectrogram 1	1	31298.67	31299.028	0.358	107.343	806.5	1044.5	914.1	1208533023.050126185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050126185015.wav	X			ND	RS	10.01	Low	1khz cuack		RS		
12535	Spectrogram 1	1	31313.797	31318.275	4.478	122.47	887.8	1148.9	1019.5	1208533023.050126185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050126185015.wav	X			ND	RS	10.5	Low	1khz cuack		RS		
12546	Spectrogram 1	1	31790.433	31790.784	0.351	299.278	1143.1	2135.4	1230.5	1208533023.050127045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050127045015.wav	X			ND	RS	10.88	Low			RS		
12563	Spectrogram 1	1	31977.24233	31977.68433	0.442	186.147	568.6	748.5	609.4	1208533023.050128105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050128105015.wav	X			ND	RS	13.86	Low		v 0.6	RS		
12568	Spectrogram 1	1	32048.87633	32049.31533	0.439	257.781	655.7	1392.6	761.7	1208533023.050128105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050128105015.wav	X			ND	RS	12.09	Low	short 0.7		RS		
12646	Spectrogram 1	1	32241.976	32242.777	0.801	150.988	641.6	1161.8	808.6	1208533023.050201005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050201005015.wav	X			ND	RS	11.02				RS		yes
12859	Spectrogram 1	1	32546.664	32547.328	0.664	155.738	1208	1572.2	1347.7	1208533023.050207005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050207005015.wav	X			ND	RS	12.18	Low	1.4 khz		RS		
12872	Spectrogram 1	1	32906.55567	32907.74567	1.19	215.798	260.1	1115.6	339.8	1208533023.050207105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050207105015.wav	Y	bark	faint	ND	RS	12.52	Low	dots .3 1 khz		RS		
12909	Spectrogram 1	1	33045.81633	33046.33433	0.518	55.122	421.9	2323.6	585.9	1208533023.050208065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050208065015.wav	X			ND	RS	12.12	low		ds	RS		
12935	Spectrogram 1	1	33406.75033	33407.98433	1.234	116.134	799.2	1013.5	890.6	1208533023.050209005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050209005015.wav	X			ND	RS	12.52				RS		yes
13140	Spectrogram 1	1	33610.8	33611.296	0.496	20.282	301.8	753.5	574.2	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	10.74	Low		ds 0.6	RS		
13141	Spectrogram 1	1	33627.758	33628.169	0.411	37.24	381.5	744.6	562.5	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	9.72	Low		ds 0.6	RS		
13145	Spectrogram 1	1	33666.93	33667.449	0.519	76.412	416.9	833.2	574.2	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	11.6	Low		ds 0.6	RS		
13146	Spectrogram 1	1	33670.92	33671.284	0.364	80.402	487.8	771.2	585.9	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	10.82	Low		ds 0.6	RS		
13147	Spectrogram 1	1	33683.415	33695.115	11.7	92.897	399.2	744.6	574.2	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	11.67	Low	0.3 sec	ds 0.6	RS		
13149	Spectrogram 1	1	33762.394	33775.908	13.514	171.876	354.9	859.8	574.2	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	11.79	Low	0.5 sec	ds 0.6	RS		
13150	Spectrogram 1	1	33794.995	33802.795	7.8	204.477	390.3	815.5	585.9	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	11.03	Low	0.2 sec	ds 0.6	RS		
13151	Spectrogram 1	1	33806.166	33815.323	9.157	215.648	1338.1	1940.3	1628.9	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	10.89	Low		1.6 khz	RS		
13152	Spectrogram 1	1	33806.709	33818.292	11.583	216.191	381.5	930.6	574.2	1208533023.050218065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218065015.wav	X			ND	RS	11.56	Low	0.2 sec	ds 0.6	RS		
13228	Spectrogram 1	1	33920.63033	33920.90233	0.272	30.159	626.7	745.7	679.7	1208533023.050219125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050219125015.wav	X			ND	RS	10.24	Low		0.7 short	RS		
13229	Spectrogram 1	1	33928.53533	33928.86133	0.326	38.064	639.3	896	738.3	1208533023.050219125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050219125015.wav	X			ND	RS	10.95	Low		0.7 short	RS		
13230	Spectrogram 1	1	33936.71833	33937.71833	1	46.247	426.3	720.7	609.4	1208533023.050219125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050219125015.wav	X			ND	rs?	10.95	Low		0.6 ds 1 sec	rs?	Unknown - maybe RS	
13435	Spectrogram 1	1	34328.021	34328.711	0.69	137.619	646.6	967	785.2	1208533023.050228065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050228065015.wav	X			ND	RS	11.02				RS		
13473	Spectrogram 1	1	34637.57567	34638.18767	0.612	147.252	710.7	1182.5	1054.7	1208533023.050301225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050301225015.wav	X			ND	RS	11				RS		
13487	Spectrogram 1	1	35050.26267	35050.75067	0.488	260.098	774.7	972.8	867.2	1208533023.050302085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050302085015.wav	X			ND	RS	10.5	low	short		RS		
13510	Spectrogram 1	1	35387.328	35388.297	0.969	297.265	611.6	1205.8	668	1208533023.050305165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050305165015.wav	X			ND	RS	12.59	Low			RS		
13993	Spectrogram 1	1	35630.974	35631.998	1.024	241.044	489.3	774.7	644.5	1208533023.050314215015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050314215015.wav	X			ND	RS	10.26		faint		RS		
13994	Spectrogram 1	1	2881.94656	2882.31437	0.368	182.711	57.5	1111.8	457	1208533023.040718165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	Y	bark		AR								
13995	Spectrogram 1	1	4647.569682	4648.031582	0.462	148.888	28.8	1404.2	35.2	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X	bark	ok to keep or too faint?	AR						X		
13996	Spectrogram 1	1	4668.01928	4668.404197	0.385	169.338	220.4	1116.6	328.1	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X	bark	too faint	AR								
13997	Spectrogram 1	1	4675.976441	4681.313954	5.338	177.295	76.7	1337.1	117.2	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X		really faint	AR								
13998	Spectrogram 1	1	4687.250651	4687.644121	0.393	188.569	33.5	1289.1	35.2	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X	bark?	really faint	AR						X		
13999	Spectrogram 1	1	4695.088972	4696.389136	1.3	196.407	95.8	1226.8	468.8	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X	bark	very faint	AR								
14000	Spectrogram 1	1	4818.373489	4818.852497	0.479	19.853	95.8	618.2	105.5	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	X	bark?	very faint (I can't hear them)	AR								
14001	Spectrogram 1	1	4609.020059	4609.481959	0.462	110.338	86.3	987.2	363.3	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X	bark?	very faint	AR								
14002	Spectrogram 1	1	4623.185845	4625.931586	2.746	124.504	33.5	968.1	35.2	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X	bark?	very faint	AR								
14003	Spectrogram 1	1	4860.356217	4862.947991	2.592	61.836	234.8	1068.7	492.2	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	Y	"bark, yelp"	still faint	AR								
14004	Spectrogram 1	1	5349.94905	5350.291198	0.342	251.464	201.3	2118.2	210.9	1208533023.041001155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041001155015.wav	X	bark?	not sure if it could be RS... flagging just in case	AR						X		
14005	Spectrogram 1	1	7384.972588	7385.588455	0.616	187.182	182.1	1035.1	527.3	1208533023.041014085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041014085015.wav	X	bark?	too faint	AR								
14006	Spectrogram 1	1	7545.447843	7545.798545	0.351	47.816	24	1078.3	46.9	1208533023.041015005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041015005015.wav	X	bark?	Looks weird	AR						X		
14007	Spectrogram 1	1	8489.238102	8489.528928	0.291	91.81	47.9	555.9	257.8	1208533023.041017125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	Y	bark?	It looks like it but I can't hear anything	AR								
14008	Spectrogram 1	1	8525.028051	8528.637715	3.61	127.6	52.7	1063.9	164.1	1208533023.041017125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	Y	bark	"this is inside of Niki's selection, but it is a long one so I thought I'd higlight the barks"	AR								
14009	Spectrogram 1	1	8545.41237	8545.865717	0.453	147.984	76.7	872.2	421.9	1208533023.041017125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	Y	bark	"this is inside of Niki's selection, but it is a long one so I thought I'd higlight the barks"	AR								
14010	Spectrogram 1	1	27444.2932	27445.56771	1.275	151.878	33.8	547	35.2	1208533023.050101235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050101235015.wav	X	bark?		AR								
14011	Spectrogram 1	1	30500.32327	30500.65687	0.334	208.797	517.6	1324.7	761.7	1208533023.050113235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050113235015.wav	Y	bark		AR								
