Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	SNR NIST Quick (dB FS)	comment	type	WH ID	WH Comment
1151	Spectrogram 1	1	27799.898	27800.908	1.01	207.112	81.4	322.5	140.6	1208795168.700715044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700715044318.wav	X			ND	RS		13.62			RS	
1161	Spectrogram 1	1	27912.59333	27914.67033	2.077	19.887	257.9	958.9	410.2	1208795168.700715144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700715144318.wav	X			ND	RS		12.05	too high		RS	
1238	Spectrogram 1	1	28337.123	28338.165	1.042	144.515	29.6	393.5	35.2	1208795168.700720204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700720204318.wav	X			ND	RS		14.57	faint		RS	
1247	Spectrogram 1	1	28573.613	28575.269	1.656	81.124	108.9	384.6	187.5	1208795168.700721024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700721024318.wav	X			ND	RS		13.12	faint		RS	
1273	Spectrogram 1	1	28936.93067	28945.27067	8.34	144.509	250.5	822.1	644.5	1208795168.700722034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722034318.wav	X			ND	RS		11.17			RS	
1277	Spectrogram 1	1	29095.236	29098.489	3.253	2.843	76.2	920.1	386.7	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		11.4			RS	
1280	Spectrogram 1	1	29127.536	29128.267	0.731	35.143	154.4	1073.7	503.9	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		11.38			RS	
1281	Spectrogram 1	1	29128.039	29129.024	0.985	35.646	133.3	539.8	257.8	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		10.87			RS	
1283	Spectrogram 1	1	29130.234	29130.749	0.515	37.841	119.8	348.5	246.1	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		12.74			RS	
1284	Spectrogram 1	1	29130.849	29131.452	0.603	38.456	71.6	524.6	293	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		11.3			RS	
1285	Spectrogram 1	1	29135.825	29136.769	0.944	43.432	87.8	354.5	105.5	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		11.44		song?	RS	
1288	Spectrogram 1	1	29140.076	29140.591	0.515	47.683	98	528.1	433.6	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		11.34		song?	RS	
1291	Spectrogram 1	1	29149.965	29150.722	0.757	57.572	370.2	1001.8	515.6	1208795168.700722044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722044318.wav	X			ND	RS		12.14			RS	
1312	Spectrogram 1	1	29525.95267	29526.31467	0.362	133.632	763.7	1252.7	855.5	1208795168.700722234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700722234318.wav	X			ND	RS		13.46			RS	
1323	Spectrogram 1	1	29982.72667	29984.20867	1.482	290.452	131.9	675.8	668	1208795168.700723054318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700723054318.wav	X			ND	RS		11.74			RS	
1345	Spectrogram 1	1	30046.19	30049.869	3.679	53.976	148.4	467	281.2	1208795168.700724064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	Y	bark	BS overlap	ND	RS		14.29			RS	
1356	Spectrogram 1	1	30328.721	30329.734	1.013	36.59	81	572.8	82	1208795168.700724154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700724154318.wav	X			ND	RS	medium	12.64			RS	
1381	Spectrogram 1	1	30709.12067	30710.97267	1.852	117.04	791.4	1299.5	1171.9	1208795168.700725034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700725034318.wav	X			ND	RS		10.83			RS	
1411	Spectrogram 1	1	30972.13833	30973.87776	1.739	80.117	62.6	605.2	117.2	1208795168.700726024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700726024318.wav	Y	bark	Shortened the selection box to just the bark	ND	RS		14.32			RS	
1423	Spectrogram 1	1	31364.209	31364.958	0.749	172.283	401.7	626.1	480.5	1208795168.700726064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700726064318.wav	X			ND	RS		10.39			RS	
1510	Spectrogram 1	1	31706.04867	31707.73967	1.691	214.166	276.1	1444.2	410.2	1208795168.700730084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700730084318.wav	Y	bark	BS overlap	ND	RS		14.39			RS	
1535	Spectrogram 1	1	32082.579	32083.836	1.257	290.759	63.5	398	140.6	1208795168.700801024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700801024318.wav	X			ND	RS		14.43	faint		RS	
1550	Spectrogram 1	1	32142.86533	32144.31433	1.449	51.109	700.9	1359.3	902.3	1208795168.700801194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700801194318.wav	X			ND	RS	low	11.86	ice?		RS	
1580	Spectrogram 1	1	32436.497	32439.838	3.341	44.885	860.2	2400	1031.2	1208795168.700802204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700802204318.wav	X			ND	RS		14.86	ice?		RS	
1592	Spectrogram 1	1	32983.42733	32983.95933	0.532	291.917	69	690.3	679.7	1208795168.700803044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700803044318.wav	Y	bark	faint and with BS	ND	RS		16.11				
1618	Spectrogram 1	1	33037.81567	33038.92567	1.11	46.327	442.3	1076.9	656.2	1208795168.700803194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700803194318.wav	X			ND	RS		14.24			RS	
1626	Spectrogram 1	1	33425.632	33427.99	2.358	134.224	95.7	813.8	105.5	1208795168.700804144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	Y	bark		ND	RS		15.63	faint		RS	
1627	Spectrogram 1	1	33439.235	33446.617	7.382	147.827	186.2	659.6	363.3	1208795168.700804144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	Y	"bark, yelp"	BS	ND	RS	medium	13.77			RS	
1636	Spectrogram 1	1	33625.625	33627.501	1.876	34.289	148.7	520.4	152.3	1208795168.700804224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	Y	bark	with BS	ND	RS		15.21			RS	
1637	Spectrogram 1	1	33636.735	33638.554	1.819	45.399	175.2	1035.4	351.6	1208795168.700804224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	Y	bark	series with BS overlap	ND	RS		17.34			RS	
1638	Spectrogram 1	1	33652.589	33655.334	2.745	61.253	154	584.1	375	1208795168.700804224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	Y	bark	series with BS overlap	ND	RS		15.71				
1673	Spectrogram 1	1	34153.82533	34157.12533	3.3	262.642	775.2	1146.9	1031.2	1208795168.700806154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700806154318.wav	X			ND	RS		11.63			RS	
1689	Spectrogram 1	1	34295.97667	34296.32267	0.346	104.842	405	586.1	527.3	1208795168.700807104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700807104318.wav	X			ND	RS		14.24			RS	
1724	Spectrogram 1	1	34733.91833	34735.95533	2.037	242.917	238.5	609.5	480.5	1208795168.700808174318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700808174318.wav	X			ND	RS		15.35			RS	
1730	Spectrogram 1	1	34910.96933	34911.46833	0.499	120.108	233.2	614.8	480.5	1208795168.700808194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700808194318.wav	X			ND	RS		15.78			RS	
1739	Spectrogram 1	1	35143.68433	35144.68233	0.998	52.896	137.8	1107.8	457	1208795168.700809004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700809004318.wav	X			ND	RS		15.75		aou	RS	
1805	Spectrogram 1	1	35569.27733	35569.88733	0.61	178.625	103.6	387.7	164.1	1208795168.700810074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700810074318.wav	X			ND	RS		13.83			RS	
1806	Spectrogram 1	1	35595.55733	35597.49733	1.94	204.905	155.5	967.4	246.1	1208795168.700810074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700810074318.wav	Y	"bark, yelp"		ND	RS		13.24				
1809	Spectrogram 1	1	35859.77	35860.592	0.822	169.192	218.8	754.3	293	1208795168.700810094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700810094318.wav	Y	bark	faint	ND	RS	medium	12.05			RS	
1822	Spectrogram 1	1	36257.163	36263.314	6.151	266.718	59.7	678.1	480.5	1208795168.700810174318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700810174318.wav	Y	bark	overlap with BS	ND	RS		15.89				
1823	Spectrogram 1	1	36277.382	36278.823	1.441	286.937	65.1	678.1	164.1	1208795168.700810174318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700810174318.wav	X			ND	RS		15.31				
1829	Spectrogram 1	1	36574.72267	36575.08567	0.363	284.376	65.1	542.5	410.2	1208795168.700810214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700810214318.wav	Y	bark	keep for detector?	ND	RS		15.28			Y	
1835	Spectrogram 1	1	36728.02433	36729.14233	1.118	137.779	62.6	274.2	128.9	1208795168.700811004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700811004318.wav	X			ND	RS		14.3			RS	
1838	Spectrogram 1	1	36809.92333	36810.75233	0.829	219.678	206.1	547.9	398.4	1208795168.700811004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700811004318.wav	X			ND	RS		12.4	too high		RS	
1845	Spectrogram 1	1	37093.64133	37094.09233	0.451	203.42	167.9	505.7	421.9	1208795168.700811014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700811014318.wav	X			ND	RS		15.06			RS	
1929	Spectrogram 1	1	37410.56667	37419.68767	9.121	220.477	492.9	906.4	714.8	1208795168.700814104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700814104318.wav	X			ND	RS	low	12			RS	
1932	Spectrogram 1	1	37578.239	37580.13	1.891	88.242	159	2427.6	914.1	1208795168.700814124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700814124318.wav	Y	"bark, yelp"	Mostly yelps. Is there a bark?	ND	RS		15.82			Y	
1951	Spectrogram 1	1	37934.813	37936.19	1.377	144.957	535.3	2507.1	925.8	1208795168.700815154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700815154318.wav	X			ND	RS		13.57			RS	
2634	Spectrogram 1	1	38268.01233	38275.46833	7.456	178.294	96.9	554.8	105.5	1208795168.700817074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700817074318.wav	X		too faint and masked	ND	RS		15.37	faint		RS	
3082	Spectrogram 1	1	38494.08733	38495.57833	1.491	104.406	968.5	1636	1277.3	1208795168.700818154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700818154318.wav	X			ND	RS		12.24			RS	
3085	Spectrogram 1	1	38499.90033	38500.45233	0.552	110.219	828.9	1079.7	949.2	1208795168.700818154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700818154318.wav	X			ND	RS		11.52			RS	
3117	Spectrogram 1	1	38566.53433	38567.02833	0.494	176.853	796.2	1068.8	867.2	1208795168.700818154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700818154318.wav	X			ND	RS		13.95			RS	
3409	Spectrogram 1	1	38854.62967	38855.22267	0.593	165.077	610.8	981.6	867.2	1208795168.700819234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700819234318.wav	X			ND	RS		11.55			RS	
3416	Spectrogram 1	1	38886.45267	38887.14467	0.692	196.9	687.1	948.9	714.8	1208795168.700819234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700819234318.wav	X			ND	RS		14.53			RS	
3508	Spectrogram 1	1	39057.44467	39059.31767	1.873	67.969	99.7	1288.3	293	1208795168.700820024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700820024318.wav	Y	"bark, yelp"		ND	RS		13				
4180	Spectrogram 1	1	39408.63967	39409.33067	0.691	119.257	701.8	971.7	773.4	1208795168.700821074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700821074318.wav	X			ND	RS		12.76			RS	
4190	Spectrogram 1	1	39443.05667	39444.04467	0.988	153.674	192.8	617	527.3	1208795168.700821074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700821074318.wav	X			ND	RS		13.55			RS	
4191	Spectrogram 1	1	39446.69667	39447.07567	0.379	157.314	393.3	570.7	503.9	1208795168.700821074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700821074318.wav	X			ND	RS		15.23			RS	
4193	Spectrogram 1	1	39448.57367	39450.31967	1.746	159.191	177.4	277.6	246.1	1208795168.700821074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700821074318.wav	X			ND	RS		15.1			RS	
4633	Spectrogram 1	1	39710.185	39710.744	0.559	120.932	509	671	574.2	1208795168.700821224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700821224318.wav	X			ND	RS		12.26			RS	
4690	Spectrogram 1	1	39817.037	39818.004	0.967	227.784	313.5	743.9	375	1208795168.700821224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700821224318.wav	X			ND	RS		13.74			RS	
4990	Spectrogram 1	1	39994.19333	39995.64233	1.449	105.055	707	1002	773.4	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		12.32			RS	
4993	Spectrogram 1	1	39996.84533	39997.52033	0.675	107.707	633.2	1100.4	691.4	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		12.9			RS	
4995	Spectrogram 1	1	39999.74333	40000.51733	0.774	110.605	676.2	1002	785.2	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		12.48			RS	
4997	Spectrogram 1	1	40004.76733	40005.52433	0.757	115.629	645.5	854.5	761.7	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		13.84			RS	
5000	Spectrogram 1	1	40010.05333	40010.72933	0.676	120.915	805.3	1106.6	808.6	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		14.54			RS	
5006	Spectrogram 1	1	40023.28233	40023.89133	0.609	134.144	688.5	1057.4	785.2	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		16.08			RS	
5008	Spectrogram 1	1	40025.88433	40026.56033	0.676	136.746	584	854.5	785.2	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		13.3			RS	
5011	Spectrogram 1	1	40032.11033	40033.26333	1.153	142.972	688.5	1610.7	750	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		12.31			RS	
5012	Spectrogram 1	1	40033.70833	40034.58033	0.872	144.57	239.8	608.6	386.7	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		14.69			RS	
5032	Spectrogram 1	1	40092.18633	40093.19133	1.005	203.048	178.3	584	222.7	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		14.17			RS	
5033	Spectrogram 1	1	40097.12733	40097.78633	0.659	207.989	301.2	553.3	351.6	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		13.52			RS	
5035	Spectrogram 1	1	40100.15833	40101.13033	0.972	211.02	184.4	553.3	351.6	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		12.95			RS	
5036	Spectrogram 1	1	40106.21933	40106.86133	0.642	217.081	1850.4	2637.3	2285.2	1208795168.700822104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822104318.wav	X			ND	RS		11.1			RS	
5320	Spectrogram 1	1	40375.867	40376.905	1.038	186.757	141.4	270.5	175.8	1208795168.700822214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700822214318.wav	X			ND	RS		12.61			RS	
5716	Spectrogram 1	1	40561.768	40564.983	3.215	72.79	151.5	862.1	152.3	1208795168.700825224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700825224318.wav	X			ND	RS		11.99			RS	
5727	Spectrogram 1	1	40843.33867	40850.54967	7.211	54.405	35	1019.4	35.2	1208795168.700826074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700826074318.wav	X			ND	RS		16.43	faint		RS	
5728	Spectrogram 1	1	40858.54167	40862.92067	4.379	69.608	151.5	1200	164.1	1208795168.700826074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700826074318.wav	Y	"bark, yelp"	very faint	ND	RS		13.83			RS	
5732	Spectrogram 1	1	41201.807	41202.512	0.705	112.953	273.8	1287.4	527.3	1208795168.700826094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700826094318.wav	X			ND	RS		14.48			RS	
5733	Spectrogram 1	1	41255.632	41256.673	1.041	166.778	396.1	1334	527.3	1208795168.700826094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700826094318.wav	X			ND	RS		11.96			RS	
5739	Spectrogram 1	1	41621.14033	41623.52833	2.388	232.368	99	955.3	117.2	1208795168.700826144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700826144318.wav	X			ND	RS		13.79			RS	
5741	Spectrogram 1	1	41766.721	41770.992	4.271	77.996	425.2	1368.9	445.3	1208795168.700826184318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700826184318.wav	X			ND	RS		15.14				
6308	Spectrogram 1	1	42048.43133	42050.02433	1.593	59.843	72.1	264.5	152.3	1208795168.700829094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700829094318.wav	Y	bark		ND	RS		12.59			RS	
6310	Spectrogram 1	1	42064.72033	42067.66033	2.94	76.132	132.3	751.5	515.6	1208795168.700829094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700829094318.wav	X			ND	RS		13.36	faint			
6348	Spectrogram 1	1	42426.82767	42427.68967	0.862	138.373	399.6	516.4	468.8	1208795168.700829104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700829104318.wav	X			ND	RS		12.65			RS	
6350	Spectrogram 1	1	42444.06767	42445.02267	0.955	155.613	381.1	534.8	445.3	1208795168.700829104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700829104318.wav	X			ND	RS		12.29			RS	
6357	Spectrogram 1	1	42478.67567	42479.95667	1.281	190.221	522.5	657.8	562.5	1208795168.700829104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700829104318.wav	X			ND	RS		12.39			RS	
6480	Spectrogram 1	1	42865.584	42873.377	7.793	277.188	198.4	1136.3	585.9	1208795168.700829164318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	Y	bark		ND	RS		12.1				
6657	Spectrogram 1	1	42908.65767	42909.53067	0.873	20.364	252	424.2	304.7	1208795168.700830004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830004318.wav	X			ND	RS		11.48			RS	
6660	Spectrogram 1	1	42912.00167	42912.70967	0.708	23.708	147.5	356.6	269.5	1208795168.700830004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830004318.wav	X			ND	RS		14.04			RS	
6725	Spectrogram 1	1	43102.90567	43103.44967	0.544	214.612	239.8	356.6	316.4	1208795168.700830004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830004318.wav	X			ND	RS		12.23			RS	
6860	Spectrogram 1	1	43434.91467	43435.26667	0.352	246.657	110.9	843.9	164.1	1208795168.700830034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830034318.wav	Y	bark	I can't hear it	ND	RS		15.19			Y	
6939	Spectrogram 1	1	43555.98067	43557.84867	1.868	67.868	80.1	862.4	164.1	1208795168.700830074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830074318.wav	X			ND	RS		16.28			RS	
6941	Spectrogram 1	1	43590.69567	43591.35367	0.658	102.583	492.8	1669.4	632.8	1208795168.700830074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830074318.wav	X			ND	RS		14.37			RS	
7335	Spectrogram 1	1	43798.34733	43799.29633	0.949	10.365	181.1	446.7	293	1208795168.700830194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830194318.wav	X			ND	RS		14.93			RS	
7341	Spectrogram 1	1	43850.85933	43851.68633	0.827	62.877	193.2	434.6	316.4	1208795168.700830194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830194318.wav	X			ND	RS		14.59			RS	
7346	Spectrogram 1	1	43995.68333	43996.83133	1.148	207.701	398.3	629.5	468.8	1208795168.700830194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830194318.wav	X			ND	RS		12.66			RS	
7347	Spectrogram 1	1	44018.74033	44019.75133	1.011	230.758	181.1	470.8	222.7	1208795168.700830194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830194318.wav	X			ND	RS		14.1			RS	
7350	Spectrogram 1	1	44085.22633	44085.89933	0.673	297.244	66.4	1008	70.3	1208795168.700830194318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830194318.wav	X			ND	RS		18.36			RS	
7409	Spectrogram 1	1	44239.589	44240.165	0.576	151.717	159.8	485.7	234.4	1208795168.700830204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830204318.wav	X			ND	RS		13.54			RS	
7412	Spectrogram 1	1	44250.097	44250.756	0.659	162.225	166	565.6	293	1208795168.700830204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830204318.wav	X			ND	RS		14.06			RS	
7442	Spectrogram 1	1	44340.175	44341.031	0.856	252.303	221.3	577.9	293	1208795168.700830204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700830204318.wav	X			ND	RS		13.68			RS	
7673	Spectrogram 1	1	44550.76667	44560.96467	10.198	162.983	70.7	584.6	269.5	1208795168.700831014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831014318.wav	X			ND	RS		14.71			RS	
7806	Spectrogram 1	1	44879.88967	44880.35567	0.466	192.128	454.9	823.8	515.6	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		13.44				
7810	Spectrogram 1	1	44889.74167	44890.65067	0.909	201.98	670.1	1026.6	867.2	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		11.17				
7812	Spectrogram 1	1	44891.81467	44892.51367	0.699	204.053	491.8	928.3	515.6	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		12.37				
7815	Spectrogram 1	1	44897.05567	44897.75467	0.699	209.294	424.2	534.8	492.2	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		15.01			RS	
7816	Spectrogram 1	1	44897.80067	44898.35967	0.559	210.039	786.9	952.9	820.3	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		13.89			RS	
7832	Spectrogram 1	1	44935.30767	44936.40167	1.094	247.546	362.7	565.6	503.9	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		11.63			rs	
7842	Spectrogram 1	1	44974.05467	44974.70667	0.652	286.293	461.1	762.3	644.5	1208795168.700831074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700831074318.wav	X			ND	RS		12.74			RS	
8528	Spectrogram 1	1	45188.40967	45189.60367	1.194	200.72	299.4	664.7	433.6	1208795168.700901064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700901064318.wav	X			ND	RS		13.57			RS	
8725	Spectrogram 1	1	45492.19	45506.112	13.922	204.601	107.8	838.3	597.7	1208795168.700901234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	Y	bark	with overlapping BS	ND	RS		13.6				
8726	Spectrogram 1	1	45555.814	45566.574	10.76	268.225	71.9	1467.1	246.1	1208795168.700901234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	Y	bark	good but with overlapping BS	ND	RS		15.69				
8727	Spectrogram 1	1	45663.498	45672.917	9.419	75.972	251.5	616.8	410.2	1208795168.700902014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700902014318.wav	X			ND	RS		12.76			RS	
8865	Spectrogram 1	1	45975.58233	45979.56533	3.983	88.088	448.8	1235.7	492.2	1208795168.700902074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700902074318.wav	X			ND	RS	low	10.65			RS	
9215	Spectrogram 1	1	46310.481	46313.317	2.836	123.143	65.9	1377.2	398.4	1208795168.700903084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700903084318.wav	Y	"bark, yelp"	good but with overlapping BS	ND	RS		18.3				
9220	Spectrogram 1	1	46769.94367	46776.78567	6.842	282.765	152.4	1338	492.2	1208795168.700903124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	Y	"bark, yelp"	good	ND	RS		15.17				
9278	Spectrogram 1	1	46921.15067	46924.18167	3.031	134.01	101.8	616.8	246.1	1208795168.700904044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904044318.wav	X	bark	too faint	ND	RS		13.33				
9288	Spectrogram 1	1	47240.69633	47245.11333	4.417	153.649	107.8	1191.6	187.5	1208795168.700904124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	Y	"bark, yelp"		ND	RS		13.82				
9289	Spectrogram 1	1	47256.43233	47257.90533	1.473	169.385	12	1227.5	23.4	1208795168.700904124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	Y	"bark, yelp"	with overlapping BS	ND	RS		18.15				
9293	Spectrogram 1	1	47460.42133	47463.95033	3.529	73.399	143.7	1293.4	468.8	1208795168.700904164318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	Y	"bark, yelp"		ND	RS		14.71				
9298	Spectrogram 1	1	47936.788	47941.811	5.023	249.899	95.8	401.2	105.5	1208795168.700904184318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904184318.wav	X			ND	RS		13.56			RS	
9309	Spectrogram 1	1	48047.59667	48048.92867	1.332	60.871	71.9	395.2	93.8	1208795168.700904224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904224318.wav	X			ND	RS		14.8				
9311	Spectrogram 1	1	48191.32167	48193.14367	1.822	204.596	77.8	371.3	105.5	1208795168.700904224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700904224318.wav	Y	bark	I can't hear them because of the BS overlap	ND	RS		13.41				
9315	Spectrogram 1	1	48343.01167	48349.42667	6.415	56.297	152.6	886.5	269.5	1208795168.700905014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	Y	bark		ND	RS		14.24				
