Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Hour	Begin Date	Species	Call type	Comments	Quantity	WH
2308	Spectrogram 1	1	105057.456610792	105057.456610792	236.559	236.559	67145740.220518231840.wav	29		BS				
2309	Spectrogram 1	1	105113.356065250	105113.356065250	2333.333	2333.333	67145740.220518231840.wav	29		BS				
2310	Spectrogram 1	1	105179.182829025	105179.182829025	935.484	935.484	67145740.220518231840.wav	29		BS				
2311	Spectrogram 1	1	105199.294046713	105199.294046713	1035.587	1035.587	67145740.220518231840.wav	29		RS	YELP			
2312	Spectrogram 1	1	105247.631762229	105247.631762229	298.932	298.932	67145740.220518231840.wav	29		BS				
2313	Spectrogram 1	1	105263.297380552	105263.297380552	448.399	448.399	67145740.220518231840.wav	29		BS				
2314	Spectrogram 1	1	105308.048642577	105308.048642577	2263.345	2263.345	67145740.220518232340.wav	29		BS				
2315	Spectrogram 1	1	105380.373057937	105380.373057937	822.064	822.064	67145740.220518232340.wav	29		BS				
2316	Spectrogram 1	1	105410.137462445	105410.137462445	459.075	459.075	67145740.220518232340.wav	29		BS				
2317	Spectrogram 1	1	105416.205952859	105424.442947079	715.302	1558.719	67145740.220518232340.wav	29		RS	YELP		6	
2318	Spectrogram 1	1	105426.997681159	105426.997681159	672.598	672.598	67145740.220518232340.wav	29		BS				
2319	Spectrogram 1	1	105428.716892844	105428.716892844	907.473	907.473	67145740.220518232340.wav	29		RS	YELP			
2320	Spectrogram 1	1	105450.492160502	105450.492160502	939.502	939.502	67145740.220518232340.wav	29		BS				
2321	Spectrogram 1	1	105458.434008473	105458.434008473	1580.071	1580.071	67145740.220518232340.wav	29		BS				
2322	Spectrogram 1	1	105486.833894940	105486.833894940	1505.338	1505.338	67145740.220518232340.wav	29		BS				
2323	Spectrogram 1	1	105514.979821795	105514.979821795	341.637	341.637	67145740.220518232340.wav	29		BS				
2324	Spectrogram 1	1	105527.887500343	105527.887500343	1483.986	1483.986	67145740.220518232340.wav	29		BS				
2325	Spectrogram 1	1	105593.984006357	105593.984006357	2049.822	2049.822	67145740.220518232340.wav	29		BS				
2326	Spectrogram 1	1	105651.646486406	105651.646486406	1217.082	1217.082	67145740.220518232840.wav	29		RS	YELP			
2327	Spectrogram 1	1	105655.220667523	105655.394077928	896.797	1548.043	67145740.220518232840.wav	29		RS	YELP			
2328	Spectrogram 1	1	105658.881553843	105658.881553843	1067.616	1067.616	67145740.220518232840.wav	29		BS				
2329	Spectrogram 1	1	105662.559956272	105662.743000588	960.854	1537.367	67145740.220518232840.wav	29		RS	YELP			
2330	Spectrogram 1	1	105666.326815617	105666.326815617	1590.747	1590.747	67145740.220518232840.wav	29		RS	YELP			
2331	Spectrogram 1	1	105666.606199047	105666.606199047	736.655	736.655	67145740.220518232840.wav	29		RS	YELP			
2332	Spectrogram 1	1	105671.156032653	105671.156032653	1259.786	1259.786	67145740.220518232840.wav	29		RS	YELP			
2333	Spectrogram 1	1	105720.408087742	105720.408087742	491.103	491.103	67145740.220518232840.wav	29		BS				
2334	Spectrogram 1	1	105870.530707072	105870.530707072	1291.815	1291.815	67145740.220518232840.wav	29		BS				
2335	Spectrogram 1	1	105916.896945386	105916.896945386	330.961	330.961	67145740.220518233340.wav	29		BS				
2336	Spectrogram 1	1	105950.586756382	105950.586756382	1227.758	1227.758	67145740.220518233340.wav	29		BS				
2337	Spectrogram 1	1	106017.948813078	106017.948813078	779.359	779.359	67145740.220518233340.wav	29		BS				
2338	Spectrogram 1	1	106043.789590704	106043.789590704	352.313	352.313	67145740.220518233340.wav	29		BS				
2339	Spectrogram 1	1	106061.319799842	106061.319799842	1900.356	1900.356	67145740.220518233340.wav	29		BS				
2340	Spectrogram 1	1	106071.400372847	106071.400372847	544.484	544.484	67145740.220518233340.wav	29		BS				
2341	Spectrogram 1	1	106095.374804181	106095.374804181	939.502	939.502	67145740.220518233340.wav	29		BS				
2342	Spectrogram 1	1	106125.344147742	106125.344147742	2209.964	2209.964	67145740.220518233340.wav	29		BS				
2343	Spectrogram 1	1	106185.440486369	106185.440486369	2241.993	2241.993	67145740.220518233340.wav	29		BS				
2344	Spectrogram 1	1	106223.791328902	106231.633332755	523.132	1153.025	67145740.220518233840.wav	29		RS	YELP		6	
2345	Spectrogram 1	1	106246.453808406	106246.453808406	2423.488	2423.488	67145740.220518233840.wav	29		BS				
2346	Spectrogram 1	1	106248.864913155	106254.520019128	747.331	1462.633	67145740.220518233840.wav	29		RS	YELP		3	
2347	Spectrogram 1	1	106265.576244093	106265.576244093	220.588	220.588	67145740.220518233840.wav	29		RS	GROWL			RS growl
2348	Spectrogram 1	1	106290.098051650	106290.098051650	1088.968	1088.968	67145740.220518233840.wav	29		RS	YELP			
2349	Spectrogram 1	1	106291.562406178	106291.562406178	1185.053	1185.053	67145740.220518233840.wav	29		RS	YELP			
2350	Spectrogram 1	1	106290.647184598	106290.647184598	491.103	491.103	67145740.220518233840.wav	29		RS	BARK			
2351	Spectrogram 1	1	106303.018003904	106310.319630353	576.512	1612.100	67145740.220518233840.wav	29		RS	YELP		7	
2352	Spectrogram 1	1	106312.693074893	106315.824096088	619.217	1323.843	67145740.220518233840.wav	29		RS	YELP		3	
2353	Spectrogram 1	1	106319.970182979	106319.970182979	1046.263	1046.263	67145740.220518233840.wav	29		BS				
2354	Spectrogram 1	1	106311.445921575	106312.052857991	661.922	1227.758	67145740.220518233840.wav	29		RS	YELP			
2355	Spectrogram 1	1	106322.113291384	106325.273214313	416.370	1911.032	67145740.220518233840.wav	29		RS	YELP		3	
2356	Spectrogram 1	1	106340.212780991	106340.212780991	2199.288	2199.288	67145740.220518233840.wav	29		BS				
2357	Spectrogram 1	1	106366.993303179	106366.993303179	373.665	373.665	67145740.220518233840.wav	29		BS				
2358	Spectrogram 1	1	106377.566078782	106377.566078782	533.808	533.808	67145740.220518233840.wav	29		BS				
2359	Spectrogram 1	1	106428.267601638	106428.267601638	2071.174	2071.174	67145740.220518233840.wav	29		BS				
2360	Spectrogram 1	1	106455.976475712	106455.976475712	1548.043	1548.043	67145740.220518233840.wav	29		BS				
2361	Spectrogram 1	1	106514.332575435	106514.332575435	330.961	330.961	67145740.220518234340.wav	29		BS				
2362	Spectrogram 1	1	106545.297739041	106545.297739041	1249.110	1249.110	67145740.220518234340.wav	29		BS				
2363	Spectrogram 1	1	106597.755256412	106597.755256412	1078.292	1078.292	67145740.220518234340.wav	29		RS	YELP			
2364	Spectrogram 1	1	106598.034639842	106598.333291094	886.121	1217.082	67145740.220518234340.wav	29		RS	YELP			
2365	Spectrogram 1	1	106602.237657083	106602.237657083	1120.996	1120.996	67145740.220518234340.wav	29		RS	YELP			
2366	Spectrogram 1	1	106602.671183094	106602.671183094	918.149	918.149	67145740.220518234340.wav	29		RS	YELP			
2367	Spectrogram 1	1	106603.393726447	106603.393726447	1120.996	1120.996	67145740.220518234340.wav	29		RS	YELP			
2368	Spectrogram 1	1	106603.634574231	106603.634574231	960.854	960.854	67145740.220518234340.wav	29		RS	BARK			
2369	Spectrogram 1	1	106603.885055927	106603.885055927	1259.786	1259.786	67145740.220518234340.wav	29		RS	YELP			
2370	Spectrogram 1	1	106604.251144559	106604.251144559	992.883	992.883	67145740.220518234340.wav	29		RS	BARK			
2371	Spectrogram 1	1	106666.730558347	106666.730558347	405.694	405.694	67145740.220518234340.wav	29		BS				
2372	Spectrogram 1	1	106681.339942814	106681.339942814	1377.224	1377.224	67145740.220518234340.wav	29		BS				
2373	Spectrogram 1	1	106728.681859827	106728.681859827	1964.413	1964.413	67145740.220518234340.wav	29		BS				
2374	Spectrogram 1	1	106785.678704929	106785.678704929	1217.082	1227.758	67145740.220518234340.wav	29		BS				
2375	Spectrogram 1	1	106828.892919886	106828.892919886	1302.491	1302.491	67145740.220518234840.wav	29		BS				
2376	Spectrogram 1	1	106839.524372706	106839.524372706	480.427	480.427	67145740.220518234840.wav	29		BS				
2377	Spectrogram 1	1	106851.001014458	106851.001014458	1142.349	1142.349	67145740.220518234840.wav	29		BS				
2378	Spectrogram 1	1	106872.223643998	106876.607073671	790.036	1473.310	67145740.220518234840.wav	29		RS	YELP		4	
2379	Spectrogram 1	1	106882.522294621	106882.522294621	1174.377	1174.377	67145740.220518234840.wav	29		RS	YELP			
2380	Spectrogram 1	1	106887.524924196	106887.524924196	1142.349	1142.349	67145740.220518234840.wav	29		RS	YELP			
2381	Spectrogram 1	1	106895.606021058	106895.606021058	1024.911	1024.911	67145740.220518234840.wav	29		BS				
2382	Spectrogram 1	1	106975.000823185	106975.000823185	1217.082	1217.082	67145740.220518234840.wav	29		BS				
2383	Spectrogram 1	1	107030.925681478	107030.925681478	1857.651	1857.651	67145740.220518234840.wav	29		BS				
2384	Spectrogram 1	1	107073.932350904	107073.932350904	758.007	758.007	67145740.220518234840.wav	29		BS				
2385	Spectrogram 1	1	107125.888898934	107125.888898934	266.904	266.904	67145740.220518235340.wav	29		BS				
2386	Spectrogram 1	1	107145.162864282	107145.162864282	1142.349	1142.349	67145740.220518235340.wav	29		BS				
2387	Spectrogram 1	1	107197.556448576	107197.556448576	2103.203	2103.203	67145740.220518235340.wav	29		BS				
2388	Spectrogram 1	1	107304.311570958	107304.311570958	1281.139	1281.139	67145740.220518235340.wav	29		BS				
2389	Spectrogram 1	1	107324.816032144	107324.816032144	864.769	864.769	67145740.220518235340.wav	29		RS	YELP			
2390	Spectrogram 1	1	107337.109788067	107337.109788067	459.075	459.075	67145740.220518235340.wav	29		BS				
2391	Spectrogram 1	1	107366.016769493	107366.016769493	1665.480	1665.480	67145740.220518235340.wav	29		BS				
2392	Spectrogram 1	1	107499.754735844	107499.754735844	362.989	362.989	67145740.220518235841.wav	29		BS				
2393	Spectrogram 1	1	107515.453628704	107515.463262615	1526.690	1526.690	67145740.220518235841.wav	29		BS				
2394	Spectrogram 1	1	107544.893988168	107544.893988168	1505.338	1505.338	67145740.220518235841.wav	29		BS				
2395	Spectrogram 1	1	107631.981032977	107631.981032977	1953.737	1953.737	67145740.220518235841.wav	29		BS				
2396	Spectrogram 1	1	107666.739305841	107666.739305841	1014.235	1014.235	67145740.220518235841.wav	29		RS	YELP			
2397	Spectrogram 1	1	107718.245704876	107718.245704876	1195.730	1195.730	67145740.220519000341.wav	29		RS	YELP			
2398	Spectrogram 1	1	107720.442236668	107720.442236668	1195.730	1195.730	67145740.220519000341.wav	29		RS	YELP			
2399	Spectrogram 1	1	107736.517719240	107736.517719240	480.427	480.427	67145740.220519000341.wav	29		BS				
2400	Spectrogram 1	1	107792.211377923	107792.211377923	1451.957	1451.957	67145740.220519000341.wav	29		BS				
2401	Spectrogram 1	1	107861.488840734	107861.488840734	608.541	608.541	67145740.220519000341.wav	29		BS				
2402	Spectrogram 1	1	107983.663467926	107983.663467926	320.285	320.285	67145740.220519000341.wav	29		BS				
2403	Spectrogram 1	1	108023.708132622	108023.708132622	886.121	886.121	67145740.220519000841.wav	30		BS				
2404	Spectrogram 1	1	108045.191766016	108045.191766016	266.904	266.904	67145740.220519000841.wav	30		BS				
2405	Spectrogram 1	1	108053.611804552	108053.611804552	2220.641	2220.641	67145740.220519000841.wav	30		BS				
2406	Spectrogram 1	1	108104.078605943	108104.078605943	971.530	971.530	67145740.220519000841.wav	30		RS	YELP			
2407	Spectrogram 1	1	108116.588678759	108116.588678759	1238.434	1238.434	67145740.220519000841.wav	30		BS				
2408	Spectrogram 1	1	108126.884700157	108126.884700157	245.552	245.552	67145740.220519000841.wav	30		BS				
2409	Spectrogram 1	1	108161.600056390	108161.600056390	1419.929	1419.929	67145740.220519000841.wav	30		BS				
2410	Spectrogram 1	1	108189.267778122	108189.267778122	1473.310	1473.310	67145740.220519000841.wav	30		BS				
2411	Spectrogram 1	1	108306.142884232	108306.142884232	2113.879	2113.879	67145740.220519000841.wav	30		BS				
2412	Spectrogram 1	1	108374.908001947	108374.908001947	1548.043	1548.043	67145740.220519001341.wav	30		BS				
2413	Spectrogram 1	1	108425.394073120	108425.394073120	448.399	448.399	67145740.220519001341.wav	30		BS				
2414	Spectrogram 1	1	108430.536825685	108430.690968267	992.883	1665.480	67145740.220519001341.wav	30		RS	YELP			
2415	Spectrogram 1	1	108432.396170579	108432.742991388	1067.616	1654.804	67145740.220519001341.wav	30		RS	YELP			
2416	Spectrogram 1	1	108480.992248886	108480.992248886	2135.231	2135.231	67145740.220519001341.wav	30		BS				
2417	Spectrogram 1	1	108498.101203758	108500.085789500	512.456	1014.235	67145740.220519001341.wav	30		RS	YELP		4	
2418	Spectrogram 1	1	108599.822165256	108599.822165256	1046.263	1046.263	67145740.220519001341.wav	30		BS				
2419	Spectrogram 1	1	108616.213832564	108616.213832564	416.370	416.370	67145740.220519001841.wav	30		BS				
2420	Spectrogram 1	1	108648.756313223	108648.756313223	1526.690	1526.690	67145740.220519001841.wav	30		BS				
2421	Spectrogram 1	1	108708.837764108	108708.837764108	1975.089	1975.089	67145740.220519001841.wav	30		BS				
2422	Spectrogram 1	1	108740.255698048	108740.255698048	1281.139	1281.139	67145740.220519001841.wav	30		RS	YELP			
2423	Spectrogram 1	1	108743.280746218	108743.280746218	1227.758	1227.758	67145740.220519001841.wav	30		RS	YELP			
2424	Spectrogram 1	1	108756.840907464	108756.840907464	1281.139	1281.139	67145740.220519001841.wav	30		RS	YELP			
2425	Spectrogram 1	1	108796.099960941	108796.099960941	1120.996	1120.996	67145740.220519001841.wav	30		RS	YELP			
2426	Spectrogram 1	1	108800.415953233	108800.415953233	790.036	790.036	67145740.220519001841.wav	30		BS				
2427	Spectrogram 1	1	108825.165482178	108825.165482178	245.552	245.552	67145740.220519001841.wav	30		BS				
2428	Spectrogram 1	1	108848.000476796	108848.000476796	1516.014	1516.014	67145740.220519001841.wav	30		BS				
2429	Spectrogram 1	1	108874.400910218	108874.400910218	1580.071	1580.071	67145740.220519001841.wav	30		BS				
2430	Spectrogram 1	1	108955.983497781	108955.983497781	2124.555	2124.555	67145740.220519002341.wav	30		BS				
2431	Spectrogram 1	1	109042.658044322	109042.658044322	736.655	736.655	67145740.220519002341.wav	30		BS				
2432	Spectrogram 1	1	109070.226797715	109070.226797715	950.178	950.178	67145740.220519002341.wav	30		BS				
2433	Spectrogram 1	1	109080.296854451	109080.296854451	362.989	362.989	67145740.220519002341.wav	30		BS				
2434	Spectrogram 1	1	109093.752804728	109093.752804728	822.064	822.064	67145740.220519002341.wav	30		BS				
2435	Spectrogram 1	1	109110.267950829	109110.267950829	1804.270	1804.270	67145740.220519002341.wav	30		BS				
2436	Spectrogram 1	1	109143.452382324	109143.452382324	277.580	277.580	67145740.220519002341.wav	30		BS				
2437	Spectrogram 1	1	109157.671161125	109157.671161125	1238.434	1238.434	67145740.220519002341.wav	30		RS	YELP			
2438	Spectrogram 1	1	109164.926381403	109167.970697395	640.569	1612.100	67145740.220519002341.wav	30		RS	YELP		2	
2439	Spectrogram 1	1	109175.825846113	109175.825846113	1409.253	1409.253	67145740.220519002341.wav	30		RS	YELP			
2440	Spectrogram 1	1	109190.411596534	109190.411596534	2498.221	2498.221	67145740.220519002341.wav	30		BS				
2441	Spectrogram 1	1	109195.013969973	109195.013969973	1153.025	1153.025	67145740.220519002341.wav	30		RS	YELP			
2442	Spectrogram 1	1	109320.251315936	109320.251315936	1174.377	1174.377	67145740.220519002841.wav	30		RS	YELP			
2443	Spectrogram 1	1	109321.079832314	109321.079832314	459.075	459.075	67145740.220519002841.wav	30		RS	BARK			
2444	Spectrogram 1	1	109324.133782217	109324.133782217	576.512	576.512	67145740.220519002841.wav	30		BS				
2445	Spectrogram 1	1	109326.508977614	109335.429979541	661.922	1281.139	67145740.220519002841.wav	30		RS	YELP		4	
2446	Spectrogram 1	1	109383.560123840	109383.916578561	1067.616	1409.253	67145740.220519002841.wav	30		RS	YELP			
2447	Spectrogram 1	1	109385.332763532	109385.332763532	1323.843	1323.843	67145740.220519002841.wav	30		RS	YELP			
2448	Spectrogram 1	1	109386.450297251	109386.777850237	1195.730	1654.804	67145740.220519002841.wav	30		RS	YELP			
2449	Spectrogram 1	1	109394.445566649	109394.445566649	1056.940	1056.940	67145740.220519002841.wav	30		RS	YELP			
2450	Spectrogram 1	1	109395.986992468	109395.986992468	1088.968	1088.968	67145740.220519002841.wav	30		RS	YELP			
2451	Spectrogram 1	1	109397.027454895	109397.345373970	928.826	1291.815	67145740.220519002841.wav	30		RS	YELP			
2452	Spectrogram 1	1	109398.501443335	109398.501443335	1131.673	1131.673	67145740.220519002841.wav	30		RS	YELP			
2453	Spectrogram 1	1	109399.879092660	109399.879092660	1206.406	1206.406	67145740.220519002841.wav	30		RS	YELP			
2454	Spectrogram 1	1	109411.299667652	109412.696584801	1014.235	1676.157	67145740.220519002841.wav	30		RS	YELP		2	
2455	Spectrogram 1	1	109424.218732929	109424.218732929	1153.025	1153.025	67145740.220519002841.wav	30		BS				
2457	Spectrogram 1	1	109443.753669254	109443.753669254	913.978	913.978	67145740.220519002841.wav	30		BS				
2458	Spectrogram 1	1	109462.306831763	109462.306831763	344.086	344.086	67145740.220519002841.wav	30		BS				
2459	Spectrogram 1	1	109501.693764550	109501.693764550	1548.387	1548.387	67145740.220519002841.wav	30		BS				
2460	Spectrogram 1	1	109573.749288269	109573.749288269	1086.022	1086.022	67145740.220519003341.wav	30		RS	YELP			
2461	Spectrogram 1	1	109574.806408177	109574.806408177	967.742	967.742	67145740.220519003341.wav	30		RS	YELP			
2462	Spectrogram 1	1	109596.529990455	109600.932687950	774.194	1548.387	67145740.220519003341.wav	30		RS	YELP		6	
2463	Spectrogram 1	1	109600.589384672	109602.525800857	43.011	397.849	67145740.220519003341.wav	30		RS	GROWL		3	RS growl
2464	Spectrogram 1	1	109632.504769091	109632.504769091	1010.753	1010.753	67145740.220519003341.wav	30		RS	YELP			
2465	Spectrogram 1	1	109640.867870733	109644.634730078	709.677	1354.839	67145740.220519003341.wav	30		RS	YELP		7	
2466	Spectrogram 1	1	109641.339932390	109641.339932390	1064.516	1064.516	67145740.220519003341.wav	30		RS	BARK			
2467	Spectrogram 1	1	109642.139547034	109642.139547034	967.742	967.742	67145740.220519003341.wav	30		RS	BARK			
2468	Spectrogram 1	1	109645.097157824	109645.299469963	860.215	1516.129	67145740.220519003341.wav	30		RS	YELP			
2469	Spectrogram 1	1	109645.514933510	109645.514933510	1247.312	1247.312	67145740.220519003341.wav	30		RS	BARK			
2470	Spectrogram 1	1	109645.775049117	109645.775049117	1032.258	1032.258	67145740.220519003341.wav	30		RS	BARK			
2471	Spectrogram 1	1	109664.008539769	109667.486381772	741.935	1440.860	67145740.220519003341.wav	30		RS	YELP		5	
2472	Spectrogram 1	1	109664.538404894	109664.538404894	924.731	924.731	67145740.220519003341.wav	30		RS	BARK			
2473	Spectrogram 1	1	109665.405456917	109665.405456917	741.935	741.935	67145740.220519003341.wav	30		RS	BARK			
2474	Spectrogram 1	1	109666.291776763	109666.291776763	741.935	741.935	67145740.220519003341.wav	30		RS	BARK			
2475	Spectrogram 1	1	109695.084904035	109695.084904035	2301.075	2301.075	67145740.220519003341.wav	30		BS				
2476	Spectrogram 1	1	109737.536316278	109737.536316278	1580.645	1580.645	67145740.220519003341.wav	30		BS				
2477	Spectrogram 1	1	109879.744230955	109879.744230955	365.591	365.591	67145740.220519003841.wav	30		BS				
2478	Spectrogram 1	1	109919.296693053	109919.296693053	1752.688	1752.688	67145740.220519003841.wav	30		BS				
2479	Spectrogram 1	1	109986.922343272	109986.922343272	1129.032	1129.032	67145740.220519003841.wav	30		BS				
2480	Spectrogram 1	1	110066.431917905	110066.431917905	741.935	741.935	67145740.220519003841.wav	30		BS				
2481	Spectrogram 1	1	110089.540165715	110089.540165715	279.570	279.570	67145740.220519003841.wav	30		BS				
2482	Spectrogram 1	1	110138.552251739	110138.552251739	2258.065	2258.065	67145740.220519004341.wav	30		BS				
2483	Spectrogram 1	1	110174.547168027	110174.547168027	1215.054	1215.054	67145740.220519004341.wav	30		RS	YELP			
2484	Spectrogram 1	1	110207.350634347	110207.350634347	1333.333	1333.333	67145740.220519004341.wav	30		BS				
2485	Spectrogram 1	1	110256.219097347	110256.219097347	1559.140	1559.140	67145740.220519004341.wav	30		BS				
2486	Spectrogram 1	1	110277.977719827	110277.977719827	451.613	451.613	67145740.220519004341.wav	30		BS				
2487	Spectrogram 1	1	110308.694117196	110308.694117196	1096.774	1096.774	67145740.220519004341.wav	30		RS	YELP			
2488	Spectrogram 1	1	110314.021670182	110314.021670182	1000.000	1000.000	67145740.220519004341.wav	30		RS	YELP			
2489	Spectrogram 1	1	110411.735819840	110411.735819840	440.860	440.860	67145740.220519004841.wav	30		BS				
2490	Spectrogram 1	1	110451.348708052	110451.348708052	1623.656	1623.656	67145740.220519004841.wav	30		BS				
2491	Spectrogram 1	1	110518.646823762	110518.646823762	1924.731	1924.731	67145740.220519004841.wav	30		BS				
2492	Spectrogram 1	1	110662.506537227	110662.506537227	505.376	505.376	67145740.220519004841.wav	30		BS				
2493	Spectrogram 1	1	110697.872625301	110697.872625301	2107.527	2107.527	67145740.220519004841.wav	30		BS				
2494	Spectrogram 1	1	110765.720756316	110765.720756316	2086.022	2086.022	67145740.220519005341.wav	30		BS				
2495	Spectrogram 1	1	110785.764542573	110785.764542573	1075.269	1075.269	67145740.220519005341.wav	30		RS	YELP			
2496	Spectrogram 1	1	110829.662771817	110829.662771817	784.946	784.946	67145740.220519005341.wav	30		BS				
2497	Spectrogram 1	1	110854.462223134	110854.462223134	344.086	344.086	67145740.220519005341.wav	30		BS				
2498	Spectrogram 1	1	110870.521936938	110870.521936938	2204.301	2204.301	67145740.220519005341.wav	30		BS				
2499	Spectrogram 1	1	110912.749997171	110912.749997171	1956.989	1956.989	67145740.220519005341.wav	30		BS				
2500	Spectrogram 1	1	110991.333822757	110991.333822757	795.699	795.699	67145740.220519005341.wav	30		BS				
2501	Spectrogram 1	1	111073.342055987	111073.342055987	2569.892	2569.892	67145740.220519005841.wav	30		BS				
2502	Spectrogram 1	1	111089.126780930	111089.126780930	1268.817	1268.817	67145740.220519005841.wav	30		BS				
2503	Spectrogram 1	1	111184.925516161	111184.925516161	1107.527	1107.527	67145740.220519005841.wav	30		BS				
2504	Spectrogram 1	1	111221.537882475	111221.537882475	290.323	290.323	67145740.220519005841.wav	30		BS				
2505	Spectrogram 1	1	111281.931130510	111281.931130510	1473.118	1473.118	67145740.220519005841.wav	30		BS				
2506	Spectrogram 1	1	111431.703423398	111431.703423398	333.333	333.333	67145740.220519010341.wav	30		BS				
2507	Spectrogram 1	1	111442.315586629	111442.315586629	1430.108	1430.108	67145740.220519010341.wav	30		BS				
2508	Spectrogram 1	1	111496.835646679	111496.835646679	2225.806	2225.806	67145740.220519010341.wav	30		BS				
2509	Spectrogram 1	1	111600.020107838	111600.020107838	2623.656	2623.656	67145740.220519010341.wav	31		BS				
2510	Spectrogram 1	1	111616.412648265	111616.412648265	1258.065	1258.065	67145740.220519010841.wav	31		RS	YELP			
2511	Spectrogram 1	1	111628.800104839	111628.800104839	1129.032	1129.032	67145740.220519010841.wav	31		BS				
2512	Spectrogram 1	1	111662.351510613	111662.351510613	1440.860	1440.860	67145740.220519010841.wav	31		BS				
2513	Spectrogram 1	1	111672.542441344	111672.542441344	430.108	430.108	67145740.220519010841.wav	31		BS				
2514	Spectrogram 1	1	111685.161991488	111685.161991488	1741.935	1741.935	67145740.220519010841.wav	31		BS				
2515	Spectrogram 1	1	111694.893996816	111694.893996816	827.957	827.957	67145740.220519010841.wav	31		RS	YELP			
2516	Spectrogram 1	1	111710.521955902	111710.521955902	204.301	204.301	67145740.220519010841.wav	31		RS	GROWL			RS growl
2517	Spectrogram 1	1	111766.998557891	111766.998557891	268.817	268.817	67145740.220519010841.wav	31		BS				
2518	Spectrogram 1	1	111780.735625936	111780.735625936	1505.376	1505.376	67145740.220519010841.wav	31		BS				
2519	Spectrogram 1	1	111803.130981453	111803.140615364	569.892	569.892	67145740.220519010841.wav	31		BS				
2520	Spectrogram 1	1	111821.261109792	111821.261109792	1505.376	1505.376	67145740.220519010841.wav	31		BS				
2521	Spectrogram 1	1	111854.259909725	111854.259909725	1387.097	1387.097	67145740.220519010841.wav	31		BS				
2522	Spectrogram 1	1	111888.989284570	111888.989284570	161.290	161.290	67145740.220519010841.wav	31		BS				
2523	Spectrogram 1	1	111941.375860888	111941.375860888	752.688	752.688	67145740.220519011341.wav	31		BS				
2524	Spectrogram 1	1	111984.233611886	111984.233611886	935.484	935.484	67145740.220519011341.wav	31		BS				
2525	Spectrogram 1	1	112022.551183801	112022.551183801	2247.312	2247.312	67145740.220519011341.wav	31		BS				
2526	Spectrogram 1	1	112150.603400827	112150.603400827	677.419	677.419	67145740.220519011341.wav	31		BS				
2527	Spectrogram 1	1	112227.288457162	112227.288457162	2000.000	2000.000	67145740.220519011841.wav	31		BS				
2528	Spectrogram 1	1	112292.628259640	112292.628259640	1139.785	1139.785	67145740.220519011841.wav	31		RS	BARK			
2529	Spectrogram 1	1	112293.408606461	112293.408606461	989.247	989.247	67145740.220519011841.wav	31		RS	YELP			
2530	Spectrogram 1	1	112293.851766384	112293.851766384	1021.505	1021.505	67145740.220519011841.wav	31		RS	BARK			
2531	Spectrogram 1	1	112294.680282762	112294.680282762	1150.538	1150.538	67145740.220519011841.wav	31		RS	YELP			
2532	Spectrogram 1	1	112296.366217251	112299.728452319	150.538	1150.538	67145740.220519011841.wav	31		RS	BARK		5	
2533	Spectrogram 1	1	112296.655234592	112296.655234592	1075.269	1075.269	67145740.220519011841.wav	31		RS	YELP			
2534	Spectrogram 1	1	112295.875760890	112295.875760890	1139.785	1139.785	67145740.220519011841.wav	31		RS	YELP			
2535	Spectrogram 1	1	112298.394155594	112298.394155594	1516.129	1516.129	67145740.220519011841.wav	31		BS				
2536	Spectrogram 1	1	112303.620542643	112303.620542643	1161.290	1161.290	67145740.220519011841.wav	31		RS	YELP			
2537	Spectrogram 1	1	112304.362353818	112304.362353818	1075.269	1075.269	67145740.220519011841.wav	31		RS	YELP			
2538	Spectrogram 1	1	112305.740003144	112305.740003144	1322.581	1322.581	67145740.220519011841.wav	31		RS	YELP			
2539	Spectrogram 1	1	112306.154261333	112306.154261333	1075.269	1075.269	67145740.220519011841.wav	31		RS	YELP			
2540	Spectrogram 1	1	112302.878731468	112306.655224724	161.290	827.957	67145740.220519011841.wav	31		RS	BARK		8	
2541	Spectrogram 1	1	112369.805528443	112369.805528443	505.376	505.376	67145740.220519011841.wav	31		BS				
2542	Spectrogram 1	1	112404.754727144	112404.754727144	1129.032	1129.032	67145740.220519011841.wav	31		RS	YELP			
2543	Spectrogram 1	1	112410.458002673	112410.458002673	1107.527	1107.527	67145740.220519011841.wav	31		BS				
2544	Spectrogram 1	1	112461.524753345	112461.524753345	2075.269	2075.269	67145740.220519011841.wav	31		BS				
2545	Spectrogram 1	1	112490.029746998	112490.029746998	870.968	870.968	67145740.220519011841.wav	31		BS				
2546	Spectrogram 1	1	112502.342758216	112502.342758216	290.323	290.323	67145740.220519011841.wav	31		BS				
2547	Spectrogram 1	1	112503.595166694	112503.595166694	215.054	215.054	67145740.220519011841.wav	31		RS	GROWL			
2548	Spectrogram 1	1	112502.975090733	112502.975090733	720.430	720.430	67145740.220519011841.wav	31		RS	YELP			
2549	Spectrogram 1	1	112505.495674498	112505.495674498	1236.559	1236.559	67145740.220519011841.wav	31		RS	YELP			
2550	Spectrogram 1	1	112505.158487601	112506.276021319	118.280	1032.258	67145740.220519011841.wav	31		RS	BARK		4	
2551	Spectrogram 1	1	112512.566965443	112512.566965443	1838.710	1838.710	67145740.220519012341.wav	31		BS				
2552	Spectrogram 1	1	112569.069851840	112569.069851840	301.075	301.075	67145740.220519012341.wav	31		BS				
