Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	Quantity
531	Spectrogram 1	1	65481.228680435	65481.228680435	1782.918	1782.918	67653638.220520034010.wav	BS				
532	Spectrogram 1	1	65717.858549167	65717.858549167	576.512	576.512	67653638.220520034510.wav	BS				
533	Spectrogram 1	1	65795.009549854	65795.009549854	2252.669	2252.669	67653638.220520034510.wav	BS				
534	Spectrogram 1	1	65831.289106691	65831.289106691	1270.463	1270.463	67653638.220520034510.wav	BS				
535	Spectrogram 1	1	65884.123223013	65884.123223013	661.922	661.922	67653638.220520034510.wav	BS				
536	Spectrogram 1	1	65970.340589865	65970.340589865	309.609	309.609	67653638.220520034510.wav	BS				
537	Spectrogram 1	1	65978.968204308	65978.968204308	523.132	523.132	67653638.220520034510.wav	BS				
538	Spectrogram 1	1	66148.358646849	66148.358646849	683.274	683.274	67653638.220520035010.wav	BS				
539	Spectrogram 1	1	66161.260203069	66161.260203069	544.484	544.484	67653638.220520035010.wav	BS				
540	Spectrogram 1	1	66311.729620111	66311.729620111	693.950	693.950	67653638.220520035510.wav	BS				
541	Spectrogram 1	1	66369.692508095	66369.692508095	1195.730	1195.730	67653638.220520035510.wav	BS				
542	Spectrogram 1	1	66478.892006480	66478.892006480	2049.822	2049.822	67653638.220520035510.wav	BS				
543	Spectrogram 1	1	66595.905495642	66595.905495642	640.569	640.569	67653638.220520035510.wav	BS				
544	Spectrogram 1	1	66639.901829118	66639.901829118	256.228	256.228	67653638.220520040010.wav	BS				
545	Spectrogram 1	1	66670.324845232	66670.324845232	1238.434	1238.434	67653638.220520040010.wav	BS				
546	Spectrogram 1	1	66770.635741778	66770.635741778	416.370	416.370	67653638.220520040010.wav	BS				
547	Spectrogram 1	1	66790.972936656	66790.972936656	1313.167	1313.167	67653638.220520040010.wav	BS				
548	Spectrogram 1	1	66835.091856924	66835.091856924	1078.292	1078.292	67653638.220520040010.wav	BS				
549	Spectrogram 1	1	66909.400842785	66909.400842785	715.302	715.302	67653638.220520040510.wav	BS				
550	Spectrogram 1	1	67053.710725478	67053.710725478	416.370	416.370	67653638.220520040510.wav	BS				
551	Spectrogram 1	1	67063.420834389	67063.420834389	213.523	213.523	67653638.220520040510.wav	BS				
552	Spectrogram 1	1	67126.804946910	67126.804946910	2028.470	2028.470	67653638.220520040510.wav	BS				
553	Spectrogram 1	1	67161.833852705	67161.833852705	1387.900	1387.900	67653638.220520040510.wav	BS				
554	Spectrogram 1	1	67169.509444262	67169.509444262	288.256	288.256	67653638.220520040510.wav	BS				
555	Spectrogram 1	1	67182.673751263	67182.673751263	811.388	811.388	67653638.220520040510.wav	BS				
556	Spectrogram 1	1	67193.887614227	67193.887614227	1462.633	1462.633	67653638.220520040510.wav	BS				
557	Spectrogram 1	1	67237.811270352	67237.811270352	234.875	234.875	67653638.220520041010.wav	BS				
558	Spectrogram 1	1	67300.729463982	67300.729463982	2167.260	2167.260	67653638.220520041010.wav	BS				
559	Spectrogram 1	1	67502.786731005	67502.786731005	1889.680	1889.680	67653638.220520041010.wav	BS				
560	Spectrogram 1	1	67649.456036337	67649.456036337	1195.730	1195.730	67653638.220520041510.wav	BS				
561	Spectrogram 1	1	67838.321867654	67838.321867654	843.416	843.416	67653638.220520042010.wav	BS				
562	Spectrogram 1	1	67857.580055045	67857.580055045	1761.566	1761.566	67653638.220520042010.wav	BS				
563	Spectrogram 1	1	67902.490718276	67902.490718276	1078.292	1078.292	67653638.220520042010.wav	BS				
564	Spectrogram 1	1	67922.126381201	67922.126381201	427.046	427.046	67653638.220520042010.wav	BS				
565	Spectrogram 1	1	67968.631015095	67968.631015095	1120.996	1120.996	67653638.220520042010.wav	BS				
566	Spectrogram 1	1	67988.066115409	67988.066115409	2562.278	2562.278	67653638.220520042010.wav	BS				
567	Spectrogram 1	1	67995.657640227	67995.657640227	715.302	715.302	67653638.220520042010.wav	BS				
568	Spectrogram 1	1	68007.204335764	68007.204335764	1334.520	1334.520	67653638.220520042010.wav	BS				
569	Spectrogram 1	1	68035.952777379	68035.952777379	416.370	416.370	67653638.220520042010.wav	BS				
570	Spectrogram 1	1	68121.349527425	68121.349527425	384.342	384.342	67653638.220520042510.wav	BS				
571	Spectrogram 1	1	68256.370558135	68256.370558135	832.740	832.740	67653638.220520042510.wav	BS				
572	Spectrogram 1	1	68301.613134451	68301.613134451	1185.053	1185.053	67653638.220520042510.wav	BS				
573	Spectrogram 1	1	68327.121992866	68327.121992866	1046.263	1046.263	67653638.220520042510.wav	BS				
574	Spectrogram 1	1	68366.788305794	68366.788305794	298.932	298.932	67653638.220520042510.wav	BS				
575	Spectrogram 1	1	68444.131116209	68444.131116209	2412.811	2412.811	67653638.220520043010.wav	BS				
576	Spectrogram 1	1	68570.003415210	68570.003415210	341.637	341.637	67653638.220520043010.wav	BS				
577	Spectrogram 1	1	68597.801629659	68597.801629659	1483.986	1483.986	67653638.220520043010.wav	BS				
578	Spectrogram 1	1	68637.294535472	68637.294535472	1366.548	1366.548	67653638.220520043010.wav	BS				
579	Spectrogram 1	1	68660.337970508	68660.337970508	1996.441	1996.441	67653638.220520043010.wav	BS				
580	Spectrogram 1	1	68725.570926842	68725.570926842	491.103	491.103	67653638.220520043510.wav	BS				
581	Spectrogram 1	1	68795.301193130	68795.301193130	405.694	405.694	67653638.220520043510.wav	BS				
582	Spectrogram 1	1	68847.164912299	68847.164912299	1985.765	1985.765	67653638.220520043510.wav	BS				
583	Spectrogram 1	1	68935.490364822	68935.490364822	245.552	245.552	67653638.220520043510.wav	BS				
584	Spectrogram 1	1	68984.793211764	68984.793211764	704.626	704.626	67653638.220520043510.wav	BS				
585	Spectrogram 1	1	69118.196625061	69118.196625061	309.609	309.609	67653638.220520044010.wav	BS				
586	Spectrogram 1	1	69180.962426966	69180.962426966	2177.936	2177.936	67653638.220520044010.wav	BS				
587	Spectrogram 1	1	69198.072255586	69198.072255586	1153.025	1153.025	67653638.220520044010.wav	BS				
588	Spectrogram 1	1	69262.954888767	69262.954888767	928.826	928.826	67653638.220520044010.wav	BS				
589	Spectrogram 1	1	69289.280858355	69289.280858355	1729.537	1729.537	67653638.220520044010.wav	BS				
590	Spectrogram 1	1	69354.714405597	69354.714405597	640.569	640.569	67653638.220520044510.wav	BS				
591	Spectrogram 1	1	69379.770454185	69379.770454185	907.473	907.473	67653638.220520044510.wav	BS				
592	Spectrogram 1	1	69411.898674921	69411.898674921	939.502	939.502	67653638.220520044510.wav	BS				
593	Spectrogram 1	1	69431.409968787	69431.409968787	1355.872	1355.872	67653638.220520044510.wav	BS				
594	Spectrogram 1	1	69459.161763207	69459.161763207	256.228	256.228	67653638.220520044510.wav	BS				
595	Spectrogram 1	1	69498.313103370	69498.313103370	1313.167	1313.167	67653638.220520044510.wav	BS				
596	Spectrogram 1	1	69518.042476185	69518.042476185	533.808	533.808	67653638.220520044510.wav	BS				
597	Spectrogram 1	1	69616.560600357	69616.560600357	427.046	427.046	67653638.220520045010.wav	BS				
598	Spectrogram 1	1	69663.213264146	69663.213264146	1526.690	1526.690	67653638.220520045010.wav	BS				
599	Spectrogram 1	1	69723.884137771	69723.884137771	939.502	939.502	67653638.220520045010.wav	BS				
600	Spectrogram 1	1	69774.556746365	69774.556746365	2637.011	2637.011	67653638.220520045010.wav	BS				
601	Spectrogram 1	1	69895.536762598	69895.536762598	1024.911	1024.911	67653638.220520045010.wav	BS				
602	Spectrogram 1	1	70139.987648614	70139.987648614	1046.263	1046.263	67653638.220520045510.wav	BS				
603	Spectrogram 1	1	70192.581802799	70192.581802799	341.637	341.637	67653638.220520045510.wav	BS				
604	Spectrogram 1	1	70242.637859947	70242.637859947	1120.996	1120.996	67653638.220520050010.wav	BS				
605	Spectrogram 1	1	70339.207298849	70339.207298849	501.779	501.779	67653638.220520050010.wav	BS				
606	Spectrogram 1	1	70668.863991023	70668.863991023	1868.327	1868.327	67653638.220520050510.wav	BS				
607	Spectrogram 1	1	70859.230957387	70859.230957387	459.075	459.075	67653638.220520051010.wav	BS				
608	Spectrogram 1	1	70908.116047436	70908.116047436	2060.498	2060.498	67653638.220520051010.wav	BS				
609	Spectrogram 1	1	70922.802507813	70922.802507813	800.712	800.712	67653638.220520051010.wav	BS				
610	Spectrogram 1	1	71192.903228897	71192.903228897	843.416	843.416	67653638.220520051510.wav	BS				
611	Spectrogram 1	1	73593.908656692	73593.908656692	448.399	448.399	67653638.220520055510.wav	BS				
612	Spectrogram 1	1	73637.138637129	73637.138637129	1088.968	1088.968	67653638.220520055510.wav	BS				
613	Spectrogram 1	1	73682.198193556	73682.198193556	597.865	597.865	67653638.220520055510.wav	BS				
614	Spectrogram 1	1	73699.377193895	73699.377193895	1270.463	1270.463	67653638.220520055510.wav	BS				
615	Spectrogram 1	1	73822.827894616	73822.827894616	1985.765	1985.765	67653638.220520060010.wav	BS				
616	Spectrogram 1	1	74014.353549351	74014.353549351	1291.815	1291.815	67653638.220520060010.wav	BS				
617	Spectrogram 1	1	74062.749950693	74062.749950693	501.779	501.779	67653638.220520060010.wav	BS				
618	Spectrogram 1	1	74172.206957982	74172.206957982	811.388	811.388	67653638.220520060510.wav	BS				
619	Spectrogram 1	1	74277.038793154	74277.038793154	1014.235	1014.235	67653638.220520060510.wav	BS				
620	Spectrogram 1	1	74396.128813232	74396.128813232	1046.263	1046.263	67653638.220520060510.wav	BS				
621	Spectrogram 1	1	74673.412946371	74673.412946371	288.256	288.256	67653638.220520061010.wav	BS				
622	Spectrogram 1	1	74703.524163429	74703.524163429	1046.263	1046.263	67653638.220520061010.wav	BS				
623	Spectrogram 1	1	74832.049303332	74832.049303332	1291.815	1291.815	67653638.220520061510.wav	BS				
624	Spectrogram 1	1	74956.052639344	74956.052639344	832.740	832.740	67653638.220520061510.wav	BS				
625	Spectrogram 1	1	75089.424507825	75089.424507825	501.779	501.779	67653638.220520062010.wav	BS				
626	Spectrogram 1	1	75221.550969450	75221.550969450	918.149	918.149	67653638.220520062010.wav	BS				
627	Spectrogram 1	1	75326.856615806	75326.856615806	427.046	427.046	67653638.220520062510.wav	BS			BS	
628	Spectrogram 1	1	75435.187344401	75435.187344401	693.950	693.950	67653638.220520062510.wav	BS				
629	Spectrogram 1	1	75580.610344703	75580.610344703	896.797	896.797	67653638.220520062510.wav	BS				
630	Spectrogram 1	1	75757.577426280	75757.577426280	427.046	427.046	67653638.220520063010.wav	BS				
631	Spectrogram 1	1	75786.360916386	75786.360916386	918.149	918.149	67653638.220520063010.wav	BS				
632	Spectrogram 1	1	75798.123927486	75798.123927486	843.416	843.416	67653638.220520063010.wav	BS				
633	Spectrogram 1	1	75911.959084457	75911.959084457	747.331	747.331	67653638.220520063510.wav	BS				
634	Spectrogram 1	1	76051.274216361	76051.274216361	512.456	512.456	67653638.220520063510.wav	BS				
635	Spectrogram 1	1	76133.842972557	76133.842972557	1281.139	1281.139	67653638.220520063510.wav	BS				
636	Spectrogram 1	1	76365.436062153	76365.436062153	939.502	939.502	67653638.220520064010.wav	BS				
637	Spectrogram 1	1	76406.916176354	76406.916176354	384.342	384.342	67653638.220520064010.wav	BS				
638	Spectrogram 1	1	76438.944560251	76438.944560251	1227.758	1227.758	67653638.220520064010.wav	BS				
639	Spectrogram 1	1	76470.951028624	76470.951028624	597.865	597.865	67653638.220520064010.wav	BS				
640	Spectrogram 1	1	76587.137767157	76587.137767157	1131.673	1131.673	67653638.220520064510.wav	BS				
641	Spectrogram 1	1	76663.497020033	76663.497020033	1217.082	1217.082	67653638.220520064510.wav	RS	YELP		RS yelp	
642	Spectrogram 1	1	76690.776746846	76690.776746846	1814.947	1814.947	67653638.220520064510.wav	BS				
643	Spectrogram 1	1	76806.369669626	76806.369669626	704.626	704.626	67653638.220520065010.wav	BS				
644	Spectrogram 1	1	76838.235162452	76838.235162452	875.445	875.445	67653638.220520065010.wav	BS				
645	Spectrogram 1	1	77039.441126413	77039.441126413	971.530	971.530	67653638.220520065010.wav	BS				
646	Spectrogram 1	1	77092.139500807	77092.139500807	1323.843	1323.843	67653638.220520065010.wav	BS				
647	Spectrogram 1	1	77140.479863801	77140.479863801	1024.911	1024.911	67653638.220520065510.wav	BS				
648	Spectrogram 1	1	77249.329922370	77249.329922370	1377.224	1377.224	67653638.220520065510.wav	BS				
649	Spectrogram 1	1	77450.314334841	77450.314334841	1270.463	1270.463	67653638.220520070010.wav	BS				
650	Spectrogram 1	1	77506.919694230	77506.919694230	811.388	811.388	67653638.220520070010.wav	BS				
651	Spectrogram 1	1	77628.109906986	77628.109906986	1473.310	1473.310	67653638.220520070010.wav	BS				
652	Spectrogram 1	1	77789.675865928	77789.675865928	939.502	939.502	67653638.220520070510.wav	BS				
653	Spectrogram 1	1	77996.483530325	77996.483530325	2444.840	2444.840	67653638.220520070510.wav	BS				
654	Spectrogram 1	1	78060.629626372	78060.629626372	1024.911	1024.911	67653638.220520071010.wav	BS				
655	Spectrogram 1	1	78186.720873450	78186.720873450	1227.758	1227.758	67653638.220520071010.wav	BS				
656	Spectrogram 1	1	78489.453398646	78489.453398646	1217.082	1217.082	67653638.220520071510.wav	BS				
657	Spectrogram 1	1	78658.064378858	78658.064378858	1377.224	1377.224	67653638.220520072010.wav	BS				
658	Spectrogram 1	1	78746.679714387	78746.679714387	1409.253	1409.253	67653638.220520072010.wav	BS				
659	Spectrogram 1	1	78918.540807347	78918.540807347	864.769	864.769	67653638.220520072510.wav	BS				
660	Spectrogram 1	1	78984.235335230	78984.235335230	2370.107	2370.107	67653638.220520072510.wav	BS				
661	Spectrogram 1	1	79147.176292732	79147.176292732	1046.263	1046.263	67653638.220520072510.wav	BS				
662	Spectrogram 1	1	79302.692158625	79302.692158625	1313.167	1313.167	67653638.220520073010.wav	BS				
663	Spectrogram 1	1	79501.642906299	79501.642906299	1014.235	1014.235	67653638.220520073010.wav	BS				
664	Spectrogram 1	1	79566.910934625	79566.910934625	523.132	523.132	67653638.220520073510.wav	BS				
665	Spectrogram 1	1	79655.046336815	79655.046336815	416.370	416.370	67653638.220520073510.wav	BS				
666	Spectrogram 1	1	79697.977669289	79697.977669289	1291.815	1291.815	67653638.220520073510.wav	BS				
667	Spectrogram 1	1	79775.558679381	79775.558679381	1665.480	1665.480	67653638.220520073510.wav	BS				
668	Spectrogram 1	1	79788.142322475	79788.142322475	790.036	790.036	67653638.220520073510.wav	BS				
669	Spectrogram 1	1	79800.851191228	79800.851191228	256.228	256.228	67653638.220520073510.wav	BS				
670	Spectrogram 1	1	79830.347590775	79830.347590775	982.206	982.206	67653638.220520074010.wav	BS				
671	Spectrogram 1	1	79934.667113187	79934.667113187	1067.616	1067.616	67653638.220520074010.wav	BS				
672	Spectrogram 1	1	79960.386146359	79960.386146359	1857.651	1857.651	67653638.220520074010.wav	BS				
673	Spectrogram 1	1	80063.268429091	80063.268429091	1227.758	1227.758	67653638.220520074010.wav	BS				
674	Spectrogram 1	1	80093.278051875	80093.278051875	822.064	822.064	67653638.220520074010.wav	BS				
675	Spectrogram 1	1	80148.207136321	80148.207136321	1259.786	1259.786	67653638.220520074510.wav	BS				
676	Spectrogram 1	1	80163.722987350	80163.722987350	1088.968	1088.968	67653638.220520074510.wav	BS				
677	Spectrogram 1	1	80223.977841711	80223.977841711	715.302	715.302	67653638.220520074510.wav	BS				
678	Spectrogram 1	1	80225.018304139	80225.018304139	1419.929	1419.929	67653638.220520074510.wav	BS				
679	Spectrogram 1	1	80276.910935610	80276.910935610	544.484	544.484	67653638.220520074510.wav	BS				
680	Spectrogram 1	1	80333.433089830	80333.433089830	1259.786	1259.786	67653638.220520074510.wav	BS				
681	Spectrogram 1	1	80434.227427832	80434.227427832	2156.584	2156.584	67653638.220520075010.wav	BS				
682	Spectrogram 1	1	80569.721405845	80569.721405845	832.740	832.740	67653638.220520075010.wav	BS				
683	Spectrogram 1	1	80593.355147938	80593.355147938	1793.594	1793.594	67653638.220520075010.wav	BS				
684	Spectrogram 1	1	80629.734529085	80629.734529085	1740.214	1740.214	67653638.220520075010.wav	BS				
685	Spectrogram 1	1	80703.570576880	80703.570576880	480.427	480.427	67653638.220520075010.wav	BS				
686	Spectrogram 1	1	80704.167879385	80704.167879385	758.007	758.007	67653638.220520075010.wav	BS				
687	Spectrogram 1	1	80721.289079545	80721.289079545	405.694	405.694	67653638.220520075510.wav	BS				
688	Spectrogram 1	1	80771.278602457	80771.278602457	1409.253	1409.253	67653638.220520075510.wav	BS				
689	Spectrogram 1	1	80806.822477378	80806.822477378	427.046	427.046	67653638.220520075510.wav	BS				
690	Spectrogram 1	1	80831.985374245	80831.985374245	1505.338	1505.338	67653638.220520075510.wav	BS				
691	Spectrogram 1	1	80835.607724919	80835.607724919	1270.463	1270.463	67653638.220520075510.wav	BS				
692	Spectrogram 1	1	80859.922842205	80859.922842205	939.502	939.502	67653638.220520075510.wav	BS				
693	Spectrogram 1	1	80895.365984422	80895.365984422	266.904	266.904	67653638.220520075510.wav	BS				
694	Spectrogram 1	1	80937.733313354	80937.733313354	469.751	469.751	67653638.220520075510.wav	BS				
695	Spectrogram 1	1	80965.115529327	80965.115529327	1964.413	1964.413	67653638.220520075510.wav	BS				
696	Spectrogram 1	1	81046.570246642	81046.570246642	1409.253	1409.253	67653638.220520080010.wav	BS				
697	Spectrogram 1	1	81136.300486840	81136.300486840	1334.520	1334.520	67653638.220520080010.wav	BS				
698	Spectrogram 1	1	81204.089064861	81204.089064861	907.473	907.473	67653638.220520080010.wav	BS				
699	Spectrogram 1	1	81243.426075275	81243.426075275	992.883	992.883	67653638.220520080010.wav	BS				
700	Spectrogram 1	1	81256.177000495	81256.177000495	1345.196	1345.196	67653638.220520080010.wav	BS				
701	Spectrogram 1	1	81279.605791985	81279.605791985	629.893	629.893	67653638.220520080010.wav	BS				
702	Spectrogram 1	1	81336.481778280	81336.481778280	384.342	384.342	67653638.220520080510.wav	BS				
703	Spectrogram 1	1	81343.341135477	81343.341135477	1377.224	1377.224	67653638.220520080510.wav	BS				
704	Spectrogram 1	1	81375.326594759	81375.326594759	2103.203	2103.203	67653638.220520080510.wav	BS				
705	Spectrogram 1	1	81406.711249193	81406.711249193	1185.053	1185.053	67653638.220520080510.wav	BS				
706	Spectrogram 1	1	81494.561117908	81494.561117908	416.370	416.370	67653638.220520080510.wav	BS				
707	Spectrogram 1	1	81524.346553274	81524.346553274	1334.520	1334.520	67653638.220520080510.wav	BS				
708	Spectrogram 1	1	81565.169808684	81565.169808684	2327.402	2327.402	67653638.220520080510.wav	BS				
709	Spectrogram 1	1	81567.289269185	81567.289269185	896.797	896.797	67653638.220520080510.wav	BS				
710	Spectrogram 1	1	81577.597562959	81577.597562959	619.217	619.217	67653638.220520080510.wav	BS				
711	Spectrogram 1	1	81623.786027304	81623.786027304	1526.690	1526.690	67653638.220520081010.wav	BS				
712	Spectrogram 1	1	81642.859439908	81642.859439908	1110.320	1110.320	67653638.220520081010.wav	BS				
713	Spectrogram 1	1	81663.701092612	81663.701092612	565.836	565.836	67653638.220520081010.wav	BS				
714	Spectrogram 1	1	81707.116746589	81707.116746589	1377.224	1377.224	67653638.220520081010.wav	BS				
715	Spectrogram 1	1	81719.195925908	81719.195925908	2583.630	2583.630	67653638.220520081010.wav	BS				
716	Spectrogram 1	1	81736.882023865	81736.882023865	1313.167	1313.167	67653638.220520081010.wav	BS				
717	Spectrogram 1	1	81742.248112497	81742.248112497	491.103	491.103	67653638.220520081010.wav	BS				
718	Spectrogram 1	1	81751.015853571	81751.015853571	2551.601	2551.601	67653638.220520081010.wav	BS				
719	Spectrogram 1	1	81759.907070776	81759.907070776	683.274	683.274	67653638.220520081010.wav	BS				
720	Spectrogram 1	1	81838.357764777	81838.357764777	309.609	309.609	67653638.220520081010.wav	BS				
721	Spectrogram 1	1	81902.199062412	81902.199062412	2017.794	2017.794	67653638.220520081010.wav	BS				
722	Spectrogram 1	1	81909.651324480	81909.651324480	469.751	469.751	67653638.220520081510.wav	BS				
723	Spectrogram 1	1	81956.253203346	81956.253203346	1964.413	1964.413	67653638.220520081510.wav	BS				
724	Spectrogram 1	1	82005.017433609	82005.017433609	896.797	896.797	67653638.220520081510.wav	BS				
725	Spectrogram 1	1	82028.657299361	82028.657299361	469.751	469.751	67653638.220520081510.wav	BS				
726	Spectrogram 1	1	82066.985378306	82066.985378306	1099.644	1099.644	67653638.220520081510.wav	BS				
727	Spectrogram 1	1	82208.850836718	82208.850836718	950.178	950.178	67653638.220520082010.wav	BS				
728	Spectrogram 1	1	82211.600000512	82211.600000512	384.342	384.342	67653638.220520082010.wav	BS				
729	Spectrogram 1	1	82234.354418207	82234.354418207	843.416	843.416	67653638.220520082010.wav	BS				
730	Spectrogram 1	1	82268.404190887	82268.404190887	1804.270	1804.270	67653638.220520082010.wav	BS				
731	Spectrogram 1	1	82297.524873839	82297.524873839	1302.491	1302.491	67653638.220520082010.wav	BS				
732	Spectrogram 1	1	82313.275443219	82313.275443219	1483.986	1483.986	67653638.220520082010.wav	BS				
733	Spectrogram 1	1	82325.874851792	82325.874851792	790.036	790.036	67653638.220520082010.wav	BS				
734	Spectrogram 1	1	82341.620161392	82341.620161392	1387.900	1387.900	67653638.220520082010.wav	BS				
735	Spectrogram 1	1	82379.408732062	82379.408732062	1067.616	1067.616	67653638.220520082010.wav	BS				
736	Spectrogram 1	1	82423.875364735	82423.875364735	341.637	341.637	67653638.220520082010.wav	BS				
737	Spectrogram 1	1	82479.336045756	82479.336045756	2103.203	2103.203	67653638.220520082010.wav	BS				
738	Spectrogram 1	1	82588.363905785	82588.363905785	1387.900	1387.900	67653638.220520082510.wav	BS				
739	Spectrogram 1	1	82610.802157222	82610.802157222	512.456	512.456	67653638.220520082510.wav	BS				
740	Spectrogram 1	1	82658.122180477	82658.122180477	1120.996	1120.996	67653638.220520082510.wav	BS				
741	Spectrogram 1	1	82807.347943255	82807.347943255	341.637	341.637	67653638.220520083010.wav	BS				
742	Spectrogram 1	1	82839.680249157	82839.680249157	416.370	416.370	67653638.220520083010.wav	BS				
743	Spectrogram 1	1	82872.095732107	82872.095732107	1334.520	1334.520	67653638.220520083010.wav	BS				
744	Spectrogram 1	1	82903.382293281	82903.382293281	854.093	854.093	67653638.220520083010.wav	BS				
745	Spectrogram 1	1	82924.384218805	82924.384218805	1355.872	1355.872	67653638.220520083010.wav	BS				
746	Spectrogram 1	1	82928.175603792	82928.175603792	256.228	256.228	67653638.220520083010.wav	BS				
747	Spectrogram 1	1	82978.927922140	82978.927922140	1441.281	1441.281	67653638.220520083010.wav	BS				
748	Spectrogram 1	1	83058.924414762	83058.924414762	1313.167	1313.167	67653638.220520083010.wav	BS				
749	Spectrogram 1	1	83063.448862660	83063.448862660	459.075	459.075	67653638.220520083010.wav	BS				
750	Spectrogram 1	1	83088.560067819	83088.560067819	960.854	960.854	67653638.220520083010.wav	BS				
751	Spectrogram 1	1	83177.311179521	83177.311179521	427.046	427.046	67653638.220520083510.wav	BS				
752	Spectrogram 1	1	83184.821251007	83184.821251007	1494.662	1494.662	67653638.220520083510.wav	BS				
753	Spectrogram 1	1	83217.285782232	83217.285782232	1217.082	1217.082	67653638.220520083510.wav	BS				
754	Spectrogram 1	1	83320.563055330	83320.563055330	330.961	330.961	67653638.220520083510.wav	BS				
755	Spectrogram 1	1	83351.728747479	83351.728747479	1313.167	1313.167	67653638.220520083510.wav	BS				
756	Spectrogram 1	1	83370.592839565	83370.592839565	843.416	843.416	67653638.220520083510.wav	BS				
757	Spectrogram 1	1	83398.772898887	83398.772898887	1313.167	1313.167	67653638.220520083510.wav	BS				
758	Spectrogram 1	1	83423.783401369	83423.783401369	373.665	373.665	67653638.220520084010.wav	BS				
759	Spectrogram 1	1	83479.888685727	83479.888685727	533.808	533.808	67653638.220520084010.wav	BS				
760	Spectrogram 1	1	83500.689176850	83500.689176850	1046.263	1046.263	67653638.220520084010.wav	BS				
761	Spectrogram 1	1	83519.763437742	83519.763437742	1366.548	1366.548	67653638.220520084010.wav	BS				
762	Spectrogram 1	1	83559.508584016	83559.508584016	960.854	960.854	67653638.220520084010.wav	BS				
763	Spectrogram 1	1	83564.258102321	83564.258102321	1259.786	1259.786	67653638.220520084010.wav	BS				
764	Spectrogram 1	1	83590.996583230	83590.996583230	1110.320	1110.320	67653638.220520084010.wav	BS				
765	Spectrogram 1	1	83683.074873197	83683.074873197	373.665	373.665	67653638.220520084010.wav	BS				
766	Spectrogram 1	1	83703.952434281	83703.952434281	758.007	758.007	67653638.220520084010.wav	BS				
767	Spectrogram 1	1	83750.062977892	83750.062977892	2380.783	2380.783	67653638.220520084510.wav	BS				
768	Spectrogram 1	1	83808.507536789	83808.507536789	330.961	330.961	67653638.220520084510.wav	BS				
769	Spectrogram 1	1	83839.428884759	83839.428884759	918.149	918.149	67653638.220520084510.wav	BS				
770	Spectrogram 1	1	83883.015323206	83883.015323206	1291.815	1291.815	67653638.220520084510.wav	BS				
771	Spectrogram 1	1	84014.276490244	84014.276490244	480.427	480.427	67653638.220520085010.wav	BS				
772	Spectrogram 1	1	84098.383172979	84098.383172979	1099.644	1099.644	67653638.220520085010.wav	BS				
773	Spectrogram 1	1	84118.213266948	84118.213266948	1206.406	1206.406	67653638.220520085010.wav	BS				
774	Spectrogram 1	1	84231.433599829	84231.433599829	1345.196	1345.196	67653638.220520085010.wav	BS				
775	Spectrogram 1	1	84295.383514902	84295.383514902	693.950	693.950	67653638.220520085010.wav	BS				
776	Spectrogram 1	1	84341.645567076	84341.645567076	768.683	768.683	67653638.220520085510.wav	BS				
777	Spectrogram 1	1	84370.746983186	84370.746983186	1217.082	1217.082	67653638.220520085510.wav	BS				
778	Spectrogram 1	1	84395.446578209	84395.446578209	1099.644	1099.644	67653638.220520085510.wav	BS				
779	Spectrogram 1	1	84429.272116872	84429.272116872	341.637	341.637	67653638.220520085510.wav	BS				
780	Spectrogram 1	1	84492.353221155	84492.353221155	2060.498	2060.498	67653638.220520085510.wav	BS				
781	Spectrogram 1	1	84573.130038831	84573.130038831	982.206	982.206	67653638.220520085510.wav	BS				
782	Spectrogram 1	1	84579.757308632	84579.757308632	1163.701	1163.701	67653638.220520085510.wav	BS				
783	Spectrogram 1	1	84595.889714975	84595.889714975	886.121	886.121	67653638.220520085510.wav	BS				
784	Spectrogram 1	1	84610.637485783	84610.637485783	371.025	371.025	67653638.220520090010.wav	BS				
785	Spectrogram 1	1	84635.958044723	84635.958044723	1982.332	1982.332	67653638.220520090010.wav	BS				
786	Spectrogram 1	1	84663.579354108	84663.579354108	901.060	901.060	67653638.220520090010.wav	BS				
787	Spectrogram 1	1	84705.655024575	84705.655024575	487.633	487.633	67653638.220520090010.wav	BS				
788	Spectrogram 1	1	84744.027762825	84744.027762825	2024.735	2024.735	67653638.220520090010.wav	BS				
789	Spectrogram 1	1	84758.100283429	84758.100283429	1155.477	1155.477	67653638.220520090010.wav	BS				
790	Spectrogram 1	1	84797.543248391	84797.543248391	964.664	964.664	67653638.220520090010.wav	BS				
791	Spectrogram 1	1	84830.887990991	84830.887990991	1961.131	1961.131	67653638.220520090010.wav	BS				
792	Spectrogram 1	1	84894.514694874	84894.514694874	848.057	848.057	67653638.220520090010.wav	BS				
793	Spectrogram 1	1	84974.182786221	84974.182786221	1113.074	1113.074	67653638.220520090510.wav	BS				
794	Spectrogram 1	1	85081.199769117	85081.199769117	1780.919	1780.919	67653638.220520090510.wav	BS				
795	Spectrogram 1	1	85100.375633522	85100.375633522	932.862	932.862	67653638.220520090510.wav	BS				
796	Spectrogram 1	1	85148.695818215	85148.695818215	360.424	360.424	67653638.220520090510.wav	BS				
797	Spectrogram 1	1	85182.707035038	85182.707035038	1855.124	1855.124	67653638.220520090510.wav	BS				
