	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
307	312	Spectrogram 1	1	24970.860409651	24971.563927239	100.775	1844.961	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.7035	69.1721	Y	1	2	X	BY		
308	313	Spectrogram 1	1	24971.7963393	24972.311414676	100.775	1759.69	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.5151	70.108	Y	1	1	X	BY		
309	314	Spectrogram 1	1	24973.262101927	24973.902805445	69.767	2465.116	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.6407	71.5738	Y	1	1	X	BY		
310	315	Spectrogram 1	1	24975.165368259	24975.780946148	914.729	1542.636	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.6156	73.477	X	0	1	X	Y		
311	316	Spectrogram 1	1	24976.314865746	24977.3450165	69.767	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	1.0302	74.6265	Y	2	2	X	BY		
312	317	Spectrogram 1	1	24977.890140797	24978.524562907	139.535	1310.078	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.6344	76.2018	Y	2	1	X	BY		
313	318	Spectrogram 1	1	24979.711066948	24980.433428757	193.798	1418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.7224	78.0227	Y	2	2	X	BY		
314	319	Spectrogram 1	1	24983.995811894	24984.630234004	124.031	1472.868	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.6344	82.3075	Y	2	1	X	BY		
315	320	Spectrogram 1	1	24985.495247601	24987.341981269	93.023	1387.597	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	1.8467	83.8069	Y	4	4	X	BY		
316	321	Spectrogram 1	1	24990.530373649	24990.787911338	837.209	1449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.2575	88.842	X	0	1	X	Y		
317	322	Spectrogram 1	1	24991.541680182	24991.899720383	782.946	1418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.358	89.8533	X	0	1	X	Y		
318	323	Spectrogram 1	1	24992.251479177	24992.590675157	759.69	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.3392	90.5631	X	0	1	X	Y		
319	324	Spectrogram 1	1	24995.544366782	24995.827030098	968.992	1581.395	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.2827	93.856	X	0	1	X	Y		
320	325	Spectrogram 1	1	24996.159944671	24997.673763767	100.775	1883.721	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	1.5138	94.4716	Y	4	3	X	BY		
321	326	Spectrogram 1	1	25001.58565664	25001.874601364	775.194	1558.14	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.2889	99.8973	X	0	1	X	Y		
322	327	Spectrogram 1	1	25005.90726468	25006.18364659	775.194	1403.101	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.2764	104.2189	X	0	1	X	Y		
323	328	Spectrogram 1	1	25003.243948097	25003.476360158	844.961	1333.333	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518010338.wav	67145740.220518010338.wav	0.2324	101.5556	X	0	1	X	Y		
324	329	Spectrogram 1	1	25503.509889377	25503.949587869	116.279	449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.4397	1.7694	Y	1	0	X	G		
325	330	Spectrogram 1	1	25546.337956647	25547.116851119	100.775	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.7789	44.5975	Y	1	2	X	BY		
326	331	Spectrogram 1	1	25547.380670215	25549.007554637	930.233	1558.14	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	1.6269	45.6402	X	0	3	X	Y		
327	332	Spectrogram 1	1	25549.298094841	25550.623471726	46.512	1620.155	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	1.3254	47.5576	Y	2	3	X	BY		
328	333	Spectrogram 1	1	25551.319486641	25552.902401213	139.535	1736.434	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	1.5829	49.579	Y	3	2	X	BY		
329	334	Spectrogram 1	1	25720.018227248	25721.192850364	85.271	496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	1.1746	218.2777	Y	1	0	X	G		
330	335	Spectrogram 1	1	25722.040840313	25722.49310162	93.023	434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.4523	220.3003	Y	1	0	X	G		
331	336	Spectrogram 1	1	25723.705413178	25724.038327751	38.76	348.837	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.3329	221.9649	Y	1	0	X	G		
332	337	Spectrogram 1	1	25725.282046343	25725.677774987	7.752	348.837	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.3957	223.5415	Y	1	0	X	G		
333	338	Spectrogram 1	1	25754.146627409	25754.573763088	31.008	403.101	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.4271	252.4061	Y	1	0	X	G		
334	339	Spectrogram 1	1	25755.968235449	25756.803662585	100.775	426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.8354	254.2277	Y	1	0	X	G		
335	340	Spectrogram 1	1	25759.550678411	25760.247914592	85.271	426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011338.wav	67145740.220518011338.wav	0.6972	257.8102	Y	1	0	X	G		
336	341	Spectrogram 1	1	25926.86443701	25927.172225955	1232.558	1906.977	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011838.wav	67145740.220518011838.wav	0.3078	125.1336	X	0	1	X	Y		
337	342	Spectrogram 1	1	25933.101106231	25933.603618794	821.705	1891.473	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518011838.wav	67145740.220518011838.wav	0.5025	131.3703	X	0	1	X	Y		
338	343	Spectrogram 1	1	26556.428307934	26556.830317984	69.767	434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518012838.wav	67145740.220518012838.wav	0.402	154.6253	X	0	1	X	Y		
339	344	Spectrogram 1	1	26562.092702045	26562.978380437	77.519	403.101	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518012838.wav	67145740.220518012838.wav	0.8857	160.2897	X	1	0	Y	G	BS OVERLAP	
340	346	Spectrogram 1	1	26895.705127478	26896.5279918	7.752	426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518013338.wav	67145740.220518013338.wav	0.8229	193.867	Y	1	0	X	G		
341	347	Spectrogram 1	1	26893.230253106	26894.034273207	7.752	434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518013338.wav	67145740.220518013338.wav	0.804	191.3921	Y	1	0	X	G		
342	348	Spectrogram 1	1	27193.956928304	27194.120244887	829.457	1077.519	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518013838.wav	67145740.220518013838.wav	0.1633	192.1276	X	0	1	X	Y		
343	349	Spectrogram 1	1	27194.566224786	27196.90918961	612.403	1147.287	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518013838.wav	67145740.220518013838.wav	2.343	192.7369	X	0	4	X	Y		
344	350	Spectrogram 1	1	27249.89769207	27250.230606643	682.171	1015.504	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518013838.wav	67145740.220518013838.wav	0.3329	248.0684	X	0	1	X	Y		
345	351	Spectrogram 1	1	27251.859614597	27252.9337352	108.527	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518013838.wav	67145740.220518013838.wav	1.0741	250.0303	Y	2	1	X	BY		
346	352	Spectrogram 1	1	27381.93538817	27382.192925859	782.946	1069.767	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518014338.wav	67145740.220518014338.wav	0.2575	80.0267	X	0	1	X	Y		
347	353	Spectrogram 1	1	27556.086162932	27557.562293585	54.264	620.155	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518014338.wav	67145740.220518014338.wav	1.4761	254.1775	Y	1	0	X	G		
348	354	Spectrogram 1	1	27607.128792989	27608.184069371	23.256	488.372	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518014838.wav	67145740.220518014838.wav	1.0553	5.2225	Y	1	0	X	G		
349	355	Spectrogram 1	1	28043.19484614	28044.080524532	7.752	457.364	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015338.wav	67145740.220518015338.wav	0.8857	141.2545	Y	1	0	X	G		
350	356	Spectrogram 1	1	28289.242143203	28289.468273856	581.395	1031.008	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015838.wav	67145740.220518015838.wav	0.2261	87.3098	X	0	1	X	Y		
351	357	Spectrogram 1	1	28296.592066607	28296.868448517	372.093	1232.558	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015838.wav	67145740.220518015838.wav	0.2764	94.6597	X	0	1	X	Y		
352	358	Spectrogram 1	1	28396.39273593	28396.650273618	542.636	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015838.wav	67145740.220518015838.wav	0.2575	194.4604	X	0	1	X	Y		
353	359	Spectrogram 1	1	28400.471541382	28401.131089121	620.155	1131.783	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015838.wav	67145740.220518015838.wav	0.6595	198.5392	X	0	1	X	Y		
354	360	Spectrogram 1	1	28401.633601683	28402.186365503	620.155	1069.767	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015838.wav	67145740.220518015838.wav	0.5528	199.7013	X	0	1	X	Y		
355	361	Spectrogram 1	1	28402.76425495	28403.423802688	674.419	1038.76	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518015838.wav	67145740.220518015838.wav	0.6595	200.8319	X	0	1	X	Y		
356	362	Spectrogram 1	1	28727.914942064	28728.128509903	666.667	1302.326	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518020338.wav	67145740.220518020338.wav	0.2136	225.9428	X	0	1	X	Y		
357	363	Spectrogram 1	1	28729.033032516	28729.259163169	279.07	573.643	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518020338.wav	67145740.220518020338.wav	0.2261	227.0609	X	0	1	X	Y		
358	364	Spectrogram 1	1	28729.749112918	28730.031776235	651.163	1550.388	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518020338.wav	67145740.220518020338.wav	0.2827	227.7769	X	0	1	X	Y		
359	365	Spectrogram 1	1	29133.218988832	29133.577029033	0.0	1488.372	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518021338.wav	67145740.220518021338.wav	0.358	31.1943	Y	1	1	X	BY		
360	366	Spectrogram 1	1	29233.246676836	29236.90245573	720.93	1457.364	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518021338.wav	67145740.220518021338.wav	3.6558	131.222	X	0	4	X	Y	AT LEAST 4	
361	367	Spectrogram 1	1	29561.837521231	29562.132747362	1038.76	1550.388	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518021838.wav	67145740.220518021838.wav	0.2952	159.7627	X	0	1	X	Y		
362	368	Spectrogram 1	1	29564.337521231	29564.563651884	937.984	1534.884	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518021838.wav	67145740.220518021838.wav	0.2261	162.2627	X	0	1	X	Y		
363	369	Spectrogram 1	1	29929.85546847	29930.238634299	837.209	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518022338.wav	67145740.220518022338.wav	0.3832	227.7971	X	0	1	X	Y		
364	370	Spectrogram 1	1	30110.820930452	30111.18525206	821.705	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518022838.wav	67145740.220518022838.wav	0.3643	108.6713	X	0	1	X	Y		
365	371	Spectrogram 1	1	30120.554989715	30120.86277866	875.969	1255.814	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518022838.wav	67145740.220518022838.wav	0.3078	118.4053	X	0	1	X	Y		
366	372	Spectrogram 1	1	30122.847703283	30123.199462077	844.961	1511.628	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518022838.wav	67145740.220518022838.wav	0.3518	120.698	X	0	1	X	Y		
367	373	Spectrogram 1	1	30175.680919884	30176.905794256	38.76	891.473	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518022838.wav	67145740.220518022838.wav	1.2249	173.5312	Y	1	0	X	G		
368	374	Spectrogram 1	1	30329.031244673	30329.502350201	736.434	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023338.wav	67145740.220518023338.wav	0.4711	26.8651	X	0	1	X	Y		
369	375	Spectrogram 1	1	30506.123225768	30506.719959436	759.69	1341.085	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023338.wav	67145740.220518023338.wav	0.5967	203.9571	X	0	2	X	Y		
370	376	Spectrogram 1	1	30507.630763457	30507.806642854	806.202	1147.287	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023338.wav	67145740.220518023338.wav	0.1759	205.4646	X	0	1	X	Y		
371	377	Spectrogram 1	1	30508.252622753	30508.8305122	69.767	1372.093	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023338.wav	67145740.220518023338.wav	0.5779	206.0865	Y	1	0	X	G		
372	378	Spectrogram 1	1	30509.854381547	30510.325487075	503.876	1356.589	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023338.wav	67145740.220518023338.wav	0.4711	207.6882	X	0	2	X	Y		
373	379	Spectrogram 1	1	30787.440861325	30788.282569868	1201.55	1736.434	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.8417	186.4409	X	0	1	X	Y		
374	380	Spectrogram 1	1	30827.1318549	30828.400699122	0.0	1596.899	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	1.2688	226.1319	Y	1	0	X	G		
375	381	Spectrogram 1	1	30829.103006769	30830.026373603	38.76	767.442	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.9234	228.103	Y	1	0	X	G		
376	382	Spectrogram 1	1	30839.373883719	30840.083682714	38.76	418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.7098	238.3739	Y	1	0	X	G		
377	383	Spectrogram 1	1	30855.728986101	30856.49531776	31.008	387.597	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.7663	254.729	Y	1	0	X	G		
378	384	Spectrogram 1	1	30857.384247044	30858.288769657	612.403	1186.047	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.9045	256.3843	X	0	1	X	Y		
379	385	Spectrogram 1	1	30858.935754581	30859.513644029	620.155	1100.775	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.5779	257.9357	X	0	1	X	Y		
380	386	Spectrogram 1	1	30860.129221918	30860.738518401	713.178	1178.295	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518023838.wav	67145740.220518023838.wav	0.6093	259.1292	X	0	1	X	Y		
381	387	Spectrogram 1	1	31099.297393233	31099.70568469	806.202	1875.969	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024338.wav	67145740.220518024338.wav	0.4083	198.2829	X	0	1	X	Y		
382	388	Spectrogram 1	1	31100.409202278	31100.729554037	1248.062	2108.527	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024338.wav	67145740.220518024338.wav	0.3204	199.3947	X	0	1	X	Y		
383	389	Spectrogram 1	1	31101.288599263	31101.678046499	821.705	1837.209	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024338.wav	67145740.220518024338.wav	0.3894	200.2741	X	0	1	X	Y		
384	390	Spectrogram 1	1	31178.853964925	31180.330095578	69.767	581.395	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024338.wav	67145740.220518024338.wav	1.4761	277.8395	Y	1	0	X	G		
385	391	Spectrogram 1	1	31217.923401558	31218.136969397	596.899	961.24	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024838.wav	67145740.220518024838.wav	0.2136	16.8807	X	0	1	X	Y		
386	392	Spectrogram 1	1	31235.695544902	31236.097554952	643.411	930.233	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024838.wav	67145740.220518024838.wav	0.402	34.6529	X	0	1	X	Y		
387	393	Spectrogram 1	1	31236.857605204	31237.159112741	627.907	844.961	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518024838.wav	67145740.220518024838.wav	0.3015	35.8149	X	0	1	X	Y		
388	394	Spectrogram 1	1	31748.275656382	31748.63997799	860.465	1317.829	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518025338.wav	67145740.220518025338.wav	0.3643	247.1723	X	0	1	X	Y		
389	395	Spectrogram 1	1	32222.686088291	32222.993877236	713.178	1387.597	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030338.wav	67145740.220518030338.wav	0.3078	121.5289	X	0	1	X	Y		
390	396	Spectrogram 1	1	32223.860711407	32224.36322397	837.209	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030338.wav	67145740.220518030338.wav	0.5025	122.7035	X	0	1	X	Y		
391	397	Spectrogram 1	1	32225.148399849	32225.418500352	1046.512	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030338.wav	67145740.220518030338.wav	0.2701	123.9912	X	0	1	X	Y		
392	398	Spectrogram 1	1	32412.110281784	32412.411789322	534.884	1062.016	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.3015	10.9659	X	0	1	X	Y		
393	399	Spectrogram 1	1	32412.94570892	32413.548723995	620.155	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.603	11.8014	X	0	1	X	Y		
394	400	Spectrogram 1	1	32440.670471303	32441.229516529	868.217	1837.209	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.559	39.5261	Y	1	1	X	BY	FAINT	
395	401	Spectrogram 1	1	32441.499617031	32441.725747684	1162.791	1550.388	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2261	40.3553	X	0	1	X	Y		
396	403	Spectrogram 1	1	32442.228260247	32442.448109493	821.705	1589.147	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2198	41.0839	Y	1	0	X	B	FAINT	
397	404	Spectrogram 1	1	32443.051124569	32443.270973815	813.953	1604.651	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2198	41.9068	Y	1	0	X	B	FAINT	
398	405	Spectrogram 1	1	32578.44023196	32578.67264402	1023.256	1403.101	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2324	177.2959	X	0	1	X	Y		
399	406	Spectrogram 1	1	32579.376161608	32579.633699296	1038.76	1457.364	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2575	178.2318	X	0	1	X	Y		
400	407	Spectrogram 1	1	32581.819628945	32582.08344804	1054.264	1542.636	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2638	180.6753	X	0	1	X	Y		
401	408	Spectrogram 1	1	32603.58693608	32603.806785327	1077.519	1527.132	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518030838.wav	67145740.220518030838.wav	0.2198	202.4426	X	0	1	X	Y		
402	409	Spectrogram 1	1	33133.573451633	33134.515662688	77.519	813.953	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.9422	132.3359	Y	1	0	X	G		
403	410	Spectrogram 1	1	33135.12495917	33135.514406407	15.504	348.837	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.3894	133.8875	Y	1	0	X	G		
404	411	Spectrogram 1	1	33136.758124999	33136.946567211	170.543	713.178	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.1884	135.5206	Y	1	0	X	B		
405	412	Spectrogram 1	1	33138.058376256	33138.265662688	124.031	666.667	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2073	136.8209	Y	1	0	X	B		
406	413	Spectrogram 1	1	33139.101089824	33139.308376256	93.023	658.915	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2073	137.8636	Y	1	0	X	B		
407	414	Spectrogram 1	1	33140.118677763	33140.332245603	77.519	666.667	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2136	138.8812	Y	1	0	X	B		
408	415	Spectrogram 1	1	33190.92972677	33191.915907675	38.76	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.9862	189.6922	Y	1	1	X	BY		
409	416	Spectrogram 1	1	33194.88610622	33195.401181597	387.597	906.977	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.5151	193.6486	X	0	1	X	Y		
410	417	Spectrogram 1	1	33195.382337376	33197.66248813	31.008	1038.76	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	2.2802	194.1448	Y	1	0	X	G		
411	418	Spectrogram 1	1	33199.585666111	33199.824359578	85.271	844.961	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2387	198.3482	Y	1	0	X	B		
412	419	Spectrogram 1	1	33200.345716362	33200.873354553	0.0	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.5276	199.1082	Y	1	1	X	BY		
413	420	Spectrogram 1	1	33201.28164601	33201.570590734	46.512	1263.566	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2889	200.0441	Y	1	0	X	B		
414	421	Spectrogram 1	1	33207.468299172	33207.681867012	93.023	1178.295	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2136	206.2308	Y	1	0	X	B		
415	422	Spectrogram 1	1	33208.381297981	33208.82727788	77.519	1573.643	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.446	207.1438	Y	1	1	X	BY		
416	423	Spectrogram 1	1	33210.441599489	33210.661448735	457.364	790.698	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2198	209.2041	X	0	1	X	Y		
417	424	Spectrogram 1	1	33211.680092778	33211.899942024	100.775	1364.341	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2198	210.4426	Y	1	0	X	B		
418	425	Spectrogram 1	1	33212.214012376	33212.383610366	69.767	1488.372	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.1696	210.9765	Y	1	0	X	B		
419	426	Spectrogram 1	1	33216.218448294	33216.639302565	0.0	1581.395	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.4209	214.9809	Y	1	1	X	BY		
420	427	Spectrogram 1	1	33219.19559881	33220.269719413	15.504	1782.946	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	1.0741	217.9581	Y	2	2	X	BY	GOOD	
421	428	Spectrogram 1	1	33220.72198072	33221.35640283	15.504	1829.457	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.6344	219.4845	Y	2	0	X	B	GOOD	
422	429	Spectrogram 1	1	33222.041076197	33222.260925443	93.023	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2198	220.8036	Y	1	0	X	B	GOOD	
423	430	Spectrogram 1	1	33237.381638894	33237.588925327	31.008	1643.411	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518031838.wav	67145740.220518031838.wav	0.2073	236.1441	Y	1	0	X	B		
424	431	Spectrogram 1	1	33311.042670302	33311.281363769	124.031	1503.876	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518032338.wav	67145740.220518032338.wav	0.2387	9.801	Y	1	0	X	B		
425	432	Spectrogram 1	1	33336.409678744	33336.698623467	922.481	1364.341	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518032338.wav	67145740.220518032338.wav	0.2889	35.168	X	0	1	X	Y		
426	433	Spectrogram 1	1	33434.296833065	33434.705124523	1031.008	1620.155	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518032338.wav	67145740.220518032338.wav	0.4083	133.0552	X	0	1	X	Y		
427	434	Spectrogram 1	1	33437.261657186	33437.688792864	1077.519	1705.426	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518032338.wav	67145740.220518032338.wav	0.4271	136.02	X	0	1	X	Y		
428	435	Spectrogram 1	1	33439.328240101	33439.579496382	1139.535	1697.674	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518032338.wav	67145740.220518032338.wav	0.2513	138.0866	X	0	1	X	Y		
429	436	Spectrogram 1	1	33440.816933568	33441.25663206	1062.016	1868.217	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220518032338.wav	67145740.220518032338.wav	0.4397	139.5753	X	0	1	X	Y		
