	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	BILL CHECK
248	250	Spectrogram 1	1	31356.494095039	31356.814446798	592.308	1384.615	0.3204	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	153.7323	X	0	1	X	Y		
249	251	Spectrogram 1	1	31357.857160365	31358.108416647	476.923	1207.692	0.2513	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	155.0953	X	0	1	X	Y		
250	252	Spectrogram 1	1	31358.882548274	31361.922749279	569.231	1523.077	3.0402	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	156.1207	X	0	4	X	Y		
251	253	Spectrogram 1	1	31363.294054383	31371.101843328	561.538	1646.154	7.8078	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	160.5322	X	0	11	X	Y		
252	254	Spectrogram 1	1	31424.088993334	31424.264872731	1061.538	1315.385	0.1759	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	221.3272	X	0	1	X	Y		
253	255	Spectrogram 1	1	31424.930701877	31425.112862681	953.846	1253.846	0.1822	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	222.1689	X	0	1	X	Y		
254	256	Spectrogram 1	1	31436.636748737	31436.86287939	638.462	1061.538	0.2261	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	233.8749	X	0	1	X	Y		
255	257	Spectrogram 1	1	31437.861623108	31438.23850753	600.0	1315.385	0.3769	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	235.0998	X	0	1	X	Y		
256	258	Spectrogram 1	1	31439.833984917	31440.028708535	653.846	1423.077	0.1947	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	237.0722	X	0	1	X	Y		
257	259	Spectrogram 1	1	31440.649204054	31447.22583722	446.154	1630.769	6.5766	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	237.8874	X	0	9	X	Y		
258	260	Spectrogram 1	1	31447.630341055	31448.007225477	607.692	1476.923	0.3769	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	244.8685	X	0	1	X	Y		
259	261	Spectrogram 1	1	31449.08134608	31452.266019447	392.308	1569.231	3.1847	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	246.3195	X	0	5	X	Y		
260	262	Spectrogram 1	1	31477.008258442	31478.591173015	938.462	1623.077	1.5829	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	274.2464	X	0	3	X	Y		
261	263	Spectrogram 1	1	31480.44418809	31481.97057	915.385	1369.231	1.5264	67145740.220515193331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193331.wav	277.6824	X	0	3	X	Y		
262	264	Spectrogram 1	1	31576.24285229	31576.5192342	630.769	1223.077	0.2764	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	73.4674	X	0	1	X	Y		
263	265	Spectrogram 1	1	31577.83204827	31578.146118622	715.385	1415.385	0.3141	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	75.0566	X	0	1	X	Y		
264	266	Spectrogram 1	1	31579.044359828	31579.327023144	761.538	1515.385	0.2827	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	76.2689	X	0	1	X	Y		
265	267	Spectrogram 1	1	31580.262952793	31580.67124425	738.462	1546.154	0.4083	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	77.4874	X	0	1	X	Y		
266	268	Spectrogram 1	1	31581.209482169	31581.39792438	876.923	1376.923	0.1884	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	78.434	X	0	1	X	Y		
267	269	Spectrogram 1	1	31582.063753526	31582.340135435	707.692	1384.615	0.2764	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	79.2883	X	0	1	X	Y		
268	270	Spectrogram 1	1	31582.940125658	31594.340500496	546.154	1638.462	11.4004	67145740.220515193831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515193831.wav	80.1646	X	0	15	X	Y		
269	271	Spectrogram 1	1	31873.029455075	31873.525686231	684.615	1200.0	0.4962	67145740.220515194332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194332.wav	70.1893	X	0	1	X	Y		
270	272	Spectrogram 1	1	31877.943550665	31878.358123529	600.0	1500.0	0.4146	67145740.220515194332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194332.wav	75.1034	X	0	1	X	Y		
271	273	Spectrogram 1	1	32019.200883571	32019.483546888	69.231	507.692	0.2827	67145740.220515194332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194332.wav	216.3607	Y	1	0	X	G		
272	274	Spectrogram 1	1	32024.189751076	32024.422163136	100.0	476.923	0.2324	67145740.220515194332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194332.wav	221.3496	Y	1	0	X	G		
273	275	Spectrogram 1	1	32034.475408392	32035.392493819	30.769	438.462	0.9171	67145740.220515194332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194332.wav	231.6352	Y	1	0	X	G		
274	276	Spectrogram 1	1	32241.971824953	32242.329865154	707.692	1561.538	0.358	67145740.220515194832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194832.wav	139.1392	X	0	1	X	Y		
275	277	Spectrogram 1	1	32243.309610815	32254.341126293	730.769	1500.0	11.0315	67145740.220515194832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515194832.wav	140.4769	X	0	13	X	Y		
276	278	Spectrogram 1	1	32692.093721119	32692.370103029	707.692	1400.0	0.2764	67145740.220515195332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195332.wav	289.2154	X	0	1	X	Y		
277	279	Spectrogram 1	1	32693.475630667	32693.821108054	669.231	1507.692	0.3455	67145740.220515195332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195332.wav	290.5973	X	0	1	X	Y		
278	280	Spectrogram 1	1	32694.914304581	32695.284907596	623.077	1400.0	0.3706	67145740.220515195332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195332.wav	292.036	X	0	1	X	Y		
279	281	Spectrogram 1	1	32695.900485485	32696.176867395	630.769	1453.846	0.2764	67145740.220515195332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195332.wav	293.0222	X	0	1	X	Y		
280	282	Spectrogram 1	1	32696.742194028	32697.087671415	600.0	1423.077	0.3455	67145740.220515195332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195332.wav	293.8639	X	0	1	X	Y		
281	283	Spectrogram 1	1	32698.334041592	32709.692701301	546.154	1815.385	11.3587	67145740.220515195332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195332.wav	295.4557	X	0	15	X	Y		
282	284	Spectrogram 1	1	32777.134211911	32778.252302363	491.443	1731.051	1.1181	67145740.220515195832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515195832.wav	74.2319	Y	2	2	X	BY		
283	285	Spectrogram 1	1	33138.345264377	33138.621646286	704.156	1393.643	0.2764	67145740.220515200332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200332.wav	135.4154	X	0	1	X	Y		
284	286	Spectrogram 1	1	33140.123881753	33140.387700848	638.142	1320.293	0.2638	67145740.220515200332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200332.wav	137.1941	X	0	1	X	Y		
285	287	Spectrogram 1	1	33141.468102858	33141.757047582	564.792	1371.638	0.2889	67145740.220515200332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200332.wav	138.5383	X	0	1	X	Y		
286	288	Spectrogram 1	1	33142.636444567	33142.837449592	1078.24	1415.648	0.201	67145740.220515200332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200332.wav	139.7066	X	0	1	X	Y		
287	289	Spectrogram 1	1	33143.766267769	33158.238629578	601.467	1569.682	14.4724	67145740.220515200332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200332.wav	140.8364	X	0	19	X	Y		
288	290	Spectrogram 1	1	33594.108030384	33594.346723851	806.846	1327.628	0.2387	67145740.220515200832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200832.wav	291.1445	X	0	1	X	Y		
289	291	Spectrogram 1	1	33595.395718826	33595.728633399	660.147	1466.993	0.3329	67145740.220515200832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200832.wav	292.4322	X	0	1	X	Y		
290	292	Spectrogram 1	1	33596.432150987	33596.721095711	953.545	1371.638	0.2889	67145740.220515200832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200832.wav	293.4686	X	0	1	X	Y		
291	293	Spectrogram 1	1	33597.419316739	33615.057507694	491.443	1584.352	17.6382	67145740.220515200832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515200832.wav	294.4558	X	0	23	X	Y		
292	294	Spectrogram 1	1	33671.739479384	33672.066112549	784.841	1342.298	0.3266	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	68.7928	X	0	1	X	Y		
293	295	Spectrogram 1	1	33673.397770841	33673.605057273	704.156	1400.978	0.2073	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	70.4511	X	0	1	X	Y		
294	296	Spectrogram 1	1	33674.647770841	33674.911589936	762.836	1371.638	0.2638	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	71.7011	X	0	1	X	Y		
295	297	Spectrogram 1	1	33675.684203002	33675.929177876	872.861	1422.983	0.245	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	72.7375	X	0	1	X	Y		
296	298	Spectrogram 1	1	33676.576162801	33676.883951745	689.487	1342.298	0.3078	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	73.6295	X	0	1	Y	Y	BS OVERLAP	
297	299	Spectrogram 1	1	33677.50084085	33688.067372708	498.778	1679.707	10.5665	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	74.5542	X	0	10	Y	Y	BS OVERLAP	
298	300	Spectrogram 1	1	33764.271736284	33764.585806636	630.807	1371.638	0.3141	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	161.3251	X	0	1	X	Y		
299	301	Spectrogram 1	1	33765.835806636	33766.143595581	770.171	1305.623	0.3078	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	162.8891	X	0	1	X	Y		
300	302	Spectrogram 1	1	33766.93028436	33783.920204477	762.836	1555.012	16.9899	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	163.9836	X	0	22	X	Y		
301	303	Spectrogram 1	1	33806.623780398	33806.837348237	1004.89	1386.308	0.2136	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	203.6771	X	0	1	X	Y		
302	304	Spectrogram 1	1	33808.313325053	33808.570862742	909.535	1444.988	0.2575	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	205.3667	X	0	1	X	Y		
303	305	Spectrogram 1	1	33809.726641636	33809.977897918	814.181	1386.308	0.2513	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	206.78	X	0	1	X	Y		
304	306	Spectrogram 1	1	33810.949096126	33811.168945372	1012.225	1327.628	0.2198	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	208.0024	X	0	1	X	Y		
305	307	Spectrogram 1	1	33812.029498136	33812.293317232	1041.565	1320.293	0.2638	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	209.0828	X	0	1	X	Y		
306	308	Spectrogram 1	1	33813.015679041	33813.285779543	960.88	1386.308	0.2701	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	210.069	X	0	1	X	Y		
307	309	Spectrogram 1	1	33814.778945169	33815.005075822	1026.895	1356.968	0.2261	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	211.8323	X	0	1	X	Y		
308	310	Spectrogram 1	1	33815.551558234	33815.821658737	997.555	1393.643	0.2701	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	212.6049	X	0	1	X	Y		
309	311	Spectrogram 1	1	33816.374422556	33816.531457732	1019.56	1276.284	0.157	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	213.4278	X	0	1	X	Y		
310	312	Spectrogram 1	1	33817.134472807	33817.310352204	1136.919	1452.323	0.1759	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	214.1878	X	0	1	X	Y		
311	313	Spectrogram 1	1	33817.851372894	33829.229427526	704.156	1393.643	11.3781	67145740.220515201332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201332.wav	214.9047	X	0	16	X	Y		
312	314	Spectrogram 1	1	33963.398230538	33963.655768227	733.496	1305.623	0.2575	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	60.4002	X	0	1	X	Y		
313	315	Spectrogram 1	1	33964.96230089	33965.138180287	865.526	1481.663	0.1759	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	61.9643	X	0	1	X	Y		
314	316	Spectrogram 1	1	33966.143205412	33966.363054659	858.191	1444.988	0.2198	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	63.1452	X	0	1	X	Y		
315	317	Spectrogram 1	1	33967.251912687	33981.84657011	623.472	1503.667	14.5947	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	64.2539	X	0	19	X	Y		
316	318	Spectrogram 1	1	34141.215845278	34141.52991563	711.491	1356.968	0.3141	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	238.2178	X	0	1	X	Y		
317	319	Spectrogram 1	1	34142.88669955	34143.144237238	608.802	1298.289	0.2575	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	239.8887	X	0	1	X	Y		
318	320	Spectrogram 1	1	34144.212076434	34144.526146786	660.147	1320.293	0.3141	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	241.2141	X	0	1	X	Y		
319	321	Spectrogram 1	1	34145.288243651	34159.45168444	755.501	1481.663	14.1634	67145740.220515201832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515201832.wav	242.2902	X	0	19	X	Y		
320	322	Spectrogram 1	1	34207.422095823	34207.59797522	975.55	1415.648	0.1759	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	4.4121	X	0	1	X	Y		
321	323	Spectrogram 1	1	34208.84797522	34209.118075723	704.156	1356.968	0.2701	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	5.838	X	0	1	X	Y		
322	324	Spectrogram 1	1	34210.129382256	34210.412045572	711.491	1334.963	0.2827	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	7.1194	X	0	1	X	Y		
323	325	Spectrogram 1	1	34211.133043603	34217.05012903	931.54	1540.342	5.9171	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	8.123	X	0	7	X	Y		
324	326	Spectrogram 1	1	34218.356211507	34222.451688894	865.526	1606.357	4.0955	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	15.3462	X	0	6	X	Y		
325	327	Spectrogram 1	1	34223.792808228	34226.255119786	975.55	1415.648	2.4623	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	20.7828	X	0	4	X	Y		
326	328	Spectrogram 1	1	34380.303183787	34380.510470219	696.822	1298.289	0.2073	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	177.2932	X	0	1	X	Y		
327	329	Spectrogram 1	1	34381.791877255	34381.967756652	880.196	1342.298	0.1759	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	178.7819	X	0	1	X	Y		
328	330	Spectrogram 1	1	34383.060721476	34383.324540571	740.831	1349.633	0.2638	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	180.0507	X	0	1	X	Y		
329	331	Spectrogram 1	1	34384.197656149	34384.436349616	982.885	1525.672	0.2387	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	181.1877	X	0	1	X	Y		
330	332	Spectrogram 1	1	34385.168706183	34398.712630638	814.181	1555.012	13.5439	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	182.1587	X	0	18	X	Y		
331	333	Spectrogram 1	1	34437.395651154	34438.105450149	212.714	1386.308	0.7098	67145740.220515202332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202332.wav	234.3857	Y	1	0	X	G		
332	334	Spectrogram 1	1	34583.418725768	34583.651137828	968.215	1488.998	0.2324	67145740.220515202832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202832.wav	80.3581	X	0	1	X	Y		
333	335	Spectrogram 1	1	34584.869730793	34585.252896622	660.147	1349.633	0.3832	67145740.220515202832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202832.wav	81.8091	X	0	1	X	Y		
334	336	Spectrogram 1	1	34586.078412528	34603.73712105	586.797	1533.007	17.6587	67145740.220515202832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202832.wav	83.0178	X	0	22	X	Y		
335	337	Spectrogram 1	1	34802.463111093	34802.620146269	1012.225	1349.633	0.157	67145740.220515202832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515202832.wav	299.4024	X	0	1	X	Y		
336	338	Spectrogram 1	1	34804.002055816	34804.234467877	953.545	1386.308	0.2324	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	0.8981	X	0	1	X	Y		
337	339	Spectrogram 1	1	34805.154809858	34819.798051801	814.181	1606.357	14.6432	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	2.0508	X	0	19	X	Y		
338	340	Spectrogram 1	1	34919.125658847	34919.420884977	674.817	1430.318	0.2952	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	116.0217	X	0	1	X	Y		
339	341	Spectrogram 1	1	34920.526412615	34920.790231711	784.841	1422.983	0.2638	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	117.4224	X	0	1	X	Y		
340	342	Spectrogram 1	1	34921.643667341	34934.445335325	836.186	1547.677	12.8017	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	118.5397	X	0	17	X	Y		
341	343	Spectrogram 1	1	34935.561451366	34939.399391065	652.812	1547.677	3.8379	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	132.4574	X	0	6	X	Y		
342	344	Spectrogram 1	1	35009.137258207	35024.480008038	696.822	1466.993	15.3427	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	206.0333	X	0	20	X	Y		
343	345	Spectrogram 1	1	35082.834588033	35083.123532756	777.506	1430.318	0.2889	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	279.7306	X	0	1	X	Y		
344	346	Spectrogram 1	1	35084.480316676	35084.637351852	953.545	1415.648	0.157	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	281.3763	X	0	1	X	Y		
345	347	Spectrogram 1	1	35085.830819188	35086.056949842	1019.56	1342.298	0.2261	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	282.7268	X	0	1	X	Y		
346	348	Spectrogram 1	1	35086.930285797	35105.032664322	755.501	1657.702	18.1024	67145740.220515203332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203332.wav	283.8263	X	0	23	X	Y		
347	349	Spectrogram 1	1	35105.568772323	35105.838872825	740.831	1444.988	0.2701	67145740.220515203832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203832.wav	2.4263	X	0	1	X	Y		
348	350	Spectrogram 1	1	35107.063747197	35107.384098956	792.176	1444.988	0.3204	67145740.220515203832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203832.wav	3.9213	X	0	1	X	Y		
349	351	Spectrogram 1	1	35108.61450159	35111.208722695	557.457	1474.328	2.5942	67145740.220515203832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515203832.wav	5.472	X	0	4	X	Y		
350	352	Spectrogram 1	1	37739.180953167	37739.727435579	623.472	1078.24	0.5465	67145740.220515211832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515211832.wav	235.8616	X	0	1	X	Y		
351	353	Spectrogram 1	1	37741.077938091	37741.67467176	601.467	1129.584	0.5967	67145740.220515211832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515211832.wav	237.7586	X	0	1	X	Y		
352	354	Spectrogram 1	1	37742.327938091	37742.836732061	740.831	1276.284	0.5088	67145740.220515211832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515211832.wav	239.0086	X	0	1	X	Y		
353	355	Spectrogram 1	1	37744.231204423	37744.859345126	718.826	1261.614	0.6281	67145740.220515211832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515211832.wav	240.9119	X	0	1	X	Y		
354	356	Spectrogram 1	1	38262.219711961	38262.439561207	887.531	1151.589	0.2198	67145740.220515213332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213332.wav	158.8105	X	0	1	X	Y		
355	357	Spectrogram 1	1	38263.614184322	38263.840314976	938.875	1283.619	0.2261	67145740.220515213332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213332.wav	160.205	X	0	1	X	Y		
356	358	Spectrogram 1	1	38264.682023518	38264.876747137	946.21	1217.604	0.1947	67145740.220515213332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213332.wav	161.2729	X	0	1	X	Y		
357	359	Spectrogram 1	1	38265.78126975	38265.963430554	1048.9	1239.609	0.1822	67145740.220515213332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213332.wav	162.3721	X	0	1	X	Y		
358	360	Spectrogram 1	1	38267.948047502	38268.105082678	997.555	1224.939	0.157	67145740.220515213332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213332.wav	164.5389	X	0	1	X	Y		
359	361	Spectrogram 1	1	38268.915384186	38269.16035906	374.083	1283.619	0.245	67145740.220515213332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213332.wav	165.5062	X	0	1	X	Y		
360	362	Spectrogram 1	1	38439.749037337	38440.069389095	689.487	1056.235	0.3204	67145740.220515213832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515213832.wav	36.2734	X	0	1	X	Y		
361	363	Spectrogram 1	1	40230.548365767	40230.862436118	1444.988	2061.125	0.3141	67145740.220515220832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515220832.wav	26.9142	X	0	1	X	Y		
362	364	Spectrogram 1	1	40231.910221152	40233.304693514	88.02	1650.367	1.3945	67145740.220515220832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515220832.wav	28.2761	Y	2	3	X	BY		
363	365	Spectrogram 1	1	43082.610513365	43082.912020902	1056.235	1635.697	0.3015	67145740.220515225332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515225332.wav	178.773	X	0	1	X	Y		
364	366	Spectrogram 1	1	45330.519463794	45334.790820578	960.88	1533.007	4.2714	67145740.220515233332.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515233332.wav	26.4553	X	0	7	X	Y		
365	367	Spectrogram 1	1	48146.638436427	48146.852004266	748.166	1334.963	0.2136	67145740.220516001832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220516001832.wav	142.3746	X	0	1	X	Y		
366	368	Spectrogram 1	1	48147.54295904	48147.81934095	704.156	1342.298	0.2764	67145740.220516001832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220516001832.wav	143.2791	X	0	1	X	Y		
367	369	Spectrogram 1	1	48149.259901031	48157.136785453	821.516	1459.658	7.8769	67145740.220516001832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220516001832.wav	144.9961	X	0	11	X	Y		
368	370	Spectrogram 1	1	48279.689230941	48280.0095827	755.501	1290.954	0.3204	67145740.220516001832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220516001832.wav	275.4254	X	0	1	X	Y		
369	371	Spectrogram 1	1	48281.247019886	48281.535964609	740.831	1400.978	0.2889	67145740.220516001832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220516001832.wav	276.9832	X	0	1	X	Y		
370	372	Spectrogram 1	1	48282.660336468	48282.892748529	792.176	1481.663	0.2324	67145740.220516001832.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220516001832.wav	278.3965	X	0	1	X	Y		
