Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW
175	Spectrogram 1	1	14382.727	14386.39025	3.663	234.727	111.8	914.5	DS3B__0__20181109_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_020355.wav	Y	bark		RS	3	series	No						
176	Spectrogram 1	1	14197.687	14199.0152	1.328	49.687	164.5	973.7	DS3B__0__20181109_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_020355.wav	X	yelp		RS	3	1	No						
180	Spectrogram 1	1	14571.744	14572.66516	0.921	161.744	157.9	1236.8	DS3B__0__20181109_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_040355.wav	X	atypical bark	sounds like a tongue clacking	RS	2	1	No					X	Atypical bark
184	Spectrogram 1	1	14503.542	14504.69882	1.157	93.542	105.3	730.3	DS3B__0__20181109_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_040355.wav	Y	"bark, yelp"	very faint bark	RS	2	1	No						
187	Spectrogram 1	1	14701.712	14704.41124	2.699	29.712	118.4	1026.3	DS3B__0__20181109_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_120355.wav	Y	bark	faint	RS	2	1	No						
188	Spectrogram 1	1	15079.169	15089.49465	10.326	145.169	98.7	1164.5	DS3B__0__20181109_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_140355.wav	Y	"bark, yelp"	in between ice	RS	3	series	No		in between ice				
189	Spectrogram 1	1	15456.271	15457.21359	0.943	260.271	144.7	1407.9	DS3B__0__20181109_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_180355.wav	Y	"bark, yelp"		RS	3	1	No						
190	Spectrogram 1	1	15667.021	15677.58231	10.561	209.021	78.9	1375	DS3B__0__20181109_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_200355.wav	Y	"bark, yelp"	yelps-barks	RS	3	series	No		yelps-barks				
191	Spectrogram 1	1	15592.01	15593.42388	1.414	134.01	92.1	894.7	DS3B__0__20181109_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_200355.wav	Y	bark	pixel	RS	3	2	No					Y	bark
192	Spectrogram 1	1	15462.67	15463.9982	1.328	4.67	302.6	1171.1	DS3B__0__20181109_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_200355.wav	X	yelp?		RS	3	1	No						
193	Spectrogram 1	1	15900.369	15910.33047	9.961	180.369	59.2	750	DS3B__0__20181109_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	"bark, yelp"	very_faint	RS	3	series	No		very_faint				
195	Spectrogram 1	1	15738.102	15739.04459	0.943	18.102	78.9	842.1	DS3B__0__20181109_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	bark		RS	3	1	No						
196	Spectrogram 1	1	15733.111	15734.16071	1.05	13.111	26.3	1078.9	DS3B__0__20181109_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	bark		RS	2	1	No		"if it would be not so frequency modulated I would say its a fish, or is it harmonics?"	RS			
197	Spectrogram 1	1	15725.056	15726.2985	1.243	5.056	92.1	1157.9	DS3B__0__20181109_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	"bark, yelp"		RS	2	1	No						
199	Spectrogram 1	1	16217.155	16230.43697	13.282	235.155	111.8	1190.8	DS3B__0__20181110_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_040355.wav	Y	"bark, yelp"	the yelps are very clear but the barks are quite faint	RS	3	series	No		good_one				
201	Spectrogram 1	1	16317.187	16318.77227	1.585	73.187	52.6	1157.9	DS3B__0__20181110_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_080355.wav	X			RS	2	1	No						
203	Spectrogram 1	1	16638.497	16645.80208	7.305	132.497	210.5	1019.7	DS3B__0__20181110_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_160355.wav	X			RS	3	3	No						
204	Spectrogram 1	1	16664.964	16673.49016	8.526	158.964	65.8	1532.9	DS3B__0__20181110_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_160355.wav	Y	"bark, yelp"	good_one	RS	3	series	No		good_one				
205	Spectrogram 1	1	16801.455	16810.23824	8.783	33.455	401.3	1355.3	DS3B__0__20181110_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_180355.wav	X			RS	3	series	No						
207	Spectrogram 1	1	17123.077	17124.36235	1.285	93.077	105.3	1164.5	DS3B__0__20181110_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_200355.wav	X			RS	3	2	No						
208	Spectrogram 1	1	17401.473	17419.12515	17.652	109.473	65.8	1269.7	DS3B__0__20181110_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181110_220355.wav	Y	bark	those really sound like fish. this is why we need to get very specific with the fish detector!	RS	3	series	No		water movement in the background	RS	Agreed with water movement too	Y	Definitely barks - and this is why we need to get very specific with the fish detector!
209	Spectrogram 1	1	17683.303	17686.28073	2.978	129.303	105.3	861.8	DS3B__0__20181111_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_000355.wav	X	yelp	yelps	RS	3	2	No		yelps				
210	Spectrogram 1	1	18055.432	18062.48001	7.048	239.432	355.3	940.8	DS3B__0__20181111_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_020355.wav	X	yelp	yelps	RS	3	3	No		yelps				
211	Spectrogram 1	1	18078.643	18079.73554	1.093	0.643	855.3	1381.6	DS3B__0__20181111_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_080355.wav	X			RS	3	1	No						
212	Spectrogram 1	1	18538.565	18551.1186	12.554	198.565	78.9	717.1	DS3B__0__20181111_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_100355.wav	Y	bark	faint	RS	3	series	No						
213	Spectrogram 1	1	18556.326	18559.23947	2.913	216.326	78.9	763.2	DS3B__0__20181111_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_100355.wav	Y	bark		RS	2	2	No						
214	Spectrogram 1	1	18675.188	18676.02348	0.835	73.188	59.2	868.4	DS3B__0__20181111_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_120355.wav	Y	bark	the first one might be a yelp?	RS	3	2	No						
217	Spectrogram 1	1	19107.471	19112.93374	5.463	243.471	131.6	1190.8	DS3B__0__20181111_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181111_220355.wav	Y	"bark, yelp"	series	RS	3	5	No						
218	Spectrogram 1	1	19189.521	19190.44217	0.921	63.521	78.9	921.1	DS3B__0__20181112_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_000355.wav	Y	bark	faint	RS	3	1	No						
219	Spectrogram 1	1	19369.881	19373.07296	3.192	243.881	381.6	1592.1	DS3B__0__20181112_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_000355.wav	X	yelp	yelps	RS	3	2	No		yelps				
221	Spectrogram 1	1	19452.047	19453.22524	1.178	64.047	315.8	947.4	DS3B__0__20181112_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_060355.wav	X			RS	3	1	No						
222	Spectrogram 1	1	19463.968	19465.31762	1.35	75.968	98.7	585.5	DS3B__0__20181112_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_060355.wav	X	growl	"I can't hear it, so I'm not sure if it could be a bark..."	RS	2	1	No					X	growl
223	Spectrogram 1	1	19458.731	19459.5879	0.857	70.731	401.3	875	DS3B__0__20181112_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_060355.wav	X			RS	3	1	No						
229	Spectrogram 1	1	19423.066	19424.1157	1.05	35.066	263.2	986.8	DS3B__0__20181112_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_060355.wav	X			RS	2	1	No						
230	Spectrogram 1	1	19823.886	19824.78574	0.9	173.886	921.1	1368.4	DS3B__0__20181112_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_120355.wav	X	yelp	yelp	RS	3	1	No		yelp				
231	Spectrogram 1	1	19843.815	19844.77901	0.964	193.815	717.1	1638.2	DS3B__0__20181112_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_120355.wav	X			RS	3	2	No						
232	Spectrogram 1	1	19810.261	19821.05795	10.797	160.261	223.7	1375	DS3B__0__20181112_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_120355.wav	X	yelp	yelps	RS	3	series	No		yelps				
233	Spectrogram 1	1	19791.026	19793.03972	2.014	141.026	1039.5	1638.2	DS3B__0__20181112_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_120355.wav	X	yelp	yelps	RS	3	2	No		yelps				
234	Spectrogram 1	1	19832.804	19834.38927	1.585	182.804	782.9	1572.4	DS3B__0__20181112_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_120355.wav	X	yelp	yelps	RS	3	2	No		yelps				
235	Spectrogram 1	1	19840.645	19841.67328	1.028	190.645	796.1	1565.8	DS3B__0__20181112_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_120355.wav	X	yelp	faint yelp	RS	3	1	No		faint yelp				
236	Spectrogram 1	1	19953.265	19956.34984	3.085	41.265	105.3	1269.7	DS3B__0__20181112_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_160355.wav	Y	"bark, yelp"		RS	3	2	No						
238	Spectrogram 1	1	20231.451	20233.25049	1.799	57.451	388.2	960.5	DS3B__0__20181112_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181112_200355.wav	X			RS	3	2	No						
239	Spectrogram 1	1	20670.69	20672.61803	1.928	234.69	111.8	993.4	DS3B__0__20181113_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_020355.wav	Y	"bark, yelp"	faint	RS	3	2	No		yelp-bark				
242	Spectrogram 1	1	20731.723	20741.28566	9.563	33.723	328.9	2230.3	DS3B__0__20181113_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_060355.wav	Y	"bark, yelp"	"last one is a bark, but so are other two."	RS	3	series	No		very faint			Y	"bark, yelp - last one is a bark, but so are other two."
243	Spectrogram 1	1	20984.79	20985.92539	1.135	24.79	131.6	671.1	DS3B__0__20181113_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_080355.wav	X	moan	weird 'moan' again	RS	1	1	No		weird 'moan' again				
244	Spectrogram 1	1	21004.889	21013.52228	8.633	44.889	302.6	888.2	DS3B__0__20181113_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_080355.wav	Y	"bark, yelp"	"I thought the last one was a yelp, but it sounds like a bark"	RS	3	3	No						
245	Spectrogram 1	1	21345.642	21346.9702	1.328	123.642	73.1	942.3	DS3B__0__20181113_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_100355.wav	Y	bark	really faint	RS	3	1	No					Y	bark
248	Spectrogram 1	1	21591.29	21592.33971	1.05	107.29	215.4	1000	DS3B__0__20181113_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_140355.wav	Y	bark	faint	RS	3	1	No						
249	Spectrogram 1	1	21746.536	21755.72626	9.19	0.536	69.2	1300	DS3B__0__20181113_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_160355.wav	X	yelp		RS	3	5	No		chirps				
250	Spectrogram 1	1	22167.261	22168.48208	1.221	159.261	107.7	1115.4	DS3B__0__20181113_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_180355.wav	X	"bark, yelp"	too faint	RS	3	2	No		yelp-bark				
251	Spectrogram 1	1	22458.433	22459.71835	1.285	188.433	772.8	1363	DS3B__0__20181113_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181113_220355.wav	X			RS	3	1	No						
252	Spectrogram 1	1	22790.047	22793.88163	3.835	258.047	98.4	1327.9	DS3B__0__20181114_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_040355.wav	Y	"bark, yelp"	"2barks, 2 yelps"	RS	3	4	No		"2barks, 2 yelps"				
253	Spectrogram 1	1	22777.127	22778.81938	1.692	245.127	477.8	1152.2	DS3B__0__20181114_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_040355.wav	X	yelp	yelp	RS	3	1	No		yelp				
254	Spectrogram 1	1	22921.442	22927.22609	5.784	127.442	997.7	1644	DS3B__0__20181114_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_060355.wav	X	yelp	yelps	RS	3	2	No		yelps				
255	Spectrogram 1	1	23135.716	23136.72286	1.007	79.716	260	793.9	DS3B__0__20181114_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_080355.wav	X	yelp	yelp	RS	3	1	No		yelp				
256	Spectrogram 1	1	23176.653	23180.9375	4.285	120.653	112.4	1166.3	DS3B__0__20181114_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_080355.wav	Y	bark		RS	3	2	No						
258	Spectrogram 1	1	23341.091	23342.59057	1.5	23.091	695.5	1405.2	DS3B__0__20181114_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_100355.wav	X			RS	2	1	No						
259	Spectrogram 1	1	23760.841	23762.1692	1.328	180.841	252.9	625.3	DS3B__0__20181114_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_140355.wav	X			RS	3	1	No						
260	Spectrogram 1	1	23609.091	23611.57602	2.485	29.091	98.4	702.6	DS3B__0__20181114_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_140355.wav	X			RS	2	02-Jan	No						
261	Spectrogram 1	1	23743.104	23747.79553	4.692	163.104	182.7	625.3	DS3B__0__20181114_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_140355.wav	X			RS	3	2	No						
262	Spectrogram 1	1	23617.468	23624.81592	7.348	37.468	63.2	1194.4	DS3B__0__20181114_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_140355.wav	X	yelp	it is too faint. I am not even sure the last sound is biological...	RS	2	series	No		super faint			X	"yelp, but too faint."
263	Spectrogram 1	1	23640.469	23641.94715	1.478	60.469	309.1	1018.7	DS3B__0__20181114_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_140355.wav	X	yelp	yelp	RS	2	1	No		yelp				
264	Spectrogram 1	1	23858.795	23859.90897	1.114	16.795	154.6	1096	DS3B__0__20181114_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_180355.wav	Y	bark	faint	RS	3	2	No						
265	Spectrogram 1	1	23869.816	23887.74941	17.933	27.816	161.6	955.5	DS3B__0__20181114_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_180355.wav	Y	bark	faint	RS	3	series	No		faint				
266	Spectrogram 1	1	23844.956	23846.62695	1.671	2.956	295.1	1110.1	DS3B__0__20181114_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181114_180355.wav	Y	"bark, yelp"	there is a bark before the last yelp	RS	3	3	No					Y	"bark, yelp"
267	Spectrogram 1	1	24127.346	24128.54566	1.2	23.346	105.4	948.5	DS3B__0__20181115_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_040355.wav	Y	bark		RS	3	1	No						
268	Spectrogram 1	1	24405.062	24411.78867	6.727	39.062	231.8	1067.9	DS3B__0__20181115_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_080355.wav	X			RS	3	3	No						
269	Spectrogram 1	1	24589.756	24591.25557	1.5	223.756	112.4	758.8	DS3B__0__20181115_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_080355.wav	X		very faint behind the ice noise	RS	1	1	No		very faint behind the ice noise	RS			
276	Spectrogram 1	1	24854.283	24856.01822	1.735	226.283	365.3	871.2	DS3B__0__20181115_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_140355.wav	X			RS	2	1	No						
277	Spectrogram 1	1	24840.705	24842.86867	2.164	212.705	63.2	983.6	DS3B__0__20181115_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_140355.wav	X			RS	3	2	No						
279	Spectrogram 1	1	24676.962	24677.79747	0.835	48.962	456.7	1278.7	DS3B__0__20181115_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_140355.wav	X		very faint	RS	2	1	No		very faint				
280	Spectrogram 1	1	25138.204	25139.29654	1.093	248.204	189.7	1334.9	DS3B__0__20181115_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_200355.wav	X			RS	3	2	No						
281	Spectrogram 1	1	24915.971	24922.9119	6.941	25.971	77.3	843.1	DS3B__0__20181115_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181115_200355.wav	Y	bark	longer duration and delineated harmonics	RS	3	3	No						
284	Spectrogram 1	1	25318.332	25318.97468	0.643	166.332	119.4	1524.6	DS3B__0__20181116_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_060355.wav	X	bark	very faint	RS	3	1	No		1bark				
285	Spectrogram 1	1	25224.075	25226.21725	2.142	72.075	154.6	822	DS3B__0__20181116_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_060355.wav	Y	bark	very faint	RS	3	2	No						
286	Spectrogram 1	1	25411.939	25412.77448	0.835	259.939	126.5	948.5	DS3B__0__20181116_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_060355.wav	Y	bark	faint	RS	3	1	No		faint				
288	Spectrogram 1	1	25438.795	25445.22176	6.427	24.795	98.4	1644	DS3B__0__20181116_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_080355.wav	Y	bark		RS	2	3	No						
290	Spectrogram 1	1	25901.067	25902.52374	1.457	225.067	238.9	829	DS3B__0__20181116_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_100355.wav	X			RS	2	2	No						
291	Spectrogram 1	1	25896.493	25898.50671	2.014	220.493	168.6	962.5	DS3B__0__20181116_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_100355.wav	X		which species?	RS	3	1	No		which species?	RS			
294	Spectrogram 1	1	25838.787	25842.77159	3.985	162.787	105.4	1046.8	DS3B__0__20181116_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_100355.wav	X			RS	2	04-Mar	No						
296	Spectrogram 1	1	25712.192	25723.35314	11.161	36.192	295.1	962.5	DS3B__0__20181116_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_100355.wav	X		2faint4ID	RS	2	series	No		2faint4ID				
302	Spectrogram 1	1	26071.948	26083.2591	11.311	133.948	126.5	899.3	DS3B__0__20181116_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_120355.wav	X			RS	3	3	No			RS			
303	Spectrogram 1	1	26434.454	26450.41041	15.956	234.454	91.3	1243.6	DS3B__0__20181116_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_140355.wav	X	yelp	faint yelps	RS	3	series	No		faint yelps				
304	Spectrogram 1	1	26608.774	26610.20931	1.435	146.774	182.7	1187.4	DS3B__0__20181116_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_160355.wav	Y	bark		RS	3	2	No						
305	Spectrogram 1	1	26621.433	26622.50412	1.071	159.433	428.6	1180.3	DS3B__0__20181116_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_160355.wav	X	yelp	faint yelp	RS	3	1	No		faint yelp				
306	Spectrogram 1	1	26857.963	26864.92532	6.962	133.963	112.4	1552.7	DS3B__0__20181116_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181116_200355.wav	Y	"bark, yelp"	"barks-yelps, good"	RS	3	series	No		"barks-yelps, good"				
308	Spectrogram 1	1	27030.874	27032.4165	1.542	44.874	101.9	923.9	DS3B__0__20181117_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_020355.wav	X			RS	3	3	No						
309	Spectrogram 1	1	27193.553	27194.3457	0.793	207.553	112.4	941.5	DS3B__0__20181117_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_020355.wav	Y	bark	faint	RS	3	1	No						
310	Spectrogram 1	1	27492.958	27493.8577	0.9	244.958	337.2	762.6	DS3B__0__20181117_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_060355.wav	X			RS	2	1	No						
311	Spectrogram 1	1	27729.507	27735.4196	5.913	219.507	164.7	902.1	DS3B__0__20181117_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_080355.wav	X			RS	3	2	No			RS			
312	Spectrogram 1	1	27510.021	27520.6037	10.583	0.021	136.7	712.2	DS3B__0__20181117_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_080355.wav	X		good	RS	3	series	No		good				
319	Spectrogram 1	1	27677.157	27678.121	0.964	167.157	43	1023.9	DS3B__0__20181117_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_080355.wav	Y	bark	"bark, good"	RS	3	1	No		"bark, good"				
320	Spectrogram 1	1	27601.754	27602.8037	1.05	91.754	215.8	676.3	DS3B__0__20181117_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_080355.wav	X		faint	RS	2	1	No		faint				
322	Spectrogram 1	1	27754.42	27755.9196	1.5	244.42	272.1	916.5	DS3B__0__20181117_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_080355.wav	X			RS	3	1	No			RS			
325	Spectrogram 1	1	27823.558	27824.6077	1.05	51.558	71.6	1689.7	DS3B__0__20181117_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_100355.wav	Y	bark	distorted	RS	3	1	No						
331	Spectrogram 1	1	27988.465	27998.7049	10.24	216.465	71.6	1267.3	DS3B__0__20181117_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_100355.wav	Y	"bark, yelp"	clear sound	RS	3	series	No		barks-yelps				
332	Spectrogram 1	1	27776.285	27777.8274	1.542	4.285	71.6	809.1	DS3B__0__20181117_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_100355.wav	X			RS	3	1	No			RS			
333	Spectrogram 1	1	28126.537	28127.4796	0.943	92.537	243.4	759	DS3B__0__20181117_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_120355.wav	X			RS	3	1	No			RS			
334	Spectrogram 1	1	28037.363	28055.7007	18.338	3.363	229.1	823.4	DS3B__0__20181117_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_120355.wav	X			RS	3	series	No			RS			
337	Spectrogram 1	1	28515.44	28517.368	1.928	219.44	114.6	1002.4	DS3B__0__20181117_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_140355.wav	X		very faint	RS	3	03-Feb	No		very faint				
339	Spectrogram 1	1	28384.326	28390.26	5.934	88.326	114.6	737.5	DS3B__0__20181117_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_140355.wav	X		very faint	RS	3	series	No		very faint				
341	Spectrogram 1	1	28308.811	28309.6036	0.793	12.811	243.4	737.5	DS3B__0__20181117_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_140355.wav	X			RS	2	1	No						
343	Spectrogram 1	1	28713.698	28722.7597	9.062	155.698	651.6	1539.4	DS3B__0__20181117_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_220355.wav	X		good	RS	3	series	No		good				
344	Spectrogram 1	1	28677.931	28680.3732	2.442	119.931	408.1	1138.4	DS3B__0__20181117_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_220355.wav	X	yelp	2 very faint yelps	RS	2	2	No		2 very faint yelps				
345	Spectrogram 1	1	28780.82	28781.5698	0.75	222.82	93.1	1202.9	DS3B__0__20181117_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_220355.wav	Y	bark		RS	3	1	No						
346	Spectrogram 1	1	28668.956	28670.4127	1.457	110.956	100.2	1403.3	DS3B__0__20181117_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181117_220355.wav	Y	"bark, yelp"		RS	3	2	No						
347	Spectrogram 1	1	29041.918	29043.2033	1.285	221.918	85.9	1016.7	DS3B__0__20181118_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_040355.wav	Y	bark		RS	3	1	No						
348	Spectrogram 1	1	29171.357	29172.1925	0.836	89.357	243.4	866.3	DS3B__0__20181118_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_060355.wav	X		very faint	RS	2	1	No		very faint				
352	Spectrogram 1	1	29550.567	29553.8875	3.321	206.567	229.1	744.6	DS3B__0__20181118_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_120355.wav	X		faint	RS	2	3	No		faint				
353	Spectrogram 1	1	29543.241	29544.8049	1.564	199.241	329.4	694.5	DS3B__0__20181118_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_120355.wav	X			RS	2	1	No						
355	Spectrogram 1	1	29491.118	29495.7881	4.67	147.118	329.4	930.8	DS3B__0__20181118_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_120355.wav	X			RS	3	2	No						
356	Spectrogram 1	1	29821.567	29822.5524	0.985	215.567	465.4	1045.3	DS3B__0__20181118_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_140355.wav	X			RS	2	1	No						
357	Spectrogram 1	1	29770.667	29771.6524	0.985	164.667	315	809.1	DS3B__0__20181118_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_140355.wav	X		very faint	RS	2	1	No		very faint				
358	Spectrogram 1	1	30042.644	30043.351	0.707	174.644	186.2	637.2	DS3B__0__20181118_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_160355.wav	Y	bark		RS	2	1	No					Y	bark
359	Spectrogram 1	1	30373.177	30373.8626	0.686	243.177	909.3	1439.1	DS3B__0__20181118_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_200355.wav	X			RS	3	1	No						
360	Spectrogram 1	1	30343.823	30344.8512	1.028	213.823	315	1739.9	DS3B__0__20181118_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_200355.wav	X	yelp		RS	2	1	No						
361	Spectrogram 1	1	30350.789	30360.1078	9.319	220.789	93.1	1446.3	DS3B__0__20181118_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181118_200355.wav	Y	"bark, yelp"		RS	3	series	No						
363	Spectrogram 1	1	30575.643	30578.9635	3.321	183.643	343.7	1138.4	DS3B__0__20181119_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_000355.wav	Y	"bark, yelp"	very faint	RS	2	3	No		very faint				
364	Spectrogram 1	1	30701.44	30702.4683	1.028	47.44	222	787.6	DS3B__0__20181119_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_040355.wav	Y	bark	faint	RS	3	1	No		faint				
365	Spectrogram 1	1	30731.179	30732.6572	1.478	77.179	57.3	873.5	DS3B__0__20181119_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_040355.wav	X			RS	3	1	No						
366	Spectrogram 1	1	30738.947	30740.7465	1.8	84.947	114.6	1095.5	DS3B__0__20181119_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181119_040355.wav	X	yelp?		RS	3	2	No						
