Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity	KZ Done?
565	Spectrogram 1	1	96218.569820000	96218.569820000	708.000	708.000	67653638.220515184552.wav	0.0000	703.125	703.125	0.000	RS	YELP		RS Yelp		Y
603	Spectrogram 1	1	100706.164900000	100707.186000000	896.679	1946.565	67653638.220515200052.wav	1.0211	996.094	984.375	1049.886	RS	YELP	GOOD	Very close one!		Y
604	Spectrogram 1	1	100710.630600000	100711.584400000	771.784	2526.971	67653638.220515200052.wav	0.9538	1031.250	972.656	1755.187	RS	YELP				Y
605	Spectrogram 1	1	100713.143300000	100713.143300000	1270.463	1270.463	67653638.220515200052.wav	0.0000	1265.625	1265.625	0.000	RS	YELP				Y
613	Spectrogram 1	1	104221.530000000	104221.530000000	1085.106	1085.106	67653638.220515210053.wav	0.0000	1089.844	1089.844	0.000	RS	YELP		RS yelp		Y
614	Spectrogram 1	1	104229.041000000	104229.041000000	1163.701	1163.701	67653638.220515210053.wav	0.0000	1160.156	1160.156	0.000	RS	YELP		RS yelp		Y
615	Spectrogram 1	1	104233.231700000	104233.231700000	1153.025	1153.025	67653638.220515210053.wav	0.0000	1148.438	1148.438	0.000	RS	YELP				Y
616	Spectrogram 1	1	104240.722500000	104240.722500000	1110.320	1110.320	67653638.220515210053.wav	0.0000	1113.281	1113.281	0.000	RS	YELP		Yelp		Y
617	Spectrogram 1	1	104242.543400000	104242.543400000	896.797	896.797	67653638.220515210053.wav	0.0000	902.344	902.344	0.000	RS	YELP		Yelp		Y
618	Spectrogram 1	1	104243.998100000	104243.998100000	950.178	950.178	67653638.220515210053.wav	0.0000	949.219	949.219	0.000	RS	YELP		Yelp		Y
619	Spectrogram 1	1	104243.805400000	104243.805400000	277.580	277.580	67653638.220515210053.wav	0.0000	281.250	281.250	0.000	RS	BARK		Bark		Y
620	Spectrogram 1	1	104244.189900000	104244.324800000	40.956	122.867	67653638.220515210053.wav	0.1349	46.875	46.875	81.911	RS	BARK		Bark		Y
621	Spectrogram 1	1	104245.308300000	104245.308300000	448.399	448.399	67653638.220515210053.wav	0.0000	445.312	445.312	0.000	RS	GROWL		Growl		Y
622	Spectrogram 1	1	104242.697500000	104242.697500000	330.961	330.961	67653638.220515210053.wav	0.0000	328.125	328.125	0.000	RS	GROWL		RS growl		Y
623	Spectrogram 1	1	104246.079000000	104246.079000000	875.445	875.445	67653638.220515210053.wav	0.0000	878.906	878.906	0.000	RS	YELP		Yelp		Y
632	Spectrogram 1	1	114648.227400000	114648.227400000	894.040	894.040	67653638.220515235553.wav	0.0000	890.625	890.625	0.000	RS	YELP		RS yelp		Y
633	Spectrogram 1	1	114659.505200000	114659.746000000	1066.667	1455.556	67653638.220515235553.wav	0.2408	1207.031	1207.031	388.889	RS	YELP				Y
634	Spectrogram 1	1	114663.512900000	114663.512900000	1195.730	1195.730	67653638.220515235553.wav	0.0000	1195.312	1195.312	0.000	RS	YELP				Y
635	Spectrogram 1	1	114680.297800000	114680.933600000	544.444	1477.778	67653638.220515235553.wav	0.6358	925.781	878.906	933.334	RS	YELP				Y
636	Spectrogram 1	1	114683.216900000	114683.216900000	1024.911	1024.911	67653638.220515235553.wav	0.0000	1019.531	1019.531	0.000	RS	YELP				Y
653	Spectrogram 1	1	129856.927700000	129856.927700000	1104.000	1104.000	67653638.220516040553.wav	0.0000	1101.562	1101.562	0.000	RS	YELP		RS		Y
661	Spectrogram 1	1	131034.654900000	131034.654900000	341.637	341.637	67653638.220516042553.wav	0.0000	339.844	339.844	0.000	RS	BARK		RS bark		Y
662	Spectrogram 1	1	131033.884200000	131033.884200000	330.961	330.961	67653638.220516042553.wav	0.0000	328.125	328.125	0.000	RS	BARK		RS bark		Y
663	Spectrogram 1	1	131038.264200000	131038.264200000	822.064	822.064	67653638.220516042553.wav	0.0000	820.312	820.312	0.000	RS	YELP		RS yelp		Y
664	Spectrogram 1	1	131041.828700000	131041.828700000	811.388	811.388	67653638.220516042553.wav	0.0000	808.594	808.594	0.000	RS	YELP		RS yelp		Y
665	Spectrogram 1	1	131043.114400000	131043.114400000	661.922	661.922	67653638.220516042553.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS Yelp		Y
666	Spectrogram 1	1	131046.784900000	131046.784900000	886.121	886.121	67653638.220516042553.wav	0.0000	890.625	890.625	0.000	RS	YELP		RS yelp		Y
667	Spectrogram 1	1	131053.178300000	131053.178300000	875.445	875.445	67653638.220516042553.wav	0.0000	878.906	878.906	0.000	RS	YELP		RS Yelp		Y
668	Spectrogram 1	1	131057.982100000	131058.887700000	653.333	906.667	67653638.220516042553.wav	0.9056	808.594	820.312	253.334	RS	YELP		RS Yelp		Y
669	Spectrogram 1	1	131067.832400000	131067.832400000	747.331	747.331	67653638.220516042553.wav	0.0000	750.000	750.000	0.000	RS	YELP		RS Yelp		Y
672	Spectrogram 1	1	131092.738700000	131092.738700000	854.093	854.093	67653638.220516042553.wav	0.0000	855.469	855.469	0.000	RS	YELP		RS yelp		Y
677	Spectrogram 1	1	131145.034200000	131145.034200000	939.502	939.502	67653638.220516043053.wav	0.0000	937.500	937.500	0.000	RS	YELP				Y
678	Spectrogram 1	1	131149.918600000	131149.918600000	1120.996	1120.996	67653638.220516043053.wav	0.0000	1125.000	1125.000	0.000	RS	YELP				Y
679	Spectrogram 1	1	131152.774600000	131153.159900000	573.333	1586.667	67653638.220516043053.wav	0.3853	820.312	750.000	1013.334	RS	YELP	GOOD			Y
680	Spectrogram 1	1	131154.269600000	131154.269600000	779.359	779.359	67653638.220516043053.wav	0.0000	785.156	785.156	0.000	RS	YELP		RS yelp		Y
681	Spectrogram 1	1	131154.597100000	131154.597100000	384.342	384.342	67653638.220516043053.wav	0.0000	386.719	386.719	0.000	RS	GROWL		RS growl		Y
682	Spectrogram 1	1	131156.629900000	131156.629900000	245.552	245.552	67653638.220516043053.wav	0.0000	246.094	246.094	0.000	RS	GROWL		RS growl		Y
683	Spectrogram 1	1	131159.799400000	131159.799400000	362.989	362.989	67653638.220516043053.wav	0.0000	363.281	363.281	0.000	RS	BARK		RS bark		Y
684	Spectrogram 1	1	131158.042600000	131158.042600000	277.580	277.580	67653638.220516043053.wav	0.0000	281.250	281.250	0.000	RS	Unknown		RS - unknown call		Y
833	Spectrogram 1	1	164411.017700000	164411.017700000	1200.000	1200.000	67653638.220516134554.wav	0.0000	1195.312	1195.312	0.000	RS	YELP				Y
834	Spectrogram 1	1	164416.395200000	164416.395200000	893.333	893.333	67653638.220516134554.wav	0.0000	890.625	890.625	0.000	RS	YELP				Y
836	Spectrogram 1	1	164426.625500000	164426.625500000	640.569	640.569	67653638.220516134554.wav	0.0000	644.531	644.531	0.000	RS	YELP		"Yes, but distorted/faint"		Y
837	Spectrogram 1	1	164428.466500000	164428.813300000	413.333	1960.000	67653638.220516134554.wav	0.3468	726.562	714.844	1546.667	RS	YELP				Y
838	Spectrogram 1	1	164432.425100000	164432.425100000	1014.235	1014.235	67653638.220516134554.wav	0.0000	1019.531	1019.531	0.000	RS	YELP				Y
839	Spectrogram 1	1	164439.189000000	164439.439500000	600.000	1506.667	67653638.220516134554.wav	0.2505	937.500	925.781	906.667	RS	YELP		RS yelp		Y
841	Spectrogram 1	1	164527.654600000	164527.654600000	1035.587	1035.587	67653638.220516134554.wav	0.0000	1031.250	1031.250	0.000	RS	YELP		Yelp		Y
843	Spectrogram 1	1	164547.703600000	164547.703600000	276.316	276.316	67653638.220516134554.wav	0.0000	281.250	281.250	0.000	RS	GROWL		RS growl		Y
844	Spectrogram 1	1	164553.460300000	164553.460300000	421.053	421.053	67653638.220516134554.wav	0.0000	421.875	421.875	0.000	RS	GROWL		RS growl		Y
850	Spectrogram 1	1	164578.587300000	164578.587300000	266.904	266.904	67653638.220516134554.wav	0.0000	269.531	269.531	0.000	RS	GROWL		RS growl		Y
851	Spectrogram 1	1	164584.013000000	164584.013000000	277.580	277.580	67653638.220516134554.wav	0.0000	281.250	281.250	0.000	RS	GROWL		RS growl		Y
852	Spectrogram 1	1	164588.517300000	164589.230200000	146.667	306.667	67653638.220516134554.wav	0.7129	210.938	210.938	160.000	RS	GROWL		RS growl		Y
853	Spectrogram 1	1	164593.074100000	164594.047100000	173.333	320.000	67653638.220516134554.wav	0.9730	234.375	257.812	146.667	RS	GROWL		RS growl		Y
854	Spectrogram 1	1	164611.502000000	164611.502000000	758.007	758.007	67653638.220516134554.wav	0.0000	761.719	761.719	0.000	RS	YELP		RS yelp		Y
870	Spectrogram 1	1	174370.854800000	174370.854800000	315.789	315.789	67653638.220516163055.wav	0.0000	316.406	316.406	0.000	RS	BARK		RS bark		Y
872	Spectrogram 1	1	174385.154200000	174385.154200000	697.368	697.368	67653638.220516163055.wav	0.0000	703.125	703.125	0.000	RS	YELP		RS yelp		Y
873	Spectrogram 1	1	174512.094100000	174512.306000000	700.000	1122.222	67653638.220516163055.wav	0.2119	796.875	785.156	422.222	RS	YELP				Y
874	Spectrogram 1	1	174513.818500000	174513.818500000	833.333	833.333	67653638.220516163055.wav	0.0000	832.031	832.031	0.000	RS	YELP		Yelp		Y
912	Spectrogram 1	1	179162.955000000	179162.955000000	768.683	768.683	67653638.220516175055.wav	0.0000	773.438	773.438	0.000	RS	YELP		RS yelp		Y
913	Spectrogram 1	1	179166.384700000	179166.384700000	309.609	309.609	67653638.220516175055.wav	0.0000	304.688	304.688	0.000	RS	BARK		RS bark		Y
918	Spectrogram 1	1	179386.392500000	179386.392500000	842.308	842.308	67653638.220516175055.wav	0.0000	843.750	843.750	0.000	RS	YELP		RS yelp		Y
919	Spectrogram 1	1	179394.934300000	179394.934300000	758.007	758.007	67653638.220516175055.wav	0.0000	761.719	761.719	0.000	RS	YELP		RS yelp		Y
934	Spectrogram 1	1	182809.154000000	182809.375500000	44.776	134.328	67653638.220516185055.wav	0.2215	46.875	46.875	89.552	RS	BARK				Y
935	Spectrogram 1	1	182810.367800000	182810.502700000	44.776	111.940	67653638.220516185055.wav	0.1349	58.594	46.875	67.164	RS	BARK				Y
936	Spectrogram 1	1	182821.649100000	182821.649100000	750.000	750.000	67653638.220516185055.wav	0.0000	750.000	750.000	0.000	RS	YELP				Y
937	Spectrogram 1	1	182832.835900000	182832.835900000	1281.139	1281.139	67653638.220516185055.wav	0.0000	1277.344	1277.344	0.000	RS	YELP		Yelp		Y
938	Spectrogram 1	1	182836.342600000	182836.342600000	1056.940	1056.940	67653638.220516185055.wav	0.0000	1054.688	1054.688	0.000	RS	YELP		Yelp		Y
939	Spectrogram 1	1	182837.701000000	182837.874400000	111.940	212.687	67653638.220516185055.wav	0.1734	164.062	175.781	100.747	RS	BARK				Y
940	Spectrogram 1	1	182841.679800000	182841.679800000	582.090	582.090	67653638.220516185055.wav	0.0000	585.938	585.938	0.000	RS	YELP		Yelp		Y
941	Spectrogram 1	1	182845.828500000	182846.050100000	192.771	409.639	67653638.220516185055.wav	0.2216	339.844	328.125	216.868	RS	YELP				Y
942	Spectrogram 1	1	182846.297100000	182846.297100000	330.961	330.961	67653638.220516185055.wav	0.0000	328.125	328.125	0.000	RS	BARK				Y
943	Spectrogram 1	1	182846.489700000	182846.489700000	245.552	245.552	67653638.220516185055.wav	0.0000	246.094	246.094	0.000	RS	BARK				Y
944	Spectrogram 1	1	182846.692100000	182846.692100000	1110.320	1110.320	67653638.220516185055.wav	0.0000	1113.281	1113.281	0.000	RS	YELP				Y
945	Spectrogram 1	1	182846.894400000	182846.894400000	362.989	362.989	67653638.220516185055.wav	0.0000	363.281	363.281	0.000	RS	BARK				Y
946	Spectrogram 1	1	182847.040600000	182847.186900000	64.721	132.530	67653638.220516185055.wav	0.1463	105.469	105.469	67.809	RS	BARK				Y
970	Spectrogram 1	1	189132.396200000	189132.396200000	971.530	971.530	67653638.220516203555.wav	0.0000	972.656	972.656	0.000	RS	MAYBE YELP		RS yelp - or other unknown call		Y
1103	Spectrogram 1	1	208596.839200000	208596.839200000	619.217	619.217	67653638.220517020056.wav	0.0000	621.094	621.094	0.000	RS	BARK		RS bark		Y
1138	Spectrogram 1	1	212558.780000000	212558.780000000	811.388	811.388	67653638.220517030556.wav	0.0000	808.594	808.594	0.000	RS	MAYBE YELP		RS - unknown call		Y
1160	Spectrogram 1	1	220193.393700000	220193.393700000	192.171	192.171	67653638.220517051056.wav	0.0000	187.500	187.500	0.000	RS	GROWL		RS growl		Y
1161	Spectrogram 1	1	220201.550200000	220201.550200000	192.171	192.171	67653638.220517051056.wav	0.0000	187.500	187.500	0.000	RS	GROWL		RS growl		Y
1162	Spectrogram 1	1	220208.914000000	220208.914000000	170.819	170.819	67653638.220517051056.wav	0.0000	175.781	175.781	0.000	RS	GROWL		RS growl		Y
1163	Spectrogram 1	1	220215.883700000	220215.883700000	651.246	651.246	67653638.220517051556.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS yelp		Y
1164	Spectrogram 1	1	220239.675000000	220240.879300000	108.434	240.964	67653638.220517051556.wav	1.2043	164.062	164.062	132.530	RS	GROWL		RS growl		Y
1165	Spectrogram 1	1	220242.427700000	220242.427700000	651.246	651.246	67653638.220517051556.wav	0.0000	656.250	656.250	0.000	RS?	YELP		RS yelp		Y
1166	Spectrogram 1	1	220244.219600000	220244.219600000	234.875	234.875	67653638.220517051556.wav	0.0000	234.375	234.375	0.000	RS?	GROWL		RS growl		Y
1167	Spectrogram 1	1	220246.334700000	220247.192100000	96.386	216.867	67653638.220517051556.wav	0.8574	152.344	175.781	120.481	RS	GROWL		RS growl		Y
1168	Spectrogram 1	1	220249.918500000	220250.756700000	96.386	216.867	67653638.220517051556.wav	0.8382	175.781	175.781	120.481	RS	GROWL		RS growl		Y
1169	Spectrogram 1	1	220285.535100000	220285.535100000	138.790	138.790	67653638.220517051556.wav	0.0000	140.625	140.625	0.000	RS	MAYBE GROWL		"RS - unknown call, maybe growl?"		Y
1170	Spectrogram 1	1	220286.190200000	220286.190200000	256.228	256.228	67653638.220517051556.wav	0.0000	257.812	257.812	0.000	RS	GROWL		Growl		Y
1171	Spectrogram 1	1	220287.242900000	220287.242900000	213.523	213.523	67653638.220517051556.wav	0.0000	210.938	210.938	0.000	RS	BARK		Bark		Y
1172	Spectrogram 1	1	220287.782400000	220287.782400000	192.171	192.171	67653638.220517051556.wav	0.0000	187.500	187.500	0.000	RS	GROWL		Growl		Y
1173	Spectrogram 1	1	220288.659100000	220288.659100000	277.580	277.580	67653638.220517051556.wav	0.0000	281.250	281.250	0.000	RS	GROWL		Growl		Y
1174	Spectrogram 1	1	220290.123500000	220290.335400000	47.742	132.530	67653638.220517051556.wav	0.2119	82.031	82.031	84.788	RS	BARK				Y
1175	Spectrogram 1	1	220305.027100000	220305.027100000	790.036	790.036	67653638.220517051556.wav	0.0000	785.156	785.156	0.000	RS	YELP		RS yelp		Y
1176	Spectrogram 1	1	220478.477800000	220478.477800000	576.512	576.512	67653638.220517051556.wav	0.0000	574.219	574.219	0.000	RS	YELP		RS yelp		Y
1177	Spectrogram 1	1	220546.665800000	220546.665800000	1265.823	1265.823	67653638.220517052056.wav	0.0000	1265.625	1265.625	0.000	RS	YELP		Yelp		Y
1178	Spectrogram 1	1	220548.525100000	220548.525100000	1163.701	1163.701	67653638.220517052056.wav	0.0000	1160.156	1160.156	0.000	RS	YELP		Yelp		Y
1179	Spectrogram 1	1	220549.845000000	220549.845000000	886.121	886.121	67653638.220517052056.wav	0.0000	890.625	890.625	0.000	RS	YELP		Yelp		Y
1201	Spectrogram 1	1	221655.097200000	221655.627100000	506.329	1696.203	67653638.220517053556.wav	0.5299	738.281	714.844	1189.874	RS	YELP	GOOD	Yelp		Y
1202	Spectrogram 1	1	221744.121600000	221747.204400000	594.937	1012.658	67653638.220517054056.wav	3.0828	785.156	902.344	417.721	RS	MAYBE YELP		RS - unknown call		Y
1203	Spectrogram 1	1	221757.516200000	221758.730100000	139.241	240.506	67653638.220517054056.wav	1.2139	187.500	187.500	101.265	RS	GROWL		RS growl		Y
1204	Spectrogram 1	1	221762.474200000	221762.474200000	747.331	747.331	67653638.220517054056.wav	0.0000	750.000	750.000	0.000	RS	YELP		Yelp		Y
1205	Spectrogram 1	1	221763.630200000	221763.630200000	181.495	181.495	67653638.220517054056.wav	0.0000	175.781	175.781	0.000	RS	GROWL		RS growl		Y
1206	Spectrogram 1	1	221768.562800000	221768.562800000	138.790	138.790	67653638.220517054056.wav	0.0000	140.625	140.625	0.000	RS	GROWL		RS growl		Y
1207	Spectrogram 1	1	221777.788600000	221777.788600000	106.762	106.762	67653638.220517054056.wav	0.0000	105.469	105.469	0.000	RS	GROWL		RS growl		Y
1208	Spectrogram 1	1	221771.960000000	221771.960000000	138.790	138.790	67653638.220517054056.wav	0.0000	140.625	140.625	0.000	RS	GROWL		RS growl		Y
1209	Spectrogram 1	1	221782.213100000	221782.213100000	149.466	149.466	67653638.220517054056.wav	0.0000	152.344	152.344	0.000	RS	GROWL		RS growl		Y
1210	Spectrogram 1	1	221787.750900000	221787.750900000	170.819	170.819	67653638.220517054056.wav	0.0000	175.781	175.781	0.000	RS	GROWL		RS growl		Y
1211	Spectrogram 1	1	221822.994400000	221823.524200000	759.494	1088.608	67653638.220517054056.wav	0.5298	867.188	843.750	329.114	RS	YELP	GOOD	Yelp		Y
1212	Spectrogram 1	1	221827.940100000	221828.498800000	468.354	1569.620	67653638.220517054056.wav	0.5587	925.781	925.781	1101.266	RS	YELP		Yelp		Y
1213	Spectrogram 1	1	222124.943000000	222125.222400000	341.772	1037.975	67653638.220517054556.wav	0.2794	691.406	703.125	696.203	RS	YELP				Y
1214	Spectrogram 1	1	222133.099400000	222133.099400000	811.388	811.388	67653638.220517054556.wav	0.0000	808.594	808.594	0.000	RS	YELP		RS yelp		Y
1215	Spectrogram 1	1	222168.266800000	222168.266800000	715.302	715.302	67653638.220517054556.wav	0.0000	714.844	714.844	0.000	RS	YELP				Y
1216	Spectrogram 1	1	222169.037500000	222169.037500000	544.484	544.484	67653638.220517054556.wav	0.0000	539.062	539.062	0.000	RS	BARK				Y
1217	Spectrogram 1	1	222171.629000000	222171.629000000	651.246	651.246	67653638.220517054556.wav	0.0000	656.250	656.250	0.000	RS	YELP				Y
1218	Spectrogram 1	1	222172.178100000	222172.178100000	501.779	501.779	67653638.220517054556.wav	0.0000	503.906	503.906	0.000	RS	BARK				Y
1222	Spectrogram 1	1	225118.991900000	225118.991900000	864.769	864.769	67653638.220517063556.wav	0.0000	867.188	867.188	0.000	RS	YELP		Yelp		Y
1223	Spectrogram 1	1	225123.608300000	225123.897300000	734.177	1278.481	67653638.220517063556.wav	0.2890	972.656	890.625	544.304	RS	YELP				Y
1231	Spectrogram 1	1	227283.760700000	227284.059400000	607.595	1417.722	67653638.220517071056.wav	0.2987	878.906	902.344	810.127	RS	YELP				Y
1232	Spectrogram 1	1	227311.270800000	227312.166700000	75.949	177.215	67653638.220517071056.wav	0.8959	128.906	128.906	101.266	RS	GROWL		RS growl		Y
1233	Spectrogram 1	1	227321.445100000	227321.445100000	480.427	480.427	67653638.220517071056.wav	0.0000	480.469	480.469	0.000	RS	BARK				Y
1234	Spectrogram 1	1	227321.695500000	227321.695500000	341.637	341.637	67653638.220517071056.wav	0.0000	339.844	339.844	0.000	RS	BARK				Y
1235	Spectrogram 1	1	227323.994600000	227323.994600000	341.637	341.637	67653638.220517071056.wav	0.0000	339.844	339.844	0.000	RS	GROWL		RS growl		Y
1236	Spectrogram 1	1	227326.499400000	227326.961800000	50.633	253.165	67653638.220517071056.wav	0.4624	117.188	128.906	202.532	RS	GROWL		RS growl		Y
1237	Spectrogram 1	1	227328.137100000	227328.137100000	544.484	544.484	67653638.220517071056.wav	0.0000	539.062	539.062	0.000	RS	YELP		RS yelp		Y
1239	Spectrogram 1	1	227347.550300000	227347.550300000	597.865	597.865	67653638.220517071056.wav	0.0000	597.656	597.656	0.000	RS	YELP		Yelp		Y
1241	Spectrogram 1	1	227356.288300000	227357.010800000	75.949	189.873	67653638.220517071056.wav	0.7225	117.188	128.906	113.924	RS	GROWL		RS growl		Y
1242	Spectrogram 1	1	227358.696800000	227358.696800000	138.790	138.790	67653638.220517071056.wav	0.0000	140.625	140.625	0.000	RS	GROWL		RS growl		Y
1243	Spectrogram 1	1	227361.744600000	227362.736900000	63.291	189.873	67653638.220517071056.wav	0.9923	128.906	140.625	126.582	RS	GROWL		RS growl		Y
1244	Spectrogram 1	1	227371.528300000	227371.846200000	354.430	734.177	67653638.220517071056.wav	0.3179	515.625	503.906	379.747	RS	YELP				Y
1245	Spectrogram 1	1	227433.189700000	227433.189700000	245.552	245.552	67653638.220517071556.wav	0.0000	246.094	246.094	0.000	RS	BARK		RS bark		Y
1246	Spectrogram 1	1	227786.079000000	227786.079000000	170.819	170.819	67653638.220517072056.wav	0.0000	175.781	175.781	0.000	RS	GROWL		RS growl		Y
1247	Spectrogram 1	1	227787.495200000	227787.495200000	240.506	240.506	67653638.220517072056.wav	0.0000	246.094	246.094	0.000	RS	GROWL		RS growl		Y
1258	Spectrogram 1	1	228753.658200000	228753.658200000	234.875	234.875	67653638.220517073557.wav	0.0000	234.375	234.375	0.000	MAYBE RS			Unknown - maybe RS		Y
1273	Spectrogram 1	1	229932.176400000	229934.488500000	85.409	352.313	67653638.220517075557.wav	2.3121	128.906	117.188	266.904	RS	BARK		RS bark	7	Y
1274	Spectrogram 1	1	229935.653300000	229940.913500000	106.762	416.370	67653638.220517075557.wav	5.2602	152.344	164.062	309.608	RS	BARK		RS bark	12	Y
1302	Spectrogram 1	1	236064.410600000	236064.410600000	640.569	640.569	67653638.220517093557.wav	0.0000	644.531	644.531	0.000	RS	YELP		RS yelp		Y
1303	Spectrogram 1	1	236067.339300000	236068.524200000	607.595	772.152	67653638.220517093557.wav	1.1849	679.688	679.688	164.557	RS	YELP		RS yelp		Y
1304	Spectrogram 1	1	236080.840800000	236080.840800000	661.922	661.922	67653638.220517093557.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS yelp		Y
1305	Spectrogram 1	1	236081.736700000	236081.736700000	640.569	640.569	67653638.220517093557.wav	0.0000	644.531	644.531	0.000	RS	YELP		RS yelp		Y
1307	Spectrogram 1	1	33922.426060000	33922.426060000	812.155	812.155	67653638.220515012550.wav	0.0000	808.594	808.594	0.000	RS	Yelp		WH marked		Y
1310	Spectrogram 1	1	60782.641210000	60782.641210000	867.403	867.403	67653638.220515085051.wav	0.0000	867.188	867.188	0.000	RS	Yelp		WH marked		Y
1311	Spectrogram 1	1	60783.705660000	60783.705660000	795.580	795.580	67653638.220515085051.wav	0.0000	796.875	796.875	0.000	RS	Yelp		WH marked		Y
1312	Spectrogram 1	1	60787.999650000	60787.999650000	651.934	651.934	67653638.220515085051.wav	0.0000	656.250	656.250	0.000	RS	Yelp		WH marked		Y
1313	Spectrogram 1	1	60791.670900000	60791.670900000	464.088	464.088	67653638.220515085051.wav	0.0000	468.750	468.750	0.000	RS	Yelp		WH Marked		Y
1314	Spectrogram 1	1	60793.466700000	60793.466700000	712.707	712.707	67653638.220515085051.wav	0.0000	714.844	714.844	0.000	RS	Yelp		WH marked		Y
1315	Spectrogram 1	1	68740.780270000	68740.780270000	1254.144	1254.144	67653638.220515110551.wav	0.0000	1253.906	1253.906	0.000	RS	Yelp		WH marked		Y
1316	Spectrogram 1	1	131043.250700000	131043.250700000	237.569	243.094	67653638.220516042553.wav	0.0000	246.094	246.094	5.525	RS	Growl		WH Marked		Y
1317	Spectrogram 1	1	131047.587700000	131047.587700000	316.456	316.456	67653638.220516042553.wav	0.0000	316.406	316.406	0.000	RS	Growl		WH marked		Y
1318	Spectrogram 1	1	131053.348200000	131053.348200000	270.718	270.718	67653638.220516042553.wav	0.0000	269.531	269.531	0.000	RS	Growl		WH marked		Y
1319	Spectrogram 1	1	131058.873200000	131058.873200000	248.619	248.619	67653638.220516042553.wav	0.0000	246.094	246.094	0.000	RS	Growl		WH marked		Y
1320	Spectrogram 1	1	164553.068600000	164553.068600000	889.503	889.503	67653638.220516134554.wav	0.0000	890.625	890.625	0.000	RS	Yelp		WH marked		Y
1321	Spectrogram 1	1	164559.284300000	164559.284300000	895.028	895.028	67653638.220516134554.wav	0.0000	890.625	890.625	0.000	RS	Yelp		WH marked		Y
1322	Spectrogram 1	1	164563.952200000	164563.952200000	928.177	928.177	67653638.220516134554.wav	0.0000	925.781	925.781	0.000	RS	Yelp		WH marked		Y
1323	Spectrogram 1	1	164564.335900000	164564.335900000	281.768	281.768	67653638.220516134554.wav	0.0000	281.250	281.250	0.000	RS	Growl		WH marked		Y
1324	Spectrogram 1	1	164568.666100000	164568.666100000	933.702	933.702	67653638.220516134554.wav	0.0000	937.500	937.500	0.000	RS	Yelp		WH marked		Y
1325	Spectrogram 1	1	164569.245400000	164569.245400000	270.718	270.718	67653638.220516134554.wav	0.0000	269.531	269.531	0.000	RS	Growl		WH marked		Y
1326	Spectrogram 1	1	164573.249800000	164573.249800000	917.127	917.127	67653638.220516134554.wav	0.0000	914.062	914.062	0.000	RS	Yelp		WH marked		Y
1327	Spectrogram 1	1	164574.010100000	164574.010100000	232.044	232.044	67653638.220516134554.wav	0.0000	234.375	234.375	0.000	RS	Growl		WH marked		Y
1328	Spectrogram 1	1	164579.338900000	164579.338900000	806.630	806.630	67653638.220516134554.wav	0.0000	808.594	808.594	0.000	RS	Yelp		WH marked		Y
1329	Spectrogram 1	1	174371.063000000	174371.063000000	657.459	657.459	67653638.220516163055.wav	0.0000	656.250	656.250	0.000	RS	Yelp		WH marked		Y
1330	Spectrogram 1	1	174371.968100000	174371.968100000	723.757	729.282	67653638.220516163055.wav	0.0000	726.562	726.562	5.525	RS	Yelp		WH marked		Y
1331	Spectrogram 1	1	174374.806600000	174374.806600000	883.978	883.978	67653638.220516163055.wav	0.0000	878.906	878.906	0.000	RS	Yelp		WH marked		Y
1332	Spectrogram 1	1	174378.726400000	174378.726400000	591.160	591.160	67653638.220516163055.wav	0.0000	585.938	585.938	0.000	RS	Yelp		WH marked		Y
1333	Spectrogram 1	1	179165.380300000	179165.380300000	276.243	276.243	67653638.220516175055.wav	0.0000	281.250	281.250	0.000	RS	Bark		WH marked		Y
1334	Spectrogram 1	1	179166.770600000	179166.770600000	331.492	331.492	67653638.220516175055.wav	0.0000	328.125	328.125	0.000	RS	Bark		WH marked		Y
1335	Spectrogram 1	1	179167.480200000	179167.480200000	270.718	270.718	67653638.220516175055.wav	0.0000	269.531	269.531	0.000	RS	Bark		WH marked		Y
1336	Spectrogram 1	1	220285.074800000	220285.074800000	893.382	893.382	67653638.220517051556.wav	0.0000	890.625	890.625	0.000	RS	Yelp		WH marked		Y
1337	Spectrogram 1	1	221767.632300000	221767.632300000	783.088	783.088	67653638.220517054056.wav	0.0000	785.156	785.156	0.000	RS	Yelp		WH marked		Y
1338	Spectrogram 1	1	221777.275100000	221777.275100000	661.765	661.765	67653638.220517054056.wav	0.0000	656.250	656.250	0.000	RS	Yelp		WH marked		Y
1339	Spectrogram 1	1	229938.140500000	229940.799500000	650.735	1400.735	67653638.220517075557.wav	2.6590	937.500	960.938	750.000	RS	Yelp		WH marked	6	Y
1340	Spectrogram 1	1	81473.410270000	81473.410270000	231.618	231.618	67653638.220515144052.wav	0.0000	234.375	234.375	0.000	RS	Bark		WH marked		Y
1341	Spectrogram 1	1	81476.531150000	81476.531150000	1003.676	1003.676	67653638.220515144052.wav	0.0000	1007.812	1007.812	0.000	RS	Yelp		WH marked		Y
1342	Spectrogram 1	1	81478.276260000	81478.283500000	1069.853	1069.853	67653638.220515144052.wav	0.0072	1066.406	1066.406	0.000	RS	Yelp		WH marked		Y
