Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity
223	Spectrogram 1	1	41244.677866796	41244.677866796	752.688	752.688	67653638.220515032550.wav	0.0000	750.000	750.000	0.000	RS	YELP		Yelp	
224	Spectrogram 1	1	41245.106575852	41246.175940014	67.742	174.194	67653638.220515032550.wav	1.0694	70.312	70.312	106.452	RS	BARK		Bark	
225	Spectrogram 1	1	41274.117345233	41274.117345233	553.191	553.191	67653638.220515032550.wav	0.0000	550.781	550.781	0.000	RS	MAYBE GROWL		Maybe RS growl	
226	Spectrogram 1	1	41282.272024900	41282.272024900	319.853	319.853	67653638.220515032550.wav	0.0000	316.406	316.406	0.000	RS	MAYBE WOOF		RS - maybe woof?	
227	Spectrogram 1	1	41312.409517757	41312.409517757	1053.191	1053.191	67653638.220515032550.wav	0.0000	1054.688	1054.688	0.000	BS				
228	Spectrogram 1	1	41372.789615276	41372.789615276	1191.489	1191.489	67653638.220515032550.wav	0.0000	1195.312	1195.312	0.000	BS				
229	Spectrogram 1	1	41399.520228023	41399.520228023	851.064	851.064	67653638.220515032550.wav	0.0000	855.469	855.469	0.000	BS				
230	Spectrogram 1	1	41483.663683944	41483.663683944	340.426	340.426	67653638.220515033050.wav	0.0000	339.844	339.844	0.000	BS				
231	Spectrogram 1	1	41618.386041859	41618.386041859	1297.872	1297.872	67653638.220515033050.wav	0.0000	1300.781	1300.781	0.000	BS				
232	Spectrogram 1	1	41735.581707242	41735.581707242	1425.532	1425.532	67653638.220515033550.wav	0.0000	1429.688	1429.688	0.000	BS				
234	Spectrogram 1	1	41929.735667890	41929.735667890	553.191	553.191	67653638.220515033550.wav	0.0000	550.781	550.781	0.000	BS				
235	Spectrogram 1	1	41994.337183707	41994.337183707	744.681	744.681	67653638.220515033550.wav	0.0000	750.000	750.000	0.000	BS				
236	Spectrogram 1	1	43146.028366860	43146.028366860	197.492	197.492	67653638.220515035551.wav	0.0000	199.219	199.219	0.000	Unknown			Unknown	
237	Spectrogram 1	1	43272.089854677	43272.089854677	787.234	787.234	67653638.220515040051.wav	0.0000	785.156	785.156	0.000	BS				
238	Spectrogram 1	1	43425.936389279	43425.936389279	659.574	659.574	67653638.220515040051.wav	0.0000	656.250	656.250	0.000	BS				
239	Spectrogram 1	1	43516.049390426	43516.049390426	1127.660	1127.660	67653638.220515040551.wav	0.0000	1125.000	1125.000	0.000	BS				
240	Spectrogram 1	1	43964.761077635	43964.761077635	1212.766	1212.766	67653638.220515041051.wav	0.0000	1207.031	1207.031	0.000	BS				
242	Spectrogram 1	1	44119.478187795	44119.478187795	787.234	787.234	67653638.220515041551.wav	0.0000	785.156	785.156	0.000	BS				
243	Spectrogram 1	1	44234.774206540	44234.774206540	1106.383	1106.383	67653638.220515041551.wav	0.0000	1101.562	1101.562	0.000	BS				
244	Spectrogram 1	1	44328.329116830	44328.329116830	1106.383	1106.383	67653638.220515041551.wav	0.0000	1101.562	1101.562	0.000	BS				
245	Spectrogram 1	1	44428.902780729	44428.902780729	914.894	914.894	67653638.220515042051.wav	0.0000	914.062	914.062	0.000	BS				
246	Spectrogram 1	1	44660.364490226	44660.364490226	702.128	702.128	67653638.220515042051.wav	0.0000	703.125	703.125	0.000	BS				
247	Spectrogram 1	1	44703.122434641	44703.122434641	1212.766	1212.766	67653638.220515042051.wav	0.0000	1207.031	1207.031	0.000	BS				
248	Spectrogram 1	1	44732.864067828	44732.864067828	1095.745	1095.745	67653638.220515042551.wav	0.0000	1101.562	1101.562	0.000	BS				
249	Spectrogram 1	1	44833.525300405	44833.525300405	989.362	989.362	67653638.220515042551.wav	0.0000	984.375	984.375	0.000	BS				
250	Spectrogram 1	1	44934.218062611	44934.218062611	1563.830	1563.830	67653638.220515042551.wav	0.0000	1558.594	1558.594	0.000	BS				
251	Spectrogram 1	1	45116.197400746	45116.197400746	1085.106	1085.106	67653638.220515043051.wav	0.0000	1089.844	1089.844	0.000	BS				
252	Spectrogram 1	1	45515.356614938	45515.356614938	521.277	521.277	67653638.220515043551.wav	0.0000	515.625	515.625	0.000	BS				
253	Spectrogram 1	1	45583.904513191	45583.904513191	712.766	712.766	67653638.220515043551.wav	0.0000	714.844	714.844	0.000	BS				
254	Spectrogram 1	1	45645.657902825	45645.657902825	1117.021	1117.021	67653638.220515044051.wav	0.0000	1113.281	1113.281	0.000	BS				
255	Spectrogram 1	1	45716.262208901	45716.262208901	1042.553	1042.553	67653638.220515044051.wav	0.0000	1042.969	1042.969	0.000	BS				
256	Spectrogram 1	1	45969.424762241	45969.424762241	755.319	755.319	67653638.220515044551.wav	0.0000	750.000	750.000	0.000	BS				
257	Spectrogram 1	1	46101.398828152	46101.398828152	1212.766	1212.766	67653638.220515044551.wav	0.0000	1207.031	1207.031	0.000	BS				
258	Spectrogram 1	1	46197.381499699	46197.381499699	914.894	914.894	67653638.220515044551.wav	0.0000	914.062	914.062	0.000	BS				
259	Spectrogram 1	1	46237.152910223	46237.152910223	1031.915	1031.915	67653638.220515045051.wav	0.0000	1031.250	1031.250	0.000	BS				
260	Spectrogram 1	1	46394.667353330	46394.667353330	1510.638	1510.638	67653638.220515045051.wav	0.0000	1511.719	1511.719	0.000	BS				
261	Spectrogram 1	1	46584.193549069	46584.193549069	563.830	563.830	67653638.220515045551.wav	0.0000	562.500	562.500	0.000	BS				
262	Spectrogram 1	1	46627.885957251	46627.885957251	904.255	904.255	67653638.220515045551.wav	0.0000	902.344	902.344	0.000	BS				
263	Spectrogram 1	1	46655.088622013	46655.088622013	787.234	787.234	67653638.220515045551.wav	0.0000	785.156	785.156	0.000	BS				
264	Spectrogram 1	1	46700.405658873	46700.405658873	1404.255	1404.255	67653638.220515045551.wav	0.0000	1406.250	1406.250	0.000	BS				
265	Spectrogram 1	1	46933.296715757	46933.296715757	1010.638	1010.638	67653638.220515050051.wav	0.0000	1007.812	1007.812	0.000	BS				
266	Spectrogram 1	1	47037.147644786	47037.147644786	744.681	744.681	67653638.220515050051.wav	0.0000	750.000	750.000	0.000	BS				
267	Spectrogram 1	1	47089.121707822	47089.121707822	734.043	734.043	67653638.220515050051.wav	0.0000	738.281	738.281	0.000	BS				
268	Spectrogram 1	1	47153.890520953	47153.890520953	1095.745	1095.745	67653638.220515050551.wav	0.0000	1101.562	1101.562	0.000	BS				
270	Spectrogram 1	1	47429.266241116	47429.266241116	851.064	851.064	67653638.220515051051.wav	0.0000	855.469	855.469	0.000	BS				
271	Spectrogram 1	1	47519.142748400	47519.142748400	1361.702	1361.702	67653638.220515051051.wav	0.0000	1359.375	1359.375	0.000	BS				
272	Spectrogram 1	1	47704.746187086	47704.746187086	1095.745	1095.745	67653638.220515051551.wav	0.0000	1101.562	1101.562	0.000	BS				
273	Spectrogram 1	1	47721.416353507	47721.416353507	851.064	851.064	67653638.220515051551.wav	0.0000	855.469	855.469	0.000	BS				
274	Spectrogram 1	1	47889.377466159	47889.377466159	1212.766	1212.766	67653638.220515051551.wav	0.0000	1207.031	1207.031	0.000	BS				
275	Spectrogram 1	1	48113.266062465	48113.266062465	1659.574	1659.574	67653638.220515052051.wav	0.0000	1664.062	1664.062	0.000	BS				
276	Spectrogram 1	1	48417.987555444	48417.987555444	1351.064	1351.064	67653638.220515052551.wav	0.0000	1347.656	1347.656	0.000	BS				
277	Spectrogram 1	1	48523.644398071	48523.644398071	691.489	691.489	67653638.220515052551.wav	0.0000	691.406	691.406	0.000	BS				
278	Spectrogram 1	1	48576.091414361	48576.091414361	1159.574	1159.574	67653638.220515052551.wav	0.0000	1160.156	1160.156	0.000	BS				
279	Spectrogram 1	1	48616.182514679	48616.182514679	925.532	925.532	67653638.220515053051.wav	0.0000	925.781	925.781	0.000	BS				
280	Spectrogram 1	1	48766.221031645	48766.221031645	893.617	893.617	67653638.220515053051.wav	0.0000	890.625	890.625	0.000	BS				
281	Spectrogram 1	1	48848.275697433	48848.275697433	1723.404	1723.404	67653638.220515053051.wav	0.0000	1722.656	1722.656	0.000	BS				
282	Spectrogram 1	1	49050.433696584	49050.433696584	925.532	925.532	67653638.220515053551.wav	0.0000	925.781	925.781	0.000	BS				
283	Spectrogram 1	1	49164.163750359	49164.163750359	1095.745	1095.745	67653638.220515053551.wav	0.0000	1101.562	1101.562	0.000	BS				
284	Spectrogram 1	1	49356.728994403	49356.728994403	1744.681	1744.681	67653638.220515054051.wav	0.0000	1746.094	1746.094	0.000	BS				
285	Spectrogram 1	1	49486.295469448	49486.295469448	893.617	893.617	67653638.220515054051.wav	0.0000	890.625	890.625	0.000	BS				
287	Spectrogram 1	1	49693.343113533	49693.343113533	755.319	755.319	67653638.220515054551.wav	0.0000	750.000	750.000	0.000	BS				
288	Spectrogram 1	1	49800.078994882	49800.078994882	1414.894	1414.894	67653638.220515054551.wav	0.0000	1417.969	1417.969	0.000	BS				
289	Spectrogram 1	1	51912.307930472	51912.307930472	808.511	808.511	67653638.220515062551.wav	0.0000	808.594	808.594	0.000	BS				
290	Spectrogram 1	1	52000.572946281	52000.572946281	942.149	942.149	67653638.220515062551.wav	0.0000	937.500	937.500	0.000	BS			Yes	
291	Spectrogram 1	1	52078.159205966	52078.168839878	1531.915	1531.915	67653638.220515062551.wav	0.0096	1535.156	1535.156	0.000	BS			Yes	
292	Spectrogram 1	1	53470.958306965	53470.958306965	670.213	670.213	67653638.220515065051.wav	0.0000	667.969	667.969	0.000	BS				
293	Spectrogram 1	1	53644.046410343	53644.046410343	744.681	744.681	67653638.220515065051.wav	0.0000	750.000	750.000	0.000	BS				
294	Spectrogram 1	1	53793.410572394	53793.410572394	638.298	638.298	67653638.220515065551.wav	0.0000	632.812	632.812	0.000	Unknown			Unknown	
295	Spectrogram 1	1	53963.697820270	53963.697820270	574.713	574.713	67653638.220515065551.wav	0.0000	574.219	574.219	0.000	RS	YELP		Yelp	
296	Spectrogram 1	1	53988.623366685	53988.767875356	68.966	195.402	67653638.220515065551.wav	0.1445	128.906	128.906	126.436	RS	BARK	GOOD	Bark	
297	Spectrogram 1	1	54111.948816111	54112.719529021	114.943	505.747	67653638.220515070051.wav	0.7707	187.500	175.781	390.804	RS	GROWL		RS growl or groan?	
298	Spectrogram 1	1	54243.273926139	54243.273926139	553.191	553.191	67653638.220515070051.wav	0.0000	550.781	550.781	0.000	RS	UNKNOWN		Likely RS, unknown call	
299	Spectrogram 1	1	60682.209190069	60682.209190069	755.319	755.319	67653638.220515085051.wav	0.0000	750.000	750.000	0.000	BS				
300	Spectrogram 1	1	60783.958182842	60784.622922726	152.174	250.000	67653638.220515085051.wav	0.6647	187.500	187.500	97.826	RS	GROWL		RS growl	
301	Spectrogram 1	1	60788.328471718	60789.291862855	130.435	250.000	67653638.220515085051.wav	0.9634	187.500	210.938	119.565	RS	GROWL		RS growl	
302	Spectrogram 1	1	60793.630623277	60795.123879539	173.913	304.348	67653638.220515085051.wav	1.4933	257.812	269.531	130.435	RS	GROWL		Growl	
303	Spectrogram 1	1	60799.043133346	60799.043133346	652.174	652.174	67653638.220515085051.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS yelp	
304	Spectrogram 1	1	60842.576154278	60842.576154278	1085.106	1085.106	67653638.220515085051.wav	0.0000	1089.844	1089.844	0.000	BS				
305	Spectrogram 1	1	61011.506785770	61011.506785770	712.766	712.766	67653638.220515085551.wav	0.0000	714.844	714.844	0.000	BS				
306	Spectrogram 1	1	61143.604353570	61143.604353570	1170.213	1170.213	67653638.220515085551.wav	0.0000	1171.875	1171.875	0.000	BS				
307	Spectrogram 1	1	61309.879528497	61309.879528497	1255.319	1255.319	67653638.220515090051.wav	0.0000	1253.906	1253.906	0.000	BS				
308	Spectrogram 1	1	61386.173087571	61386.173087571	492.000	492.000	67653638.220515090051.wav	0.0000	492.188	492.188	0.000	BS			Yes	
309	Spectrogram 1	1	61478.261897096	61478.261897096	723.404	723.404	67653638.220515090051.wav	0.0000	726.562	726.562	0.000	BS				
310	Spectrogram 1	1	61496.848336801	61496.848336801	808.511	808.511	67653638.220515090051.wav	0.0000	808.594	808.594	0.000	BS				
311	Spectrogram 1	1	61536.140708122	61536.140708122	1106.383	1106.383	67653638.220515090551.wav	0.0000	1101.562	1101.562	0.000	BS				
312	Spectrogram 1	1	61748.194467554	61748.194467554	1180.851	1180.851	67653638.220515090551.wav	0.0000	1183.594	1183.594	0.000	BS				
313	Spectrogram 1	1	61954.444249811	61954.444249811	606.383	606.383	67653638.220515091051.wav	0.0000	609.375	609.375	0.000	BS				
314	Spectrogram 1	1	61991.962207083	61991.962207083	1095.745	1095.745	67653638.220515091051.wav	0.0000	1101.562	1101.562	0.000	BS				
315	Spectrogram 1	1	62228.611362520	62228.611362520	1010.638	1010.638	67653638.220515091551.wav	0.0000	1007.812	1007.812	0.000	BS				
316	Spectrogram 1	1	62385.875306433	62385.875306433	744.681	744.681	67653638.220515091551.wav	0.0000	750.000	750.000	0.000	BS				
317	Spectrogram 1	1	62411.479646435	62411.479646435	765.957	765.957	67653638.220515092051.wav	0.0000	761.719	761.719	0.000	BS				
318	Spectrogram 1	1	62531.200255453	62531.200255453	1297.872	1297.872	67653638.220515092051.wav	0.0000	1300.781	1300.781	0.000	BS				
319	Spectrogram 1	1	62735.713310039	62735.713310039	1425.532	1425.532	67653638.220515092551.wav	0.0000	1429.688	1429.688	0.000	BS				
320	Spectrogram 1	1	65906.168722749	65906.168722749	127.660	127.660	67653638.220515101551.wav	0.0000	128.906	128.906	0.000	Unknown			Unknown	
321	Spectrogram 1	1	65909.155235273	65909.155235273	180.851	180.851	67653638.220515101551.wav	0.0000	175.781	175.781	0.000	Unknown			Unknown	
322	Spectrogram 1	1	67999.764789015	67999.764789015	744.681	744.681	67653638.220515105051.wav	0.0000	750.000	750.000	0.000	BS				
323	Spectrogram 1	1	68225.225480878	68225.225480878	648.936	648.936	67653638.220515105551.wav	0.0000	644.531	644.531	0.000	BS				
324	Spectrogram 1	1	68291.123177096	68291.123177096	574.468	574.468	67653638.220515105551.wav	0.0000	574.219	574.219	0.000	BS				
325	Spectrogram 1	1	68684.960979739	68684.960979739	1744.681	1744.681	67653638.220515110051.wav	0.0000	1746.094	1746.094	0.000	BS				
326	Spectrogram 1	1	68728.920527096	68728.920527096	1326.693	1326.693	67653638.220515110551.wav	0.0000	1324.219	1324.219	0.000	RS	YELP		RS yelp	
327	Spectrogram 1	1	68734.334785285	68734.334785285	1314.741	1314.741	67653638.220515110551.wav	0.0000	1312.500	1312.500	0.000	RS	YELP		RS yelp	
328	Spectrogram 1	1	68742.168907414	68742.168907414	776.596	776.596	67653638.220515110551.wav	0.0000	773.438	773.438	0.000	BS			Yes	
329	Spectrogram 1	1	68738.524659692	68738.524659692	1308.511	1308.511	67653638.220515110551.wav	0.0000	1312.500	1312.500	0.000	RS	YELP		RS Yelp	
330	Spectrogram 1	1	68745.056441518	68745.306923214	1063.745	1768.924	67653638.220515110551.wav	0.2505	1582.031	1582.031	705.179	RS	YELP		RS yelp	
331	Spectrogram 1	1	68753.228638365	68753.228638365	633.466	633.466	67653638.220515110551.wav	0.0000	632.812	632.812	0.000	RS	YELP		RS yelp	
332	Spectrogram 1	1	68801.230032194	68801.230032194	549.801	549.801	67653638.220515110551.wav	0.0000	550.781	550.781	0.000	RS	YELP		RS yelp	
333	Spectrogram 1	1	68870.434791897	68870.434791897	1138.298	1138.298	67653638.220515110551.wav	0.0000	1136.719	1136.719	0.000	BS				
334	Spectrogram 1	1	68961.191499007	68961.191499007	1000.000	1000.000	67653638.220515110551.wav	0.0000	996.094	996.094	0.000	BS				
335	Spectrogram 1	1	69026.611892671	69026.611892671	893.617	893.617	67653638.220515111051.wav	0.0000	890.625	890.625	0.000	BS				
336	Spectrogram 1	1	69151.900024091	69151.900024091	1085.106	1085.106	67653638.220515111051.wav	0.0000	1089.844	1089.844	0.000	BS				
337	Spectrogram 1	1	69215.107233103	69215.107233103	723.404	723.404	67653638.220515111051.wav	0.0000	726.562	726.562	0.000	BS				
338	Spectrogram 1	1	69263.276780847	69263.276780847	734.043	734.043	67653638.220515111051.wav	0.0000	738.281	738.281	0.000	BS				
339	Spectrogram 1	1	69303.324947886	69303.324947886	1000.000	1000.000	67653638.220515111051.wav	0.0000	996.094	996.094	0.000	BS				
340	Spectrogram 1	1	69347.680375876	69347.680375876	542.553	542.553	67653638.220515111551.wav	0.0000	539.062	539.062	0.000	BS				
341	Spectrogram 1	1	69441.515541385	69441.515541385	1106.383	1106.383	67653638.220515111551.wav	0.0000	1101.562	1101.562	0.000	BS				
342	Spectrogram 1	1	69471.144198994	69471.144198994	1095.745	1095.745	67653638.220515111551.wav	0.0000	1101.562	1101.562	0.000	BS				
343	Spectrogram 1	1	69583.610464143	69583.610464143	574.468	574.468	67653638.220515111551.wav	0.0000	574.219	574.219	0.000	BS				
344	Spectrogram 1	1	69629.377699682	69629.377699682	585.106	595.745	67653638.220515112051.wav	0.0000	585.938	585.938	10.639	BS				
345	Spectrogram 1	1	69647.594551701	69647.594551701	776.596	776.596	67653638.220515112051.wav	0.0000	773.438	773.438	0.000	BS				
346	Spectrogram 1	1	69705.681778314	69705.681778314	1024.911	1024.911	67653638.220515112051.wav	0.0000	1019.531	1019.531	0.000	BS				
347	Spectrogram 1	1	69704.692981837	69704.692981837	1410.596	1410.596	67653638.220515112051.wav	0.0000	1406.250	1406.250	0.000	RS	YELP		RS yelp	
348	Spectrogram 1	1	69851.235277913	69851.235277913	811.388	811.388	67653638.220515112051.wav	0.0000	808.594	808.594	0.000	BS				
349	Spectrogram 1	1	69912.732054913	69912.732054913	768.683	768.683	67653638.220515112551.wav	0.0000	773.438	773.438	0.000	BS				
350	Spectrogram 1	1	69988.980946774	69988.980946774	1281.139	1281.139	67653638.220515112551.wav	0.0000	1277.344	1277.344	0.000	BS				
351	Spectrogram 1	1	70104.354048358	70104.354048358	648.000	648.000	67653638.220515112551.wav	0.0000	644.531	644.531	0.000	BS			Yes	
352	Spectrogram 1	1	70132.733809071	70132.733809071	288.000	288.000	67653638.220515112551.wav	0.0000	292.969	292.969	0.000	BS			Yes	
353	Spectrogram 1	1	70217.076948713	70217.076948713	1003.559	1003.559	67653638.220515113051.wav	0.0000	1007.812	1007.812	0.000	BS				
354	Spectrogram 1	1	70252.198681638	70252.198681638	758.007	758.007	67653638.220515113051.wav	0.0000	761.719	761.719	0.000	BS				
355	Spectrogram 1	1	70277.540247358	70277.848532522	358.566	561.753	67653638.220515113051.wav	0.3083	492.188	492.188	203.187	RS	YELP		RS Yelp	
356	Spectrogram 1	1	70273.455468938	70273.455468938	576.000	576.000	67653638.220515113051.wav	0.0000	574.219	574.219	0.000	RS	YELP		RS yelp	
357	Spectrogram 1	1	70275.709804198	70275.709804198	661.922	661.922	67653638.220515113051.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS yelp	
358	Spectrogram 1	1	70288.079750385	70288.079750385	1131.673	1131.673	67653638.220515113051.wav	0.0000	1136.719	1136.719	0.000	BS				
359	Spectrogram 1	1	70323.906505479	70323.906505479	405.694	405.694	67653638.220515113051.wav	0.0000	410.156	410.156	0.000	BS				
360	Spectrogram 1	1	70413.267147980	70413.274159289	1152.000	1152.000	67653638.220515113051.wav	0.0070	1148.438	1148.438	0.000	BS			Yes	
361	Spectrogram 1	1	70463.166429070	70463.166429070	939.502	939.502	67653638.220515113051.wav	0.0000	937.500	937.500	0.000	BS				
362	Spectrogram 1	1	70522.758328123	70522.758328123	1078.292	1078.292	67653638.220515113551.wav	0.0000	1078.125	1078.125	0.000	BS				
363	Spectrogram 1	1	70557.774089755	70557.774089755	747.331	747.331	67653638.220515113551.wav	0.0000	750.000	750.000	0.000	BS				
364	Spectrogram 1	1	70670.638856852	70670.638856852	780.000	780.000	67653638.220515113551.wav	0.0000	785.156	785.156	0.000	BS			Yes	
365	Spectrogram 1	1	70700.771970957	70700.771970957	1441.281	1441.281	67653638.220515113551.wav	0.0000	1441.406	1441.406	0.000	BS				
366	Spectrogram 1	1	70760.931361633	70760.931361633	811.388	811.388	67653638.220515113551.wav	0.0000	808.594	808.594	0.000	BS				
367	Spectrogram 1	1	70855.561794443	70855.561794443	348.000	348.000	67653638.220515114051.wav	0.0000	351.562	351.562	0.000	BS			Yes	
368	Spectrogram 1	1	70911.916668497	70911.916668497	1142.349	1142.349	67653638.220515114051.wav	0.0000	1136.719	1136.719	0.000	BS				
370	Spectrogram 1	1	71155.711558274	71155.711558274	882.979	882.979	67653638.220515114551.wav	0.0000	878.906	878.906	0.000	BS				
371	Spectrogram 1	1	71228.398540061	71228.398540061	1000.000	1000.000	67653638.220515114551.wav	0.0000	996.094	996.094	0.000	BS				
372	Spectrogram 1	1	71331.197619935	71331.197619935	638.298	638.298	67653638.220515114551.wav	0.0000	632.812	632.812	0.000	BS				
373	Spectrogram 1	1	71375.616968698	71375.616968698	732.000	732.000	67653638.220515114551.wav	0.0000	726.562	726.562	0.000	BS			Yes	
374	Spectrogram 1	1	71397.047146596	71397.047146596	627.660	627.660	67653638.220515114551.wav	0.0000	632.812	632.812	0.000	BS			Yes	
375	Spectrogram 1	1	71543.839076080	71543.839076080	1042.553	1042.553	67653638.220515115051.wav	0.0000	1042.969	1042.969	0.000	BS				
376	Spectrogram 1	1	71711.038238061	71711.038238061	638.298	638.298	67653638.220515115551.wav	0.0000	632.812	632.812	0.000	BS				
377	Spectrogram 1	1	71927.681245575	71927.681245575	978.723	978.723	67653638.220515115551.wav	0.0000	984.375	984.375	0.000	BS				
378	Spectrogram 1	1	72027.218828107	72027.218828107	1202.128	1202.128	67653638.220515120051.wav	0.0000	1207.031	1207.031	0.000	BS				
379	Spectrogram 1	1	72553.669155146	72553.669155146	1031.915	1031.915	67653638.220515120551.wav	0.0000	1031.250	1031.250	0.000	BS				
380	Spectrogram 1	1	72668.611363007	72668.611363007	574.468	574.468	67653638.220515121051.wav	0.0000	574.219	574.219	0.000	BS				
381	Spectrogram 1	1	72745.316563573	72745.316563573	691.489	691.489	67653638.220515121051.wav	0.0000	691.406	691.406	0.000	BS				
382	Spectrogram 1	1	72902.788951193	72902.788951193	1117.021	1117.021	67653638.220515121051.wav	0.0000	1113.281	1113.281	0.000	BS				
383	Spectrogram 1	1	73076.900016254	73076.900016254	787.234	787.234	67653638.220515121552.wav	0.0000	785.156	785.156	0.000	BS				
384	Spectrogram 1	1	73114.781432933	73114.781432933	872.340	872.340	67653638.220515121552.wav	0.0000	867.188	867.188	0.000	BS				
385	Spectrogram 1	1	73240.858694488	73240.858694488	957.447	957.447	67653638.220515122052.wav	0.0000	960.938	960.938	0.000	BS				
386	Spectrogram 1	1	75908.733605973	75908.733605973	228.000	228.000	67653638.220515131052.wav	0.0000	222.656	222.656	0.000	Unknown			Unknown	
387	Spectrogram 1	1	76660.221606874	76660.221606874	180.000	180.000	67653638.220515132052.wav	0.0000	175.781	175.781	0.000	Unknown			Unknown	
388	Spectrogram 1	1	78966.177988419	78966.177988419	691.489	691.489	67653638.220515140052.wav	0.0000	691.406	691.406	0.000	BS				
389	Spectrogram 1	1	79251.518680249	79251.518680249	1031.915	1031.915	67653638.220515140552.wav	0.0000	1031.250	1031.250	0.000	BS				
390	Spectrogram 1	1	79428.547048756	79428.547048756	1744.681	1744.681	67653638.220515140552.wav	0.0000	1746.094	1746.094	0.000	BS				
391	Spectrogram 1	1	79547.092337159	79547.092337159	968.085	968.085	67653638.220515141052.wav	0.0000	972.656	972.656	0.000	BS				
392	Spectrogram 1	1	79642.512722932	79642.512722932	872.340	872.340	67653638.220515141052.wav	0.0000	867.188	867.188	0.000	BS				
393	Spectrogram 1	1	79676.858482240	79676.858482240	670.213	670.213	67653638.220515141052.wav	0.0000	667.969	667.969	0.000	BS				
394	Spectrogram 1	1	79747.263108061	79747.263108061	1000.000	1000.000	67653638.220515141052.wav	0.0000	996.094	996.094	0.000	BS				
395	Spectrogram 1	1	79856.192878120	79856.192878120	1095.745	1095.745	67653638.220515141552.wav	0.0000	1101.562	1101.562	0.000	BS				
396	Spectrogram 1	1	80035.614830778	80035.614830778	723.404	723.404	67653638.220515141552.wav	0.0000	726.562	726.562	0.000	BS				
397	Spectrogram 1	1	80098.803645086	80098.803645086	1489.362	1489.362	67653638.220515141552.wav	0.0000	1488.281	1488.281	0.000	BS				
398	Spectrogram 1	1	81105.836411531	81110.104234267	83.665	179.283	67653638.220515143552.wav	4.2678	140.625	140.625	95.618	RS	GROWL		Growl - long one	
399	Spectrogram 1	1	81110.485217919	81110.668262235	71.713	156.353	67653638.220515143552.wav	0.1830	117.188	117.188	84.640	RS	BARK	GOOD	Bark	
400	Spectrogram 1	1	81110.677896147	81110.851306551	669.323	932.271	67653638.220515143552.wav	0.1734	832.031	785.156	262.948	RS	YELP			
401	Spectrogram 1	1	81110.860940463	81111.034350867	83.665	155.378	67653638.220515143552.wav	0.1734	128.906	117.188	71.713	RS	BARK			
402	Spectrogram 1	1	81111.121053592	81111.121053592	908.367	908.367	67653638.220515143552.wav	0.0000	914.062	914.062	0.000	RS	YELP			
403	Spectrogram 1	1	81111.356649506	81111.356649506	255.319	255.319	67653638.220515143552.wav	0.0000	257.812	257.812	0.000	RS	BARK			
404	Spectrogram 1	1	81111.487142224	81111.622016984	752.988	944.223	67653638.220515143552.wav	0.1349	796.875	785.156	191.235	RS	YELP			
405	Spectrogram 1	1	81111.732372050	81111.732372050	553.191	553.191	67653638.220515143552.wav	0.0000	550.781	550.781	0.000	RS	BARK			
406	Spectrogram 1	1	81112.508336829	81112.739550702	729.084	1685.259	67653638.220515143552.wav	0.2312	1078.125	1113.281	956.175	RS	YELP			
407	Spectrogram 1	1	81113.645138371	81114.020860914	83.665	179.283	67653638.220515143552.wav	0.3757	140.625	152.344	95.618	RS	BARK			
408	Spectrogram 1	1	81114.078664382	81114.290610433	71.713	167.331	67653638.220515143552.wav	0.2119	128.906	128.906	95.618	RS	BARK			
409	Spectrogram 1	1	81114.473654749	81114.473654749	861.702	861.702	67653638.220515143552.wav	0.0000	867.188	867.188	0.000	RS	YELP			
410	Spectrogram 1	1	81114.666332976	81114.666332976	382.979	382.979	67653638.220515143552.wav	0.0000	386.719	386.719	0.000	RS	BARK			
411	Spectrogram 1	1	81114.800339754	81115.012285804	669.323	1243.028	67653638.220515143552.wav	0.2119	843.750	843.750	573.705	RS	YELP			
412	Spectrogram 1	1	81115.137526651	81115.282035322	71.713	143.426	67653638.220515143552.wav	0.1445	117.188	117.188	71.713	RS	BARK			
413	Spectrogram 1	1	81115.310937056	81115.445811815	741.036	1003.984	67653638.220515143552.wav	0.1349	796.875	785.156	262.948	RS	YELP			
414	Spectrogram 1	1	81115.460262682	81115.628856131	77.372	143.426	67653638.220515143552.wav	0.1686	117.188	117.188	66.054	RS	BARK			
415	Spectrogram 1	1	81115.802266536	81115.802266536	944.223	944.223	67653638.220515143552.wav	0.0000	949.219	949.219	0.000	RS	YELP			
416	Spectrogram 1	1	81116.034348390	81116.034348390	627.660	627.660	67653638.220515143552.wav	0.0000	632.812	632.812	0.000	RS	BARK			
417	Spectrogram 1	1	81113.490995789	81113.490995789	617.021	617.021	67653638.220515143552.wav	0.0000	621.094	621.094	0.000	RS	BARK			
418	Spectrogram 1	1	81116.809446001	81116.809446001	968.085	968.085	67653638.220515143552.wav	0.0000	972.656	972.656	0.000	RS	YELP			
419	Spectrogram 1	1	81117.088829430	81117.088829430	531.915	531.915	67653638.220515143552.wav	0.0000	527.344	527.344	0.000	RS	BARK			
420	Spectrogram 1	1	81117.376969551	81117.376969551	860.558	866.534	67653638.220515143552.wav	0.0000	867.188	867.188	5.976	RS	YELP			
