Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
25834	Spectrogram 1	1	6656.839367	6657.48007	0.6407	58.5457	24.931	1238.227	35.156	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	15.37										X	1	1	X	BY	488	TOO FAINT
25835	Spectrogram 1	1	6659.068467	6659.43907	0.3706	60.7748	0	1279.778	0	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	18.99										X	1	0	Y	B	unk	Loud overlap w bearded seals
25836	Spectrogram 1	1	16109.2241	16109.5947	0.3706	213.3041	99.723	872.576	128.906	1208795168.700528084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	14.66										Y	1	1	X	BY	unk	
25837	Spectrogram 1	1	16109.8397	16110.49297	0.6533	213.9197	8.31	980.609	11.719	1208795168.700528084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	17.04	Y									X	0	3	X	Y	unk	
25838	Spectrogram 1	1	7803.784233	7804.104584	0.3204	5.7809	24.931	1263.158	35.156	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	16.03										Y	1	0	X	B	unk	FAINT
25839	Spectrogram 1	1	7808.834433	7809.183051	0.3486	10.8311	49.861	1412.742	58.594	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	15.23										X	1	0	X	U	unk	Not a bark
25840	Spectrogram 1	1	7811.482033	7811.877761	0.3957	13.4787	0	1113.573	0	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	16.98										Y	1	1	X	BY	467	
25841	Spectrogram 1	1	7806.026633	7806.262185	0.2356	8.0233	0	855.956	0	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	16.44										Y	1	0	X	B	467	
25842	Spectrogram 1	1	7802.766633	7802.983341	0.2167	4.7633	639.889	1080.332	785.156	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	10.8	Y									X	0	1	X	Y	unk	
25843	Spectrogram 1	1	7807.600133	7807.816841	0.2167	9.5968	756.233	972.299	890.625	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	14.55	Y									X	0	1	X	Y	unk	
25844	Spectrogram 1	1	7809.833233	7810.813132	0.9799	11.8299	41.551	1304.709	46.875	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	15.56	Y									X	0	2	X	Y	unk	
25845	Spectrogram 1	1	12756.7508	12757.56267	0.8119	159.7578	0	1138.504	0	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	19.01										Y	2	2	X	BY	488	
25846	Spectrogram 1	1	12752.7181	12753.37137	0.6533	155.7251	41.551	1113.573	328.125	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	17.92										Y	2	2	X	BY	488	
25847	Spectrogram 1	1	12755.1521	12755.95926	0.8072	158.1591	0	1279.778	0	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	19.14										Y	2	2	Y	BY	unk	BS Overlap
25848	Spectrogram 1	1	12758.7671	12759.5774	0.8103	161.7741	0	1113.573	0	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	18.92										Y	1	2	X	BY	488	
25849	Spectrogram 1	1	10816.72263	10817.15605	0.4334	19.4303	74.792	914.127	246.094	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.05										Y	1	1	X	BY	496	
25850	Spectrogram 1	1	10818.58823	10818.89916	0.3109	21.2959	74.792	2443.213	492.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	18.13	Y									X	1	0	X	U	unk	UNIDENTIFIED
25851	Spectrogram 1	1	10819.78483	10820.02039	0.2356	22.4925	49.861	506.925	257.812	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	17.31										Y	1	0	X	B	496	
25852	Spectrogram 1	1	10836.87873	10837.03577	0.157	39.5864	108.033	690	457.031	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.81										Y	2	0	X	B	497	
25855	Spectrogram 1	1	16668.72547	16669.09294	0.3675	173.0948	24.931	2343.49	35.156	1208795168.700704144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700704144318.wav	17.28										Y	1	0	X	B	905	
25857	Spectrogram 1	1	1003.5403	1003.79469	0.2544	103.6443	49.861	781.163	58.594	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.06										Y	1	0	Y	B	unk	BS>1KHZ
25858	Spectrogram 1	1	1004.294	1004.75568	0.4617	104.398	33.241	814.404	35.156	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.67										Y	1	1	Y	B	unk	BS>1KHZ
25859	Spectrogram 1	1	1005.4153	1005.66027	0.245	105.5193	41.551	847.645	46.875	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	14.45										Y	1	0	Y	B	unk	BS>1KHZ
25860	Spectrogram 1	1	1006.1879	1006.46114	0.2732	106.2919	41.551	939.058	46.875	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	16.15										Y	1	0	Y	B	unk	BS>1KHZ
25861	Spectrogram 1	1	1006.5083	1006.75327	0.245	106.6123	49.861	847.645	328.125	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.08										Y	1	0	Y	B	unk	BS>1KHZ
25862	Spectrogram 1	1	1007.2243	1007.60118	0.3769	107.3283	24.931	872.576	35.156	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	15.92										Y	1	1	Y	B	unk	BS>1KHZ
25863	Spectrogram 1	1	1009.1464	1009.36311	0.2167	109.2504	24.931	756.233	35.156	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	16.04										Y	1	0	Y	B	unk	BS>1KHZ
25864	Spectrogram 1	1	1009.4762	1009.67406	0.1979	109.5802	16.62	714.681	23.438	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.29										Y	1	0	Y	B	unk	BS>1KHZ
25865	Spectrogram 1	1	16855.1165	16855.74778	0.6313	59.6005	24.931	997.23	35.156	1208795168.700713084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700713084318.wav	15.95										Y	2	0	X	B	1099	
25866	Spectrogram 1	1	1256.602933	1256.840056	0.2371	56.8226	24.931	498.615	35.156	1208795168.700724064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	19.28										Y	2	0	Y	B	unk	BS>1KHZ
25867	Spectrogram 1	1	13931.9302	13932.24113	0.3109	135.3182	58.172	880.886	58.594	1208795168.700804144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	17.38										Y	1	0	X	B	1626	
25868	Spectrogram 1	1	1835.2551	1835.650829	0.3957	35.6321	24.931	614.958	35.156	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	21.25										X	2	0	Y	B	unk	BS<1KHZ
25869	Spectrogram 1	1	1706.019833	1706.278941	0.2591	206.3225	41.551	1088.643	46.875	1208795168.700810074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810074318.wav	17.48										X	1	0	Y	B	unk	BS<1KHZ
25870	Spectrogram 1	1	5076.721167	5077.116897	0.3957	277.9375	174.515	1130.194	292.969	1208795168.700829164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	12.38										Y	1	0	X	B	unk	FAINT
25871	Spectrogram 1	1	5082.515767	5083.316647	0.8009	283.7321	116.343	1238.227	562.5	1208795168.700829164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	12.89										Y	2	1	X	BY	6480	
25872	Spectrogram 1	1	10767.94523	10768.36923	0.424	270.5899	523.546	1570.637	984.375	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	16.52	Y									X	0	1	Y	Y	unk	BS<1KHZ
25873	Spectrogram 1	1	10769.46223	10770.20658	0.7443	272.1069	99.723	1155.125	246.094	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	16.59										X	1	3	Y	BY	unk	BS<1KHZ
25874	Spectrogram 1	1	10774.38053	10775.16257	0.782	277.0252	49.861	1537.396	140.625	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	17.71										X	2	0	Y	B	unk	BS<1KHZ
25875	Spectrogram 1	1	10775.84093	10776.85852	1.0176	278.4856	108.033	1470.914	117.188	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	15.28										X	2?	1?	Y	B	unk	BS<1KHZ
25876	Spectrogram 1	1	10322.32537	10323.17336	0.848	124.8107	41.551	1279.778	292.969	1208795168.700903084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903084318.wav	18.8										X	2	2	Y	BY	unk	BS<1KHZ
25877	Spectrogram 1	1	4483.8845	4484.21898	0.3345	284.9705	66.482	1188.366	70.312	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.7										Y	1	1	X	BY	unk	Excellent
25878	Spectrogram 1	1	56.8977	57.47559	0.5779	56.8977	130.058	838.15	328.125	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	16.32	Y									Y	1	1	Y	BY	unk	BS>1KHZ
25880	Spectrogram 1	1	57.6951	57.985055	0.29	57.6951	98.266	878.613	316.406	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	17.07	Y									Y	1	2	Y	B	unk	BS>1KHZ
25881	Spectrogram 1	1	58.8383	59.303124	0.4648	58.8383	69.364	867.052	70.312	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	14.91										Y	1	0	Y	B	unk	Loud bs above 1kHz
25882	Spectrogram 1	1	59.9941	60.52802	0.5339	59.9941	57.803	959.538	58.594	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	16.93										Y	1	1	Y	BY	unk	Loud bs above 1kHz
25883	Spectrogram 1	1	62.2994	62.795631	0.4962	62.2994	80.925	826.59	281.25	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	19.29										X	1	0	Y	B	unk	BS<1KHZ
25884	Spectrogram 1	1	11609.66473	11609.88458	0.2198	212.5144	75.145	861.272	421.875	1208795168.700911064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700911064318.wav	14.5	Y									X	1	0	Y	B	unk	BS<1KHZ
25885	Spectrogram 1	1	11610.86503	11611.09745	0.2324	213.7147	69.364	838.15	70.312	1208795168.700911064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700911064318.wav	15.55	Y									X	1	0	Y	B	unk	BS<1KHZ
25886	Spectrogram 1	1	17200.34427	17200.72115	0.3769	104.9146	86.705	838.15	281.25	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	12.7										Y	1	0	X	B	17699	Excellent
25887	Spectrogram 1	1	17201.48747	17201.90832	0.4208	106.0578	86.705	907.514	316.406	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.16										Y	1	0	X	B	17699	Excellent
25888	Spectrogram 1	1	17202.67467	17203.12693	0.4523	107.245	52.023	965.318	175.781	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.71										Y	1	0	X	B	17699	Excellent
25889	Spectrogram 1	1	17203.84297	17204.24498	0.402	108.4133	52.023	959.538	152.344	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	12.46										Y	1	0	X	B	17699	Excellent
25890	Spectrogram 1	1	17205.44477	17205.87818	0.4334	110.0151	86.705	901.734	281.25	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	11.41										Y	1	0	X	B	17699	Excellent
25891	Spectrogram 1	1	17206.68847	17207.10932	0.4209	111.2588	69.364	947.977	175.781	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	12.96										Y	1	0	X	B	17699	Excellent
25892	Spectrogram 1	1	4587.3429	4587.74491	0.402	88.4669	104.046	838.15	574.219	1208795168.701201074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701201074318.wav	11.57										Y	1	0	X	B	24500	
25893	Spectrogram 1	1	7129.543933	7129.839159	0.2952	231.2616	115.607	734.104	222.656	1208795168.700225064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	11.09	Y									X	1	0	X	B	unk	TOO FAINT
25894	Spectrogram 1	1	7130.021333	7130.36681	0.3455	231.739	115.607	739.884	117.188	1208795168.700225064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	11.79	Y									X	1	0	X	B	unk	TOO FAINT
25896	Spectrogram 1	1	7268.558433	7268.935323	0.3769	70.2911	86.705	722.543	375	1208795168.700420034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	14.36	Y									X	1	0	X	B	unk	TOO FAINT
25897	Spectrogram 1	1	7271.918933	7272.276973	0.358	73.6516	63.584	647.399	70.312	1208795168.700420034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	15.1	Y									Y	1	0	X	B	unk	FAINT
25898	Spectrogram 1	1	10839.30123	10839.46217	0.1609	42.0089	81.699	1503.268	93.75	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.97	Y									X	1	0	X	B	unk	TOO FAINT
25899	Spectrogram 1	1	10841.80703	10841.95009	0.1431	44.5147	98.039	1454.248	105.469	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.14	Y									X	1	0	X	B	unk	TOO FAINT
25900	Spectrogram 1	1	10841.17603	10841.35741	0.1814	43.8837	98.039	1584.967	105.469	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	15.66	Y									X	1	0	X	B	unk	TOO FAINT
25901	Spectrogram 1	1	10840.66003	10840.78521	0.1252	43.3677	81.699	1356.209	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	15.32	Y									X	1	0	X	B	unk	TOO FAINT
25902	Spectrogram 1	1	10839.92983	10840.01669	0.0869	42.6375	98.039	996.732	351.562	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.11	Y									X	1	0	X	B	unk	TOO FAINT
25903	Spectrogram 1	1	10842.24533	10842.38073	0.1354	44.953	98.039	1339.869	105.469	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	13.48	Y									X	1	0	X	B	unk	TOO FAINT
25904	Spectrogram 1	1	20097.32347	20097.50049	0.177	2.7388	163.399	669.935	375	1208795168.701202014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701202014318.wav	15.61										Y	1	0	X	B	unk	
25905	Spectrogram 1	1	20097.82471	20098.39181	0.5671	3.24	89.869	906.863	328.125	1208795168.701202014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701202014318.wav	16.84										Y	2	0	X	B	unk	
25909	Spectrogram 1	1	2139.755633	2140.008523	0.2529	40.2853	65.359	1658.497	410.156	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	17.02										Y	1	0	X	B	unk	
25910	Spectrogram 1	1	2140.066333	2140.366193	0.2999	40.596	89.869	1315.359	339.844	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	16.94										Y	1	1	X	BY	unk	
25911	Spectrogram 1	1	2140.611833	2140.832213	0.2204	41.1415	98.039	1307.19	339.844	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	16.21										Y	1	1	X	B	unk	
25913	Spectrogram 1	1	20591.872	20592.03818	0.1662	197.401	65.359	1290.85	82.031	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	15.61										X	1	0	X	B	unk	TOO FAINT
25914	Spectrogram 1	1	20592.208	20592.55121	0.3432	197.737	65.359	1454.248	70.312	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	16.4										Y	1	1	X	BY	unk	
25915	Spectrogram 1	1	20592.6415	20592.97748	0.336	198.1705	49.02	1388.889	58.594	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	15.83										X	1	1	X	BY	unk	TOO FAINT
25916	Spectrogram 1	1	20593.0895	20593.27375	0.1843	198.6185	114.379	1258.17	175.781	1208795168.700525144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	15.31										X	1	0	X	B	unk	TOO FAINT
25917	Spectrogram 1	1	3409.171367	3409.521807	0.3504	110.0707	32.68	1699.346	35.156	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	15.22										X	1	0	X	B	unk	TOO FAINT
25918	Spectrogram 1	1	3409.677167	3409.908387	0.2312	110.5765	0	1650.327	0	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	18.73										Y	1	0	X	B	unk	
25919	Spectrogram 1	1	3410.143167	3410.363547	0.2204	111.0425	0	1519.608	0	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	17.36										Y	1	0	X	B	unk	
25921	Spectrogram 1	1	10051.74277	10052.08236	0.3396	154.2031	108.786	1767.767	187.5	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	19.89										Y	1	0	X	B	unk	Low - growl?
25922	Spectrogram 1	1	10054.38727	10054.54261	0.1553	156.8476	108.786	1169.446	199.219	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	19.09										Y	1	0	X	B	unk	Low - growl?
25924	Spectrogram 1	1	10054.72507	10054.91654	0.1915	157.1854	122.384	1387.017	234.375	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	19.01										Y	1	0	X	B	unk	Low - growl?
25925	Spectrogram 1	1	10054.13527	10054.2581	0.1228	156.5956	108.786	1319.026	175.781	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	16.69										Y	1	0	X	B	unk	
25926	Spectrogram 1	1	10053.14177	10053.30434	0.1626	155.6021	163.178	1346.223	492.188	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	16.76										Y	1	0	X	B	unk	
25927	Spectrogram 1	1	10052.65037	10053.06222	0.4118	155.1107	67.991	1305.428	70.312	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	16.9										Y	1	1	X	BY	unk	
25928	Spectrogram 1	1	17469.37483	17469.56991	0.1951	74.0265	122.384	1332.624	304.688	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	16.06										Y	1	0	X	B	unk	
25929	Spectrogram 1	1	17469.63853	17469.78304	0.1445	74.2902	135.982	1305.428	304.688	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	15.96										Y	1	0	X	B	unk	
25930	Spectrogram 1	1	17470.08653	17470.23465	0.1481	74.7382	135.982	1427.812	433.594	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	15.97										Y	1	0	X	B	unk	
25931	Spectrogram 1	1	17470.36113	17470.51286	0.1517	75.0128	149.58	1346.223	375	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	15.38										Y	1	0	X	B	unk	
25932	Spectrogram 1	1	17470.61763	17470.77297	0.1553	75.2693	135.982	1373.419	468.75	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	17.73										Y	1	0	X	B	unk	
25933	Spectrogram 1	1	17470.90663	17471.05836	0.1517	75.5583	122.384	1359.821	128.906	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	15.66										Y	1	0	X	B	unk	
25934	Spectrogram 1	1	17471.09083	17471.36178	0.2709	75.7425	135.982	1264.633	421.875	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	16.58										Y	1	1	X	BY	unk	
25936	Spectrogram 1	1	19654.08057	19654.27927	0.1987	159.2579	95.187	1237.437	328.125	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	13.23										Y	1	0	X	B	unk	
25937	Spectrogram 1	1	19654.43107	19654.62255	0.1915	159.6084	122.384	1223.839	128.906	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.7										Y	1	0	X	B	unk	
25938	Spectrogram 1	1	19654.84287	19655.01267	0.1698	160.0202	95.187	1264.633	316.406	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	11.9										Y	1	0	X	B	unk	
25939	Spectrogram 1	1	19655.21137	19655.38117	0.1698	160.3887	81.589	1210.24	375	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.13										Y	1	0	X	B	unk	
25940	Spectrogram 1	1	19655.52567	19655.72799	0.2023	160.703	95.187	1373.419	421.875	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.14										Y	1	0	X	B	unk	
25941	Spectrogram 1	1	19655.99527	19656.17952	0.1842	161.1726	95.187	1387.017	375	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	11.68										Y	1	0	X	B	unk	
25942	Spectrogram 1	1	19656.37107	19656.54448	0.1734	161.5484	67.991	1387.017	375	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.65										Y	1	0	X	B	unk	
25944	Spectrogram 1	1	6071.5048	6071.65292	0.1481	73.1528	40.795	1101.455	46.875	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	17.6										Y	1	0	X	B	unk	FAINT
25949	Spectrogram 1	1	12753.4468	12753.9713	0.5245	156.4538	60	1110	70.312	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	16.35										Y	1	1	X	BY	unk	
25950	Spectrogram 1	1	10837.23993	10837.49433	0.2544	39.9476	97.5	780	445.312	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	15.63										X	1	0	Y	B	unk	Overlap quiet
25951	Spectrogram 1	1	1257.144733	1257.374004	0.2293	57.3644	60	472.5	281.25	1208795168.700724064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	18.2										Y	1	0	Y	B	unk	BS>1KHZ
25952	Spectrogram 1	1	4484.2818	4484.53933	0.2575	285.3678	82.5	1072.5	199.219	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	15.11										Y	1	1	X	B	unk	
25953	Spectrogram 1	1	4484.6179	4484.86601	0.2481	285.7039	112.5	1065	632.812	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	15.14										Y	1	1	X	BY	unk	
25954	Spectrogram 1	1	4484.9445	4485.19261	0.2481	286.0305	75	1110	82.031	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.34										Y	1	1	X	BY	unk	
25955	Spectrogram 1	1	4485.2837	4485.52553	0.2418	286.3697	75	1132.5	82.031	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	17.51										Y	1	1	X	BY	unk	
25956	Spectrogram 1	1	4485.6072	4485.85531	0.2481	286.6932	52.5	1185	58.594	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	18.27										Y	1	1	X	BY	unk	
25957	Spectrogram 1	1	4486.3735	4486.56508	0.1916	287.4595	82.5	997.5	328.125	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	17.94										Y	1	0	X	B	unk	
25958	Spectrogram 1	1	4486.6719	4486.96712	0.2952	287.7579	82.5	1005	105.469	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	15.24										Y	1	1	X	BY	unk	
