Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	File Offset (s)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	species	SNR NIST Quick (dB FS)	certainty	comment	type	WH ID	WH Comment	NEW analysis
3704	Spectrogram 1	1	30701.88867	30703.56167	50.7	264.5	213.8	1.673	164.1	110.518	1208234033.021204172219.wav	D:\Pearce_Point_2018_2019\1208234033.021204172219.wav	X			RS					RS	Growl	
3710	Spectrogram 1	1	30834.94867	30836.49767	236.4	1215.8	979.4	1.549	363.3	243.578	1208234033.021204172219.wav	D:\Pearce_Point_2018_2019\1208234033.021204172219.wav	X	bark?		RS					X		
3753	Spectrogram 1	1	31030.88337	31031.36237	270.2	1519.7	1249.5	0.479	375	139.541	1208234033.021207022219.wav	D:\Pearce_Point_2018_2019\1208234033.021207022219.wav	X			RS							
3763	Spectrogram 1	1	31643.50637	31644.71337	332.1	1103.2	771.1	1.207	492.2	152.396	1208234033.021207202219.wav	D:\Pearce_Point_2018_2019\1208234033.021207202219.wav	X			RS		low	faint		RS		
3790	Spectrogram 1	1	32353.211	32353.997	168.9	1120.1	951.2	0.786	375	262.243	1208234033.021208162219.wav	D:\Pearce_Point_2018_2019\1208234033.021208162219.wav	X			RS					RS		
3940	Spectrogram 1	1	32543.48937	32544.09937	153.6	497.7	344.1	0.61	281.2	152.643	1208234033.030109102219.wav	D:\Pearce_Point_2018_2019\1208234033.030109102219.wav	X			RS		low	faint		RS		
4836	Spectrogram 1	1	23477.04563	23480.59663	717.7	1040.9	323.2	3.551	878.9	84.06	1208234033.020903032219.wav	D:\Pearce_Point_2018_2019\1208234033.020903032219.wav	X			RS					RS		yes
5190	Spectrogram 1	1	25193.8967	25198.9417	340.4	907.8	567.4	5.045	527.3	1.278	1208234033.020913122219.wav	D:\Pearce_Point_2018_2019\1208234033.020913122219.wav	X			RS					RS		yes
5248	Spectrogram 1	1	25854.66167	25856.73967	47.8	813.2	765.4	2.078	210.9	62.094	1208234033.021003062219.wav	D:\Pearce_Point_2018_2019\1208234033.021003062219.wav	X			RS					RS		yes
5553	Spectrogram 1	1	28699.01133	28702.32433	810.5	1686.3	875.8	3.313	1289.1	207.165	1208234033.021111202219.wav	D:\Pearce_Point_2018_2019\1208234033.021111202219.wav	X			RS					RS		yes
5681	Spectrogram 1	1	31451.11367	31451.50267	216.2	1139.7	923.5	0.389	351.6	259.936	1208234033.021207082219.wav	D:\Pearce_Point_2018_2019\1208234033.021207082219.wav	Y			RS					RS		yes
5682	Spectrogram 1	1	31482.76067	31484.64367	111.4	1290.4	1179	1.883	761.7	291.583	1208234033.021207082219.wav	D:\Pearce_Point_2018_2019\1208234033.021207082219.wav	X	bark?		RS					X		yes
5721	Spectrogram 1	1	31812.97737	31819.62137	707.4	1185.6	478.2	6.644	1019.5	21.924	1208234033.021208032219.wav	D:\Pearce_Point_2018_2019\1208234033.021208032219.wav	X			RS					RS		yes
5722	Spectrogram 1	1	3656.833798	3657.039087	61.2	1369.2	1308	0.205	281.2	57.923	1208234033.020419202219.wav	D:\Pearce_Point_2018_2019\1208234033.020419202219.wav	Y	bark									
