Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	Shipe Noise	Shipe Size	Comments	WH ID	WH Comment
538	Spectrogram 1	1	15632.05	15633.0508	1.001	32.05	49.6	1128.1	TEST__0__20170929_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_132001.wav	X	X	AR	RS				RS	
539	Spectrogram 1	1	15829.545	15832.35118	2.806	109.545	96.4	1548.2	TEST__0__20170929_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_133201.wav	X	X	AR	RS				RS	
540	Spectrogram 1	1	15735.574	15736.6533	1.079	15.574	31	1227.3	TEST__0__20170929_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_133201.wav	X	X	AR	RS				RS	
544	Spectrogram 1	1	15944.141	15945.02407	0.883	104.141	91.5	1273.5	TEST__0__20170929_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_140801.wav	X	X	AR	RS			or Fish?	RS	
546	Spectrogram 1	1	16016.468	16017.91034	1.442	56.468	46.6	1084	TEST__0__20170929_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_150801.wav	X	X	AR	RS				RS	
547	Spectrogram 1	1	16053.92	16055.27404	1.354	93.92	186.3	873.7	TEST__0__20170929_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_150801.wav	X	X	AR	RS				RS	
550	Spectrogram 1	1	16169.158	16170.04107	0.883	89.158	57.8	963.6	TEST__0__20170929_153201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_153201.wav	X	X	AR	RS				RS	
552	Spectrogram 1	1	16227.171	16228.60353	1.433	27.171	77.1	1374.7	TEST__0__20170929_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_164401.wav	X	X	AR	RS				RS	
553	Spectrogram 1	1	16404.102	16405.01782	0.916	84.102	81.3	1141	TEST__0__20170929_170801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_170801.wav	X	X	AR	RS				RS	
556	Spectrogram 1	1	16522.15	16523.32742	1.177	82.15	12.8	680.9	TEST__0__20170929_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_174401.wav	X	X	AR	RS				RS	
560	Spectrogram 1	1	16605.143	16606.5818	1.439	45.143	41.7	1122.1	TEST__0__20170929_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_190801.wav	X	X	AR	RS				RS	
561	Spectrogram 1	1	16596.925	16597.78844	0.863	36.925	39.1	1500.6	TEST__0__20170929_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_190801.wav	X	X	AR	RS				RS	
563	Spectrogram 1	1	16766.105	16767.0125	0.908	86.105	13.4	1404.4	TEST__0__20170929_192001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_192001.wav	X	X	AR	RS				RS	
566	Spectrogram 1	1	16907.589	16908.62906	1.04	107.589	70.5	1224.4	TEST__0__20170929_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_194401.wav	X	X	AR	RS				RS	
567	Spectrogram 1	1	16984.02	16985.13855	1.119	64.02	38.1	1239.4	TEST__0__20170929_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_200801.wav	X	X	AR	RS				RS	
570	Spectrogram 1	1	17153.202	17155.00738	1.805	113.202	47.7	1032.8	TEST__0__20170929_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_213201.wav	X	X	AR	RS			faint	RS	
572	Spectrogram 1	1	17164.965	17167.43759	2.473	4.965	73.1	1439.6	TEST__0__20170929_224401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_224401.wav	X	X	AR	RS				RS	
574	Spectrogram 1	1	17365.399	17367.61648	2.217	85.399	35	546.6	TEST__0__20170929_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_232001.wav	X	X	AR	RS			faint	RS	
585	Spectrogram 1	1	17466.42	17467.71516	1.295	66.42	76.3	1112.3	TEST__0__20170930_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_020801.wav	X	X	AR	RS				RS	
588	Spectrogram 1	1	17524.082	17525.06318	0.981	4.082	101.7	1112.3	TEST__0__20170930_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_024401.wav	X	X	AR	RS				RS	
589	Spectrogram 1	1	17746.806	17748.49364	1.688	106.806	82.6	1105.9	TEST__0__20170930_034401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_034401.wav	X	X	AR	RS				RS	
590	Spectrogram 1	1	17876.032	17878.01399	1.982	116.032	63.6	1105.9	TEST__0__20170930_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_045601.wav	X	X	AR	RS				RS	
591	Spectrogram 1	1	17807.517	17808.94233	1.425	47.517	25.4	839.7	TEST__0__20170930_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_045601.wav	X	X	AR	RS				RS	
594	Spectrogram 1	1	17928.292	17930.5291	2.237	48.292	146.2	959.7	TEST__0__20170930_052001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_052001.wav	X	X	AR	RS				RS	
596	Spectrogram 1	1	18093.939	18095.03579	1.097	93.939	50.8	1428.6	TEST__0__20170930_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_054401.wav	X	X	AR	RS				RS	
597	Spectrogram 1	1	18136.543	18137.82621	1.283	16.543	119	769.8	TEST__0__20170930_055601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_055601.wav	X	X	AR	RS				RS	
599	Spectrogram 1	1	18251.264	18252.28444	1.02	11.264	311.4	1137.7	TEST__0__20170930_064401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_064401.wav	X	X	AR	RS				RS	
600	Spectrogram 1	1	18432.122	18434.24136	2.119	72.122	39.6	680.6	TEST__0__20170930_070801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_070801.wav	X	X	AR	RS				RS	
606	Spectrogram 1	1	18598.099	18599.09981	1.001	118.099	51.3	1262.8	TEST__0__20170930_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_080801.wav	X	X	AR	RS			faint	RS	
617	Spectrogram 1	1	18653.557	18655.73523	2.178	53.557	153.8	1698.7	TEST__0__20170930_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_095601.wav	X	X	AR	RS			very faint	RS	
625	Spectrogram 1	1	18814.104	18816.26261	2.159	94.104	45.2	1000	TEST__0__20170930_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_113201.wav	X	X	AR	RS				RS	
630	Spectrogram 1	1	18952.632	18954.08415	1.452	112.632	154.8	838.7	TEST__0__20170930_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_144401.wav	X	X	AR	RS				RS	
632	Spectrogram 1	1	18982.107	18983.50028	1.393	22.107	193.5	1193.5	TEST__0__20170930_153201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_153201.wav	X	X	AR	RS				RS	
638	Spectrogram 1	1	19159.215	19160.8119	1.597	79.215	106.9	922.6	TEST__0__20170930_163201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_163201.wav	X	X	AR	RS				RS	
641	Spectrogram 1	1	19258.815	19260.65963	1.845	58.815	103.2	935.5	TEST__0__20170930_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_165601.wav	X	X	AR	RS				RS	
642	Spectrogram 1	1	19437.185	19438.30646	1.121	117.185	206.3	801.6	TEST__0__20170930_170801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_170801.wav	X	X	AR	RS				RS	
644	Spectrogram 1	1	19484.562	19485.54319	0.981	44.562	72.8	1705	TEST__0__20170930_173201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_173201.wav	X	X	AR	RS				RS	
645	Spectrogram 1	1	19663.016	19664.23267	1.217	103.016	51.6	1180.6	TEST__0__20170930_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_174401.wav	X	X	AR	RS				RS	
651	Spectrogram 1	1	19861.976	19863.72251	1.747	61.976	212.9	838.7	TEST__0__20170930_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_190801.wav	X	X	AR	RS				RS	
654	Spectrogram 1	1	20124.118	20125.98225	1.864	84.118	45.2	1064.5	TEST__0__20170930_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_195601.wav	X	X	AR	RS				RS	
655	Spectrogram 1	1	20210.993	20211.95456	0.962	50.993	580.6	1264.5	TEST__0__20170930_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_215601.wav	X	X	AR	RS				RS	
659	Spectrogram 1	1	20388.211	20389.722	1.511	108.211	58.1	1000	TEST__0__20170930_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_225601.wav	X	X	AR	RS				RS	
661	Spectrogram 1	1	20515.946	20517.928	1.982	115.946	77.4	948.4	TEST__0__20170930_234401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_234401.wav	X	X	AR	RS				RS	
662	Spectrogram 1	1	20444.553	20446.2799	1.727	44.553	103.2	1071	TEST__0__20170930_234401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_234401.wav	X	X	AR	RS				RS	"Short RS, then loud non-biological noise"
663	Spectrogram 1	1	20592.276	20593.8418	1.566	72.276	225.8	1038.2	TEST__0__20170930_235601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_235601.wav	X	X	AR	RS					
66	Spectrogram 1	1	592.197	593.334715	1.138	112.197	44.6	1061.1	TEST__0__20170924_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_085601.wav	X	"Bark, Yelp"	WH	RS			bark-yelp	RS	
428	Spectrogram 1	1	10320.02	10321.64877	1.629	0.02	607.8	1500	TEST__0__20170928_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_123201.wav	X	Yelp	"Good quality, but no bark"	RS	Yes	Large	incomplete	RS	
431	Spectrogram 1	1	10475.352	10478.11894	2.767	35.352	368.5	1073.3	TEST__0__20170928_134401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_134401.wav	X	Yelp	"Good quality, but no bark"	RS			faint	RS	
432	Spectrogram 1	1	10593.912	10597.32652	3.415	33.912	84.1	1655.2	TEST__0__20170928_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_140801.wav	Y	Bark	AR	RS			"sounds kinda like a dump hitting sound, but not sure what it is"	RS	
433	Spectrogram 1	1	10634.966	10639.59477	4.629	74.966	103.4	2127.2	TEST__0__20170928_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_140801.wav	Y	"Bark, yelp"	AR	RS			series	RS	
434	Spectrogram 1	1	10768.799	10772.17427	3.375	88.799	90.5	1105.6	TEST__0__20170928_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_142001.wav	Y	"Yelp, bark"	AR	RS				RS	
145	Spectrogram 1	1	1712.425	1714.03171	1.607	32.425	134	880.9	TEST__0__20170924_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_195601.wav	X	Bark	WH	RS				RS	Very faint barks
168	Spectrogram 1	1	2269.002	2271.0142	2.012	109.002	49.7	1003.7	TEST__0__20170925_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_012001.wav	X	Yelp	WH	RS				RS	A yelp right before the LF sound
208	Spectrogram 1	1	3460.97	3462.71651	1.747	100.97	580.4	1258.7	TEST__0__20170925_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_095601.wav	X	Yelp	WH	RS			maybe	RS	Classic yelp
240	Spectrogram 1	1	4429.787	4432.53638	2.749	109.787	197.4	1142.9	TEST__0__20170925_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_154401.wav	X	"Bark, Yelp"	WH	RS			series yelps-barks	RS	
262	Spectrogram 1	1	4706.972	4708.27734	1.305	26.972	51.1	1595.7	TEST__0__20170925_224401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_224401.wav	X	Yelp	WH	RS			yelp-bark	RS	"Yelp at the end. Otherwise, no RS in beginning"
343	Spectrogram 1	1	6553.102	6554.53453	1.433	73.102	114.9	1078.7	TEST__0__20170927_062001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_062001.wav	X	"Bark, Yelp"	WH	RS			bark-yelp	RS	
355	Spectrogram 1	1	6745.726	6747.57821	1.852	25.726	90.5	1293.1	TEST__0__20170927_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_085601.wav	X	Bark	WH	RS			2 barks	RS	
461	Spectrogram 1	1	11942.138	11945.3661	3.228	62.138	44	460.5	TEST__0__20170928_223201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_223201.wav	X	Grunt	WH	RS			very faint grunts	RS	
472	Spectrogram 1	1	12646.78	12648.17328	1.393	46.78	128.5	822.3	TEST__0__20170929_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_000801.wav	X	Yelp	AR	RS				RS	
481	Spectrogram 1	1	13289.499	13292.03529	2.536	89.499	40.1	473.3	TEST__0__20170929_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_020801.wav	X	"Bark, Yelp"	WH	RS			bark-yelp-bark	RS	
497	Spectrogram 1	1	14065.272	14067.45023	2.178	25.272	39.1	1291.3	TEST__0__20170929_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_043201.wav	X	"Bark, Yelp"	WH	RS			bark-yelps	RS	
501	Spectrogram 1	1	14176.288	14177.15144	0.863	16.288	52.2	1500	TEST__0__20170929_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_045601.wav	X	Yelp	WH	RS				RS	Can hear HF yelp
535	Spectrogram 1	1	15656.273	15658.37478	2.102	56.273	18.6	1071.4	TEST__0__20170929_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_132001.wav	X	"Bark, Yelp"	WH	RS			bark-yelp	RS	
646	Spectrogram 1	1	19754.378	19755.2022	0.824	74.378	51.6	1516.1	TEST__0__20170930_175601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_175601.wav	X	Yelp	WH	RS				RS	HF Yelp at beginning. The LF sound is not fish
652	Spectrogram 1	1	19952.876	19953.97847	1.102	32.876	58.1	1161.3	TEST__0__20170930_192001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170930_192001.wav	X	"Bark, Yelp"	WH	RS			bark-yelp	RS	
