Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment		
119	Spectrogram 1	1	11079.061	11079.64636	0.585	39.061	438.9	1533.1	TEST__0__20170904_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	X	Yelp?	It is not too faint. I just think it's a yelp.	RS					
147	Spectrogram 1	1	11215.305	11216.20744	0.902	55.305	33	939.6	TEST__0__20170906_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170906_184401.wav	X	too faint	AR	RS					
153	Spectrogram 1	1	11373.085	11374.1459	1.061	93.085	758.2	1236.3	TEST__0__20170907_014401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170907_014401.wav	X	too faint	AR	RS					
157	Spectrogram 1	1	11446.451	11447.0364	0.585	46.451	420.3	1096.2	TEST__0__20170907_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170907_043201.wav	X	too faint	AR	RS					
237	Spectrogram 1	1	11526.841	11527.3775	0.537	6.841	523	745.5	TEST__0__20170911_094401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_094401.wav	X	too faint	AR	RS					
283	Spectrogram 1	1	11717.317	11717.8414	0.524	77.317	72.1	709.4	TEST__0__20170913_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_132001.wav	X	too faint	"I can't see it, even when changing brightness"	RS					
287	Spectrogram 1	1	11796.354	11796.7198	0.366	36.354	36.1	607.2	TEST__0__20170913_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_154401.wav	X	too faint	"I can't see it, even when changing brightness"	RS					
295	Spectrogram 1	1	11888	11888.5854	0.585	8	511	961.9	TEST__0__20170914_044401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_044401.wav	X	too faint	"I can't see it, even when changing brightness"	RS					
306	Spectrogram 1	1	12009.037	12009.5858	0.549	9.037	529.1	1058.1	TEST__0__20170914_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_154401.wav	X	too faint	"I can't see it, even with brightness 40"	RS					
325	Spectrogram 1	1	12190.415	12190.9882	0.573	70.415	405.2	949.6	TEST__0__20170915_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_085601.wav	X	too faint	"I can't see it, even changing the brightness"	RS					
333	Spectrogram 1	1	3042.744	3043.3538	0.61	42.744	665.3	955.6	TEST__0__20170915_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_162001.wav	X	too faint	I can't see it	RS					
342	Spectrogram 1	1	3468.061	3468.878	0.817	108.061	661.3	1238.5	TEST__0__20170915_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_184401.wav	X	too faint	I can't see it	RS					
343	Spectrogram 1	1	12245.744	12246.305	0.561	5.744	721.4	1208.4	TEST__0__20170915_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_190801.wav	X	too faint	I can't see anythig	RS					
345	Spectrogram 1	1	9891.963	9893.4996	1.537	51.963	703.4	1082.2	TEST__0__20170915_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_194401.wav	X	too faint	AR	RS					
352	Spectrogram 1	1	12437.476	12438.0736	0.598	77.476	697.4	1028.1	TEST__0__20170915_210801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_210801.wav	X	too faint	AR	RS					
384	Spectrogram 1	1	12488.146	12488.6704	0.524	8.146	697.4	1082.2	TEST__0__20170917_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_033201.wav	X	too faint	AR	RS					
386	Spectrogram 1	1	12608.098	12608.6224	0.524	8.098	607.2	1058.1	TEST__0__20170917_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_040801.wav	X	too faint	AR	RS					
388	Spectrogram 1	1	12644.164	12644.5664	0.402	44.164	565.1	1130.3	TEST__0__20170917_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_040801.wav	X	too faint	AR	RS					
395	Spectrogram 1	1	12781.598	12782.3419	0.744	61.598	607.2	1118.2	TEST__0__20170917_090801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_090801.wav	X	too faint	AR	RS					
450	Spectrogram 1	1	6350.5	6351.3293	0.829	110.5	559.1	1256.5	TEST__0__20170918_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_084401.wav	X	yelp?	This could potentially be identified?	RS					
483	Spectrogram 1	1	12915.5	12915.939	0.439	75.5	60.1	565.1	TEST__0__20170918_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_164401.wav	X	too faint	AR	RS					
484	Spectrogram 1	1	12916.232	12916.7076	0.476	76.232	36.1	709.4	TEST__0__20170918_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_164401.wav	X	too faint	AR	RS					
495	Spectrogram 1	1	12967.622	12968.0488	0.427	7.622	583.2	1028.1	TEST__0__20170918_193201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_193201.wav	X	too faint	AR	RS					
496	Spectrogram 1	1	13109.22	13109.6712	0.451	29.22	625.3	1058.1	TEST__0__20170918_202001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_202001.wav	X	too faint	AR	RS					
499	Spectrogram 1	1	13210.244	13210.4635	0.219	10.244	48.1	342.7	TEST__0__20170918_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_232001.wav	X	too faint	AR	RS					
505	Spectrogram 1	1	13327.378	13327.8049	0.427	7.378	366.7	745.5	TEST__0__20170919_013201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_013201.wav	X	too faint	AR	RS					
506	Spectrogram 1	1	13555.471	13555.849	0.378	115.471	697.4	1010	TEST__0__20170919_055601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_055601.wav	X	too faint	Isn't there a bark just before?	RS			"not a bark before, some noise on the hydrophone or mooring"		
508	Spectrogram 1	1	13672.293	13673.3418	1.049	112.293	667.3	1034.1	TEST__0__20170919_064401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_064401.wav	X	too faint	AR	RS					
510	Spectrogram 1	1	13795.927	13796.4392	0.512	115.927	625.3	1082.2	TEST__0__20170919_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_085601.wav	X	too faint	AR	RS					
512	Spectrogram 1	1	13918.634	13919.3414	0.707	118.634	408.8	1154.3	TEST__0__20170919_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_100801.wav	X	too faint	AR	RS					
524	Spectrogram 1	1	14024.012	14024.6218	0.61	104.012	673.3	1052.1	TEST__0__20170919_204401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_204401.wav	X	too faint	AR	RS					
535	Spectrogram 1	1	14154.305	14154.9025	0.597	114.305	426.9	895.8	TEST__0__20170920_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_003201.wav	X	too faint	AR	RS					
537	Spectrogram 1	1	14257.915	14258.4516	0.537	97.915	697.4	1160.3	TEST__0__20170920_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_004401.wav	X	too faint	AR	RS					
549	Spectrogram 1	1	14300.732	14301.1344	0.402	20.732	42.1	432.9	TEST__0__20170920_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_024401.wav	X	too faint	AR	RS					
557	Spectrogram 1	1	14416.402	14417.1094	0.707	16.402	372.7	739.5	TEST__0__20170920_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_082001.wav	X	too faint	AR	RS					
559	Spectrogram 1	1	14630.805	14631.3538	0.549	110.805	697.4	1058.1	TEST__0__20170920_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_083201.wav	X	too faint	AR	RS					
572	Spectrogram 1	1	14653.305	14653.7806	0.476	13.305	536.1	1078.3	TEST__0__20170920_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_115601.wav	X	too faint	AR	RS					
573	Spectrogram 1	1	14844.024	14844.5972	0.573	84.024	704.8	1102.4	TEST__0__20170920_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_120801.wav	X	too faint	AR	RS					
594	Spectrogram 1	1	7454.171	7454.5735	0.403	14.171	680.7	1030.1	TEST__0__20170920_222001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_222001.wav	X	too faint	AR	RS					
598	Spectrogram 1	1	14977.049	14977.549	0.5	97.049	596.4	921.7	TEST__0__20170921_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_024401.wav	X	too faint	AR	RS					
606	Spectrogram 1	1	15077.171	15077.4759	0.305	77.171	751.5	1046.1	TEST__0__20170921_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_073201.wav	X	too faint	AR	RS					
624	Spectrogram 1	1	15165.573	15166.1705	0.597	45.573	757.5	1112.2	TEST__0__20170921_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_113201.wav	X	too faint	AR	RS					
630	Spectrogram 1	1	15289.683	15290.4513	0.768	49.683	679.4	1040.1	TEST__0__20170921_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_150801.wav	X	too faint	AR	RS					
647	Spectrogram 1	1	15367.524	15368.2313	0.707	7.524	78.6	731.9	TEST__0__20170921_235601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_235601.wav	X	bark?	Bill could ID this	RS					
654	Spectrogram 1	1	15529.951	15530.6705	0.719	49.951	210.4	961.9	TEST__0__20170922_032001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_032001.wav	X	too faint	AR	RS					
658	Spectrogram 1	1	15605.598	15606.1467	0.549	5.598	757.5	1202.4	TEST__0__20170922_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_040801.wav	X	too faint	AR	RS					
659	Spectrogram 1	1	15621.354	15622.2808	0.927	21.354	709.4	1244.5	TEST__0__20170922_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_040801.wav	X	too faint	AR	RS					
672	Spectrogram 1	1	10393.329	10393.8899	0.561	73.329	691.4	1118.2	TEST__0__20170922_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_084401.wav	X	too faint	AR	RS					
696	Spectrogram 1	1	15787.183	15787.9391	0.756	67.183	763.5	1148.3	TEST__0__20170922_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_165601.wav	X	too faint	AR	RS					
755	Spectrogram 1	1	15958.951	15959.5242	0.573	118.951	571.1	1028.1	TEST__0__20170923_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170923_213201.wav	X	too faint	AR	RS					
759	Spectrogram 1	1	16016.695	16017.3901	0.695	56.695	889.8	1256.5	TEST__0__20170923_235601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170923_235601.wav	X	too faint	AR	RS					
242	Spectrogram 1	1	16190.695	16191.1097	0.415	110.695	72.1	444.9	TEST__0__20170911_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_123201.wav	X	too masked	AR	RS					
14	Spectrogram 1	1	17058.634	17060.48766	1.854	18.634	741.8	1079.7	TEST__0__20170831_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170831_095601.wav	X	yelp	WH	RS	No		RS		
98	Spectrogram 1	1	17174.415	17174.98817	0.573	14.415	493	709.4	TEST__0__20170904_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_080801.wav	X	yelp	?	RS			Yelp		
102	Spectrogram 1	1	600.841	601.45076	0.61	0.841	1196.4	1551.1	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
103	Spectrogram 1	1	602.183	602.683	0.5	2.183	793.6	1064.1	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
104	Spectrogram 1	1	602.902	603.68249	0.78	2.902	751.5	1400.8	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
105	Spectrogram 1	1	604.634	604.98765	0.354	4.634	781.6	1184.4	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
106	Spectrogram 1	1	609.232	609.732	0.5	9.232	727.5	1154.3	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
108	Spectrogram 1	1	610.329	610.69485	0.366	10.329	715.4	1064.1	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
109	Spectrogram 1	1	611.061	611.76831	0.707	11.061	913.8	1418.8	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	AR	RS					
110	Spectrogram 1	1	615.002	620.22151	5.22	15.002	793.6	1322.6	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	WH	RS			Series		
111	Spectrogram 1	1	624.344	628.77083	4.427	24.344	757.5	1442.9	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	WH	RS			Series		
112	Spectrogram 1	1	632.075	636.20915	4.134	32.075	823.6	1978	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	X	yelp	WH	RS			Series		
137	Spectrogram 1	1	17394.061	17394.50002	0.439	114.061	758.2	1244.5	TEST__0__20170906_094401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170906_094401.wav	X	yelp	WH	RS			"Yelp, masked"		
156	Spectrogram 1	1	17417.024	17417.6337	0.61	17.024	585.2	997.3	TEST__0__20170907_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170907_023201.wav	X	yelp	yelp?	RS			yelp		
160	Spectrogram 1	1	17526.622	17527.061	0.439	6.622	513.8	928.2	TEST__0__20170908_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170908_023201.wav	X	yelp	Had to change the brightness to 60 to see this one	RS			yelp		
206	Spectrogram 1	1	1129.476	1129.9638	0.488	49.476	757.5	1046.1	TEST__0__20170910_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_160801.wav	X	yelp	AR	RS					
208	Spectrogram 1	1	1138.293	1139.0491	0.756	58.293	571.1	961.9	TEST__0__20170910_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_160801.wav	X	yelp	yelp?	RS			yelp		
210	Spectrogram 1	1	1289.671	1290.1101	0.439	89.671	469.5	823.2	TEST__0__20170910_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_165601.wav	X	yelp	yelp?	RS			yelp		
214	Spectrogram 1	1	17742.232	17742.7808	0.549	102.232	619.2	1436.9	TEST__0__20170911_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_004401.wav	X	yelp	yelp?	RS					
215	Spectrogram 1	1	17743.902	17744.9874	1.085	103.902	631.3	1154.3	TEST__0__20170911_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_004401.wav	X	yelp	bark?	RS					
217	Spectrogram 1	1	1482.854	1483.4027	0.549	42.854	799.6	1040.1	TEST__0__20170911_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_012001.wav	X	yelp	bark?	RS					
236	Spectrogram 1	1	16239.963	16240.5118	0.549	39.963	739.5	986	TEST__0__20170911_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_045601.wav	X	yelp	brightness 50	RS			yelp		
248	Spectrogram 1	1	16335.866	16336.2562	0.39	15.866	925.9	1226.5	TEST__0__20170911_210801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_210801.wav	X	yelp	brightness 55	RS			yelp		
250	Spectrogram 1	1	16450.439	16450.6829	0.244	10.439	571.1	757.5	TEST__0__20170911_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_220801.wav	X	yelp	brightness 55	RS			yelp		
270	Spectrogram 1	1	2210.39	2210.7193	0.329	50.39	390.8	805.6	TEST__0__20170912_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170912_232001.wav	X	yelp	brightness 55	RS			yelp		
273	Spectrogram 1	1	16569.622	16570.8415	1.219	9.622	835.7	2254.5	TEST__0__20170913_022001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_022001.wav	X	yelp	Higher frequency	RS			yelp		
297	Spectrogram 1	1	35.341	36.4629	1.122	35.341	667.3	1106.2	TEST__0__20170914_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_050801.wav	X	yelp	yelp? but I can't see it	RS			"yelp, but VERY faint"		
304	Spectrogram 1	1	16737.329	16737.9021	0.573	57.329	901.8	1370.7	TEST__0__20170914_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_113201.wav	X	yelp	Brightness 50	RS			yelp		
305	Spectrogram 1	1	16740.427	16741.1343	0.707	60.427	811.6	1310.6	TEST__0__20170914_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_113201.wav	X	yelp	brightness 50	RS			yelp		
307	Spectrogram 1	1	16842.085	16842.6216	0.537	42.085	721.4	1016	TEST__0__20170914_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_162001.wav	X	yelp	brightness 40	RS			yelp		
308	Spectrogram 1	1	16870.207	16870.5973	0.39	70.207	607.2	841.7	TEST__0__20170914_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_162001.wav	X	yelp	bark?	RS			yelp		
312	Spectrogram 1	1	16974.622	16975.3171	0.695	54.622	895.8	1286.6	TEST__0__20170914_170801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_170801.wav	X	yelp	I can barely see it	RS			yelp		
317	Spectrogram 1	1	17862.451	17863.39	0.939	102.451	468.9	1929.9	TEST__0__20170914_182001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_182001.wav	X	yelp	I'm not sure if it is only a bark or both a bark and a yelp	RS			yelp - sort of - weird one		
324	Spectrogram 1	1	17882.329	17882.8046	0.476	2.329	288.6	577.2	TEST__0__20170915_074401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_074401.wav	X	yelp	brightness 55	RS			yelp		
331	Spectrogram 1	1	18032.829	18033.6582	0.829	32.829	731.9	1058.5	TEST__0__20170915_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_160801.wav	X	yelp	brightness 55	RS			yelp		
334	Spectrogram 1	1	18132.89	18133.3535	0.463	12.89	360.7	727.5	TEST__0__20170915_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_164401.wav	X	yelp	brightness 50	RS			yelp		
337	Spectrogram 1	1	18266.134	18266.634	0.5	26.134	703.4	998	TEST__0__20170915_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_174401.wav	X	yelp	I can barely see it at B 55	RS			yelp		
339	Spectrogram 1	1	3343.841	3344.6458	0.805	103.841	721.4	1058.1	TEST__0__20170915_183201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_183201.wav	X	yelp	faint. B 50	RS			yelp		
340	Spectrogram 1	1	3367.805	3368.2806	0.476	7.805	715.4	992	TEST__0__20170915_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_184401.wav	X	yelp	B50. Could that be a bark 0.5 seconds before?	RS			yelp		
348	Spectrogram 1	1	18453.915	18454.5858	0.671	93.915	607.2	1004	TEST__0__20170915_202001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_202001.wav	X	yelp	B60	RS			yelp		
350	Spectrogram 1	1	18488.061	18488.6341	0.573	8.061	583.2	805.6	TEST__0__20170915_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_205601.wav	X	yelp	B55	RS			yelp		
351	Spectrogram 1	1	18597.11	18597.427	0.317	117.11	691.4	955.9	TEST__0__20170915_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_205601.wav	X	yelp	B50	RS			yelp		
353	Spectrogram 1	1	18645.207	18645.9021	0.695	45.207	402.8	733.5	TEST__0__20170915_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_220801.wav	X	yelp	B50	RS			yelp		
357	Spectrogram 1	1	3735.256	3735.8779	0.622	15.256	877.8	1220.4	TEST__0__20170916_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_012001.wav	X	yelp	B50	RS			yelp		
371	Spectrogram 1	1	18816.665	18817.3602	0.695	96.665	414.8	859.7	TEST__0__20170916_025601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_025601.wav	X	yelp	AR	RS			yelp		
376	Spectrogram 1	1	18928.476	18929.0248	0.549	88.476	632.5	1030.1	TEST__0__20170916_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_215601.wav	X	yelp	B60	RS			yelp		
378	Spectrogram 1	1	19039.024	19039.4142	0.39	79.024	680.7	1048.2	TEST__0__20170916_234401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_234401.wav	X	yelp	B55	RS			yelp		
382	Spectrogram 1	1	19138.695	19139.1097	0.415	58.695	493	853.7	TEST__0__20170917_015601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_015601.wav	X	yelp	B60	RS			yelp		
383	Spectrogram 1	1	12487.012	12487.3291	0.317	7.012	751.5	1166.3	TEST__0__20170917_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_033201.wav	X	yelp	B55	RS			yelp		
387	Spectrogram 1	1	12627.778	12628.1682	0.39	27.778	606.6	1213.1	TEST__0__20170917_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_040801.wav	X	yelp	B55	RS			yelp		
443	Spectrogram 1	1	19303.366	19303.7684	0.402	103.366	487	1202.4	TEST__0__20170918_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_082001.wav	X	yelp	AR	RS			yelp		
444	Spectrogram 1	1	6143.183	6143.5367	0.354	23.183	829.7	1232.5	TEST__0__20170918_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	X	yelp	AR	RS			yelp		
447	Spectrogram 1	1	6203.354	6205.1223	1.768	83.354	318.6	2308.6	TEST__0__20170918_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	X	yelp	WH	RS			Yelps - very clear		
500	Spectrogram 1	1	19383.024	19384.0972	1.073	63.024	1046.1	1388.8	TEST__0__20170919_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_003201.wav	X	yelp	B60	RS			yelp		
567	Spectrogram 1	1	19492.829	19493.4021	0.573	52.829	679.4	1088.2	TEST__0__20170920_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_100801.wav	X	yelp	B50	RS			yelp		
569	Spectrogram 1	1	19611.768	19612.1704	0.402	51.768	994	1265.1	TEST__0__20170920_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_105601.wav	X	yelp	B55	RS			yelp		
574	Spectrogram 1	1	19692.732	19693.3418	0.61	12.732	939.8	1415.7	TEST__0__20170920_122001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_122001.wav	X	yelp	B55	RS			yelp		
586	Spectrogram 1	1	19877.329	19878.3899	1.061	77.329	843.4	1361.4	TEST__0__20170920_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_195601.wav	X	yelp	B50	RS					
619	Spectrogram 1	1	19960.524	19960.8776	0.354	40.524	715.4	1034.1	TEST__0__20170921_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_105601.wav	X	yelp	B50	RS					
620	Spectrogram 1	1	19962.366	19962.9635	0.597	42.366	679.4	1046.1	TEST__0__20170921_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_105601.wav	X	yelp	B50	RS					
638	Spectrogram 1	1	20125.439	20127.0122	1.573	85.439	493	1118.2	TEST__0__20170921_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_194401.wav	X	yelp	Two	RS					
642	Spectrogram 1	1	20191.542	20192.6396	1.098	31.542	499	1070.1	TEST__0__20170921_224401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_224401.wav	X	yelp	Is the sound just before a RS?	RS			"just ""water noise"" right before the yelp. Not a bark."		
646	Spectrogram 1	1	10187.634	10188.3536	0.72	107.634	701.6	1125	TEST__0__20170921_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	X	yelp	B50	RS			yelp		
648	Spectrogram 1	1	10261.073	10268.7803	7.707	61.073	381	1463.7	TEST__0__20170922_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	X	yelp	WH	RS			"clear yelps, one faint bark in middle"		
655	Spectrogram 1	1	20286.707	20287.7314	1.024	6.707	384.8	1689.4	TEST__0__20170922_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_033201.wav	X	yelp	AR	RS			yelp		
656	Spectrogram 1	1	20336.256	20337.1218	0.866	56.256	456.9	1713.4	TEST__0__20170922_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_033201.wav	X	yelp	AR	RS			yelp		
663	Spectrogram 1	1	20460.28	20461.0117	0.732	60.28	505	907.8	TEST__0__20170922_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_045601.wav	X	yelp	B50. faint	RS			yelp		
666	Spectrogram 1	1	8426.061	8427.0122	0.951	26.061	300.6	1106.2	TEST__0__20170922_053201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_053201.wav	X	yelp	AR	RS			yelp		
673	Spectrogram 1	1	10405.939	10406.6707	0.732	85.939	414.8	949.9	TEST__0__20170922_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_084401.wav	X	yelp	B50	RS			yelp		
675	Spectrogram 1	1	20633.988	20634.6221	0.634	113.988	715.4	1106.2	TEST__0__20170922_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_085601.wav	X	yelp	AR	RS			yelp		
689	Spectrogram 1	1	20742.402	20743.4386	1.037	102.402	487	1965.9	TEST__0__20170922_134401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_134401.wav	X	yelp	yelp?	RS			yelp		
690	Spectrogram 1	1	20795.301	20805.2868	9.986	35.301	426.9	2645.3	TEST__0__20170922_135601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_135601.wav	X	yelp	WH	RS			Yelps - Clear		
692	Spectrogram 1	1	8686.768	8687.4143	0.646	46.768	450.9	1587.2	TEST__0__20170922_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav	X	yelp	AR	RS			yelp		
694	Spectrogram 1	1	20924.329	20924.9265	0.597	44.329	468.9	2404.8	TEST__0__20170922_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_152001.wav	X	yelp	WH	RS			Yelp - very close		
695	Spectrogram 1	1	21112.817	21113.3535	0.537	112.817	847.7	1250.5	TEST__0__20170922_155601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_155601.wav	X	yelp	bark?	RS			yelp		
708	Spectrogram 1	1	8950.988	8951.8782	0.89	70.988	901.8	1515	TEST__0__20170922_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_205601.wav	X	yelp	yelp?	RS			yelp		yelps
710	Spectrogram 1	1	9183.963	9185.5972	1.634	63.963	270.5	1479	TEST__0__20170922_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_213201.wav	X	yelp	yelp?	RS			yelp		
