Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment
347	Spectrogram 1	1	19989.732	19993.3905	1.732	643.3	1220.4	DS3B__0__20180905_220354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180905_220354.wav	X	yelp	Yelps	RS			Yelps
348	Spectrogram 1	1	20444.037	20444.6223	193.037	499	1040.1	DS3B__0__20180906_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180906_040354.wav	X	yelp	Yelp	RS			Yelp
349	Spectrogram 1	1	20532.354	20534.4271	18.354	727.5	998	DS3B__0__20180906_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180906_050354.wav	X	yelp	Yelps	RS			Yelps
350	Spectrogram 1	1	20663.134	20663.4145	149.134	72.1	703.4	DS3B__0__20180906_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180906_050354.wav	X	bark	Bark	RS			Bark
351	Spectrogram 1	1	20790.512	20791.0364	13.512	144.3	505	DS3B__0__20180907_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180907_050354.wav	Y	bark	WH	RS			
354	Spectrogram 1	1	21216.61	21217.2441	176.61	637.3	1220.4	DS3B__0__20180907_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180907_210354.wav	X	yelp	Yelp	RS			Yelp
356	Spectrogram 1	1	21305.939	21306.6463	2.939	408.8	1040.1	DS3B__0__20180908_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180908_080354.wav	X	yelp	Yelp	RS			Yelp
357	Spectrogram 1	1	21303.805	21304.6464	0.805	607.2	1034.1	DS3B__0__20180908_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180908_080354.wav	X	yelp	Yelp	RS			Yelp
358	Spectrogram 1	1	21750.793	21751.4881	184.793	78.2	240.5	DS3B__0__20180908_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180908_200354.wav	X			RS			
359	Spectrogram 1	1	21835.939	21836.4634	6.939	348.7	721.4	DS3B__0__20180908_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180908_210354.wav	X			RS			
360	Spectrogram 1	1	22281.451	22281.9998	189.451	60.1	330.7	DS3B__0__20180908_220354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180908_220354.wav	X			RS			
363	Spectrogram 1	1	22363.841	22364.3044	8.841	102.6	591.5	DS3B__0__20180909_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180909_050354.wav	X			RS			
365	Spectrogram 1	1	22712.012	22712.4266	94.012	60.1	432.9	DS3B__0__20180909_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180909_150354.wav	X	bark	Bark	RS			Bark
368	Spectrogram 1	1	22889.902	22890.4264	8.902	691.4	1106.2	DS3B__0__20180910_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180910_020354.wav	X	yelp	Yelp	RS			Yelp
370	Spectrogram 1	1	23238.11	23238.5856	94.11	535.1	1587.2	DS3B__0__20180910_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180910_100354.wav	X	yelp	Yelp - clear	RS			Yelp - clear
371	Spectrogram 1	1	23239.183	23239.9757	95.183	174.3	1304.6	DS3B__0__20180910_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180910_100354.wav	Y	bark	clear	RS			Bark - clear
375	Spectrogram 1	1	23417.573	23417.8047	10.573	60.1	571.1	DS3B__0__20180910_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180910_170354.wav	X	bark	Bark	RS			Bark
377	Spectrogram 1	1	23795.451	23795.9022	125.451	72.1	1058.1	DS3B__0__20180911_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180911_060354.wav	X			RS			
378	Spectrogram 1	1	24071.476	24071.976	138.476	66.1	757.5	DS3B__0__20180911_090354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180911_090354.wav	X			RS			
382	Spectrogram 1	1	24281.134	24281.6828	85.134	42.1	577.2	DS3B__0__20180912_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180912_010354.wav	X	bark	Barks	RS			Barks
383	Spectrogram 1	1	24573.378	24573.7683	114.378	745.5	1016	DS3B__0__20180912_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180912_040354.wav	X	yelp	Yelp	RS			Yelp
384	Spectrogram 1	1	24702.927	24703.4514	243.927	745.5	1064.1	DS3B__0__20180912_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180912_040354.wav	X	yelp	Yelp	RS			Yelp
385	Spectrogram 1	1	24810.024	24810.8533	88.024	559.1	1052.1	DS3B__0__20180912_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180912_060354.wav	X	yelp	Yelp	RS			Yelp
386	Spectrogram 1	1	25152.915	25153.2931	167.915	66.1	1064.1	DS3B__0__20180912_090354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180912_090354.wav	X	bark	Bark	RS			Bark
387	Spectrogram 1	1	25265.305	25266.7196	17.305	799.6	1106.2	DS3B__0__20180912_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180912_100354.wav	X	yelp	Yelps	RS			Yelps
399	Spectrogram 1	1	25666.841	25668.0361	155.841	78.2	631.3	DS3B__0__20180914_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180914_120354.wav	X			RS			
405	Spectrogram 1	1	25925.451	25925.89	151.451	66.1	468.9	DS3B__0__20180914_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180914_160354.wav	X			RS			
407	Spectrogram 1	1	26296.232	26296.6222	259.232	42.1	438.9	DS3B__0__20180914_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180914_200354.wav	X			RS			
418	Spectrogram 1	1	26306.402	26307.1581	6.402	769.5	1058.1	DS3B__0__20180915_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180915_080354.wav	X	yelp	Yelp	RS			Yelp
423	Spectrogram 1	1	26597.646	26598.2924	34.646	895.8	1214.4	DS3B__0__20180915_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180915_170354.wav	X	yelp	Yelp - clear	RS			Yelp - clear
428	Spectrogram 1	1	27064.923	27065.5449	238.923	216.4	673.3	DS3B__0__20180915_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180915_200354.wav	X	strange bark	Strange bark?	RS			
429	Spectrogram 1	1	27105.695	27106.1706	16.695	102.2	823.6	DS3B__0__20180915_220354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180915_220354.wav	X			RS			
433	Spectrogram 1	1	27490.78	27491.3288	138.78	0	481	DS3B__0__20180916_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180916_000354.wav	X	bark	Barks	RS			Barks
439	Spectrogram 1	1	27860.232	27860.6954	245.232	42.1	481	DS3B__0__20180916_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180916_210354.wav	X			RS			
440	Spectrogram 1	1	27906.512	27907.0974	28.512	54.1	192.4	DS3B__0__20180917_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_010354.wav	X	growl	Growl	RS			Growl
443	Spectrogram 1	1	28386.134	28386.5121	245.134	90.2	793.6	DS3B__0__20180917_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_050354.wav	X	bark	Bark	RS			Bark
446	Spectrogram 1	1	28556.098	28556.6223	152.098	426.9	973.9	DS3B__0__20180917_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_100354.wav	X	yelp	Yelp	RS			Yelp
447	Spectrogram 1	1	28556.793	28557.671	152.793	162.3	601.2	DS3B__0__20180917_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_100354.wav	Y	bark	In background noise	RS			Barks
448	Spectrogram 1	1	28896.22	28896.7444	229.22	787.6	1142.3	DS3B__0__20180917_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_110354.wav	X	yelp	Yelp	RS			Yelp
449	Spectrogram 1	1	28982.646	28983.1582	52.646	102.2	691.4	DS3B__0__20180917_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_120354.wav	X	bark	Bark	RS			Bark
451	Spectrogram 1	1	29321.841	29322.3166	128.841	835.7	1106.2	DS3B__0__20180917_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_180354.wav	X			RS			
453	Spectrogram 1	1	29653.695	29654.2194	197.695	559.1	1028.1	DS3B__0__20180917_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_200354.wav	X	yelp	Yelp	RS			Yelp
454	Spectrogram 1	1	29652.22	29652.4883	196.22	264.5	781.6	DS3B__0__20180917_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180917_200354.wav	X	bark	Bark	RS			Bark
458	Spectrogram 1	1	29975.988	29976.427	256.988	709.4	1106.2	DS3B__0__20180918_220354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180918_220354.wav	X			RS			
459	Spectrogram 1	1	30132.973	30133.4608	150.973	727.5	1082.2	DS3B__0__20180919_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180919_000354.wav	X	yelp	Yelp - faint	RS			Yelp - faint
483	Spectrogram 1	1	30250.744	30251.5977	5.744	697.4	1683.4	DS3B__0__20180923_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180923_140354.wav	X	yelp	Wh	RS			
484	Spectrogram 1	1	30353.756	30354.7682	108.756	523	1659.3	DS3B__0__20180923_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180923_140354.wav	X			RS			
485	Spectrogram 1	1	30766.207	30766.7558	258.207	595.2	1196.4	DS3B__0__20180923_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180923_150354.wav	X	yelp	Yelp - clear	RS			Yelp - clear
486	Spectrogram 1	1	30774.22	30774.4395	3.22	739.5	986	DS3B__0__20180924_230354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180924_230354.wav	X	yelp	Yelp	RS			Yelp
487	Spectrogram 1	1	30774.463	30777.6581	3.463	132.3	607.2	DS3B__0__20180924_230354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180924_230354.wav	X	bark	Barks	RS			Barks
492	Spectrogram 1	1	31062.232	31062.9637	28.232	565.1	1178.4	DS3B__0__20180925_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_110354.wav	X			RS			
493	Spectrogram 1	1	31386.378	31386.7683	89.378	1118.2	1503	DS3B__0__20180925_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_140354.wav	X			RS			
494	Spectrogram 1	1	31673.085	31673.7313	113.085	390.8	1040.1	DS3B__0__20180925_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_150354.wav	X			RS			
495	Spectrogram 1	1	31831.073	31831.39	8.073	721.4	1082.2	DS3B__0__20180925_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_190354.wav	X	yelp	Yelp - faint	RS			Yelp - faint
496	Spectrogram 1	1	32346.219	32346.7068	260.219	655.3	1064.1	DS3B__0__20180925_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_200354.wav	X	yelp	Yelp - very faint	RS			Yelp - very faint
497	Spectrogram 1	1	32605.207	32605.8046	256.207	757.5	1334.7	DS3B__0__20180925_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_210354.wav	X			RS			
498	Spectrogram 1	1	32817.28	32817.7556	205.28	775.6	1130.3	DS3B__0__20180925_220354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180925_220354.wav	X			RS			
500	Spectrogram 1	1	33106.817	33107.1828	231.817	565.1	980	DS3B__0__20180926_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180926_100354.wav	X			RS			
504	Spectrogram 1	1	33140.293	33140.6101	2.293	156.6	572.3	DS3B__0__20180926_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180926_160354.wav	X			RS			
518	Spectrogram 1	1	33482.159	33482.4761	81.159	0	581.8	DS3B__0__20180930_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180930_190354.wav	X			RS			
529	Spectrogram 1	1	33682.39	33682.6461	18.39	48.1	462.9	DS3B__0__20181002_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181002_020354.wav	X			RS			
530	Spectrogram 1	1	33682.695	33683.3658	18.695	649.3	998	DS3B__0__20181002_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181002_020354.wav	X			RS			
531	Spectrogram 1	1	34185.012	34185.4998	258.012	637.3	1016	DS3B__0__20181002_230354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181002_230354.wav	X			RS			
533	Spectrogram 1	1	34211.646	34212.2924	21.646	168.3	1130.3	DS3B__0__20181003_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181003_040354.wav	X	bark	Barks - distorted	RS			Barks - distorted
534	Spectrogram 1	1	34456.817	34457.2682	3.817	661.3	1064.1	DS3B__0__20181003_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181003_060354.wav	X			RS			
544	Spectrogram 1	1	34837.585	34838.2923	121.585	396.8	715.4	DS3B__0__20181004_220354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181004_220354.wav	X			RS			
545	Spectrogram 1	1	35085.073	35085.6339	106.073	1070.1	1761.5	DS3B__0__20181005_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181005_010354.wav	X	yelp	"Yelp - very clear, no background noise"	RS			"Yelp - very clear, no background noise"
547	Spectrogram 1	1	35248.207	35248.6582	6.207	607.2	1112.2	DS3B__0__20181005_030354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181005_030354.wav	X			RS			
548	Spectrogram 1	1	35762.561	35762.9146	257.561	709.4	1190.4	DS3B__0__20181005_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181005_040354.wav	X			RS			
549	Spectrogram 1	1	35795.39	35796.4388	27.39	655.3	1563.1	DS3B__0__20181005_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181005_050354.wav	X			RS			
551	Spectrogram 1	1	36098.902	36099.5728	67.902	853.7	1406.8	DS3B__0__20181005_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181005_180354.wav	X			RS			
553	Spectrogram 1	1	36418.451	36419.0974	124.451	775.6	1040.1	DS3B__0__20181006_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181006_000354.wav	X			RS			
554	Spectrogram 1	1	36612.024	36612.6581	55.024	769.5	1160.3	DS3B__0__20181006_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181006_020354.wav	X			RS			
555	Spectrogram 1	1	36827.085	36827.7191	7.085	661.3	1106.2	DS3B__0__20181006_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181006_040354.wav	X			RS			
557	Spectrogram 1	1	37192.805	37193.5245	109.805	42.2	548.2	DS3B__0__20181007_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181007_210354.wav	X	bark	Barks	RS			Barks
558	Spectrogram 1	1	37197.11	37198.3539	114.11	469.9	1084.3	DS3B__0__20181007_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181007_210354.wav	X	yelp	Yelp	RS			Yelp
559	Spectrogram 1	1	37300.61	37301.7319	217.61	560.2	1132.5	DS3B__0__20181007_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181007_210354.wav	X			RS			
560	Spectrogram 1	1	37466.683	37467.0977	120.683	54.1	444.9	DS3B__0__20181007_230354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181007_230354.wav	X	bark	Bark	RS			Bark
561	Spectrogram 1	1	37495.951	37497.89	149.951	0	1154.3	DS3B__0__20181007_230354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181007_230354.wav	X	bark	Barks	RS			Barks
571	Spectrogram 1	1	37758.183	37758.4269	149.183	48.1	474.9	DS3B__0__20181008_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181008_180354.wav	X			RS			
572	Spectrogram 1	1	37759.146	37759.4631	150.146	6	643.3	DS3B__0__20181008_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181008_180354.wav	X			RS			
582	Spectrogram 1	1	38061.183	38061.3903	189.183	66.1	432.9	DS3B__0__20181010_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_060354.wav	X			RS			
583	Spectrogram 1	1	38185.402	38185.6825	50.402	66.1	456.9	DS3B__0__20181010_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_070354.wav	X			RS			
585	Spectrogram 1	1	38407.293	38407.6466	9.293	108.2	553.1	DS3B__0__20181010_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_080354.wav	X			RS			
586	Spectrogram 1	1	38842.634	38843.0243	181.634	84.2	697.4	DS3B__0__20181010_090354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_090354.wav	X			RS			
587	Spectrogram 1	1	38980.281	38980.8664	56.281	24	583.2	DS3B__0__20181010_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_110354.wav	X			RS			
588	Spectrogram 1	1	39409.817	39410.2072	222.817	96.2	481	DS3B__0__20181010_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_170354.wav	X			RS			
589	Spectrogram 1	1	39408.549	39409.7197	221.549	643.3	1220.4	DS3B__0__20181010_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_170354.wav	X			RS			
590	Spectrogram 1	1	39414.451	39415.0974	227.451	54.1	511	DS3B__0__20181010_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181010_170354.wav	X			RS			
593	Spectrogram 1	1	39500.842	39501.0981	50.842	174.3	829.7	DS3B__0__20181011_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_020354.wav	Y	bark	Bark	RS			Bark
594	Spectrogram 1	1	39887.976	39888.7931	174.976	138.3	1160.3	DS3B__0__20181011_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_060354.wav	Y	bark	Loud	RS			Barks
595	Spectrogram 1	1	40001.524	40002.0484	25.524	571.1	967.9	DS3B__0__20181011_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_070354.wav	X	yelp	Yelp - faint	RS			Yelp - faint
596	Spectrogram 1	1	40228.463	40229.2313	252.463	727.5	1310.6	DS3B__0__20181011_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_070354.wav	X	yelp	Yelp	RS			Yelp
597	Spectrogram 1	1	40272.512	40273.89	33.512	156.3	529.1	DS3B__0__20181011_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_110354.wav	X			RS			
598	Spectrogram 1	1	40714.939	40715.5732	212.939	505	1424.8	DS3B__0__20181011_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_130354.wav	X	bark?	sounds like a bark but is very faint	RS			
600	Spectrogram 1	1	40871.866	40872.3416	106.866	637.3	829.7	DS3B__0__20181011_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_140354.wav	X			RS			
601	Spectrogram 1	1	41267.378	41267.7805	239.378	168.3	973.9	DS3B__0__20181011_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_150354.wav	Y	bark	very clear	RS			Bark - very clear
602	Spectrogram 1	1	41380.573	41381.0486	89.573	288.6	1497	DS3B__0__20181011_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181011_160354.wav	X	strange bark	sounds like a frog croaking	RS			
604	Spectrogram 1	1	41610.793	41611.9759	56.793	72.1	625.3	DS3B__0__20181012_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_000354.wav	X	bark	too masked by noise	RS			Barks
608	Spectrogram 1	1	42018.793	42021.671	201.793	84.2	1076.2	DS3B__0__20181012_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_110354.wav	Y	"bark, yelp"	In ambient noise. Yelp-Bark combo - clear	RS			Yelp-Bark combo - clear
610	Spectrogram 1	1	42330.561	42331.0122	250.561	288.6	1112.2	DS3B__0__20181012_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_130354.wav	Y	bark	Bark	RS			Bark
611	Spectrogram 1	1	42388.305	42392.8781	45.305	715.4	1346.7	DS3B__0__20181012_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	X	yelp	Yelps	RS			Yelps
612	Spectrogram 1	1	42491.195	42491.8536	148.195	402.8	655.3	DS3B__0__20181012_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	X	yelp	Yelp	RS			Yelp
613	Spectrogram 1	1	42578.402	42578.6703	235.402	42.1	913.8	DS3B__0__20181012_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	Y	bark	Bark - clear	RS			Bark - clear
614	Spectrogram 1	1	42597.951	42600.8291	254.951	180.4	998	DS3B__0__20181012_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	Y	bark	Barks	RS			Barks
615	Spectrogram 1	1	42660.293	42660.7564	54.293	96.2	823.6	DS3B__0__20181012_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_160354.wav	X	bark	masked	RS			
616	Spectrogram 1	1	42865.061	42865.6219	259.061	414.8	811.6	DS3B__0__20181012_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_160354.wav	X			RS			
618	Spectrogram 1	1	43005.024	43005.6703	136.024	126.3	775.6	DS3B__0__20181012_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_170354.wav	X	bark	masked	RS			
621	Spectrogram 1	1	43208.341	43208.9873	76.341	535.1	1154.3	DS3B__0__20181012_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181012_180354.wav	X			RS			
628	Spectrogram 1	1	43409.439	43410.061	14.439	787.6	1058.1	DS3B__0__20181013_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_070354.wav	X			RS			
629	Spectrogram 1	1	43652.695	43653.4389	257.695	679.4	1046.1	DS3B__0__20181013_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_070354.wav	X			RS			
631	Spectrogram 1	1	43910.256	43910.8536	252.256	324.6	727.5	DS3B__0__20181013_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_100354.wav	X			RS			
632	Spectrogram 1	1	43997.89	43998.4754	76.89	751.5	1088.2	DS3B__0__20181013_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_110354.wav	X			RS			
634	Spectrogram 1	1	44306.439	44307.9756	122.439	126.3	1094.2	DS3B__0__20181013_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_160354.wav	X			RS			
635	Spectrogram 1	1	44312.841	44316.5117	128.841	751.5	1250.5	DS3B__0__20181013_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_160354.wav	X			RS			
636	Spectrogram 1	1	44496.329	44497.6948	49.329	66.1	1070.1	DS3B__0__20181013_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_170354.wav	X			RS			
637	Spectrogram 1	1	44502.561	44504.0488	55.561	144.3	661.3	DS3B__0__20181013_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_170354.wav	X	bark	too masked	RS			Bark
638	Spectrogram 1	1	44540.134	44540.8536	93.134	481	1677.4	DS3B__0__20181013_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_170354.wav	X			RS			
639	Spectrogram 1	1	44844.988	44845.4392	134.988	120.2	523	DS3B__0__20181013_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_180354.wav	X	bark	too masked	RS			
640	Spectrogram 1	1	45006.817	45008.7316	33.817	745.5	1418.8	DS3B__0__20181013_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181013_200354.wav	X	yelp	Yelps	RS			Yelps
641	Spectrogram 1	1	45381.756	45382.5243	145.756	691.4	1148.3	DS3B__0__20181014_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_000354.wav	X			RS			
644	Spectrogram 1	1	45505.085	45505.7069	6.085	1004	1695.4	DS3B__0__20181014_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_010354.wav	X			RS			
649	Spectrogram 1	1	45999.659	46001.1712	237.659	192.4	1442.9	DS3B__0__20181014_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_040354.wav	Y	bark	in ambient noise	RS			Barks
650	Spectrogram 1	1	46223.244	46223.622	198.244	72.1	673.3	DS3B__0__20181014_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_050354.wav	Y	bark	Bark	RS			Bark
651	Spectrogram 1	1	46223.756	46224.256	198.756	438.9	805.6	DS3B__0__20181014_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_050354.wav	X	yelp	Yelp	RS			Yelp
652	Spectrogram 1	1	46423.232	46423.8418	135.232	72.1	733.5	DS3B__0__20181014_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_060354.wav	X	bark	too masked	RS			Bark
653	Spectrogram 1	1	46500.098	46501.4516	212.098	120.2	1322.6	DS3B__0__20181014_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_060354.wav	X	"bark, yelp"	Yelp-bark	RS			Yelp-bark
657	Spectrogram 1	1	46593.646	46594.2314	42.646	805.6	1154.3	DS3B__0__20181014_090354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_090354.wav	X	yelp	Yelp	RS			Yelp
658	Spectrogram 1	1	47016.5	47017	202.5	162.3	619.2	DS3B__0__20181014_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_100354.wav	Y	bark	meh	RS			Bark
659	Spectrogram 1	1	47114.183	47117.866	37.183	114.2	1166.3	DS3B__0__20181014_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_110354.wav	X		Unknown	RS			Probably?
660	Spectrogram 1	1	47152.524	47152.8533	75.524	402.8	715.4	DS3B__0__20181014_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_110354.wav	X			RS			
661	Spectrogram 1	1	47348.841	47349.4141	8.841	535.1	961.9	DS3B__0__20181014_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_120354.wav	X	yelp	Very faint yelp	RS			Very faint yelp
662	Spectrogram 1	1	47464.012	47464.7193	124.012	216.4	967.9	DS3B__0__20181014_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_120354.wav	X		Probably?	RS			Probably?
663	Spectrogram 1	1	47531.671	47532.0979	191.671	799.6	1202.4	DS3B__0__20181014_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_120354.wav	X	yelp	Yelp	RS			Yelp
664	Spectrogram 1	1	47757.951	47758.4754	154.951	444.9	1130.3	DS3B__0__20181014_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_140354.wav	X	yelp		RS			
665	Spectrogram 1	1	47759.744	47760.2928	156.744	390.8	961.9	DS3B__0__20181014_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_140354.wav	X	yelp		RS			
666	Spectrogram 1	1	47836.476	47837.3175	233.476	294.6	1418.8	DS3B__0__20181014_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_140354.wav	Y	"bark, yelp"	Yelp-bark - very clear	RS			Yelp-bark - very clear
667	Spectrogram 1	1	47920.183	47920.6221	54.183	601.2	992	DS3B__0__20181014_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181014_150354.wav	X	yelp	Yelp - clear	RS			Yelp - clear
