Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path		Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
731	Spectrogram 1	1	1167.616700000	1169.213747700	1.5970	87.6167	55.947	1314.752	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	4	1	X	BY	448	Very good	
732	Spectrogram 1	1	1169.496400000	1171.157046800	1.6606	89.4964	65.271	1305.428	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	4	1	X	BY	448	Very good	
733	Spectrogram 1	1	1172.181700000	1173.679815500	1.4981	92.1817	55.947	1249.481	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	2	1	X	BY	448		
734	Spectrogram 1	1	1174.231000000	1175.969379300	1.7384	94.2310	83.920	1240.157	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	4	0	X	B	448	Very good	
735	Spectrogram 1	1	1176.336800000	1178.046913000	1.7101	96.3368	46.622	1249.481	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	5	1	X	BY	448	Very good	
736	Spectrogram 1	1	1178.117600000	1180.011444100	1.8938	98.1176	18.649	1230.832	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	5	3	X	BY	448	Very good	
737	Spectrogram 1	1	1180.124500000	1181.650881900	1.5264	100.1245	55.947	1193.534	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	4	1	X	BY	448	Very good	
738	Spectrogram 1	1	1182.272800000	1183.544784900	1.2720	102.2728	74.596	1202.859	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	1	1	X	BY	448	Very good	
739	Spectrogram 1	1	1183.587100000	1184.519888900	0.9328	103.5871	93.245	1193.534	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	2	0	X	B	448	Very good	
742	Spectrogram 1	1	921.415600000	922.659319000	1.2437	81.4156	46.622	587.443	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav									Y	5	0	X	B	399	FAINT	
743	Spectrogram 1	1	923.408400000	925.556641000	2.1482	83.4084	46.622	578.118	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav									Y	8	0	X	B	399	FAINT	
744	Spectrogram 1	1	1154.532500000	1154.998894500	0.4664	74.5325	55.947	662.038	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	1	0	X	B	446		
745	Spectrogram 1	1	1155.564200000	1156.030594400	0.4664	75.5642	55.947	662.038	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	1	0	X	B	446		
746	Spectrogram 1	1	1156.369800000	1156.807928100	0.4381	76.3698	46.622	662.038	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav									Y	1	0	X	B	446		
748	Spectrogram 1	1	5509.694800000	5510.203594000	0.5088	109.6948	130.543	652.714	TEST__0__20170920_213201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_213201.wav									Y	1	0	X	B	-	Previously not annotated.	
749	Spectrogram 1	1	1320.571400000	1321.009528100	0.4381	0.5714	139.867	1296.103	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	1	0	X	B	590		
750	Spectrogram 1	1	1321.320400000	1322.224922600	0.9045	1.3204	130.543	1333.401	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	2	0	X	B	590		
751	Spectrogram 1	1	1322.762000000	1323.595856700	0.8339	2.7620	149.192	1342.726	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	2	0	X	B	590		
752	Spectrogram 1	1	1340.283600000	1341.541451700	1.2579	20.2836	279.735	1463.944	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	1	1	X	BY	591		
753	Spectrogram 1	1	1342.573100000	1343.322157800	0.7491	22.5731	251.761	1491.918	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	1	0	X	B	591		
754	Spectrogram 1	1	1343.831000000	1344.438726100	0.6077	23.8310	279.735	1491.918	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	1	0	X	B	591		
755	Spectrogram 1	1	1346.261900000	1346.897892400	0.6360	26.2619	251.761	1510.567	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav									Y	1	0	X	B	591		
757	Spectrogram 1	1	1512.346100000	1513.547419100	1.2013	72.3461	55.947	913.800	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									Y	1	0	X	B	644	Growl	
758	Spectrogram 1	1	1513.872500000	1514.593291500	0.7208	73.8725	74.596	923.124	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									Y	1	0	X	B	644		
759	Spectrogram 1	1	1514.946600000	1516.091386400	1.1448	74.9466	74.596	895.151	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									Y	1	1	X	BY	644		
760	Spectrogram 1	1	1516.402300000	1518.324410400	1.9221	76.4023	456.900	904.475	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									X	-	-	-	-	S	Split from 644	
761	Spectrogram 1	1	1550.626900000	1551.927151200	1.3003	110.6269	111.894	1258.805	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									Y	1	2	X	BY	645		
762	Spectrogram 1	1	1553.100200000	1554.244986300	1.1448	113.1002	121.218	1268.130	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									Y	1	2	X	BY	645		
763	Spectrogram 1	1	1558.103300000	1558.499028600	0.3957	118.1033	93.245	1258.805	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav									Y	1	0	X	B	645		
764	Spectrogram 1	1	1585.123600000	1586.254253200	1.1307	25.1236	261.086	1184.210	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	1	X	BY	649		
765	Spectrogram 1	1	1586.282500000	1587.271821600	0.9893	26.2825	279.735	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	1	X	BY	649		
766	Spectrogram 1	1	1589.646200000	1590.790986400	1.1448	29.6462	270.410	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	1	X	BY	649		
767	Spectrogram 1	1	1587.710000000	1588.798253700	1.0883	27.7100	279.735	1165.561	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	2	Y	BY	649		
768	Spectrogram 1	1	1591.370500000	1592.161957300	0.7915	31.3705	261.086	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	0	X	BY	649		
769	Spectrogram 1	1	1593.165400000	1594.055789400	0.8904	33.1654	270.410	1146.912	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	1	X	BY	649		
770	Spectrogram 1	1	1596.670400000	1597.490123600	0.8197	36.6704	289.059	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	1	X	BY	649		
771	Spectrogram 1	1	1599.030600000	1599.991655200	0.9611	39.0306	261.086	1230.832	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									Y	1	1	X	BY	649		
772	Spectrogram 1	1	1594.847200000	1595.991986400	1.1448	34.8472	279.735	1380.024	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									X	-	-	-	-	S	Split from 649	
773	Spectrogram 1	1	1601.574600000	1602.252991900	0.6784	41.5746	606.092	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav									X	-	-	-	-	S	Split from 649	
775	Spectrogram 1	1	1960.838700000	1961.305094000	0.4664	40.8387	391.628	1697.056	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav									Y	1	0	X	B	691		
776	Spectrogram 1	1	1962.110700000	1962.817359000	0.7067	42.1107	410.277	1706.381	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav									Y	1	0	X	B	691		
777	Spectrogram 1	1	1963.227200000	1963.891459000	0.6643	43.2272	391.628	1706.381	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav									Y	1	0	X	B	691		
778	Spectrogram 1	1	1907.715900000	1908.578023100	0.8621	107.7159	289.059	2377.744	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav									Y	1	0	X	B	688		
779	Spectrogram 1	1	1909.835800000	1910.853387900	1.0176	109.8358	354.330	1585.162	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav									Y	1	1	X	BY	688		
780	Spectrogram 1	1	1912.408100000	1913.270223100	0.8621	112.4081	279.735	2051.387	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav									Y	1	0	X	B	688		
781	Spectrogram 1	1	1913.665900000	1914.881352200	1.2155	113.6659	195.814	1920.844	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav									Y	2	1	X	BY	688		
782	Spectrogram 1	1	1915.446700000	1916.266423600	0.8197	115.4467	624.740	2004.764	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav									X	-	-	-	-	S	Split from 688	
784	Spectrogram 1	1	909.458962634	909.950456018	0.4915	69.4590	71.856	835.329	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav									Y	2	0	X	B	398		
785	Spectrogram 1	1	910.309624260	911.273707435	0.9641	70.3096	62.874	682.635	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav									Y	5	0	X	B	398		
786	Spectrogram 1	1	4797.403697353	4797.901491934	0.4978	117.4037	44.910	1032.934	TEST__0__20170917_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_143201.wav									Y	2	0	X	B	420		
787	Spectrogram 1	1	4798.418190107	4798.613527221	0.1953	118.4182	71.856	790.419	TEST__0__20170917_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_143201.wav									Y	1	0	X	B	420		
788	Spectrogram 1	1	5979.826596440	5980.185764682	0.3592	99.8266	826.347	1553.892	TEST__0__20170922_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_014401.wav									X	0	1	X	Y	651		
789	Spectrogram 1	1	5980.576438910	5980.841089193	0.2647	100.5764	71.856	1383.234	TEST__0__20170922_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_014401.wav									Y	1	0	X	B	651		
