Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	File Offset (s)		KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
252	Spectrogram 1	1	33702.517580000	33704.113050000	7.576	916.667	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	99.6839	244	Y	4	3	X	BY		
253	Spectrogram 1	1	33707.065620000	33707.473910000	7.576	681.818	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	104.2320	245	Y	1	1	X	BY		
254	Spectrogram 1	1	33707.888480000	33708.397280000	7.576	477.273	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	105.0548	246	Y	2	0	X	B		
255	Spectrogram 1	1	33711.079210000	33711.330470000	310.606	537.879	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	108.2455	247	X	0	1	X	Y		
256	Spectrogram 1	1	33711.946050000	33712.913380000	37.879	590.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	109.1124	248	Y	2	1	X	BY		
257	Spectrogram 1	1	33714.013090000	33714.465350000	7.576	727.273	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	111.1794	249	Y	1	1	X	BY		
258	Spectrogram 1	1	33718.927640000	33719.241720000	189.394	621.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	116.0940	250	X	0	1	X	Y		
259	Spectrogram 1	1	33719.480410000	33719.700260000	15.152	401.515	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	116.6467	251	Y	1	0	X	B		
261	Spectrogram 1	1	33720.171360000	33721.999250000	0.000	992.424	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	117.3377	252	X	5	0	X	BY	"TOO FAINT, UNKNOWN NUMBER OF YELOS"	
262	Spectrogram 1	1	33733.576600000	33733.777600000	90.909	659.091	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	130.7429	253	Y	1	0	X	B		
263	Spectrogram 1	1	33736.334130000	33736.503730000	68.182	522.727	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	133.5005	254	Y	1	0	X	B		
264	Spectrogram 1	1	33741.510010000	33741.742430000	121.212	598.485	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035203.wav	ST3_Site5_67371018.220518035203.wav	138.6763	255	Y	1	0	X	B		
265	Spectrogram 1	1	33946.239170000	33947.407520000	7.576	1037.879	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	43.4023	256	Y	2	1	X	BY		
266	Spectrogram 1	1	33949.007460000	33949.246150000	106.061	568.182	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	46.1706	257	Y	1	0	X	B		
267	Spectrogram 1	1	34012.065690000	34012.473980000	1007.576	1530.303	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	109.2289	258	X	0	1	X	Y		
268	Spectrogram 1	1	34024.871660000	34025.279950000	1196.970	1772.727	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	122.0348	259	X	0	1	X	Y		
269	Spectrogram 1	1	34083.007140000	34083.245830000	1151.515	1560.606	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	180.1703	260	X	0	1	X	Y		
270	Spectrogram 1	1	34087.524900000	34087.807560000	704.545	1371.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	184.6881	261	X	0	1	X	Y		
271	Spectrogram 1	1	34088.592740000	34089.045000000	60.606	1348.485	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	185.7559	262	Y	1	1	X	BY		
272	Spectrogram 1	1	34100.074730000	34100.640060000	590.909	1272.727	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	197.2379	263	X	0	2	X	Y		
273	Spectrogram 1	1	34103.322220000	34103.799610000	68.182	893.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	200.4854	264	Y	1	1	X	BY		
274	Spectrogram 1	1	34171.451670000	34171.916500000	795.455	1075.758	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518035703.wav	ST3_Site5_67371018.220518035703.wav	268.6148	265	X	0	1	X	Y		
275	Spectrogram 1	1	34693.756530000	34694.340700000	992.424	1606.061	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518040703.wav	ST3_Site5_67371018.220518040703.wav	190.8562	266	X	0	1	X	Y		
276	Spectrogram 1	1	34811.747480000	34811.929640000	795.455	1234.848	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041203.wav	ST3_Site5_67371018.220518041203.wav	8.7966	267	X	0	1	X	Y		
277	Spectrogram 1	1	34812.721100000	34813.248740000	704.545	1106.061	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041203.wav	ST3_Site5_67371018.220518041203.wav	9.7703	268	X	0	1	X	Y		
278	Spectrogram 1	1	34901.260440000	34901.587070000	1340.909	1681.818	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041203.wav	ST3_Site5_67371018.220518041203.wav	98.3096	269	X	0	1	X	Y		
279	Spectrogram 1	1	34901.989080000	34902.215210000	1750.000	1977.273	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041203.wav	ST3_Site5_67371018.220518041203.wav	99.0383	270	X	0	1	X	Y		
280	Spectrogram 1	1	35104.568860000	35105.159310000	962.121	1439.394	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041703.wav	ST3_Site5_67371018.220518041703.wav	1.6267	271	X	0	1	X	Y		
281	Spectrogram 1	1	35106.246000000	35106.478410000	1121.212	1333.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041703.wav	ST3_Site5_67371018.220518041703.wav	3.3038	272	X	0	1	X	Y		
282	Spectrogram 1	1	35242.471910000	35245.970650000	90.909	378.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518041703.wav	ST3_Site5_67371018.220518041703.wav	139.5297	273	X	1	0	X	G	Not sure if that's a growl	
283	Spectrogram 1	1	35889.601680000	35890.041380000	704.545	1000.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518042703.wav	ST3_Site5_67371018.220518042703.wav	186.5947	274	X	0	1	X	Y		
284	Spectrogram 1	1	36157.369740000	36157.759180000	780.303	1280.303	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518043203.wav	ST3_Site5_67371018.220518043203.wav	154.3821	275	X	0	1	X	Y		
285	Spectrogram 1	1	36159.662450000	36159.781800000	1159.091	1333.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518043203.wav	ST3_Site5_67371018.220518043203.wav	156.6748	276	X	0	1	X	Y		
286	Spectrogram 1	1	36166.929440000	36167.614110000	901.515	1643.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518043203.wav	ST3_Site5_67371018.220518043203.wav	163.9418	277	X	0	1	X	Y		
287	Spectrogram 1	1	36673.484170000	36675.726630000	0.000	393.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044203.wav	ST3_Site5_67371018.220518044203.wav	70.3833	278	Y	1	0	X	G		
288	Spectrogram 1	1	36825.220460000	36826.457890000	7.576	356.061	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044203.wav	ST3_Site5_67371018.220518044203.wav	222.1196	279	Y	1	0	X	G		
289	Spectrogram 1	1	36840.991640000	36841.877310000	810.606	1772.727	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044203.wav	ST3_Site5_67371018.220518044203.wav	237.8908	280	X	0	1	X	Y		
290	Spectrogram 1	1	36842.285610000	36842.882340000	757.576	1469.697	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044203.wav	ST3_Site5_67371018.220518044203.wav	239.1848	281	X	0	1	X	Y		
291	Spectrogram 1	1	36983.825560000	36984.698680000	871.212	1515.152	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	80.7167	282	X	0	1	X	Y		
292	Spectrogram 1	1	37073.401500000	37073.765820000	901.515	1212.121	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	170.2927	283	X	0	1	X	Y		
293	Spectrogram 1	1	37075.480650000	37075.838690000	833.333	1159.091	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	172.3718	284	X	0	1	X	Y		
294	Spectrogram 1	1	37076.969340000	37077.208030000	818.182	1083.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	173.8605	285	X	0	1	X	Y		
295	Spectrogram 1	1	37078.018340000	37078.439190000	803.030	1098.485	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	174.9095	286	X	0	1	X	Y		
296	Spectrogram 1	1	37085.937930000	37086.107530000	1272.727	1537.879	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	182.8291	287	X	0	1	X	Y		
297	Spectrogram 1	1	37091.529410000	37091.950270000	1106.061	1590.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	188.4206	288	X	0	1	X	Y		
298	Spectrogram 1	1	37147.786190000	37150.543730000	0.000	560.606	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	244.6774	289	Y	1	0	X	G		
299	Spectrogram 1	1	37162.844930000	37163.146440000	901.515	1371.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	259.7361	290	X	0	1	X	Y		
300	Spectrogram 1	1	37168.242850000	37168.563210000	780.303	1257.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518044703.wav	ST3_Site5_67371018.220518044703.wav	265.1340	291	X	0	1	X	Y		
301	Spectrogram 1	1	37472.845140000	37473.265990000	621.212	1060.606	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518045203.wav	ST3_Site5_67371018.220518045203.wav	269.6980	292	X	0	1	X	Y		
302	Spectrogram 1	1	37697.181810000	37699.097630000	0.000	454.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518045703.wav	ST3_Site5_67371018.220518045703.wav	194.0218	293	Y	1	0	X	G		
303	Spectrogram 1	1	37699.348890000	37701.013460000	15.152	393.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518045703.wav	ST3_Site5_67371018.220518045703.wav	196.1889	294	X	4	0	X	B	"NOT ANNOTATED, UNSURE, DON'T USE FOR TRAINING"	
304	Spectrogram 1	1	38354.725100000	38355.007770000	780.303	1234.848	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518050703.wav	ST3_Site5_67371018.220518050703.wav	251.5216	295	X	0	1	X	Y		
305	Spectrogram 1	1	38358.110780000	38358.324350000	909.091	1439.394	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518050703.wav	ST3_Site5_67371018.220518050703.wav	254.9073	296	X	0	1	X	Y		
306	Spectrogram 1	1	38470.336510000	38470.797960000	469.697	984.848	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518051203.wav	ST3_Site5_67371018.220518051203.wav	67.1068	297	X	0	2	X	Y		
307	Spectrogram 1	1	38477.257900000	38477.477750000	507.576	886.364	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518051203.wav	ST3_Site5_67371018.220518051203.wav	74.0282	298	X	0	1	X	Y		
308	Spectrogram 1	1	38495.550600000	38495.965180000	666.667	1257.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518051203.wav	ST3_Site5_67371018.220518051203.wav	92.3209	299	X	0	1	X	Y		
309	Spectrogram 1	1	38496.404870000	38496.857140000	643.939	1212.121	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518051203.wav	ST3_Site5_67371018.220518051203.wav	93.1752	300	X	0	1	X	Y		
310	Spectrogram 1	1	38583.234850000	38583.460980000	719.697	1136.364	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518051203.wav	ST3_Site5_67371018.220518051203.wav	180.0052	301	X	0	1	X	Y		
311	Spectrogram 1	1	39254.249350000	39254.538300000	1189.394	1825.758	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518052203.wav	ST3_Site5_67371018.220518052203.wav	250.9430	302	X	0	1	X	Y		
312	Spectrogram 1	1	39255.807140000	39256.001860000	992.424	1454.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518052203.wav	ST3_Site5_67371018.220518052203.wav	252.5008	303	X	0	1	X	Y		
313	Spectrogram 1	1	39258.093570000	39258.332270000	1045.455	1431.818	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518052203.wav	ST3_Site5_67371018.220518052203.wav	254.7872	304	X	0	1	X	Y		
314	Spectrogram 1	1	39260.210410000	39260.380010000	1181.818	1606.061	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518052203.wav	ST3_Site5_67371018.220518052203.wav	256.9041	305	X	0	1	X	Y		
315	Spectrogram 1	1	39253.319700000	39253.570960000	1484.848	1954.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518052203.wav	ST3_Site5_67371018.220518052203.wav	250.0134	306	X	0	1	X	Y		
316	Spectrogram 1	1	39314.410180000	39314.611190000	840.909	1128.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518052703.wav	ST3_Site5_67371018.220518052703.wav	11.0993	307	X	0	1	X	Y		
318	Spectrogram 1	1	41098.999580000	41099.376470000	393.939	803.030	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055203.wav	ST3_Site5_67371018.220518055203.wav	295.6059	308	X	0	1	X	Y		
319	Spectrogram 1	1	41114.394170000	41114.670560000	265.152	818.182	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	10.9087	309	X	0	1	Y	Y		
320	Spectrogram 1	1	41118.333910000	41118.666820000	1037.879	1500.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	14.8484	310	X	0	1	X	Y		
321	Spectrogram 1	1	41220.238540000	41221.130500000	0.000	1893.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	116.7530	311	Y	1	1	X	BY	GOOD	
322	Spectrogram 1	1	41225.412980000	41226.826300000	68.182	1840.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	121.9275	312	Y	2	2	X	BY		
323	Spectrogram 1	1	41231.612350000	41234.124920000	30.303	2212.121	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	128.1269	313	Y	3	2	X	BY		
324	Spectrogram 1	1	41239.442400000	41240.057980000	636.364	1704.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	135.9569	314	X	0	1	X	Y		
325	Spectrogram 1	1	41247.617010000	41249.149670000	15.152	2083.333	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	144.1315	315	Y	1	2	X	BY		
326	Spectrogram 1	1	41251.433670000	41251.873370000	643.939	2015.152	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	147.9482	316	X	0	1	X	Y		
327	Spectrogram 1	1	41269.496970000	41269.823600000	969.697	1621.212	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	166.0115	317	X	0	1	X	Y		
328	Spectrogram 1	1	41273.387110000	41274.078060000	60.606	2151.515	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	169.9016	318	Y	1	1	X	BY		
329	Spectrogram 1	1	41274.467450000	41274.957400000	121.212	1946.970	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	170.9819	319	X	0	1	X	Y		
330	Spectrogram 1	1	41279.399170000	41280.862740000	98.485	1954.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	175.9137	320	Y	1	2	X	BY		
331	Spectrogram 1	1	41283.993450000	41285.299980000	68.182	2212.121	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	180.5079	321	Y	1	2	X	BY		
332	Spectrogram 1	1	41289.381990000	41289.758880000	250.000	1931.818	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	185.8965	322	X	0	1	X	Y		
333	Spectrogram 1	1	41290.079230000	41290.606870000	159.091	1840.909	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	186.5937	323	X	0	1	X	Y		
334	Spectrogram 1	1	41293.552850000	41294.118170000	234.848	1651.515	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	190.0674	324	X	0	1	X	Y		
335	Spectrogram 1	1	41305.751830000	41306.292030000	15.152	2295.455	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	202.2663	325	Y	1	1	X	BY		
336	Spectrogram 1	1	41306.700320000	41307.246800000	0.000	1787.879	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	203.2148	326	Y	1	1	X	BY		
337	Spectrogram 1	1	41307.598560000	41308.113640000	22.727	1757.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	204.1131	327	Y	1	1	X	BY		
338	Spectrogram 1	1	41308.421430000	41308.873690000	318.182	1272.727	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	204.9359	328	X	0	1	X	Y		
339	Spectrogram 1	1	41309.029440000	41309.814620000	0.000	1409.091	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	205.5439	329	Y	1	0	X	G		
340	Spectrogram 1	1	41309.883710000	41310.116130000	530.303	962.121	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	206.3982	330	X	0	1	X	Y		
341	Spectrogram 1	1	41310.606070000	41310.989240000	507.576	1848.485	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	207.1206	331	X	0	1	X	Y		
342	Spectrogram 1	1	41311.271900000	41311.868640000	643.939	1053.030	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	207.7864	332	X	0	1	X	Y		
343	Spectrogram 1	1	41319.063460000	41320.897640000	22.727	1878.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	215.5780	333	Y	2	0	X	G	VERY CLOSE	
344	Spectrogram 1	1	41322.367480000	41322.631300000	553.030	1015.152	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518055703.wav	ST3_Site5_67371018.220518055703.wav	218.8820	334	X	0	1	X	Y	VERY CLOSE	
345	Spectrogram 1	1	43054.735210000	43055.815620000	7.576	363.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518062703.wav	ST3_Site5_67371018.220518062703.wav	151.1687	335	Y	1	0	X	G		
346	Spectrogram 1	1	43822.879430000	43823.080430000	825.758	1280.303	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518064203.wav	ST3_Site5_67371018.220518064203.wav	19.2244	336	X	0	1	X	Y		
347	Spectrogram 1	1	44081.359140000	44081.666930000	7.576	886.364	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518064203.wav	ST3_Site5_67371018.220518064203.wav	277.7041	337	X	1	0	Y	B		
348	Spectrogram 1	1	44081.943320000	44082.703370000	7.576	924.242	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518064203.wav	ST3_Site5_67371018.220518064203.wav	278.2883	338	Y	2	0	X	B		
349	Spectrogram 1	1	44082.946530000	44083.172660000	45.455	507.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518064203.wav	ST3_Site5_67371018.220518064203.wav	279.2915	339	Y	1	0	X	B		
350	Spectrogram 1	1	45015.130390000	45015.375370000	0.000	1750.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070203.wav	ST3_Site5_67371018.220518070203.wav	11.3224	340	Y	1	0	X	B		
351	Spectrogram 1	1	45021.336650000	45023.315290000	68.182	1204.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070203.wav	ST3_Site5_67371018.220518070203.wav	17.5286	341	Y	2	3	X	BY		
352	Spectrogram 1	1	45024.170540000	45025.282350000	7.576	1378.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070203.wav	ST3_Site5_67371018.220518070203.wav	20.3625	342	Y	1	1	X	BY		
353	Spectrogram 1	1	45025.659240000	45026.174310000	0.000	1848.485	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070203.wav	ST3_Site5_67371018.220518070203.wav	21.8512	343	Y	1	1	X	BY		
354	Spectrogram 1	1	45288.069190000	45288.961150000	0.000	1386.364	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070203.wav	ST3_Site5_67371018.220518070203.wav	284.2612	344	Y	1	1	X	BY		
355	Spectrogram 1	1	45293.702180000	45294.066500000	515.152	765.152	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070203.wav	ST3_Site5_67371018.220518070203.wav	289.8942	345	X	0	1	X	Y		
356	Spectrogram 1	1	45416.546140000	45417.268500000	704.545	2325.758	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518070703.wav	ST3_Site5_67371018.220518070703.wav	112.7555	346	X	0	1	X	Y		
357	Spectrogram 1	1	45916.444280000	45916.657850000	356.061	1446.970	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	12.5538	347	X	0	1	X	Y		
358	Spectrogram 1	1	45937.445460000	45937.696710000	386.364	1128.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	33.5550	348	X	0	1	X	Y		
359	Spectrogram 1	1	45940.806010000	45941.082390000	234.848	1022.727	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	36.9155	349	X	0	1	X	Y		
360	Spectrogram 1	1	45969.299420000	45969.544400000	325.758	1037.879	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	65.4089	350	X	0	1	X	Y		
361	Spectrogram 1	1	45975.324810000	45975.601200000	348.485	2030.303	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	71.4343	351	X	0	1	X	Y		
362	Spectrogram 1	1	45983.736760000	45985.074700000	204.545	969.697	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	79.8463	352	X	0	1	X	Y		
363	Spectrogram 1	1	45987.756860000	45988.416410000	287.879	863.636	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	83.8664	353	X	0	2	X	Y		
364	Spectrogram 1	1	45991.761690000	45992.119730000	371.212	1015.152	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	87.8712	354	X	0	1	X	Y		
365	Spectrogram 1	1	45992.597110000	45994.305660000	30.303	818.182	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	88.7066	355	Y	1	0	X	G		
366	Spectrogram 1	1	45998.802500000	45999.261050000	356.061	825.758	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	94.9120	356	X	0	1	X	Y		
367	Spectrogram 1	1	46079.948670000	46080.206200000	393.939	977.273	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	176.0582	357	X	0	1	X	Y		
368	Spectrogram 1	1	46090.520730000	46091.117470000	0.000	1515.152	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518071703.wav	ST3_Site5_67371018.220518071703.wav	186.6302	358	Y	1	1	X	BY		
369	Spectrogram 1	1	48198.331490000	48198.708380000	1250.000	1545.455	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518075203.wav	ST3_Site5_67371018.220518075203.wav	194.2698	359	X	0	1	X	Y		
370	Spectrogram 1	1	50064.691530000	50065.608610000	0.000	545.455	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518082203.wav	ST3_Site5_67371018.220518082203.wav	260.4754	360	Y	1	0	X	G		
371	Spectrogram 1	1	56099.196200000	56099.862030000	666.667	1393.939	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518100203.wav	ST3_Site5_67371018.220518100203.wav	294.4957	361	X	0	1	X	Y		
372	Spectrogram 1	1	63520.325060000	63520.720780000	166.667	1128.788	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518120704.wav	ST3_Site5_67371018.220518120704.wav	215.0281	362	X	0	1	X	Y		
