Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	WH
137	Spectrogram 1	2	7969.300000000	7969.627437000	0.3274	169.3000	168.200	648.900	375.000	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	N	yelp?				
149	Spectrogram 1	2	8719.575000000	8719.814730000	0.2397	19.5750	512.700	901.200	750.000	SACHS2_0+1_20151116_052351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151116_052351.wav	N	yelp				
155	Spectrogram 1	2	9701.473000000	9701.671800000	0.1988	101.4730	68.100	817.100	375.000	SACHS2_0+1_20151121_001851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_001851.wav	N	bark	faint			
159	Spectrogram 1	2	10202.386000000	10203.286450000	0.9005	2.3860	28.000	1065.400	29.297	SACHS2_0+1_20151122_063851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_063851.wav	N	bark	masked			
160	Spectrogram 1	2	10478.168000000	10478.805330000	0.6373	278.1680	64.100	829.100	82.031	SACHS2_0+1_20151122_063851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_063851.wav	N	groan				
161	Spectrogram 1	2	10480.957000000	10481.489090000	0.5321	280.9570	96.100	933.200	134.766	SACHS2_0+1_20151122_063851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_063851.wav	N	groan				
162	Spectrogram 1	2	10482.231000000	10482.768930000	0.5379	282.2310	68.100	921.200	375.000	SACHS2_0+1_20151122_063851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_063851.wav	N	groan				
1	Spectrogram 1	2	230.453000000	231.394984600	0.9420	230.4530	61.400	1535.400	105.469	SACHS2_0+1_20150822_060851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150822_060851.wav	Y	bark	perhaps a yelp too	AR	RS	
5	Spectrogram 1	2	396.121000000	396.603118100	0.4821	96.1210	56.700	1639.400	58.594	SACHS2_0+1_20150825_103351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150825_103351.wav	Y	bark		AR	RS	
17	Spectrogram 1	2	813.352000000	813.641270800	0.2893	213.3520	56.700	321.300	58.594	SACHS2_0+1_20150825_110851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150825_110851.wav	Y	bark		AR	RS	
29	Spectrogram 1	2	1992.793000000	1993.097105000	0.3041	192.7930	212.600	992.100	375.000	SACHS2_0+1_20150909_025351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_025351.wav	Y	bark		AR	RS	
33	Spectrogram 1	2	2118.949000000	2119.431118000	0.4821	18.9490	118.100	1464.600	140.625	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	bark	loud	AR	RS	
36	Spectrogram 1	2	2140.357000000	2140.883622000	0.5266	40.3570	80.300	755.900	99.609	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	bark		AR	RS	
40	Spectrogram 1	2	2211.187000000	2211.424350000	0.2373	111.1870	89.800	836.200	99.609	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	bark		AR	RS	
42	Spectrogram 1	2	2278.466000000	2278.777523000	0.3115	178.4660	203.100	770.100	375.000	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	bark		AR	RS	
43	Spectrogram 1	2	2287.910000000	2288.481124000	0.5711	187.9100	52.000	628.300	52.734	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	bark		AR	RS	
44	Spectrogram 1	2	2294.732000000	2296.334115000	1.6021	194.7320	89.800	878.700	667.969	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	"bark, yelp"	faint	AR	RS	
47	Spectrogram 1	2	2374.856000000	2375.078516000	0.2225	274.8560	108.700	472.400	375.000	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	bark		AR	RS	
48	Spectrogram 1	2	2377.005000000	2381.470155000	4.4652	277.0050	66.100	874.000	70.312	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	Y	"bark, yelp"		AR	RS	N
56	Spectrogram 1	2	2557.882000000	2558.823379000	0.9414	157.8820	84.100	917.200	99.609	SACHS2_0+1_20150909_065851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_065851.wav	Y	"bark, yelp"		AR	RS	
60	Spectrogram 1	2	2651.373000000	2651.805684000	0.4327	251.3730	292.400	1129.500	375.000	SACHS2_0+1_20150909_065851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_065851.wav	Y	bark		AR	RS	
62	Spectrogram 1	2	2796.916000000	2798.559029000	1.6430	96.9160	100.100	729.000	111.328	SACHS2_0+1_20150910_072851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150910_072851.wav	Y	bark		AR	RS	
63	Spectrogram 1	2	2803.916000000	2804.950933000	1.0349	103.9160	72.100	684.900	93.750	SACHS2_0+1_20150910_072851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150910_072851.wav	Y	bark	faint	AR	RS	
64	Spectrogram 1	2	2831.254000000	2831.558048000	0.3040	131.2540	116.200	777.000	375.000	SACHS2_0+1_20150910_072851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150910_072851.wav	Y	bark		AR	RS	
66	Spectrogram 1	2	2953.112000000	2953.340036000	0.2280	253.1120	208.300	781.000	375.000	SACHS2_0+1_20150910_072851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150910_072851.wav	Y	bark		AR	RS	
83	Spectrogram 1	2	4711.024000000	4711.335522000	0.3115	211.0240	103.900	845.700	638.672	SACHS2_0+1_20151102_055851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151102_055851.wav	Y	bark	right before a knock	AR	RS	
98	Spectrogram 1	2	4958.312000000	4960.151466000	1.8395	158.3120	52.000	713.400	82.031	SACHS2_0+1_20151102_210851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151102_210851.wav	Y	bark	series	AR	RS	
99	Spectrogram 1	2	4961.683000000	4962.165118000	0.4821	161.6830	85.000	642.500	140.625	SACHS2_0+1_20151102_210851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151102_210851.wav	Y	bark		AR	RS	
101	Spectrogram 1	2	5016.553000000	5016.797768000	0.2448	216.5530	18.900	429.900	23.438	SACHS2_0+1_20151102_210851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151102_210851.wav	Y	bark	A GOOD ONE!	AR	RS	
103	Spectrogram 1	2	5064.391000000	5064.546762000	0.1558	264.3910	28.300	656.700	29.297	SACHS2_0+1_20151102_210851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151102_210851.wav	Y	bark	with noise	AR	RS	
104	Spectrogram 1	2	5217.057000000	5220.201894000	3.1449	117.0570	42.500	1299.200	52.734	SACHS2_0+1_20151103_084851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151103_084851.wav	Y	bark	series. Clear. Although with noise.	AR	RS	
108	Spectrogram 1	2	5696.887000000	5697.146602000	0.2596	296.8870	80.300	1209.400	375.000	SACHS2_0+1_20151106_083351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151106_083351.wav	Y	bark	GOOD one	AR	RS	
117	Spectrogram 1	2	6334.671000000	6335.049277000	0.3783	34.6710	99.200	685.000	375.000	SACHS2_0+1_20151110_235851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151110_235851.wav	Y	bark	only one harmonic	AR	RS	
118	Spectrogram 1	2	6357.184000000	6357.362013000	0.1780	57.1840	108.700	515.000	375.000	SACHS2_0+1_20151110_235851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151110_235851.wav	Y	bark		AR	RS	
127	Spectrogram 1	2	6907.195000000	6907.446425000	0.2514	7.1950	100.100	436.600	375.000	SACHS2_0+1_20151113_053851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151113_053851.wav	Y	bark				
129	Spectrogram 1	2	6911.259000000	6911.492883000	0.2339	11.2590	92.100	640.900	375.000	SACHS2_0+1_20151113_053851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151113_053851.wav	Y	bark				
130	Spectrogram 1	2	7010.012000000	7022.216033000	12.2040	110.0120	96.100	757.000	111.328	SACHS2_0+1_20151113_053851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151113_053851.wav	Y	bark	series. Not typical though			
131	Spectrogram 1	2	7280.962000000	7281.365448000	0.4034	80.9620	80.100	741.000	375.000	SACHS2_0+1_20151114_020351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_020351.wav	Y	bark	not typical			
132	Spectrogram 1	2	7282.529000000	7282.903213000	0.3742	82.5290	60.100	853.100	93.750	SACHS2_0+1_20151114_020351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_020351.wav	Y	bark	not typical but loud and clear			
133	Spectrogram 1	2	7570.935000000	7573.227054000	2.2921	70.9350	88.100	897.200	105.469	SACHS2_0+1_20151114_042351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_042351.wav	Y	bark	GOOD series			
136	Spectrogram 1	2	7967.505000000	7967.803201000	0.2982	167.5050	120.200	877.200	375.000	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	Y	bark				
138	Spectrogram 1	2	7972.844000000	7973.288378000	0.4444	172.8440	148.200	704.900	375.000	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	Y	bark	atypical - more like a groan			
139	Spectrogram 1	2	7985.736000000	7986.186225000	0.4502	185.7360	76.100	1093.500	375.000	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	Y	"bark, yelp"				
140	Spectrogram 1	2	7986.865000000	7987.204130000	0.3391	186.8650	68.100	877.200	76.172	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	Y	"bark, yelp"				
141	Spectrogram 1	2	7991.313000000	7991.675518000	0.3625	191.3130	80.100	849.100	375.000	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	Y	"bark, yelp"				
142	Spectrogram 1	2	7996.830000000	7997.496566000	0.6666	196.8300	88.100	1309.700	375.000	SACHS2_0+1_20151114_093851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151114_093851.wav	Y	"bark, yelp"				
143	Spectrogram 1	2	8364.815000000	8374.047535000	9.2325	264.8150	96.100	969.300	111.328	SACHS2_0+1_20151115_082351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151115_082351.wav	Y	bark	series. one yelp too.			
144	Spectrogram 1	2	8478.629000000	8483.517156000	4.8882	78.6290	132.200	905.200	556.641	SACHS2_0+1_20151116_011851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151116_011851.wav	Y	"bark, yelp"	series			
145	Spectrogram 1	2	8485.797000000	8486.340778000	0.5438	85.7970	144.200	885.200	375.000	SACHS2_0+1_20151116_011851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151116_011851.wav	Y	"bark, yelp"				
146	Spectrogram 1	2	8493.469000000	8493.685342000	0.2163	93.4690	172.200	817.100	375.000	SACHS2_0+1_20151116_011851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151116_011851.wav	Y	bark				
148	Spectrogram 1	2	8618.316000000	8618.614201000	0.2982	218.3160	140.200	1049.400	140.625	SACHS2_0+1_20151116_011851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151116_011851.wav	Y	bark	perhaps with yelp			
152	Spectrogram 1	2	9660.128000000	9661.548840000	1.4208	60.1280	88.100	1165.600	117.188	SACHS2_0+1_20151121_001851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_001851.wav	Y	"bark, yelp"				
153	Spectrogram 1	2	9671.003000000	9672.628490000	1.6255	71.0030	108.100	917.200	375.000	SACHS2_0+1_20151121_001851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_001851.wav	Y	"bark, yelp"				
154	Spectrogram 1	2	9678.449000000	9687.283930000	8.8349	78.4490	68.100	1097.500	76.172	SACHS2_0+1_20151121_001851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_001851.wav	Y	"bark, yelp"				
156	Spectrogram 1	2	9727.792000000	9729.300550000	1.5086	127.7920	88.100	737.000	375.000	SACHS2_0+1_20151121_001851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_001851.wav	Y	"bark, yelp"				
157	Spectrogram 1	2	9731.920000000	9732.463780000	0.5438	131.9200	108.100	985.300	375.000	SACHS2_0+1_20151121_001851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_001851.wav	Y	"bark, yelp"				
158	Spectrogram 1	2	10083.595000000	10084.296650000	0.7017	183.5950	80.100	1257.700	123.047	SACHS2_0+1_20151121_012851.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151121_012851.wav	Y	"bark, yelp"				
163	Spectrogram 1	2	10500.713000000	10501.326950000	0.6139	0.7130	76.100	781.000	99.609	SACHS2_0+1_20151122_071351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_071351.wav	Y	"bark, yelp"				
164	Spectrogram 1	2	10564.633000000	10564.954590000	0.3216	64.6330	44.100	1049.400	52.734	SACHS2_0+1_20151122_071351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_071351.wav	Y	bark				
165	Spectrogram 1	2	10569.218000000	10570.603760000	1.3858	69.2180	52.100	1361.800	52.734	SACHS2_0+1_20151122_071351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_071351.wav	Y	bark	loud!			
166	Spectrogram 1	2	10572.100000000	10572.421590000	0.3216	72.1000	64.100	1233.600	64.453	SACHS2_0+1_20151122_071351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_071351.wav	Y	bark				
167	Spectrogram 1	2	10632.260000000	10632.622520000	0.3625	132.2600	76.100	632.800	152.344	SACHS2_0+1_20151122_071351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20151122_071351.wav	Y	bark				
